addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상남도 합천군 가야면 해인사길 141-23,,36,0,A02,A0201,A02010800,2795879,12,20211214220311,http://tong.visitkorea.or.kr/cms/resource/05/2800305_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/05/2800305_image2_1.JPG,128.0927311445,35.8010908425,6,20221125090721,0,21,,원당암,50200,원당암은 「해인사 1번지」 같은 상징적인 암자다. 해인사와 형제처럼 역사를 같이하고 있기 때문이다. 신라 애장왕(哀莊王)은 공주의 난치병이 낫자 부처의 가호(加護)로 여기고 해인사의 창건을 발원한 순응(順應) 대사를 몸소 크게 도와주었다고 한다. 왕은 서라벌을 떠나 가야산에 임시로 작은 집을 지어 절 공사를 독려하고 정사(政事)를 보기까지 하였는데 이것이 바로 오늘의 당암이라는 것이다. 암자가 다시 활기를 찾게 된 것은 혜암(慧菴) 스님이 머무른 이후부터였다고 한다. 혜암 스님은 해인사의 정신적 지주라고 할 수 있는 해인총림 방장('93년'96년)스님을 지내시고 1999년 4월에 조계종 제10대 종정 스님으로 추대되었다. 또한 원당암에서는 스님들과 똑같이 일반인들도 여름과 겨울에 한 철씩 안거(安居)에 들어가 수행을 하는 국내 제일의 재가불자 참선도량으로 변모되었다. 법당 앞에 보물 518호로 지정받아 보호받고 있는 석탑과 석등에도 암자의 나이테가 새겨져 있다.
경상남도 합천군 가야면 치인5길 194,,36,0,A02,A0201,A02010800,2795876,12,20211214220106,http://tong.visitkorea.or.kr/cms/resource/80/2800280_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/80/2800280_image2_1.JPG,128.051795835,35.8025038334,6,20220706111426,0,21,,고불암,50200,"해인사 고불암은 1200년 역사를 가진 해인사의 산내 암자로서 해인사 암자 중 가장 높은 해발 900m에 법당이 있으며, 전체적인 건축구조와 형상이 산내 암자 중 해인사와 가장 비슷하며 전통적인 목조건물과 현대적인 건축물이 조화를 이루고 있다. 전통사찰식 목조건물은 법당을 중심으로 양옆에 육화당, 벽안당이 있고 앞으로는 고불루가 있다."
경상남도 합천군 율곡면 문림길 40-19,,36,0,A02,A0201,A02010700,2795862,12,20211214215649,http://tong.visitkorea.or.kr/cms/resource/45/2800745_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/45/2800745_image2_1.JPG,128.1937645789,35.5709298172,6,20220706111515,0,21,,호연정,50244,"경상남도 유형문화재 제198호로 지정된 호연정은 합천군 율곡면 문림리에 위치한 조선 시대 정자이다. 조선 명종 때 주이가 예안 현감을 사직한 뒤 많은 학자를 길러낸 곳이라 전해진다. 본래의 정자는 임진왜란 때 불타 소실된 것을 후손들이 재건했다. 호연정은 명예와 물욕을 버린 채 호연히 돌아와 물에서 해방된 자유로운 마음을 나타내는 호연지기에서 나온 뜻으로 호연정이라고 붙였다고 한다. 정면 세 칸, 측면 두 칸 규모의 제법 큰 호연정은 팔각지붕 건물로 둥근 나무 기둥이 정자를 떠받치고 있다. 자연 상태 그대로의 나무를 이용하여 건축하고 다양한 양식이 혼합되어 있는 호연정은 조선 시대 정자 중 특이한 작품 중의 하나로 꼽힌다. 정자 앞에는 주이가 직접 심었다는 여러 그루의 대나무와 은행나무로 둘러싸여 아름다운 경관을 이루고 있다. 경남 합천에 방문한다면 세월의 흔적을 고스란히 담고 있는 호연정을 꼭 한번 들러보길 추천한다."
경상남도 합천군 가야면 황산1길 71,,36,0,A04,A0401,A04010700,2793084,12,20211213224732,http://tong.visitkorea.or.kr/cms/resource/25/2800725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2800725_image2_1.jpg,128.1357839293,35.7631403638,6,20221208103605,0,21,,들꽃공방,50201,"가야산 해인사로 가는 들머리에 가야면 소재지가 있다. 주변에서 가장 큰 도시이자 대부분의 편의시설이 몰려있는 곳이다. 대장경테마파크도 이곳에 있다. 도심 중앙에 염색체험을 하는 들꽃공방이 있다. 일반 가정집을 체험장 겸 공방으로 사용하고 있는데, 작지만 꽤 알차게 준비가 되어 있다. 마당 한 편에는 쪽 풀까지 심어놓고, 빨랫줄에는 염색한 천들이 가지런히 걸려 있다. 손쉽게 해 볼 수 있는 염색은 스카프나 손수건이다. 만들고자 하는 문양을 생각한 다음, 고무줄로 천을 묶는다. 세로로 묶으면 세로 문양이 나오고, 네모나게 겹겹이 묶으면 마름모꼴이나 사각형 문양이 나온다. 염색 농도 차이로 문양을 만드는 과정이다. 접은 천을 염색액에 넣고 몇 번 담근 후 물에 헹궈 말리면 된다. 염색 체험뿐 아니라 들꽃공방에서는 공예가인 주인의 작품을 전시해 놓고, 소품들은 팔기도 한다. 가야산의 들꽃처럼 화려하진 않지만, 자연의 느낌이 나는 스카프와 손수건, 방석 등이 구비되어 있다."
경상남도 합천군 가야면 구원2길 26-27,,36,0,A02,A0203,A02030400,2793074,12,20211213224545,http://tong.visitkorea.or.kr/cms/resource/40/2800740_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2800740_image2_1.jpg,128.1289451941,35.7797078075,6,20221202104800,0,21,,토광요,50201,"두 채의 한옥에 기와를 올린 담장이 아름답고, 담장 너머로 남산제일봉 능선들이 그림처럼 펼쳐져 장관을 이룬다, 봄가을에 안개가 피어오르면 선경이 따로 없다. 그 모습을 찍으러 사진작가들이 일부러 찾아오는 곳이다. 이런 풍경과 함께 도자기 공방이 자리하고 있다. 토광요에서는 황토방에서 하루 자면서 도자기도 만들고, 명상도 하고, 주변의 음식으로 건강식을 만들어 먹는 등, 하루를 오롯이 가야산과 함께 하는 체험프로그램으로 제공하고 있다."
경상남도 합천군 가회면 대기2길 17-3,,36,0,A02,A0203,A02030100,2789677,12,20211209002416,http://tong.visitkorea.or.kr/cms/resource/32/2795232_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2795232_image2_1.jpg,128.0018399468,35.4621997676,6,20211214190327,0,21,,대기철쭉꽃산촌생태마을,50226,"우리나라에서 봄 여행지로 소문난 곳이 철쭉으로 유명한 황매산이다. 매년 철쪽이 만개할 때는 산 정상에서 축제가 열리는데 방문객들만도 수십만 명에 이른다. 대기 철쭉꽃 산촌생태마을은 바로 이 황매산 자락 해발 700m 고지대에 있다. 봄이 오면 대기마을에서는 철쭉꽃 향기를 맡으며 여러 가지 체험을 할 수 있다. 산나물과 고구마를 채집하고, 복분자와 블루베리를 직접 채집하는 체험을 할 수 있다. 이외에도 사계절 정신수양과 육체단련에 좋은 현무도를 수련할 수 있다. 마을 안 폐교를 활용해 녹색 체험관을 마련했고 방문객을 위한 통나무 펜션 3개 동도 별도로 갖추고 있다."
경상남도 합천군 가회면 황매산공원길 137-7,,36,0,A01,A0101,A01010500,2746399,12,20210916234546,http://tong.visitkorea.or.kr/cms/resource/19/2746419_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2746419_image2_1.JPG,128.0036614825,35.48194757,6,20220530102923,0,21,,황매산억새군락지,50226,"1983년 합천군립공원으로 지정되면서 점차 알려지기 시작한 황매산 억새군락지. 그 이전에는 산행 서적, 관광지도 등의 매체에서도 찾기 힘들 만큼 세상에 알려지지 않았기에, 자연 그대로의 경관을 품고 있다. 아름다운 골짜기와 멋진 능선 그리고 평원은 옛 모습 그대로 남아있다. 5월 초순에는 철쭉으로, 가을에는 참억새로 진풍경을 연출한다. 특히, 수십만 평의 능선을 따라온 산 가득 수놓는 억새의 가을 노래는 색다른 매력을 발산한다. 한편, 매년 410월에는 별과 은하수를 관찰하기 좋은 최적의 장소로 손꼽힌다. 훼손되지 않은 자연 그대로의 경관은, 그동안 경험해 보지 못한 새로운 추억을 선사할 것이다."
경상남도 합천군 용주면 합천호수로 757,,36,0,A02,A0203,A02030600,2746352,12,20210916232041,http://tong.visitkorea.or.kr/cms/resource/55/2746355_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/2746355_image2_1.JPG,128.0728619423,35.548449629,6,20211216234248,0,21,,합천청와대세트장,50215,"청와대 세트장은 1992년 발간된 청와대 건설지의 내용과 사진을 발췌하여, 실물과 최대한 유사한 형태로 건립하였다. 실제 면적의 68로 축소 건축하였으며 청와대를 배경으로 한 각종 드라마와 영화 촬영, 회의실, 체험 전시시설로 활용하고 있다. 청와대 세트장은 합천영상테마파크와 이웃해 있어, 관람객들에게 다양한 볼거리를 제공하는 시설 중 하나이다. 합천영상테마파크에서부터 청와대 세트장까지 연결된 모노레일을 타고 이동할 수 있다. 중간중간 멧돼지 동물 조형물이 눈에 띄어 아이들과 함께 둘러보기에도 좋다. 영화와 드라마를 즐기는 이들에게는 색다른 경험을 선사해 줄 것이다."
경상남도 합천군 가회면 산두길 191-41,,36,0,A02,A0205,A02050200,2744521,12,20210914233629,http://tong.visitkorea.or.kr/cms/resource/38/2746338_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/38/2746338_image2_1.JPG,128.0495906051,35.4881837973,6,20221129171450,0,21,,천불천탑,50225,"천불천탑은 허굴산 중턱에 있는 관세음보살 기도 도량이다. 용탑 스님이 산에 흩어져 있는 바위와 돌들을 갈고 다듬어 10여 년에 걸쳐 수많은 탑으로 만든 곳이다. 석탑들은 우아하거나 아름답지 않다. 아주 투박하고 편안해 보인다. 우리나라 전통적 방식의 삼층석탑, 오층석탑의 모양을 하고 있어 이질적인 느낌이 없다. 그리고 숲길을 따라 올라가면 길게 드러누운 큰 바위가 보이는데 용바위이다. 용바위와 용이 여의주를 물고 있는 모습을 한 연못이 있어 감탄을 자아내게 하는 곳이다. 용바위에 손을 대고 간절하게 소원을 빌고, 일주일 내로 용꿈을 꾸면 기도한 바가 이뤄진다는 소문이 있다. 자녀를 위한 시험합격 기원, 사업성취 기도, 건강성취 등을 원하는 사람들의 발길이 오늘도 이어지고 있다."
경상남도 합천군 용주면 합천호수로 757,,36,0,A02,A0203,A02030600,2744514,12,20210914232457,http://tong.visitkorea.or.kr/cms/resource/23/2746323_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/2746323_image2_1.JPG,128.0728619423,35.548449629,6,20221107105228,2,21,,합천목재문화체험장,50215,"합천 목재문화체험장은 영상 테마파크 내에 있는 공간으로, 청와대 세트장으로 가는 모노레일을 타거나 걸어서 갈 수 있다. 1층의 우드랜드에선 나무의 뿌리, 줄기, 열매 등을 이용하여 만드는 다양한 약재의 종류, 숲속 친구들은 무얼 먹고 자라는지, 식물의 몸은 어떻게 구성되어 있는지 알 수 있다. 지하 체험장에선 아이들과 함께 나무에 대해 직접 체험하면서 배우는 시간을 가져볼 수 있으며  나만의 개성 있는 연필통, 자동차, 문패 등을 만들 수 있다. 또한, VR 체험을 통해 합천의 계절별 전경과 주요 관광지들을 볼 수 있는 공간도 마련되어 있다."
