addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경북 경산시 하양읍 부호리 592-6,,35,0,A01,A0101,A01010500,2782874,12,20211129232227,http://tong.visitkorea.or.kr/cms/resource/70/2795270_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2795270_image2_1.jpg,128.7985523267,35.8985510708,6,20221130105016,0,1,,대부잠수교해바라기밭,38428.0,"경산 하양 환상리 묘목단지와 하양 대경로를 잇는 지름길 역할을 하는 대부잠수교는 교량 높이가 낮아 금호강 수위가 상승하면 물에 잠긴다고 해서 잠수교라는 이름이 붙었다. 해바라기밭은 대부 잠수교 둔치 근방에 있는 꽃밭으로, 봄에는 유채꽃, 여름이면 해바라기, 가을이면 코스모스가 피는 꽃놀이 명소이다. 대부 잠수교 둔치 앞 주차 공간에 주차할 수 있다. 몇 년 전부터 시민들을 위해 계절마다 꽃을 심기 시작해 이제는 아름다운 장관을 연출하는 장소가 되어 많은 사람이 찾는다.  넓은 부지 안에 가득 핀 꽃과 함께 인생 최고의 장면을 찍을 수 있는 사진 명소이기도 하다."
경상북도 경산시 계양동,,35,0,A01,A0101,A01011800,2780010,12,20211125234847,http://tong.visitkorea.or.kr/cms/resource/52/2795252_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2795252_image2_1.jpg,128.7467256176,35.8248417799,6,20221125101321,0,1,,남매지,,"경상북도 경산 시내에 자리한 저수지이다. 남매지라는 이름에 얽힌 슬픈 이야기가 전해져 오고 있는데 조선시대 때 부모를 잃은 가난한 오누이가 있었다고 한다, 아버지의 빚을 갚기 위해 오빠가 한양으로 떠난 사이 여동생은 심보 고약한 빚쟁이의 첩이 되고 말았다. 자신의 처지를 비관한 여동생이 저수지에 몸을 던졌고, 이 소식을 들은 오빠도 함께 자결하면서 이들 오누이가 목숨을 잃은 저수지 이름이 남매지가 되었다고 한다. 비극적인 전설과 달리 지금의 남매지는 경산 시민들이 즐겨 찾는 휴식처이자 도심 야경 명소로 사랑받는 데이트 코스가 되고 있다. 다. 매일 저녁 7시가 되면 저수지의 동쪽과 서쪽을 잇는 가교에 알록달록한 조명이 켜지는데, 저수지 둘레를 따라 가로등까지 불을 밝히며 화려하게 변신한다.  저수지를 따라 산책 삼아 걷기 좋다"
경상북도 경산시 하양읍 대조리,,35,0,A01,A0101,A01010500,2780006,12,20211125234659,http://tong.visitkorea.or.kr/cms/resource/20/2796620_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2796620_image2_1.jpg,128.7985248157,35.8891438017,6,20221125104747,1,1,,대부잠수교,,"대구에서 경산으로 들어가는 길목에 자리한 대부 잠수교는 계절의 정취를 만끽할 수 있는 산책코스가 잘 가꿔져 있어 인기다. 넓게 펼쳐진 공간에 4월 초까지는 파릇파릇한 보리 새싹들이 보는 이들의 마음을 설레게 하고, 5월 말이 되면 싱그러운 청보리가 반갑게 맞아준다. 강변을 타고 부는 바람과 청보리가 부딪히며 화음을 이루는 자연의 소리도 귀는 물론 마음까지 맑아진다. 여름이 되면 대부 잠수교는 다시 황금빛 해바라기가 물결을 이룬다. 고흐의 그림을 연상시키는 낭만적인 해바라기 옆으로는 화려한 꽃 칸나 가 붉은 열정을 자랑하며 끝없이 펼쳐진다. 단, 햇빛을 피할 수 있는 공간이 따로 마련되어 있지 않아, 오전에 방문하거나 양산과 모자를 미리 챙기는 것이 좋다. 가을에는 알록달록 코스모스가 시민들의 발길을 멈추게 한다. 산책과 휴식 그리고 인생 샷을 남길 수 있는 곳으로 유명하다"
경북 경산시 중산동 674,,35,0,A02,A0202,A02020600,2773390,12,20211111193855,,,128.7151810522,35.8290629402,6,20211118013607,0,1,,중산지,,"중산지는 경상북도 경산시 중산동 중산 제1 근린공원과 맞닿아 있다. 산책로는 모두 이어져 있고 중산지 진입 광장엔 간단한 운동기구들이 설치돼 있다. 공원에는 잘 정비된 산책로를 비롯해 정자, 쉼터 등이 마련돼 있어 어디서든 손쉽게 중산지의 경치를 감상할 수 있다. 긴 미끄럼틀을 포함해 아이들의 놀이 시설도 갖추어져 있다. 야경 명소로도 유명한 중산지는 분수 공연 때 점등되는 형형색색의 조명이 주변 아파트의 불빛과 어우러져 멋진 풍경을 연출한다."
경상북도 경산시 와촌면 팔공로 237-14,,35,0,A02,A0202,A02020300,2766542,12,20211102214645,http://tong.visitkorea.or.kr/cms/resource/63/2766863_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2766863_image2_1.jpg,128.7691781212,35.9622433137,6,20211103010156,0,1,,갓바위워터피아온천,38403.0,"갓바위워터피아는 경북 경산시 와촌면 음양리에 있다.팔공산 지하 1,200m에서 발원한 섭씨 33.5도의 약알칼리성 온천수로 심신의 피로와 스트레스를 한 번에 풀어주는 온천탕과 함께 찜질방, 워터파크 등의 시설이 마련되어 있는 휴양공간이다."
경상북도 경산시 자인면 계정길 68,,35,0,A01,A0101,A01010400,2745623,12,20210916000812,http://tong.visitkorea.or.kr/cms/resource/63/2746063_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2746063_image2_1.jpg,128.8190222342,35.8178883523,6,20221110132531,0,1,,자인계정숲(경산 자인의계정숲),38549.0,"경산 시내에서 자인 간 국도변에 위치한 계정 숲은 구릉지에 남아있는 천연 숲이다. 숲은 이팝나무가 주종을 이루며, 말채나무, 느티나무, 참느릅나무 등의 낙엽수와 활엽수가 섞여 자라고 있다. 계정 숲 안에는 한장군놀이 전수회관이 있고, 조선 시대의 전통 관아인 자인 현청의 본관이 보존되어 있다. 과거 경산시 일대에 어떤 나무들이 울창하였는지 보여주는 자연 유적지이다.본 저작물은 '경산시'에서 '2018년' 작성하여 공공누리 제4유형으로 개방한 '저작물명 자인계정숲'을 이용하였으며, 해당 저작물은 '경산시, https:www.ggs.go.kopen_contenttouindex.do'에서 무료로 다운받으실 수 있습니다."
경상북도 경산시 남산면 반곡리,,35,0,A01,A0101,A01011800,2704119,12,20210118231529,http://tong.visitkorea.or.kr/cms/resource/06/2726206_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2726206_image3_1.jpg,128.8066632546,35.7805145683,6,20220525135809,1,1,,반곡지,38571.0,"사진찍기 좋은 녹색명소 남산 반곡지는 1903년에 만든 농업용 저수지로 유역 면적은 79ha, 저수량은 3만9300톤에 이른다.  수백년 된 왕버들 20여 거루가 줄지어 선 150m 가량의 나무터널 흙길을 걷다보면 한적한 농촌마을의 정취와 삶의 여유를 느낄 수 있다. 2011년 3월에 문화체육관광부의 「사진찍기 좋은 녹색명소」로 선정되었으며, 2013년 10월에는 안전행정부의 「우리마을 향토자원 Best 30선」에 선정되기도 했으며,  드라마 아랑사또전 대왕의 꿈, 영화 허삼관 등을 촬영지로 유명하기도 하다."
경상북도 경산시 화랑로 94,(갑제동),35,0,A02,A0204,A02040800,2469053,12,20161222194726,,,128.7671044268,35.823214564,6,20220826102148,1558,1,,한국한의약진흥원,38540.0,"stong우리의 한약, 쉽게 이해하자 stong  한국한의약진흥원은 한의약의 과학화, 표준화, 산업화를 통하여 우리 생활 가까이로 한의약을 끌어들였다. 누구나 편하게 한약에 대해 이해하고, 그 효능을 누릴 수 있도록 견학 프로그램을 운영한다. "
경상북도 경산시 남산면 성산로 262,,35,0,A02,A0201,A02010700,1959170,12,20141023011126,,,128.8135601804,35.7694215055,6,20211215202413,2127,1,,조곡서원,38572.0,"자인의 유림과 탐진 안씨 후손이 그 선조 오성군(鰲城君) 안우(安祐)와 그 4세손인 문정공(文靖公) 안지 (安止)를 배향하기 위해 정조 18년(1794년)에 건립한 서원으로, 경산시 남산면 조곡리 분도등에 위치하고 있다. 서원의 산형대문(山形大門)을 들어서면 마당 건너편에 강당(講堂)인 상경재(尙敬齋)가 자리 잡고 있다. 팔작기와집인 강당의 좌우에는 동재(東齋)와 서재(西齋)가 있고, 강당 뒤쪽으로는 사당인 충현사(忠賢祠)가 있다. 음력 2월 중정(中丁)에 배향한다."
경상북도 경산시 하양읍 대곡로 543-4,,35,0,A02,A0201,A02010700,1958270,12,20141022013009,,,128.7622908788,35.9252557077,6,20220825173443,977,1,,백곡서원,38406.0,"조선 선조 조에 의병장인 희성당 허응길 선생을 봉향하는 서원이다. 선생은 현풍 현감으로 임진왜란때 의병을 일으켜 망우당 곽재우와 화왕산 전투에서 대승을 거두는 등 의병장으로서 혁혁한 공을 세웠다. 선조 37년(1604) 공신록에 등재되었고, 선생을 표창하여 절충장군 대구진마절제사를 제수하였다. 이 서원은 1938년 창건하여 재호를 선생의 호를 따서 희성당이라 하고 2월과 8월의 하정에 향사하다가 1977년 전국 유림에서 백곡서원으로 추증하였다."
