addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 경주시 보문로 465-67,지하 1층,35,,A02,A0202,A02020600,2899283,12,20221104171417,http://tong.visitkorea.or.kr/cms/resource/73/2899273_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2899273_image3_1.jpg,129.290288602,35.8397141718,6.0,20221104171431,8,2,,정글의 법칙 미디어파크,38116,"정글의 법칙 미디어파크는 경상북도 경주시 신평동에 있다. SBS AT가 선보이는 몰입형 미디어아트 전시관이다. 모니터 프레임을 벗어나 상상 속으로만 느꼈던 공간을 직접 걸으며 체험하는 새롭고 독특한 경험을 선사한다. 신비한 생명력이 넘쳐흐르는 재규어의 숲, 잃어버린 시간 속 여행을 통해 고대문명의 비밀을 알아낼 수 있는 신전, 화려한 수중 생물들의 세계가 펼쳐지는 심해, 다채로운 생명력으로 가득 찬 정글 등 즐길 거리가 다채롭다. 경주IC에서 가깝고, 인근에 보문관광단지와 첨성대가 있다."
경상북도 경주시 산내면 수의길 601,,35,0.0,A01,A0101,A01010400,2789998,12,20211209182110,http://tong.visitkorea.or.kr/cms/resource/94/2792494_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2792494_image2_1.jpg,129.0843530115,35.7720873674,6.0,20221110172610,3,2,,화랑의언덕,38185,"인기 걸그룹 핑클 멤버들이 출연했던 JTBC 예능프로그램 캠핑클럽 촬영지로 유명하다. 당시 드넓은 잔디밭과 탁 트인 전망을 자랑하는 명상바위 등 경주의 매력적인 풍광들을 소개하며 시청자들의 눈길을 끌었다. 신라 화랑 김유신이 수련하며 검으로 바위를 갈랐다는 이야기가 전하는 단석산 등산로 입구에 있어 화랑의 언덕이라고 이름 붙였다. 방송에서처럼 널찍한 잔디밭과 걷기 좋은 산책로, 서정적인 풍경의 저수지가 한데 어우러져 느긋하게 쉬어가기 좋다. 여름에는 노란 해바라기, 가을에는 은빛 억새가 일렁이며 계절의 정취를 만끽할 수 있다. 웅장한 산자락이 한눈에 들어오는 명상바위와 저수지 내에 마련된 테이블 등은 인기 포토존으로 꼽힌다. 현재 관람 시간 내에 산책과 피크닉만 가능하고 캠핑이나 차박은 불가하다."
경상북도 경주시 강동면 인동리 727-2,,35,0.0,B01,B0102,B01020200,2788175,12,20211208013900,http://tong.visitkorea.or.kr/cms/resource/18/2792318_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2792318_image2_1.jpg,129.2550512473,35.9909797492,6.0,20221114090526,0,2,,양자동역,,동해남부선에 속하는 기차역으로 1967년 철도직원이 없이 역 전체를 위탁한 형태로 운영됐지만 영업을 시작한 것은 그보다 앞섰을 것으로 추정된다. 1980년대까지만 해도 이용객이 많았으나 도로교통이 발달하고 배차간격이 길어지면서 2007년 결국 여객취급이 중지되었다. 지금은 우거진 수풀에 가려져 쓸쓸한 풍경만 남았다. 양자동역은 유네스코 세계문화유산으로 등재된 양동마을 근처에 자리한다. 철길이 양동마을 앞으로 지나게 된 데는 일제강점기 민족의 정기를 말살하려는 계략이 숨겨져 있다. 애초 일본은 철길을 마을 안쪽으로 지나도록 설계했으나 거센 반발에 부딪혀 지금의 자리로 우회했다. 양자동이란 지명에도 치욕적인 과거가 숨겨져 있다. 양반들이 모여 사는 동네라 하여 양동이라 불리던 이곳을 가운데 놈 자(者)를 추가해 양자동으로 바꿔 불렀기 때문이다.
경상북도 경주시 동방동,,35,0.0,B01,B0102,B01020200,2787252,12,20211207191252,http://tong.visitkorea.or.kr/cms/resource/83/2792483_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2792483_image2_1.jpg,129.2625280019,35.8096420398,6.0,20221118131556,0,2,,동방역,38174,"경주시 동방동에 자리한 기차역으로 동해남부선의 불국사역과 경주역 사이에 있다.
1919년 무배치역으로 영업을 시작했으며 당시엔 도지역으로 불렸으나 1927년 지금의 이름으로 바뀌었다. 동방역은 1951년 보통역으로 승격되기도 했지만 이용객이 계속 줄면서 2005년 다시 무배치역이 되었고 현재는 신호장으로 사용되며 열차는 정차하지 않는다. 동해선 단선철도를 주행하는 서로 다른 방향의 두 열차가 교행 할 때 잠시 머물 뿐이다. 찾는 이 없는 조용한 간이역이었던 동방역이 다시 주목을 받기 시작한 것은 여름이면 담벼락을 가득 채우는 주황빛 능소화 덕분이다. 쏟아질 듯 만발한 능소화와 빛바랜 동방역 간판이 어우러져 독특한 분위기를 자아낸다."
경상북도 경주시 건천읍 내서로 1424-21,,35,0.0,B01,B0102,B01020200,2787242,12,20211207191115,http://tong.visitkorea.or.kr/cms/resource/92/2792492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2792492_image2_1.jpg,129.12453126,35.8273013336,6.0,20211213185004,0,2,,모량역,38180,"경주 모량역은 1922년 광명역이란 이름으로 처음 영업을 시작했다. 1928년 보통역으로 승격됐고, 1939년 역명을 지금의 모량역으로 바꾸었다. 그러나 도로교통이 발달하면서 1976년 화물 취급이 중지되었고, 이용객마저 줄면서 1997년 간이역으로 격하되었다. 2005년에는 역무원까지 철수해 무인역으로 운영되었지만 2008년 1월 1일 동대구에서 포항 간 통근열차가 폐지되면서 결국 여객 취급이 중지되었다. 폐역의 쓸쓸함을 간직한 모량역이지만 초록색 삼각 지붕은 옛 간이역의 정겨움을 그대로 간직하고 있다. 중앙선 구역사 위로 동해선 신호장이 십(十)자로 교차하는 독특한 형태의 역 구조를 가지고 있다. 덕분에 기차여행 마니아들에겐 꼭 들러봐야 할 간이역으로 꼽힌다."
경상북도 경주시 안강읍 두류길 758,,35,0.0,A02,A0201,A02010800,2784642,12,20211201221407,http://tong.visitkorea.or.kr/cms/resource/36/2784736_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/2784736_image2_1.jpg,129.1771930201,35.9349679404,6.0,20221031094248,0,2,,금곡사,38029,None
경상북도 경주시 석장동 산38-8,,35,0.0,A02,A0202,A02020700,2781625,12,20211126200442,http://tong.visitkorea.or.kr/cms/resource/24/2793124_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2793124_image2_1.jpg,129.2006319626,35.8609989625,6.0,20221209171140,0,2,,금장대 수변공원,,경주 형산강을 끼고 우뚝 솟은 암벽 금장대는 예부터 기러기도 쉬어가는 곳이라 하여  '금장낙안(金藏落雁)'으로 불렸다. 김동리의 단편소설 무녀도의 배경이 되기도 했던 이곳엔 팔작지붕을 얹은 누각이 자리해 예스러운 정취를 즐기기 좋다. 금장대 입구에 자리한 수변공원은 최근 소셜 미디어를 통해 주목받기 시작했다. 초록빛 공원 풍경과 버려진 폐목선 한 척이 수채화처럼 어우러져 사진촬영 명소로 입소문이 났기 때문이다. 특히 벚꽃이 만개할 무렵이면 턱시도와 드레스를 입고 웨딩촬영을 하는 커플들이 줄을 잇기도 한다. 4월부터 5월까지는 노란색 유채꽃도 흐드러지게 피어 싱그런 봄날을 만끽할 수 있다. 산책로도 잘 갖추고 있어 남녀노소 누구나 부담 없이 걷고 즐길 수 있다..
경상북도 경주시 구황동 883-44,,35,0.0,A01,A0101,A01010400,2778053,12,20211123193946,http://tong.visitkorea.or.kr/cms/resource/40/2800240_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2800240_image2_1.jpg,129.2386181212,35.8399853861,6.0,20221205153113,0,2,,신라왕경숲,,"신라시대 수도인 왕경지구의 하천 범람을 막기 위해 경주 명활산성에서 분황사까지 5리, 즉 2km에 걸쳐 오리수라는 숲을 조성했다고 전해진다. 보문관광단지 입구에 자리한 신라 왕경 숲은 이 같은 신라시대 치수사업의 역사를 간직한 숲으로 재현됐다. 1,500년 전 서라벌의 왕들이 거닐던 숲으로 꾸며진 신라 왕경 숲은 지난 2007년 세계 문화엑스포 개최와 함께 일반에 공개됐다. 주요 관광지와도 가까워 시민들은 물론 관광객들도 쉬어가기 좋다. 아직 울창한 숲은 아니지만 넓은 잔디밭과 푸른 가로수 덕분에 한가롭게 피크닉을 즐길 수 있는 장소로도 인기다. 신라 왕경 숲 근처에는 전통 한정식과 순두부 등 다양한 메뉴를 맛볼 수 있는 먹거리촌도 조성돼 있다"
경상북도 경주시 엑스포로 40,(신평동),35,0.0,A02,A0205,A02050600,2774293,12,20211115185142,http://tong.visitkorea.or.kr/cms/resource/88/2794688_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2794688_image2_1.jpg,129.2900942554,35.8368783771,6.0,20220720145448,1,2,,황룡원,38116,"역사 속 유물인 신라시대 황룡사 구층탑 양식의 중도탑을 현대 과학기술과 건축공법으로 재해석하여 지은 이색 건축물이다. 보문 단지의 새로운 랜드마크로 꼽힐 만큼 주목받고 있는 이 건물은 현재 개인과 기업 등을 대상으로 다양한 명상과 수행 프로그램을 운영하는 연수원으로 사용되고 있다. 때문에 사전 예약자에 한해 시설 이용이 가능한데, 1시간 내외의 가벼운 생활명상을 체험하는 일일투어를 비롯해 1박 2일과 2박 3일 코스도 운영된다. 물론 내외부 일부 공간은 일반인들도 방문 가능하다. 숙소는 탑 내부에 자리한 온돌 타입과 중도타워를 바라볼 수 있는 다양한 타입의 연수동으로 나뉜다. 특히 경주 세계문화엑스포 공원 내 장미공원에서 바라본 황룡원 전경이 무척 아름답다."
경상북도 경주시 남간길 37-10,(탑동),35,0.0,A02,A0201,A02010700,2774284,12,20211115184117,http://tong.visitkorea.or.kr/cms/resource/83/2794683_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2794683_image2_1.jpg,129.2144347832,35.8170041902,6.0,20211214033856,0,2,,육부전,38173,"과거 양산재로 불렸던 육부전은 신라 건국 이전 서라벌에 있었던 6부 촌장의 위패를 봉안하고 제사를 지내는 사당이다. 기원전 57년 알천양산촌, 돌산고허촌, 취산진지촌, 무산대수촌, 금산가리촌, 명활산고야촌의 6부 촌장들이 알천 언덕에 모여 알에서 탄생한 박혁거세를 신라의 첫 임금으로 추대하였다. 이후 신라 3대 왕인 유리왕이 이들의 건국 공로를 기리기 위해 양산촌은 이 씨, 고허촌은 최 씨, 진지촌은 정씨, 대수촌은 손 씨, 가리촌은 배 씨, 고야촌은 설 씨로 각각의 성을 내려 이들이 각 성씨의 시조가 되었다고 전한다. 육부전은 외삼문인 대덕문을 지나 동편에 윤적당, 서편에 익익재가 배치되어 있고 이어 내삼문인 홍익문이 자리한다. 홍익문 안에는 주건물인 입덕묘가 세워져 있는데, 이 공간은 제례가 있는 날을 제외하고는 일반에 개방하지 않는다."
