addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 고령군 다산면 다산로 1244-9,,35,0,A02,A0203,A02030100,2766582,12,20211102221259,http://tong.visitkorea.or.kr/cms/resource/62/2766962_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2766962_image2_1.jpg,128.4162763838,35.844927866,6,20221129154933,0,3,,다산딸기조합농원,40100,"다산딸기조합농원은 경북 고령군 다산면 노곡리에 있다.농원에서는 딸기 따기 체험과 딸기 모종 심기 등 딸기와 관련된 각종 체험을 진행한다. 농원에서 직접 재배한 딸기를 현장에서 구입할 수 있으며, 택배 주문도 할 수 있다.
농원은 남성주 IC에서 가깝고 남쪽으로 내려가면 대구광역시가 있어 연계 여행에 나서기 쉽다."
경상북도 고령군 대가야읍 중화리,,35,0,A02,A0202,A02020100,2753922,12,20211006223937,http://tong.visitkorea.or.kr/cms/resource/72/2754072_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2754072_image2_1.jpg,128.2425223023,35.7422418833,6,20221121104907,0,3,,중화유원지(중화지),40131,못 둘레가 4km가 넘는 중화유원지는 고령 군청에서 북서쪽으로 약 2km 떨어진 곳에 있다. 일명 낫질못이라고도 일컫는다. 낫질은 대가야 마지막 왕의 아들 월광태자와 그의 아내인 무후황후가 피난한 길이라는 데서 유래되었다. 이곳은 트레킹 명소로 소문난 곳이다. 유원지의 수려한 주변 경관을 따라 2.6km가량의 우륵생태둘레길이 있다.
경상북도 고령군 덕곡면 노리 481,,35,0,A02,A0202,A02020700,2753903,12,20211006222801,http://tong.visitkorea.or.kr/cms/resource/50/2754050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2754050_image2_1.jpg,128.1955442343,35.8029897079,6,20221121154956,0,3,,미천공원,40126,"미천공원은 작은 규모지만 알찬 공간이다. 간단한 물놀이가 가능한 자그마한 하천, 잘 정비된 산책로 등이 있다. 이곳은 과거 차박 등을 즐기는 캠퍼가 많았다. 하지만 일부 몰지각한 캠퍼들이 무단으로 쓰레기를 투기하는 등 부작용이 발생했다. 이 때문에 2021년 8월 현재, 야영을 금지하고 있다."
경상북도 고령군 쌍림면 신촌길 39-5,,35,0,A02,A0202,A02020100,2753892,12,20211006222455,http://tong.visitkorea.or.kr/cms/resource/56/2754056_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2754056_image2_1.jpg,128.1855486214,35.6741679994,6,20221117164858,0,3,,신촌숲(신촌유원지),40166,"신촌숲은 자연적으로 형성된 유원지다. 이곳에는 주변 2㎞에 걸쳐 전망과 관찰이 가능한 데크를 비롯해 산책로, 지압로, 기타 체육 시설 등이 마련되어 있다. 특히 산책로는 자연적으로 자생하고 있는 수목을 관찰하며 걸을 수 있다. 특히 신촌숲은 주차 공간과 야영지가 넓어 캠핑하기에 안성맞춤이다. 야영지 앞에는 안림천이 흐르고 있어 여름마다 물놀이 장소로도 인기가 높다."
경상북도 고령군 대가야읍 성산로 46,,35,0,A01,A0101,A01010700,2753886,12,20211006222122,http://tong.visitkorea.or.kr/cms/resource/42/2754042_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2754042_image2_1.jpg,128.2872603976,35.7285636871,6,20221116114012,0,3,,대가야수목원,40134,"대가야수목원은 식민지 수탈과 전쟁으로 황폐해졌던 산림을 푸른 산으로 가꾼 산림녹화 사업의 업적을 기념하고자 건립됐다. 이곳에서는 숲이 우리에게 주는 혜택과 환경의 중요성에 대하여 종합적으로 배울 수 있다. 대표 시설로는 숲의 역할과 혜택, 산림 자원의 조성 과정, 낙동강 유역 산림의 녹화 과정을 그래픽과 영상물로 전시 연출한 산림문화전시실이 있다. 이 밖에 전국의 수석 수집가들이 기증한 수석을 전시한 수석 전시실, 기념숲과 금산재를 연결하는 산림 등산로 등이 있다."
경상북도 고령군 다산면 사문나루1길 17,,35,0,A02,A0202,A02020100,2745629,12,20210916001215,http://tong.visitkorea.or.kr/cms/resource/80/2746080_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2746080_image2_1.jpg,128.4667587425,35.8196483197,6,20221103173229,2,3,,다산 문화공원,40102,"다산문화공원은 낙동강 변에 자리 잡고 있다. 이 덕분에 연중 수려한 풍경을 감상할 수 있다. 특히 초여름 무렵에는 활짝 핀 금계꽃이 장관을 연출한다. 이곳은 낙동강 자전거 종주길이 통과하는 지점이기도 하다. 이 때문에 자전거 라이딩을 즐기다가 이곳에 머물다 가는 사람이 많다. 공원에는 농구장, 축구장 등의 부대시설도 마련되어 있다."
경상북도 고령군 대가야읍 신남로 81,,35,0,A02,A0201,A02010600,2732615,12,20210811004327,http://tong.visitkorea.or.kr/cms/resource/18/2732618_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2732618_image2_1.JPG,128.269265216,35.7118958019,6,20220927100916,0,3,,대가야생활촌,40140,"역사적 고증과 현대적 상상을 바탕으로 대가야의 역사와 문화의 과거, 현재, 미래의 모습을 볼 수 있도록 재현한 대가야생활촌입니다. 대가야생활촌에는 1500년 전 대가야시대로 안내해주는 인트로영상관, 대가야 의식주 생활상을 재현한 인줄마을, 대가야를 대표하는 철기문화를 직접 체험할 수 있는 불묏골, 대가야의 토기문화와 교역물품을 알아볼 수 있는 골안마을, 아름다운 경관을 감상할 수 있는 상가라도못, 짚라인을 즐길 수 있는 놀이터가 있는 메나릿골, 여름철 시원한 물놀이가 가능한 물놀이장, 대가야 철의 원정대 일원이 되어 원정선 하지호에 승선할 수 있는 주산성전시관, 기와마을과 초가마을로 이루어진 숙박시설 한기촌 등이 있어 학습체험과 관광숙박을 한 곳에서 즐길 수 있다."
경상북도 고령군 다산면 좌학리 969,,35,0,,,,2674946,12,20201007042953,http://tong.visitkorea.or.kr/cms/resource/43/2674943_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/43/2674943_image2_1.jpeg,128.4366338678,35.8106487864,6,20210324001808,1,3,,고령은행나무숲,,은행나무숲에 둘러싸여 잠시나마 답답함을 내려놓고 가슴 깊숙이 맑은 공기를 마실 수 있는 곳이다. 키크고 가을 색감을 띈 은행나무들은 마치 비밀의 숲에 온듯한 기분을 선사한다. 또한 낙동강을 끼고 있어 수변의 억새 또한 장관이다.
경상북도 고령군 덕곡면 덕운로 816,,35,0,A02,A0203,A02030100,2629770,12,20191024022819,http://tong.visitkorea.or.kr/cms/resource/62/2629762_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/62/2629762_image2_1.bmp,128.213434589,35.7931939199,6,20220421163348,0,3,,고령예마을,40126,"수려한 자연과 풍성한 즐길 거리와 특색 있는 체험들로해마다 많은 관광객들이 찾고 있다. 예마을에 들어서면 조형미가 느껴지는 예마을 건축의 아름다움이가장 먼저 우리의 시선을 사로잡는다. 고급 유럽풍의 아늑한 건물과 넓은 잔디광장이 어우러져 다양한시설에 설레면서도 동시에 아늑함이 느껴진다. 총 면적 16500㎡, 2개의 센터건물과 숙박시설, 야외물놀이장, 잔디광장, 카라반,오토캠핑장, 체험장, 마방 등을 고루 갖춘 가족형 리조트이다.예마을은 체험휴향마을과 농어촌인성학교로 지정된 곳으로우리 아이들이 올바른 성장을 할 수 있도록 지역에서 재배한건강한 농산물과 재료들로 다양한 체험학습을 진행하고 있으며, 아이들이 깨끗하고 쾌적한 공간에서 안전하고 재미있게 소중한 추억을 만들 수 있도록 예마을 체험장을 신설하여 운영하고 있다."
경상북도 고령군 덕곡면 원앞길 7,,35,0,A02,A0201,A02010700,1958263,12,20141022012403,,,128.2443074734,35.7709192246,6,20220826141436,1911,3,,반암서원,40128,"반암서원은 본래 정종(鄭種)의 별묘(別廟)였다. 정구(鄭矩)는 1777년(정조 1)에 안의 정충사(靖忠祠)에 김문기(金文起)와 함께 모셔져 있다가 1794년(정조 18) 그곳 화림에서 다른 분을 추향하게 되어 동년 9월에 문중어른들이 성주 사림과 논의하여 장손(長孫)의 향리인 반성촌 정종의 별묘로 이봉(移封)하면서 반암서원이라 현판(懸板)하였다. 1868(고종5)년에 서원(書院)은 철폐(撤廢)되었으며, 반암서당으로 현판 하였다가 그 후 건물이 퇴폐하여 1994(갑술)년에 확대 개축하였다."
경상북도 고령군 쌍림면 송림2길 54-7,,35,0,A02,A0201,A02010700,1958233,12,20141022003911,,,128.2241838262,35.6844425348,6,20220923164849,2292,3,,매림서원,40164,이 서원은 곽수강(郭壽岡)과 오선기(吳善基)를 추모하여 유림에서 1707년(숙종33)에 건립하였다. 1868(고종 5)에 서원훼철령에 의해 훼철되고 매림재(梅林齋)로 존속하였다. 1985년 현풍곽씨와 고창오씨 양 문중의 후손들이 중수하면서 서원이 복원되었다. 매년 3월 중정(中丁)에 두 배향인의 향사를 지내고 있다. 최근 입구확장 및 담장설치 공사를 하였다.
경상북도 고령군 쌍림면 칠등길 138,,35,0,A02,A0201,A02010700,1958207,12,20141021235117,,,128.2466948663,35.7162060158,6,20220812144200,2371,3,,도암서원,40159,1666년(현종 7) 사림에 의하여 시임 조봉원(趙逢源) 현감의 협조를 얻어 고령읍내에 시창(始創)하여 송암 김선생(沔)과 옥산 이선생(起春)을 제향하였다. 1789년(정조 13) 서원주변에 시장이 있어서 번잡하고 불리하여 소암 김선생의 선산 아래인 현위치(고곡동)로 이전하다.
경상북도 고령군 대가야읍 대가야로 1216,,35,1,A02,A0202,A02020200,1067369,12,20100803025445,http://tong.visitkorea.or.kr/cms/resource/84/2493484_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2493484_image2_1.jpg,128.2596852822,35.720086368,6,20220519175710,26131,3,,대가야 역사테마관광지,40140,"대가야의 도읍지였고, 우리나라 최초의 토기와 철기, 가야금 문화를 찬란하게 꽃 피웠던 대가야의 역사를 테마로 하여 조성되는 관광지이다. 고대문화를 첨단시설로 보고 느끼고, 체험할 수 있도록 4D영상관, 유물 및 신비한 나라 대가야 체험관, 대가야 탐방 숲 길 등의 볼거리가 있다. 가야는 기원 전후부터 대가야가 신라에 흡수된 562년까지 존재했던 연맹체로서 우수한 철기 문화를 바탕으로 독자적인 대외 교류를 추진하였으며, 가야금과 같은 훌륭한 문화유산을 남겼다. 최근 가야에 대한 관심이 증대되면서 고구려, 백제, 신라 등의 '3국 시대'가 아닌 가야를 포함한 '4국 시대' 사관에 대한 연구 조사가 활발히 진행되고 있다. 고령군은 가야 문화권에 속해있었으며, 더 나아가 대가야의 중심 도읍지로서 가야시대의 유물과 유적이 많이 출토 되어지고 있다. 대가야의 도읍지로서 가야 문화의 중심 지주적 역할을 하였고, 나아가 가야문화제 행사교류 및 학술적, 사료적 가치 가야문화권의 재정비, 가야문화의 복원 및 전파를 하고자 대가야의 중심 도읍 고령군에 '대가야 역사 테마 관광지'를 설립하게 되었다."
경상북도 고령군 대가야읍 주산순환길 147,,35,0,A02,A0201,A02010800,297986,12,20071127184658,http://tong.visitkorea.or.kr/cms/resource/43/1967243_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1967243_image3_1.jpg,128.266445445,35.7329933639,6,20220613164119,19675,3,,관음사(고령),40136," 번화한 주택 속에 자리 잡은 사찰, 관음사   번화한 주택이 즐비한 속세의 한 공간, 그 자리에 구고구난의 관세음보살도량으로서 세속의 번잡함을 모두 포용할 듯 자리한 고령지역의 포교당 관음사. 시끌벅적한 도시속의 각종 소음을 뒤로 하며 조심조심 입구를 들어서다 종각 너머 아이들의 재잘거리는 소리에 흠칫 놀란다.그곳엔 천불전이란 현판과 선재유치원이란 간판이 함께 걸려 있다. 고령지역의 일반인들을 위한 포교활동을 펼치면서 아이들의 교육도 겸하고 있다고 했다. 천불전에서 쏟아져 나오는 아이들의 천진난만한 얼굴에서 관음보살의 모습을 찾는다. 1911년에 합천 해인사의 포교당으로 창건되었으며, 당시에는 봉두동에 있었다. 그 뒤 1956년에 동화사 말사로 등록하였고, 1990년대 초에 종운스님이 천불전 등을 지어 오늘에 이르고 있다.   관음사의 보유 문화재에 대하여   관음사의 경내에는 관음보살을 주불로 봉안하고 있는 관음전을 중심으로 칠성각과 산신각, 천불전 겸 유치원, 종각 그리고 요사 2동이 있다. 관음전 안에는 아미타후불탱과 신중탱 그리고 칠성각에는 칠성탱이 있다. 이들 불화들은 모두 해인사 산내암자인 백련암과 국일암에서 옮겨온 것이다. 그 외에 역사를 알만한 기록은 따로 없으며 현재 주지는 지선스님이 주석하고 있다."
