addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 구미시 봉곡로18길 30 봉곡테마공원화장실,,35,,A02,A0202,A02020700,2902633,12,20221109100956,http://tong.visitkorea.or.kr/cms/resource/01/2902601_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2902601_image3_1.jpg,128.3140019289,36.1510051444,6,20221109101025,0,4,,봉곡테마공원,39207.0,"봉곡테마공원은 경상북도 구미시 봉곡동에 있다. 도심 속에 있지만, 수목이 우거져 자연 친화적인 느낌을 주는 공원이다. 여름철엔 분수를 운영하며 어린이 놀이터, 교통교육장, 배드민턴장, 농구장, 산책로 등이 갖추어져 있다. 한적하게 산책하거나 잠시 쉬어가기 제격이다. 북구미IC에서 가깝고, 주변에 금오산도립공원과 금오랜드가 있다."
경상북도 구미시 금오산로 419,(남통동),35,0.0,A02,A0203,A02030600,2800082,12,20211216023016,http://tong.visitkorea.or.kr/cms/resource/99/2800099_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2800099_image2_1.jpg,128.3071787206,36.108415417,6,20211216023442,0,4,,금오산케이블카,39309.0,"경상북도 구미와 칠곡군, 김천시의 경계를 이루는 금오산은 높이 976.5m에 우뚝 솟은 산세가 빼어난 절경을 자랑한다. 노약자나 등산 초보자라면 쉽게 오를 수 없는 산이지만 케이블카가 설치되어 누구나 부담 없이 그 경치를 눈에 담을 수 있다. 1974년에 개통한 금오산케이블카는 총 길이 805m로 해운사가 있는 산중턱까지 편도 약 6분이 소요된다. 내부에 최대 51명이 탑승할 수 있을 만큼 널찍하고, 최근 설치된 케이블카와 달리 양쪽으로 개방된 창문 덕분에 시원한 바람과 탁 트인 전망을 오롯이 즐길 수 있다. 푸른 산자락과 대비되는 붉은색 외관도 이국적이다. 케이블카가 도착하는 해운사에서 금오산 정상까지는 약 1시간 정도 소요된다. 그러나 깔딱고개로 불릴 만큼 가파른 경사 때문에 신발이나 마실 물 등이 충분히 준비된 상태에서 올라야 한다."
경북 구미시 남통동 산24-5,(남통동),35,0.0,A02,A0203,A02030600,2782890,12,20211129232918,http://tong.visitkorea.or.kr/cms/resource/76/2794576_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2794576_image2_1.jpg,128.3135891978,36.1108124846,6,20211214030140,0,4,,야은역사체험관,39309.0,"고려 말기 성리학자인 야은 길재 선생의 사상과 학문에 대해 사색할 수 있는 곳이다. 역사체험관 이용객뿐만 아니라 잔디광장 등 금오산 도립공원 이용자의 편의들을 위한 휴게 공간 및 테마정원이 조성되어 있으며 경관석 및 너럭바위, 야은 길재 선생상 등 특화 시설물도 있다.  야은 길재 선생은 두 임금을 섬길 수 없다 하여, 고향인 구미로 돌아와 제자를 가르친 성리학의 근간을 이룬 인물로, 길재 선생의 가르침과 청빈의 삶을 엿볼 수 있는 공간이다.  경상북도 기념물 제55호로 지정된 곳이다."
경상북도 구미시 금오산로 434-1,(남통동),35,0.0,A01,A0101,A01011900,2781614,12,20211126195841,http://tong.visitkorea.or.kr/cms/resource/45/2793145_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2793145_image2_1.jpg,128.2988156329,36.1062405109,6,20211213230454,0,4,,도선굴,39309.0,"도선굴은 경상북도 구미시 금오산에 위치한 자연동굴로 도선 대사가 도를 깨우쳤다고 전해지는 장소다. 통일신라의 승려인 도선은 풍수지리설을 처음 도입한 인물로 잘 알려져 있다. 그 외에도 도선굴은 고려의 대각국사와 야은 길재 등이 찾아와 은거할 만큼 절경이지만, 오랜 세월 오르는 길이 없어 바라볼 수밖에 없었다고 한다. 결국 1937년에서야 이를 안타깝게 여긴 당시 구미 면장과 마을 사람들이 힘을 합쳐 통로를 내고 동굴 입구 벽에 기록을 남겨 두었다고 한다. 금오산 도립공원에서 출발해 50분 남짓이면 도선굴에 이를 수 있는데, 오르는 길이 매우 가파르고 미끄러워 주의가 필요하다. 도선굴에서 아래를 내려다보면 멀리 구미공단과 낙동강, 해평면 냉산이 한눈에 들어온다. 동굴에서 나와 오른쪽으로 조금만 걸어 올라가면 28m 높이의 대혜 폭포가 시원스럽게 물줄기를 쏟아낸다."
경상북도 구미시 남통동,,35,0.0,A01,A0101,A01010800,2778472,12,20211124193408,http://tong.visitkorea.or.kr/cms/resource/08/2795308_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2795308_image2_1.jpg,128.3070231525,36.109345864,6,20220720145006,0,4,,대혜폭포,,"금오산 대혜골의 해발고도 약 400m 지점에 있는 폭포로, 높이는 28m이다. 폭포수가 떨어지는 소리가 금오산을 울린다 하여 명금폭포(鳴金瀑布)라고도 불린다. 폭포 아래에 형성된 넓은 소(沼)는 하늘의 선녀가 내려와 목욕을 즐기는 곳이라 하여 욕담(浴潭) 또는 선녀탕이라고 한다. 조선시대 인조 때의 학자 여헌 장현광의 문도들이 연중행사처럼 폭포를 찾아 목욕을 즐기고 시회)를 가졌다고 전해진다. 폭포 옆 암벽에는 욕담이라는 예서체 글자가 새겨져 있는데, 장현광의 문도 중 한 사람인 김공이 폭포 근처 도선굴 아래에 움막을 짓고 학문을 닦다가 새긴 것이라 한다. 대혜폭포 오른쪽으로 펼쳐진 절벽의 위태로운 벼랑길을 따라가면 신라 말의 고승 도선이 수행했다고 알려진 천연동굴 도선굴이 있다."
경상북도 구미시 남통동,(남통동),35,0.0,A01,A0101,A01011800,2778450,12,20211124191410,http://tong.visitkorea.or.kr/cms/resource/85/2795285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2795285_image2_1.jpg,128.3070231525,36.109345864,6,20221201151947,0,4,,금오저수지 (금오산저수지),39309.0,"금오산도립공원 내에 있는 1종 저수지로, 금오산 정상 부근에 형성된 고위 평탄면에서 내린 빗물 등이 북쪽 계곡을 따라 모이고, 명금폭포를 지난 물이 계류를 이루어 흐르다가 모이는 곳이다.  주변 둘레 길이는 약 4㎞이며, 여기서 시작된 금오천이 낙동강으로 흘러간다. 구미시민의 선유장으로 유명하며, 낚시는 금지되어 있다. 주변에는 경상북도 자연환경연수원과 경상북도 교육연수원, 경북외국어고등학교, 금오산도립공원 야영장, 올림픽기념국민생활관, 구미시립민속관, 시민체육공원, 구미여자중학교, 금오랜드 등의 시설이 있다."
경상북도 구미시 산동읍 강동로 730,,35,0.0,A01,A0101,A01011800,2762714,12,20211026222922,,,128.468096035,36.1717445134,6,20221122180000,0,4,,문수저수지,39160.0,"문수 저수지는 경북 구미시 산동읍에 자리 잡고 있다. 1945년 조성되었으며, 인가 면적은 42만㎡이다. 여러 어종을 낚을 수 있어 낚시객들의 방문이 잦았다. 하지만 2021년 10월 현재 낚시 금지 구역이 되었으며, 수경시설과 조경시설 등을 조성 중이다. 저수지는 구미IC, 군위IC와 가까운 거리에 있다. 주변에는 골프존카운티 구미, 구미 컨트리클럽이 있다."
경상북도 구미시 장천면 장천오로3길 7,,35,0.0,A01,A0101,A01011800,2762707,12,20211026222457,,,128.5269573411,36.1771061043,6,20211102024900,0,4,,오로저수지,39162.0,"오로저수지는 경북 구미시 장천면에 자리 잡고 있다. 여러 어종이 서식하고 있어 많은 낚시객이 방문했지만, 2021년 10월 현재 낚시 금지 구역으로 지정됐다. 이 때문에 드라이브를 하거나 자전거를 타며 풍경을 감상하는 사람이 많다. 저수지는 군위IC와 가깝고, 주변에 구미 CC, 문수 산림욕장이 위치해 있어 연계 관광에 나서기 수월하다."
경상북도 구미시 고아읍 원대로 227,,35,0.0,A02,A0202,A02020600,2757070,12,20211014022821,http://tong.visitkorea.or.kr/cms/resource/69/2757069_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2757069_image2_1.jpg,128.3216839872,36.1722889758,6,20211014022821,1,4,,쥬쥬동산,39145.0,"쥬쥬 동산은 경북 구미시 고아읍에 자리 잡은 동물원으로 파충류, 조류, 포유류, 유인원 등의 다양한 동물과 교감할 수 있는 곳이다. 2015년 교육부가 관리 감독하는 체험학습 중심의 교육 프로그램을 운영되고 있는 곳으로 파충류관, 양떼목장, 거북이 토끼 체험관, 초식 동물관, 유인원관, 호랑이관 등으로 나누어져 있다. 전문 사육사가 동물의 특성과 생태 등에 대해 해설을 진행하는 곳으로 초식동물에게 직접 먹이를 주는 체험도 가능하다."
경상북도 구미시 박정희로 155,(사곡동),35,0.0,A02,A0202,A02020100,2757058,12,20211014022126,http://tong.visitkorea.or.kr/cms/resource/50/2757050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2757050_image2_1.jpg,128.3513946614,36.0936595721,6,20211021013417,0,4,,새마을운동테마공원,39332.0,"새마을운동 테마공원은 대한민국의 근현대사와 함께한 새마을운동의 가치를 계승 발전시키고자 건립된 복합문화공간이다. 247,000㎡ 부지에 조성되어 있으며 태동관은 1960년대를 전후로 겪은 보릿고개의 굶주림과 1970년대 새마을운동이 활발하게 전개되어 변화된 모습을 생생하게 전시하고 있다. 역사관은 1980년대 이후 새마을 운동의 성장기를 그리고 세계화관은 도움받는 나라에서 도움을 주는 나라로 성장한 우리나라 역사를 소개하고 있다. 체험시설을 통해 새마을 운동을 직접 경험할 수 있는 것도 의미 있다"
