addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 군위군 치산효령로 1150,,35,,A01,A0101,A01010500,2815446,12,20220408105710,,,128.6831431965,36.0907188148,6,20221207172622,0,5,,사유원,39062,"나를 마주하다, 내 안의 숲 사유원 사유원은 오랜 풍상을 이겨낸 나무와 마음을 빚은 석상, 아름다운 건축물이 함께하는 고요한 사색의 공간이며 단순한 수목원 관람에서 한발 더 나아가 원내를 거닐며 자아를 돌아보고 깊이 생각하게 하는, 진정한 '사유'의 정원이다.  건축가 승효상, 알바로 시자, 최욱과 더불어 조경가 정영선과 서예가 웨이량 등 각 분야의 전문가들이 사유원 조성에 참여하였으며 대표 공간으로는 소요헌과 명정, 풍설기천년 등이 있다.
사유원은 사전 예약제로 운영되고 있으며, 사유원 홈페이지를 통해 예약 가능"
경상북도 군위군 삼국유사면 화북1길 12,,35,0.0,A02,A0202,A02020700,2757127,12,20211014182106,http://tong.visitkorea.or.kr/cms/resource/22/2757122_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2757122_image2_1.jpg,128.7730203025,36.1285578635,6,20220411152825,0,5,,일연공원,39057,"일연공원은 경북 군위군 삼국유사면에 자리 잡고 있다. 군위댐 하류에 조성된 이곳은 차박을 즐기는 사람과 물놀이를 즐기는 가족단위 여행객이 많다. 또한 절벽에서 떨어지는 일연폭포의 폭포수는 장관이다. 삼국유사와 관련된 볼거리들이 많고 산책로는 유모차나 킥보드를 이용하기에도 불편이 없도록 조성해 놓았다. 공원은 운동 시설이 갖춰져 있으며 야생화 화원 등을 갖춘 산림 생태지구와 해오름광장, 역사 문화지구, 습지생태지구로 구성돼 있다. 공원 내 취사나 캠핑은 금지돼 있지만 수심이 얕아 물놀이하기 좋고 노지 캠핑을 즐기는 사람들도 많다."
경북 군위군 부계면 창평리 1547,,35,0.0,A01,A0101,A01010500,2757117,12,20211014181048,http://tong.visitkorea.or.kr/cms/resource/13/2757113_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2757113_image2_1.JPG,128.6778325146,36.0921352221,6,20211014181048,1,5,,창평지친환경생태공원(창평지),,창평지 친환경 생태공원은 경북 군위군 부계면 창평리에 있는 친환경 생태 공원이다. 농업용수 공급을 위한 인공 저수지인 창평지 주변을 생태 탐방로로 조성 1.8km를 연결해 놓았다. 생태탐방로는 자연 친화적인 상태를 유지하기 위해 나무 데크를 사용했으며 저수지 수목을 최대한 보존하면서 설치하였다. 저수지를 가로지르는 산책로는 주변 경관이 아름다워 많은 이들이 찾는다. 특히 반딧불을 연상시키는 레이저 야간 조명은 창평지의 자연 경관을 한층 더 돋보이게 해준다. 저녁 데이트 코스로도 좋다.
경상북도 군위군 군위읍 용대리238-7,,35,0.0,A02,A0201,A02010900,2757084,12,20211014025053,http://tong.visitkorea.or.kr/cms/resource/78/2757078_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2757078_image2_1.jpg,128.6006187064,36.2323400809,6,20220711165425,3,5,,김수환 추기경 사랑과 나눔공원,,"1922년 옹기장수의 아들로 태어난 김수환 추기경의 삶을 돌아볼 수 있는 공간이다. 김수환 추기경의 어린 시절 가족과 함께 살던 집을 복원해 놓은 곳으로 초가삼간 옛집의 모습은 좁은 툇마루, 낮은 처마가 정감을 더해주는 소박한 느낌이다. 한국 최초의 추기경이며 종교와 관계없이 많은 사람에게 존경받는 역사적인 인물이지만 어린 시절엔 작은 초가집에서 태어나고 자랐다는 것을 보여주고 있다. 입구에는 옹기 가마터가 있고 평화의 숲과 십자가의 길이 있는 사랑과 나눔의 공원과도 이어져 있다. 추기경의 삶과 정신을 회고해 볼 수 있는 의미 있는 공간으로 가까이 이어진 기념관에는 추기경님의 조형물과 함께 살아온 역사, 사제복 등도  직접 볼 수 있게 꾸며져 있다."
경상북도 군위군 군위읍 동서길 49,,35,0.0,A02,A0203,A02030600,2757076,12,20211014023812,http://tong.visitkorea.or.kr/cms/resource/73/2757073_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/73/2757073_image2_1.JPG,128.5677576168,36.2362001424,6,20221118150141,0,5,,사라온이야기마을,39014,"사라온 이야기 마을은 경상북도 군위군 군위읍에 자리 잡고 있다. 우리 선조들이 살아온 역사와 문화, 지혜와 슬기를 체험하는 마을로 적라촌, 적라청, 적라골 3가지 테마로 나누어 재현하고 있다. 적라촌은 마을 공동체 속에서 살아가는 민중들의 이야기를, 적라청은 마을의 분쟁을 다스리고 백성들의 안전을 지키는 관리들의 이야기를, 그리고 적라골은 왜적의 침략에 맞서는 용맹한 의병들의 이야기를 주제로 하고 있다. 사라온 이야기 마을은 이처럼 유물로서의 전통이 아닌 우리 조상들이 살아온 양식을 엿볼 수 있도록 꾸몄다. 또한 현재 우리 생활에 녹아 있는 선조들의 삶의 양식을 체험 및 공연 프로그램 등 다양한 콘텐츠를 바탕으로 느끼고 체험할 수 있다."
경상북도 군위군 부계면 원효길 576,,35,0.0,A01,A0101,A01010500,2736697,12,20210826200405,http://tong.visitkorea.or.kr/cms/resource/06/2737006_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2737006_image2_1.jpg,128.6970633102,36.0234350388,6,20210827022825,1,5,,팔공산하늘정원,39065,"팔공산 정상 주변에 자리잡고 있는 하늘정원은 6,000㎡의 넓은 공간에 다양한 쉼터를 조성해, 산행을 즐기는 사람들에게 휴식 공간을 제공하고 있다. 주변에 오도암, 비로봉, 동봉, 서봉 등 팔공산 봉우리들에 쉽게 접근할 수 있는 곳으로, 팔공산 정상 순례길의 출발지와 종착지 역할을 하고 있다."
경상북도 군위군 산성면 산성가음로 711-9,,35,0.0,B01,B0102,B01020200,2704121,12,20210118232918,http://tong.visitkorea.or.kr/cms/resource/75/1873775_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1873775_image3_1.jpg,128.6949355746,36.1269704755,6,20220516150618,2,5,,화본역,39058,"화본역은 경상북도 군위군에 위치한 중앙선의 역으로 열차를 이용하는 이용객보다는 관광지로 유명한 곳이다. 전국에서 가장 아름다운 간이역 중 하나로 뽑힌 곳으로 군위를 대표하는 여행지며, 영화, 예능 등 다양한 프로그램에도 등장하는 곳이다. 또한 일제시대의 아픈역사를 품고 있는 역이다."
경상북도 군위군 의흥면 일연테마로 100,,35,0.0,A02,A0202,A02020600,2703799,12,20210114223419,http://tong.visitkorea.or.kr/cms/resource/90/2703790_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2703790_image2_1.jpg,128.7012896086,36.1608778549,6,20220425154411,0,5,,군위 삼국유사 테마파크,39050,삼국유사 테마파크는 삼국유사(三國遺事) 속 콘텐츠를 시각화한 다양한 전시‧조형물과 교육‧체험 프로그램들을 통해 관람객들에게 우리 민족의 정체성을 확립시키면서 볼거리와 즐길 거리를 동시에 제공해 주는 문화와 관광이 한데 어우러진 복합 문화 공간이다.
경상북도 군위군 우보면 미성5길 58-1,,35,0.0,A02,A0203,A02030600,2681409,12,20201111182706,,,128.6645450976,36.1797805789,6,20220519194322,0,5,,혜원의 집,39045,2018년에 개봉해 150만 관객을 모았던 영화 리틀 포레스트에서 주인공 혜원(배우 김태리)의 집이다. 자전거 대여도 가능하다.
경상북도 군위군 산성면 산성가음로 722,,35,0.0,A02,A0203,A02030600,2668070,12,20200819235900,,,128.696674286,36.1278370758,6,20220916133535,1,5,,엄마아빠어렸을적에,39058,"엄마, 아빠 어렸을 적에는 화본역 인근에는 폐교된 옛 산성중학교를 리모델링하여 1960, 70년대의 생활상 등을 체험할 수 있도록 한 추억의 학교 테마 박물관이다.추억의 학교에는 4050여 년 전의 시골학교 교실을 비롯해 이발소, 사진관, 소리사, 만화방, 문방구, 구멍가게, 연탄가게 등이 그대로 재현되어있다. 옛날교복, 옛날오락, 승마 등 여러 체험요소가 많아 추억여행이나 승마체험, 촬영지 등으로 관광객들이 많이 찾는 군위의 관광지이다."
