addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 김천시 증산면 수도리 24,,35,0,A01,A0101,A01010800,2782495,12,20211129185844,http://tong.visitkorea.or.kr/cms/resource/76/2795376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2795376_image2_1.jpg,128.011531056,35.8640905679,6,20221130112039,0,6,,용추폭포 (김천),39695,"경상북도 김천시 증산면에 위치한 용추는 그 모양이 절구처럼 생겼다 하여 구폭으로도 불렸다. 지금도 폭포 상류에 구폭이라는 각자가 새겨져 있다. 예부터 마을 사람들은 절구처럼 생긴 폭포 안에 용이 산다고 믿었다. 용은 으레 비를 몰고 다니는 존재라고 여겨 가뭄이 들면 용추에서 기우제를 지냈고, 그 후에는 반드시 비가 내렸다고 한다. 근처에 와룡암이 자리한 것도 이 용이 승천한 바위라는 믿음 때문이다. 구흘구곡 최고의 풍광으로 꼽히는 용추폭포는 17m 높이에서 쏟아지는 시원스러운 물줄기가 한여름 무더위도 잊게 한다. 잠시 그 아래 앉아 사방으로 튀는 물방울을 맞고 있으면 금세 온몸이 서늘해진다. 피서객들은 물론 웅장한 대자연의 상쾌함을 온몸으로 즐기고 싶은 이들에게도 추천할 만한 곳이다."
경상북도 김천시 증산면 평촌리 산78,,35,0,A01,A0102,A01020200,2782492,12,20211129185522,http://tong.visitkorea.or.kr/cms/resource/60/2795360_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2795360_image2_1.jpg,128.0157051798,35.88273575,6,20221208093126,0,6,,와룡암,39695,"물속에 가로로 길게 자리한 암석이 마치 누워있는 용의 모습과 같다고 하여 와룡암이라 이름 붙었다. 현재 와룡암으로 알려진 곳은 실제 와룡암보다 180m 위에 자리한다. 이는 원래 와룡암 자리에 있던 각자가 거센 물줄기에 오랜 세월 깎이면서 지워지자, 후대에 지금의 자리에 새롭게 글자를 새긴 것이라 한다. 글자도 기존과 달리 왼쪽에서 오른쪽으로 각자되어 있다. 널찍한 바위와 짙푸른 나무, 시원스러운 물줄기가 시민들은 물론 관광객들도 일부러 찾아올 만큼 아름다운 풍광을 자랑한다. 이른 아침이나 사람의 발길이 드물 때는 그윽한 계곡 분위기가 마치 속세를 떠나 무릉도원을 찾아온 기분마저 들게 한다. 근처 용추폭포와 함께 무흘구곡 최고의 피서지로 꼽힌다."
경상북도 김천시 부항면 파천2길 480,,35,0,A01,A0101,A01010500,2781627,12,20211126200633,http://tong.visitkorea.or.kr/cms/resource/78/2793178_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2793178_image2_1.jpg,127.9181623799,36.0376052872,6,20221116110221,0,6,,김천 물소리 생태숲,39688,"경상북도 김천 삼도봉 자락에 위치한 물소리 생태 숲은 2017년 시민들을 위한 산림 휴식 공간으로 처음 문을 열었다. 맑은 부항천의 최상류가 흐르는 이곳은 예부터 계곡 물소리가 워낙 커서 옆 사람과 대화가 어려울 정도였다고 한다. 물소리 생태 숲으로 이름 붙여진 것도 그러한 이유 때문이다. 계곡을 중심으로 약 5만㎡의 생태 숲이 펼쳐져 있는데, 아이들이 걷기 좋은 완만한 산책길부터 제법 가파른 계단, 다양한 테마의 정원과 출렁다리 등이 설치돼 있다. 특히 출렁다리가 설치된 골짜기는 과거 산이 높아 사람의 접근이 어려웠다고 한다. 탐방로 한쪽에는 화전민의 집도 복원해 특별한 볼거리가 된다. 입구 방문자 센터에는 생태숲이 만들어지게 된 과정을 다양한 체험을 통해 살펴볼 수 있는 전시공간과 방문자들을 위한 휴식공간이 마련돼 있다. 미리 전화로 예약하면 유아들을 위한 숲 체험 프로그램도 참여할 수 있다."
경상북도 김천시 대항면 직지사길 118-50,,35,0,A01,A0101,A01010500,2781610,12,20211126195447,http://tong.visitkorea.or.kr/cms/resource/02/2794702_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2794702_image2_1.jpg,128.0113740871,36.1193865556,6,20211214034724,0,6,,김천친환경생태공원,39565,"직지사 인근에 자리한 김천 친환경 생태공원은 파릇파릇한 잔디밭은 물론 선인장 온실과 생태 연못, 철쭉 동산 등으로 구성되어 햇살 좋은 날 여유롭게 쉬어가기 좋은 곳이다. 공원에 들어서면 드넓은 잔디광장이 먼저 눈에 들어오는데, 곳곳에 사막 도마뱀 조형물이 자리해 이색적인 풍경을 즐길 수 있다. 투명한 유리 외관이 인상적인 선인장 온실은 한겨울에도 초록빛 가득한 풍경이 넘쳐난다. 온실 안에는 150속 450종의 총 600개의 선인장과 다육식물들이 심어져 있다. 매년 봄이면 연홍색 꽃이 피는 철쭉동산을 만날 수 있다. 산철쭉과 백철쭉, 영산홍, 자산홍이 한데 어우러진 철쭉동산은 5월이면 흐드러진 꽃밭을 이룬다. 그 옆에는 정겨운 장독대와 공원이 한눈에 내려다보이는 전망대와 이국적인 풍차가 볼거리를 더한다.  가족끼리 연인끼리 산책하기 좋은 곳이다."
경상북도 김천시 해오름1로 46,(율곡동),35,0,A02,A0203,A02030600,2766604,12,20211102222457,http://tong.visitkorea.or.kr/cms/resource/82/2766982_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2766982_image2_1.jpg,128.1744233391,36.1256415861,6,20211103011124,0,6,,애니멀필드,39660,"애니멀필드는 경상북도 김천에 있다.다양한 동물들을 접할 수 있는 동물체험장이다. 포유류, 조류, 파충류, 어류 등 약 100여 종의 동물들이 살고 있다. 야외, 실내로 구성되어 있으며 가까운 거리에서 동물들의 행동을 관찰하며 직접 보고 듣고 만질 수 있는 특별한 공간이다."
경상북도 김천시 아포읍 대성지1길 593-43,,35,0,A01,A0101,A01011800,2762701,12,20211026222048,,,128.2702233066,36.1211438485,6,20221125134949,0,6,,대성저수지,39677,"대성저수지는 경북 김천시 아포읍에 자리 잡고 있다. 저수지에는 붕어, 잉어, 자라, 베스 등 다양한 어종이 서식하고 있어 낚시객들의 방문이 잦다. 낚시를 하지 않더라도 드라이브를 하다가 풍경을 감상하기에도 좋다. 저수지는 김천JC와 가까운 거리에 있으며, 주변에 금오산도립공원, 허브하우스 금오산 힐링캠프가 위치해 있어 연계 관광에 나서기 수월하다."
경상북도 김천시 남면 오봉리 1218,,35,0,A01,A0101,A01011800,2753954,12,20211006231729,http://tong.visitkorea.or.kr/cms/resource/05/2754105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2754105_image2_1.jpg,128.2363568292,36.1223542023,6,20221115094153,0,6,,오봉저수지,39664,오봉저수지는 금오산 아래 자리 잡고 있다. 이곳은 여름이면 수상스키를 즐기려는 사람들과 인근의 낚시객들이 많이 찾아온다. 산책로가 조성되어 있어 누구나 쉽게 저수지를 둘러볼 수 있다. 중앙에 위치한 정자에서는 저수지의 시원한 풍광을 감상할 수 있다. 저수지 인근에는 갈항사지 석조여래좌상 등 문화재가 있어 연계 관광에 나서기에도 수월하다.
경상북도 김천시 증산면 평촌리 820,,35,0,A01,A0101,A01010900,2753945,12,20211006230125,http://tong.visitkorea.or.kr/cms/resource/40/2754140_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2754140_image2_1.jpg,128.0141327791,35.8943899549,6,20221115105250,0,6,,증산계곡,39695,"무흘구곡은 조선 중기의 학자 한강 정구(15431620)가 맑은 물과 기암괴석 등의 절경을 읊은 시의 아홉 개 계곡을 말한다. 김천에서 성주까지 흐르는 하천 중 제1곡 봉비암, 제2곡 한강대, 제3곡 무학정, 제4곡 선바위는 성주에 속해 있다. 제5곡 사인암, 제6곡 옥류동, 제7곡 만월담, 제8곡 와룡암, 제9곡 용추폭포는 김천에 속해 있다. 이 가운데 제7곡부터 제9곡이 증산계곡에 있으며, 용추폭포의 물줄기는 탄성을 자아낸다."
경상북도 김천시 신음동 1258-6,,35,0,A02,A0206,A02060300,2753912,12,20211006223318,http://tong.visitkorea.or.kr/cms/resource/81/2754081_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/2754081_image2_1.jpg,128.1161033817,36.1303122137,6,20211117220535,0,6,,조각공원(강변조각공원),39548,"조각공원은 직지천변의 옛 우시장 땅에 있다. 이곳은 18,500㎥의 부지에 여러 형태의 조형물을 설치하였다. 중앙의 분수대 및 기념탑을 중심으로 조형 조각물, 정자, 수목 등이 배치되어 있다. 이 덕분에 이곳을 찾는 사람들은 갖가지 작품을 감상하며 여유를 즐긴다. 조각공원에서 강변공원까지 마련되어 있는 강변도로를 따라 산책에 나서는 사람도 많다."
경상북도 김천시 강변공원길 169,(교동),35,0,A02,A0202,A02020100,2753909,12,20211006223038,http://tong.visitkorea.or.kr/cms/resource/79/2754079_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2754079_image2_1.JPG,128.0905362439,36.1289257958,6,20221116144442,0,6,,강변공원,39529,"강변공원은 김천을 대표하는 산책로이자 휴식 공간이다. 이곳은 20,000㎡의 면적에 주차장, 놀이마당, 다목적광장, 배드민턴장 등 각종 편의시설이 마련되어 있다. 김천 시민들로부터 기증받은 수목류와 돌을 이용해 조경 시설을 만들었다. 강변공원은 가을철에 접어들면 핑크뮬리가 장관을 이룬다. 이 덕분에 김천 시민은 물론 전국 각지에서 찾아온 관광객으로 인산인해를 이룬다."
