addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 문경시 산북면 서중리,368,35,,A01,A0101,A01011800,2912212,12,20221118104055,http://tong.visitkorea.or.kr/cms/resource/98/2912198_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2912198_image3_1.jpg,128.2532770255,36.6343461107,6.0,20221118104117,0,7,,주암정,36910,"주암정은 경상북도 문경시 산북면 서중리에 있다. 조선시대 유학자였던 주암 채익하 선생을 기리고자 세웠다. 문경에서 아름다움 경치를 지닌 정자 가운데 하나로 작은 연못 위에 배 모양을 띤 바위 위에 정자가 있어 주암정이라 불린다. 연못에는 연꽃이 만개하고 정자 주변에는 능소화가 피어난다. 이 덕분에 여름철이 되면 많은 관광객의 발길이 모인다. 점촌함창IC에서 가깝고, 주변에 문경철로자전거 진남역과 고모산성이 있다."
경상북도 문경시 봉서2길 201,,35,,A02,A0201,A02010800,2912170,12,20221118102813,http://tong.visitkorea.or.kr/cms/resource/58/2912158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2912158_image3_1.jpg,128.2274183592,36.6294906321,6.0,20221118102847,1,7,,봉천사,36929,"봉천사는 경상북도 문경시 호계면 봉서리에 있다. 해발 360m의 나지막한 월방산에 있다. 사찰이 있는 곳은 봉황이 둥지를 틀어 알을 품고 만년의 세월을 인고했다 하여 봉황대라 부르는 곳이다. 매년 9월부터 10월까지 연보랏빛 개미취가 지척에 피어 장관을 연출한다. 이 덕분에 근사한 사진을 찍기 좋다. 2022년에는 제1회 봉천사 개미취 축제가 열려 많은 사람이 찾았다. 점촌함창IC에서 가깝고, 주변에 문경철로자전거 진남역과 고모산성이 있다."
경상북도 문경시 문경읍 새재로 1039,,35,0.0,A02,A0201,A02010300,2753508,12,20211006182732,,,128.0750918429,36.7703661248,6.0,20211209013736,1,7,,문경새재제1관문주흘관,36919,"문경새재 제1 관문 주흘관은 경북 문경시 문경읍에 자리 잡고 있다. 문경새재가 시작하는 곳에 있는 이곳은 영남 지방에서 서울로 가는 관문이자 군사적 요새지다. 왜군을 막기 위해 숙종 34년(1708)에 축조했으며, 현재 사적 제147호로 지정된 곳이다. 문경새재도립공원 입구에서 주흘관까지 도보로 이동할 수 있으며, 전동차를 이용할 수도 있다. 전동차를 이용할 경우 문경새재 오픈세트장에서 하차한다. 연풍IC와 문경새재IC에서 가깝고, 인근에 조령산 자연휴양림이 있다."
경상북도 문경시 마성면 문경대로 1356-1,,35,0.0,A02,A0205,A02050500,2727507,12,20210727203446,,,128.1286263106,36.6599381003,6.0,20221212163824,0,7,,문경오미자테마터널,36923,"오미자테마터널은 문경시 전남교반의 고모산성 아래에 위치하고 있으며, 점촌과 문경 사이 석탄을 실어나르는 용도로 이용되었던 석현터널을 개발하여 540m 길이의 관광목적 터널로 재탄생 시켰다. 반짝반짝 빛나는 별빛터널과 신기한 트릭아트, 문경 지역의 특산물인 오미자와 도자기 등 판매 공간과 문화공간을 조성하여 많은 관광객들이 찾고 있다. 연중 평균 1518도를 유지하기 때문에 겨울에는 따뜻하고 여름에는 시원하다."
경상북도 문경시 문경읍 문경대로 2430,,35,0.0,A02,A0202,A02020100,2720027,12,20210608204205,,,128.0820864593,36.7423666864,6.0,20220405135152,0,7,,문경새재 반려동물 힐링센터,36919,"반려동물들이 신나게 뛰어놀 수 있는 운동장과 편하게 휴식을 취할 수 있는 공간, 보호자분들의 카페인 충전을 위한 카페, 그리고 강아지와 사람이 함께 즐길 수 있는 글램핑까지 모두 '문경새재 반려동물 힐링센터'에서 이용 가능합니다. 1급, 3급 훈련사가 상주하고 있어 반려동물과 함께 편하게 여행하실 수 있습니다."
경상북도 문경시 가은읍 대야로 2441,,35,0.0,A05,A0502,A05020900,2717487,12,20210518014203,,,128.060507689,36.6495685887,6.0,20221013091419,0,7,054-571-2441,카페 가은역(가은팜스테이션),36996,"문경은 과거 은성 탕관이란 대형 광산이 있던 산업도시였다. 가은역은 은성탄광의 석탄을 운송하던 산업철도의 종착역이었다. 2004년 철도가 폐선되면서 역도 폐역이 됐다. 근대문화유산(등록문화제 제304호)인 역사가 방치되고 있는 것을 안타까워했던 마을 주민들의 노력으로 폐역은 카페 가은역으로 탈바꿈했다. 2018년 관광두레 사업체로 선정된 뒤 입소문을 타고 퍼져 외지에서 많은 관광객이 찾아오는 문경의 관광명소가 됐다. 창업자들은 지역 특산품 사과를 활용하여 사과 밀크티부터 사과 버터, 사과 쿠키, 사과 콩포트 등을 개발했는데, 카페 가은역을 찾으면 반드시 맛보아야 하는 필수 메뉴로 인식되고 있다. 

 상품명 : 문경 사과버터 (4개 세트 14,000원)
 문경의 특산물인 사과로 만든 저당 스프레드
 흔한 사과잼이 아닌 유니크한 사과버터
 갓 구운 스콘. 토스트에 샌드위치. 요거트에 스테이크 소스로 다양하게 즐길 수 있다.
 無 보존제. 無 첨가물. 15미만의 설탕 함유로 건강하게 먹을 수 있다.
 100 우유버터 사용
 45g 미니병 4개가 1세트
 냉장보관 1개월. 첨가물이 없어 개봉 시 빠른 시일 내에 섭취 권장
 사탕수수로 만든 친환경 박스에 담아드립니다. (선물상자 무료제공 이벤트 중)

 상품명 : 문경 사과쿠키(3,000원)
 문경 사과가 가득 들어가 사과의 달콤한 맛과 시나몬 향이 어우러진 수제쿠키
 사과를 직접 깎아서 말려서 분쇄하여 쿠키 반죽에 가득 담아 겉은 바삭하고 속은 쫀득합니다. 커피 또는 우유. 홍차와 잘 어울리는 티 쿠키이다.

 상품명 : 문경 사과콩포트 (7,000원)
 문경의 대표 특산물인 사과와 오미자의 콜라보레이션
 사과와 오미자의 절묘한 비율로 졸여낸 사과통조림으로 건져먹는 사과는 아삭하고 사과오미자주스는 음료처럼 즐길 수 있다.
 사과를 건져 샌드위치나 요거트에 넣어 먹고, 콩포트즙은 탄산수를 더하여 에이드로 즐기면 좋다.
 재활용하기 좋은 예쁜 병에 담았으며 2개 1세트  포장박스  민트색 쇼핑백 가격이다. 고객이 리본장식을 원하는 경우 무료 제공"
경상북도 문경시 문경읍 문희로 14,,35,0.0,A02,A0203,A02030600,2717486,12,20210518013727,,,128.1084704662,36.7334293086,,20220520101201,0,7,010-2548-6627,엘오알오,36917,"주식회사엘오알오 20대부터 30대 초반의 젊은이 4명이 창업했다. 회사이름엘오알오는 지역의 낭만(Local Roman)이란 뜻을 담고 있다. 젊은이들답게 좋아하고 해보고 싶은 일을 한다라는 단순하지만 분명한 지향점을 갖고 있다. 이들은 문경에 일정 기간 머물거나 살려는 계획이 있는 사람들에게 각종 도움을 주는 스테이 컨설팅을 제공한다. 카페 가은역 내에 문경의 느낌과 멋이 그대로 담긴 아기자기한 소품도 전시한다. 궁전 미용실, 보건 약국, 호돌이 문방구 등 실제로 가은읍에서 영업 중인 문방구, 약국, 미용실들을 테마로 한 기념품을 제작했다.


 상품명 : 문경새재 키링 (9,000원)
문경새재의 감성을 담은 새재의 낮, 밤, 봄 열쇠고리
싱그러운 낮, 고요한 밤, 화려한 봄의 모습을 담아 예쁜 키링으로 제작하여 열쇠고리, 에어팟 고리, 백팩 고리, 지갑이나 자동차 키 고리 등 다양한 활용 가능

 상품명 : 문경새재 도자 마그넷 (8,000원)
새재의 낮과 밤, 그리고 봄의 아름다운 산세와 색을 입은 도자기 마그넷
낮의 산뜻함과 밤의 고즈넉함 그리고 특별히 봄의 화사함까지 담아 산과 흙과 물이 좋은 문경의 사계절을 느낄 수 있다.

 상품명 : 마을매거진엽서 (1,000원)
사진, 인터뷰와 일러스트가 있는 낱장 엽서 형태의 마을 매거진
가은성당, 가은역, 궁전미용실, 문경새재, 보건약국, 욱일주유소, 호돌이 문방구 등 30년 이상 그 자리를 지켜온 공간과 사람의 이야기를 소개한다."
경상북도 문경시 중앙시장길 25,(점촌동),35,0.0,A04,A0401,A04010900,2717485,12,20210518013328,,,128.1971887232,36.5942802128,,20221013093123,0,7,054-554-9036,문화창고 공앤유,36954,"손끝으로 만나는 세상이 안겨주는 기대감과 성취감을 함께 나누고 싶은 문화창고 공앤유협동조합은 문경의 전통시장 안에 자리 잡고 있다. 지역특산물인 오미자를 활용한 상품을 비롯해 각종 천연재료를 활용하여 다양한 공예품을 판매하는 업체다. 지역 드론동호회에서 만난 5명이 자연스럽게 의기투합해 창업했다. 공앤유는 일반적으로 차로 끓여 마시는 오미자를 옷감 염색의 재료로 활용했다. 은은한 색감이 참 고운 오미자로 물들인 스카프, 가방 등의 상품을 개발했고 최근에는 코로나 19 상황을 반영해 오미자 마스크도 만들었다. 그뿐만 아니라 문경의 로컬푸드인 사과와 쌀, 유정란으로 만든 건강 디저트, 사과달빵을 판매하고 있다. 

 상품명 : 오미자 천연 염색 마스크  레이스 마스크 (8,000원  10,000원)
감기와 기침 해소, 천식등 기관지에 효능이 있으며 유기산과 베타카로틴이 풍부해서 면역력을 높여주고 시잔드린의 성분이 염증을 억제하는 역할을 한다는 오미자
직접 피부에 닿고 호흡을 하는 마스크 안감에 오미자 천연 염색을 하여 바이러스 예방에 좋은 마스크이다.

 상품명 : 에코백 (9,000원)
문경의 관광자원(산불됴심, 오미자)을 이미지화하여 에코백에 프린팅한 문경만의 매력을 담은 굿즈 상품

 상품명 : 비타민 보틀
문경의 문화와 특산물을 모티브로 보틀을 제작하여 디톡스와 비타민 섭취에 좋은 말린 과일과 허브를 이용해서 우려먹을 수 있는 차 보틀"
경상북도 문경시 문경읍,,35,0.0,A02,A0202,A02020100,2663845,12,20200717185243,,,128.0744393237,36.7633530284,6.0,20221021160619,1,7,,문경생태미로공원,36919,"2020년 4월개장한 생태미로공원은  문경새재입구에 위치해 있다. 도자기미로, 연인의미로, 돌미로, 생태미로 등 총4개의 테마로 구성 되어있으며 유아 숲속 놀이터, 생태습지, 연못 등 생태 체험이 가능한 공간들로 조성되어 있다. 이외에도 소광장, 포토존 , 전망대 등이 있으며  특히 전망대에 오르면 미로 코스를 한눈에 볼 수있으며 문경새재의 아름다운 풍경도 함께 감상할 수있다."
경상북도 문경시 문경읍,,35,0.0,A02,A0203,A02030600,2657915,12,20200601234103,http://tong.visitkorea.or.kr/cms/resource/27/2659827_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2659827_image3_1.jpg,128.1741841071,36.7309808037,6.0,20220927135946,0,7,,문경단산 모노레일,36912,"전국 최고의 레포츠 체험 관광지 문경에서 백두대간을 둘러볼 수 있는 최장거리(왕복 3.6km)의 모노레일이 펼쳐졌다. 상부위의 평평한 산세가 푸른 하늘에 제단을 펼쳐놓은 것만 같아 옛날 신선들이 하늘에 제사를 올리기 위하여 쌓은 거대한 하늘제단 같다고 전해진 단산은 늘이 맞닿는 곳, 산 좋고 물 좋고, 공기 좋은 곳으로도 유명 하다. 관광·레저공간이 조성되어 있고 아름다운 자연경관을 사방으로 바라볼 수 있는 단산은 드라마 조선생존기를 시작으로 최근 촬영지로도 각광 받고 있으며, 사계절 내내 즐길수 있는 모노레일 이외에도 단산 정상 주변에 마련된 별빛 전망대, 숲속썰매장, 숲속캠핑장, 산악바이크 로드, 오정산 데크길, 돌리네습지 데크길 등 즐길 수 있는 다양한 체험으로 진정한 산악 관광의 메카로 발돋움하고 있다."
