addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 봉화군 명호면 청량산길 113,,35,0,A01,A0101,A01010800,2766609,12,20211102222558,http://tong.visitkorea.or.kr/cms/resource/97/2766997_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2766997_image2_1.jpg,128.912966351,36.7963705375,6,20211103011207,0,8,,청량폭포,36258,"청량폭포는 경북 봉화군 명호면 청량산에 있다.청량산 등산 코스 가운데 3코스를 택하면 청량폭포에 닿는다.청량산은 수려한 자연경관과 기암괴석이 장관을 이루는 한국의 대표적인 명산으로 1982년에 경상북도립공원으로 지정 보존되고 있다. 특히 2007년 3월에는 국가지정문화재 명승 제23호로 지정되어 학술적, 경관적, 역사적 가치를 인정받았다."
경상북도 봉화군 춘양면 남산편1길 18-88,,35,0,A02,A0201,A02010800,2756654,12,20211013233801,,,128.9091432687,36.9307495293,6,20211108201849,0,8,,봉화산사,36216,"봉화산사는 경북 봉화군 춘양면에 자리 잡고 있다. 사찰이지만 홍도라지 조청, 양배추 조청, 민들레 조청, 당귀 조청, 칠 조청 등을 만들어 온라인으로 판매하기도 한다. 수익금은 산골아이들의 장학금으로 지원된다.약 10,000㎡ 규모의 연꽃밭을 비롯해 치유관, 명상카페, 소나무 치유숲, 산책로 등 다양한 시설을 갖추고 있다.춘양시외버스터미널과 가깝고, 인근에 더덕약수관광지가 있다."
경상북도 봉화군 석포면 백천길 263,,35,0,A02,A0201,A02010800,2756121,12,20211013190410,http://tong.visitkorea.or.kr/cms/resource/26/2769526_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/26/2769526_image2_1.png,128.9774998269,37.0653326378,6,20211108190341,0,8,,현불사,36271,"현불사는 경북 봉화군 선포면에 위치한 절이다. 불승종의 총본산으로 1980년에 조성되었다. 생소하지만 불승종은 설송이라는 승려가 1965년 창종했다.
피부병에 효험이 있다는 약수가 나오는 호국정을 비롯해 산식각, 불광전, 설법전, 불광루 등이 갖춰져 있다. 경내에 연못은, 10여년의 기간을 거쳐 조성한 것으로, 현불사에서 기도하는 사람들에게 재물이 모여서 경제적으로 곤궁하지 않도록 염원하는 뜻을 담았다.
불승종 신도가 아니면 출입이 불가능할 수 있으니 사전에 방문이 가능한지 여부를 문의해야 한다. 
현불사를 끼고 있는 백천계곡은 단풍이 유명하다."
경북 봉화군 명호면 도천리 산 343-1,,35,0,A02,A0205,A02050600,2715643,12,20210508012515,,,128.9054565237,36.8695342453,6,20221027092438,1,8,,범바위 전망대,,범바위 지명은 고종때 선비 강영달이 선조 묘소를 바라보며 절을 하다 만난 호랑이를 맨손으로 잡았다는 얘기에서 유래한다. 전망대 옆 바위 위 호랑이 조형물이 세워져 있다. 전망대에서는 낙동강이 만든 물돌이 모습과 그 중심으로 태극 문양을 하며 돌아치는 아름다운 풍경을 조망할 수 있다. 범바위전망대에서는 낙동강을 감싸 안은 황우산의 풍경도 마주할 수 있는데 마치 한반도 모형을 닮은듯 하다. 범바위 전망대에서 35번 국도를 따라 드라이브를 하다 보면 신비의 도로도 마주할 수 있는데 약 80m 정도 착시현상을 보이는 곳이라 하여 신비의 도로로 불린다. 신비의 도로에서는 실제로 오르막길이지만 차를 중립에 놓고 있으면 거꾸로 올라간다고 한다.
경상북도 봉화군 상운면 산정길 84-41,,35,0,A02,A0202,A02020700,2708092,12,20210304223331,http://tong.visitkorea.or.kr/cms/resource/98/2704498_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2704498_image3_1.jpg,128.76861031,36.8718619262,6,20220502164739,0,8,,워낭소리공원,36243,"워낭소리의 이충렬 감독은 2005년 워낭소리의 주인공 최원균 할아버지와 소를 만나 3년여에 걸친 촬영으로 완성한 그의 첫 극장용 장편 다큐멘터리이며, 탄식이 나올 만큼 아름다운 자연의 풍경은 워낭소리를 가장 특별하게 하는 힘이다. 제13회 부산국제영화제(2008) 피프메세나상(최우수다큐멘터리상) 수상과 한국최초 선댄스영화제(2009) 다큐멘터리 경쟁부문 초청으로 주목 받으며 영화 관계자는 물론 영화제를 통해 미리 본 관객들의 입소문으로 2009년 다큐멘터리 최고 기대작으로 떠오른 영화다. 이후 서울독립영화제 2008의 수상과 매진사례를 기록하며 그 뜨거운 입소문의 실체를 확인한 작품이다. 이 워낭소리를 기념하기 위해 만들어진 공원이다."
경상북도 봉화군 명호면 풍호리,,35,0,A02,A0205,A02050100,2674968,12,20201007043541,http://tong.visitkorea.or.kr/cms/resource/65/2674965_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2674965_image2_1.JPG,128.8906229987,36.8267166396,6,20220420173439,0,8,,35번 국도 선유교,,"미슐랭의 관광 가이드북인 그린가이드의 한국편에서 유일하게 별점을 받은 곳으로 알려진 안동봉화태백으로 이어지는 35번 국도의 구간 중 봉화의 가송리에서 청량산까지 이어진 드라이브 길과 신선이 노니는 다리라 하던 선유교가 자리하고 있다. 답답한 마음, 좋아하는 음악과 함께 도로를 달리며 막힌 속을 뻥 뚫고 싶은 날에 떠오르는 곳이다."
경상북도 봉화군 석포면 승부길 1162-5,,35,0,B01,B0102,B01020200,2650620,12,20200328004550,http://tong.visitkorea.or.kr/cms/resource/76/1823576_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/1823576_image2_1.JPG,129.0838258326,36.9937040091,6,20220915101706,0,8,,승부역(봉화),36273,"승부역은 1949년 4월 영암선(영주철암)이라는 이름으로 일대 철도와 역이 착공됐으나 한국전쟁으로 공사가 중단됐다. 휴전 이후 다시 진행돼 1955년 12월에 완공. 1956년 1월 1일 영암선 첫 열차가 운행했지만, 이용객이 적었던 승부역은 2001년 9월 8일 신호장으로 격하됐고 2004년 12월 10일 다시 보통역으로 격상했다. 2013년 4월 12일 협곡열차(VTRAIN)가 운행 시작했으며, 현재까지 이어지고 있다."
경상북도 봉화군 소천면 분천길 49,,35,0,B01,B0102,B01020200,2650605,12,20200328003418,http://tong.visitkorea.or.kr/cms/resource/47/2020647_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2020647_image3_1.jpg,129.0584438111,36.9325688543,6,20220816101756,0,8,,분천역(봉화),36265,"경북 봉화군 소천면 분천리는 200여 명이 사는 산골 마을이다. 마을의 중심에 있는 분천역이 백두대간협곡열차의 기착지가 되면서 수많은 여행자들이 찾아오고 있다. 한국·스위스 수교 50주년을 맞아 분천역과 체르마트역이 자매결연 하면서 분천역의 외관도 스위스 샬레 분위기로 단장했다. 체르마트역은 스위스 빙하특급열차가 출발하는 역으로, 백두대간 협곡을 달리는 Vtain이 서는 분천역과 쌍둥이처럼 닮았다.산타열차(O,VTain), 산타눈썰매장, 풍차놀터, 산타레일바이크, 당나귀꽃마차, 산타우체국, 산타슬라이드, 이글루 소원지, 삼굿구이 등 다양한 체험도 즐 길 수 있다."
경상북도 봉화군 소천면 분천길 49,,35,0,A02,A0203,A02030600,2649976,12,20200317022327,http://tong.visitkorea.or.kr/cms/resource/52/2020652_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2020652_image3_1.jpg,129.0584438111,36.9325688543,6,20220425164443,3,8,,분천 산타마을,36265,"분천 산타마을은 백두대간협곡열차(Vtain)의 시발점인 분천역에 백두대간이라는 자연 자원과 낙동강의 비경, 동심을 자극하는 산타클로스 이미지를 접목해 1년 내내 크리스마스 분위기를 느낄 수 있다. 한여름과 한겨울 등 연 4회 산타마을을 운영해 방문객 33만 명을 유치하고, 32억 원이 넘는 경제적 파급효과를 낸 겨울 대표 관광지다. 겨울에 가보고 싶은 국내 여행지로 선정되기도 했다."
경상북도 봉화군 춘양면 춘양로 1501,,35,0,A01,A0101,A01010700,2508220,12,20170921025636,http://tong.visitkorea.or.kr/cms/resource/08/2508208_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2508208_image2_1.jpg,128.8299535859,37.0081335894,6,20220217103637,4336,8,,국립백두대간수목원,36209,"천혜의 자연환경을 간직한 경상북도 봉화군 춘양면에 위치한 국립백두대간수목원은 보전 가치가 높은 식물자원과 전시원, 백두대간의 상징 동물인 백두산호랑이, 세계 최초의 야생 식물종자 영구 저장시설인 시드볼트를 보유하고 있는 아시아 최대 규모의 수목원이다.  백두산부터 지리산까지 1,400km 백두대간은 우리나라 자생식물 33가 서식하고 있는 중요 생태축이다. 그 중 특산식물 27, 희귀식물 17가 있으며 생물다양성을 보존하고 증진시켜 대자연과 인간의 풍요로운 상생을 이끌고자 한다."
경상북도 봉화군 물야면 상황산길 6-62,,35,0,A02,A0201,A02010700,1959419,12,20141023190506,,,128.6720310004,36.9334058175,6,20221104164716,1927,8,,행계서원,36207,"인조 13년(1635년) 사마시에 합격하고 성균관에 유학 중 병자호란을 맞아 몇몇 동지와 함께 종사위패를 매안한 후 오성 위패만 모시고 남한산성 행재소에 봉안한 오수(迕叟 김 강(金 鋼)과 조카 김홍제(金洪濟)의 학덕을 기리기 위해 건립한 서원이다. 1708년 김 강이 학문을 연마하던 행계서사(杏溪書社) 자리에 행계서당을 세우고 1785년 행계서원으로 승격하고 묘우를 건립하여 1786년(정조10년) 오수(迕叟 김강(金 鋼)의 위패를 봉안하였다.1807년(순조7년) 조카인 북벽(北壁) 김홍제(金洪濟)의 위패를 봉안하고 춘,추로 향사를 올렸다. 1871년(고종8년) 서원훼철령에 따라 훼철 되었다가 1931년 향인들이 복설하여 현재까지 춘,추 향사를 올리고 있다. 묘우 건립 상량문은 가은 성언근(家隱 成彦根)이 지었고 김강 봉안문은 눌은 이광정(訥隱 李光庭), 김홍재의 봉안문은 귀와 김 굉(龜窩 金 㙆)이 지었다."
경상북도 봉화군 봉화읍 봉화로 1001-28,,35,0,A02,A0201,A02010700,1958938,12,20141022193945,,,128.7209778071,36.8935252064,6,20211103004308,3402,8,,송록서원,36236,"이곳에 세워진 송록서원(松麓書院)은 봉화(奉化)에 이미 있었던 송천(松川), 반천서원(槃泉書院)과 백록이사(栢麓里社)의 삼원사(三院社)를 통합(統合)하여 향중(鄕中)의 사림(士林)들이 정성(精誠)을 다 하고 국가(國家), 지방자치단체(地方自治團體), 민간자본(民間資本) 등의 보조금(補助金)으로 서원(書院)이 훼철(毁撤)된지 140년만에 옛 백록이사(栢麓里社) 자리에 복설(復設)한 서원(書院)이다."
경상북도 봉화군 봉화읍 생기마1길 24,,35,0,A02,A0201,A02010700,1958879,12,20141022184143,http://tong.visitkorea.or.kr/cms/resource/37/2717737_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2717737_image2_1.jpg,128.7354790594,36.9014273539,6,20220922160424,3019,8,,삼계서원,36240,"과거 닭실마을로 오르는 초입부분 우측편에 자리하고 있는 삼계서원(三溪書院)은 조선 중종때 명신 권발(權橃의 학문과 덕행을 추모하기 위하여 당시 안동부사였던 김우옹이 1588년(선조 21)에 건립하였다고 한다. 1601년(선조 31)에 한강 정구(鄭逑)가 사당을 충정공사(忠定公祠), 당호를 정일당(精一堂), 동재를 사무사(思無邪), 서재를 모불경(母不敬), 정문을 환성문(喚惺門), 문루를 관물루(觀物樓)라 각각 명명하였다 그리고 1660년(현종 1)에 삼계서원으로 사액받았다. 고종 5년(1868)의 서원철폐령에 따라 충정공사 · 환성문 · 관물루가 훼철되었다가 1951년에 복원하였다. 이 서원에서는 매년 음력 3월과 9월 상정일(上丁日)에 향사를 지내고 있다."
경상북도 봉화군 봉화읍 예봉로 1840,,35,0,A02,A0201,A02010700,1958329,12,20141022022733,,,128.7488759799,36.8711033047,6,20221005161952,2065,8,,봉산서원(봉화),36242,"김종걸(金宗傑)의 효행과 학덕을 길이 추모하기 위하여 1793년(정조 17)에 세운 이 사당은 흥선대원군의 서원철폐령으로 고종 5년(1868) 훼철되었다가 1925년 복원하여 오늘에 이르고 있다. 춘추(春秋)로 3월, 9월 중정(中丁)에 제향(祭享)하고 있다."
