addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 상주시 복룡동 161-96,(복룡동),35,0,A02,A0202,A02020100,2763779,12,20211027231806,,,128.1796785304,36.4204247574,6.0,20211029183405,0,9,,태평성대경상감영공원,37237,"경상감영공원은 옛 상주의 영광을 재연하자 라는 취지로 상주의 대표문화 공간 복합단지로 조성되었으며, 조선시대 관찰사가 근무하던  청유당, 제금당 등 18개 동의 전통한옥시설 등이  복원되어 있다. 또한 경상감영공원에서는 관찰사 복 외에도 포졸, 아전, 주막 여인 등 다양한 옷을 빌릴 수 있다."
경상북도 상주시 외남면 곶감공원길 59-12,,35,0,A02,A0202,A02020100,2763768,12,20211027231343,,,128.1028810725,36.3753812685,6.0,20211028203342,0,9,,상주곶감공원,37259,"경북 상주시 외남면에 위치한 상주곶감공원은 산책과 함께 벽화 그림들과 동화 속 이야기를 즐길 수 있는 공원이다. 상주곶감공원 내 3층 건물인 감락원에는 호랑이보다 더 무서운 곶감을 테마로 한 체험관과 전시관이 있으며, 곶감이나 호랑이가 나온 동화 이야기들을 아이들의 눈높이에 맞춰 쉽게 풀어냈다. 이외에도 상주 곶감의 유래와 곶감의 생성과정, 곶감의 종류를 한눈에 볼 수 있다."
경상북도 상주시 중동면 회상리 759-4,,35,0,A02,A0205,A02050600,2756622,12,20211013232307,http://tong.visitkorea.or.kr/cms/resource/95/2756795_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/95/2756795_image2_1.JPG,128.2674617428,36.4432321032,6.0,20211118220036,0,9,,학전망대,37245,"학 전망대는 경북 상주시 중동면에 자리 잡고 있다. 높이 11.9m의 전망대는 공모를 통해 설계됐으며 전체적으로 학 모양을 형상화했다. 상주 보에서 경천대까지 45km의 풍경을 파노라마처럼 바라볼 수 있으며 난간이 유리로 돼 있어 아찔함에서 오는 스릴도 맛볼 수 있다. 전망대 앞까지 차로 이동이 가능해 어린이나 부모님을 동반한 여행을 할 수 있고 낙동강 주변의 아름다운 자연 경관과 경천 섬, 드라마 상도 촬영지와 노악산, 천봉산도 한눈에 살펴볼 수 있다. 산 중턱에 위치해 있어 자연스러운 산책을 즐기기에도 좋다."
경상북도 상주시 낙동면 물량리 산65,,35,0,A01,A0101,A01010400,2756593,12,20211013230954,http://tong.visitkorea.or.kr/cms/resource/39/2756739_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2756739_image2_1.jpg,128.3016048326,36.3836978599,6.0,20211118214027,0,9,,나각산,37250,"나각산은 산 전체가 소라를 닮았다고 해서 붙여진 이름이다. 240m로 높지 않은 산이라 30분 정도면 정상에 오를 수 있다. 정상엔 두 개의 봉우리가 있는데 각각 전망대가 있어 낙동강의 비경을 감상할 수 있고 그 사이로 30m 길이의 출렁다리가 설치되어 있다. 산을 오르다 보면 소원바위, 마귀할멈 굴 등 전설이 담긴 특이한 모양의 자연 조각상을 만날 수 있어 소소한 등산의 재미를 느낄 수 있으며  특히 산의 정기와 강의 기운이 뿜어져 나오는 마귀할멈 굴에서 소원을 빌면 이뤄진다는 이야기가 전해진다. 높지 않은데 경치가 좋아 백패커들의 성지로 알려진 곳이다."
경상북도 상주시 함창읍 교촌리,,35,0,A02,A0202,A02020600,2756585,12,20211013230210,http://tong.visitkorea.or.kr/cms/resource/55/2756755_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/55/2756755_image2_1.JPG,128.1572233886,36.5750483422,6.0,20220506104823,0,9,,함창명주테마파크공원(명주테마공원),37110,"함창명주 테마파크 공원은 경북 상주시 함창읍에 자리 잡고 있다. 명주의 역사와 유래, 명주 짜기의 전통을 후세에 알리고 천연섬유인 명주의 가치를 새롭게 인식시키기 위해 건립된 명주 박물관과 한복의 아름다움을 감상할 수 있는 한국 한복 진흥원도 가까이 있다. 상주의 대표 전통산업인 함창명주의 위상을 높이고 알리기 위한 함창명주 페스티벌도 이곳에서 개최하고 있다. 18,500㎡ 규모의 장미 동산에는 20여 종의 다양한 장미꽃 품종 약 4만 그루가 100만 송이의 꽃을 피워 장관을 이룬다. 산책로도 잘 꾸며져 있어 자연과 생태, 장미 그리고 명주의 가치와 역사를 감상할 수 있는 테마 공원이다."
경상북도 상주시 중동면 오상리 968-1,,35,0,A02,A0202,A02020700,2756567,12,20211013224604,http://tong.visitkorea.or.kr/cms/resource/51/2772651_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2772651_image2_1.jpg,128.2470111032,36.4319413489,6.0,20221128104921,0,9,,경천섬(경천섬공원),37245,"경천섬은 낙동강 상류에 위치한 약 20만㎡의 섬으로 그 섬을 둘러싸고 있는 생태공원을 경천섬 공원이라 부른다. 유유히 흐르는 강물과 비봉산 절벽이 어우러져 아름다운 경관을 이룬다. 봄이면 유채꽃이 만개하고, 가을에는 코스모스와 메밀꽃이 장관을 이루어 많은 관광객이 찾는 관광 명소이다. 해 질 무렵이면 경천섬 너머로 펼쳐지는 노을과 황금빛으로 물든 낙동강은 아름답기로 유명하다. 경천섬 주변으로 국립 낙동강 생물자원관과 회상나루 관광지, 상주 보 수상레저센터, 자전거 박물관, 국제승마장, 밀리터리 테마파크 등 연계자원이 풍부해 다양한 여행을 즐길 수 있다."
경상북도 상주시 모동면,,35,0,A01,A0101,A01010400,2704699,12,20210128002333,http://tong.visitkorea.or.kr/cms/resource/85/2405185_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2405185_image3_1.jpg,127.9143691995,36.3070273024,6.0,20210812202538,0,9,,백화산,37274,"충북 영동군 황간면과 상주시 모동면의 경계에 있는 산으로 높이 933m로 당일 코스가 가능한 곳이다. 산행은 상주시 쪽인 수봉리에서 시작하여 영동군으로 내려오는 코스와 영동군쪽인 황간산림욕장에서 시작하는 두코스가 있다.
수봉리에서 출발하는 코스는 논길을 따라가다 보면 신덕마을의 옥동서원이 보인다. 이곳에서 개울을 건너면 갈림길이 나오고 오른쪽 길로 100m쯤 오르면 보현사에 닿게 되는데 이곳에서 등산로를 따라가다보면 용추폭포가 나오며, 조금더 가파른 등산로를 1시간 정도 오르면 보문사 터에 이르게 된다.이곳에서 15분 오르면 갈림길이 나오는데 왼쪽은 정상에 도착하는 길이고, 오른쪽은 금돌산성(전체길이 20km, 높이 4m, 너비 3.6m의 성벽)을 거쳐 정상에 오르게 되는 길이다. 정상에 오르게 되면 속리산, 민주지산, 덕유산이 보이며, 영동군쪽으로 하산하는 등산로에 성덕왕때 창건한 반야사가 있다.백화산은 구수정과 임석천대, 금돌산성 등 이야기가 있는 자연물이 있어 여유롭고 풍요로운 산행으로 인기가 많은 곳이다."
경상북도 상주시 함창읍 어풍로 19,,35,0,A02,A0203,A02030400,2662729,12,20200708221144,http://tong.visitkorea.or.kr/cms/resource/46/2687446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2687446_image3_1.jpg,128.1838130075,36.5636418041,6.0,20221212132709,0,9,,허씨비단직물,37113,허씨비단직물은 삼백의 고장 상주에서 대를 이어 명주를 짜고 있다. 함창에서는 명주를 전통방법에 간단한 동력장치들만 추가하여 역사깊은 전통옷감 명주를 짠다. 소규모나 대단위 단체 방문객을 대상으로 하는 견학 및 체험프로그램을 운영중이다. 2012년에 개관한 함창명주 박물관과 함께 방문한다면 의미있는 관광이 될 것이다.
경상북도 상주시 내서면 서원3길 29-80,,35,0,A02,A0203,A02030100,2630994,12,20191028225651,http://tong.visitkorea.or.kr/cms/resource/89/2630989_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/89/2630989_image2_1.bmp,128.0075682578,36.4418524915,6.0,20220426155405,0,9,,밤원마을,37148,"상주시 내서면에 위치한 밤원마을 옛부터 밤이많아 밤원마을로 불리우고 있다. 다른마을과 달리 2030대 젊은이들이 많아 애기 우는 소리가 끊이지 않는 다복하고 활력 넘치는 살기 좋은 마을입니다. 밤원마을에서는 도시와 농촌간의 소중한 문화교류의 장을 이루고 농외소득을 통한 지역고향발전을 이루고자 항상 노력하고 있다. 건강을 생각한 친환경 숙박시설부터 시작하여 농촌에서 즐겨볼 수 있는 사계절내내 다양한 체험프로그램들을 진행하고 있어 우리 농촌을 보다 쉽고 재밌게 알아가실 수 있다. 밤원마을은 아름다운 자연과 마을주민의 푸근한 인심 속에 즐겁고 행복한 농촌체험여행이 되실거라 생각한다. 가진 것 많지 않아도 나눌 것 많은 정겨운 시골, 외갓집에 놀러왔다 생각하시고 편히 쉬다 가십시오 밤원마을에서 잊지 못할 추억거리를 많이 만드시고 가시기 바란다."
경상북도 상주시 화북면 문장대2길 293,,35,0,A01,A0101,A01010400,2604711,12,20190601001539,,,127.8795538058,36.5724796606,6.0,20220908174134,0,9,,문장대,37102,"경상북도와 충청북도의 경계에 위치한 속리산은 주봉인 천황봉이 상주시 화북면 상오리에 있으며 절경을 이룬 문장대는 화북면 장암리에 자리잡고 있다. 속리산은 동식물의 보고이기도 하여 동물 580종이 서식하고 식물 672종이 생장하고 있다. 동물 중에는 조류 160종, 수류 240종, 곤충류 180종이 있고 특색 있는 것으로는 큰갓새, 붉은가슴갓새, 사향노루, 날다람쥐 등을 들 수 있으며 이들 중에는 천연기념물인 망개나무, 고산 식물인 등대미호, 희귀식물인 백색 진달래 주목 및 금낭화 등이 있다.대체로 속리산의 전면 상주지역은 자연이 스스로 절경을 이룬 보고로 천황봉 입석대, 신선대, 문장대, 관음봉, 형제봉, 도장산, 청화산, 강선대, 사모봉 등의 봉만과 오송, 장각, 복호, 옥량, 쌍룡 등의 폭포가 절승을 이루는 반면 배면의 충북지역은 법주사를 비롯하여 복천암, 중사자암, 상환암, 상고암 등 사찰에 국보와 보물이 보존되어 있어 자연과 인공의 조화로써 예술의 극치를 이루었다 할 수 있다.속리산은 말이나 글이나 그림 그 어느 것으로도 형용을 불허하는 절묘와 신비의 영산이다."
