addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 성주군 수륜면 봉양로1길 313,,35,0,A01,A0101,A01010100,2784167,12,20211201015111,,,128.1537831839,35.8341354231,6,20211204024809,0,10,,국립공원 가야산생태탐방원,40064,"가야 신화와 천년 고찰 해인사를 품은 가야산에서의 친환경 숙박체험을 제공한다. 친환경 재생에너지 태양광 이용 숙박시설(생활관)을 운영중이며, 향후 자연친화적 체류시설로 친환경 LED를 적용한 랏지와 캐빈도 설치 추진 중이다. 탄소 중립 환경교육 프로그램과 일회용품 사용 자제를 위한 에코컵 만들기 체험 등도 운영하고 있다."
경상북도 성주군 금수면 영천길 210,,35,0,A01,A0102,A01020200,2738047,12,20210831225616,http://tong.visitkorea.or.kr/cms/resource/85/2738485_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2738485_image2_1.jpg,128.0634634784,35.9327170503,6,20221026111125,0,10,,무흘구곡선바위,40058,"무흘구곡은 총 35.7㎞에 이른다. 경북 성주군의 수륜면과 금수면부터 김천시의 증산면까지 이어져 있다. 그 중 14곡은 성주군에 위치하고 있으며, 59곡은 김천시에 입지하고 있다. 제1곡 봉비암, 제2곡 한강대, 제3곡 무학정, 제4곡 입암, 제5곡 사인암, 제6곡 옥류동, 제7곡 만월담, 제8곡 와룡암, 제9곡 용추폭포로 구분되어 있다.대가천의 맑은 물과 주변 계곡의 기암괴석, 수목이 절경을 이루어 조선 시대 성주가 낳은 대 유학자인 한강 정구 선생(15431620)이 시를 지어 노래한 곳으로 경관이 아주 빼어나 행락 피서지로 주목을 받고 있다."
경상북도 성주군 초전면 용성3길 25,,35,0,A02,A0202,A02020100,2738030,12,20210831222902,http://tong.visitkorea.or.kr/cms/resource/61/2738461_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2738461_image2_1.jpg,128.2666202266,35.9429529101,6,20221027154149,2,10,,뒷미지수변공원(뒤미지),40019,"뒷미지에는 아름다운 경관과 생태환경을 체험할 수 있도록 조성된 수변공원이 있다. 백련, 홍련 등 연꽃 군락이 있어 매년 78월이 되면 만개하여 장관을 이룬다. 연못 중앙까지 데크가 설치되어 있어 아름다운 연꽃을 마음껏 즐길 수 있다."
경상북도 성주군 성주읍 성주로 3167-11,,35,0,A02,A0202,A02020100,2738010,12,20210831220134,http://tong.visitkorea.or.kr/cms/resource/68/2738468_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/2738468_image2_1.jpg,128.2826777266,35.9217000582,6,20221005134122,0,10,,성주역사테마공원,40025,성주역사테마공원은 성주의 옛 모습을 재현한 공원이다. 성주읍성은 일제강점기를 거치며 임정사 앞 동북쪽 성곽의 흔적만 일부 남게 되었는데 2020년 10월에서야 재건하였다. 산책로에 조성된 비석들은 조선 시대에 성주 곳곳에 세워져 있었지만 도로 개설 등의 이유로 이곳으로 이전되어 그 뜻을 이어가고 있다. 각 시설은 각종 문헌과 관련 전문가들의 고증을 거쳐 복원해 지역문화유산의 역사와 가치를 재조명했다.
경상북도 성주군 수륜면 가야산식물원길 21,,35,0,A02,A0202,A02020100,2733515,12,20210813004227,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/16/2733516_image2_1.png,128.1410602092,35.801063941,6,20221013110739,0,10,,가야산역사신화테마관,40063,"가야문화권의 역사와 신화, 가야산의 생태를 테마로한 2층 규모의 전시 테마관이며, 가야산의 수려한 자연경관을 즐길 수 있는 산책로, 숲속쉼터, 전망대 등을 이용할 수 있으며, 가야산 권역을 조망하며 휴식을 취할 수 있는 편의시설도 갖추고 있는 테마공원이다."
경상북도 성주군 초전면 고산1길 27-3,,35,0,A02,A0201,A02010400,2677655,12,20201021195151,,,128.2456069442,35.9883362652,6,20220421170540,0,10,,성주 백세각,40011,"백세각은 조선 중기 문신 야계(倻溪) 송희규(宋希奎,14941558)가 건립한 건조물이다. 그는 사헌부 집의로 재직하면서 당시 세도가인 윤원형(尹元衡)의 행패를 탄핵하다가 오히려 전라도 고산(高山)으로 유배되었는데, 그곳에서 5년 간 귀양살이를 하고 난 뒤 고향에 돌아와 마을이름을 고산리(高山里)라 바꾸고 조선 명종 6년(1551)에 기공하여 이듬해 완공한 가옥이다. ㅁ자형 가옥으로 정면 7칸, 측면 7칸인 맞배지붕 건물이다. 쇠못을 전해 사용하지 않고 구멍을 뚫어 싸리로 얽은 점, 대패질을 하지 않고 자귀만으로 깎고 다듬어 만든 건축이라는 점이 특이하다. 

1919년 3·1운동 당시 공산(恭山 弼宋浚을 위시한 문인들이 성주 장날의 만세 운동에 배포할 태극기를 이 건물에서 제작·보관했다고 한다. 또한 경북 유림단 파리장서 사건의 모의 장소로 사용하였으며, 유림의 궐기를 통고국내문(通告國內文)을 제작·배포한 곳으로 독립운동과 관련이 깊은 건물이다. 아울러 독립유공자 공산 송준필(애족장)과 괴당(槐堂) 송회근(宋晦根,애족장)이 내어난 집이기도 하다."
경상북도 성주군 수륜면 계정길 208,,35,0,A02,A0201,A02010800,2027207,12,20150904001526,,,128.2205478209,35.7942689274,6,20220826140100,7253,10,,자비선사,40066,"경북 성주군에 위치한 자비선사는 자비선명상센터로서 매주 주말마다 자비선명상 템플스테이를 운영함으로써 몸과 마음이 지친 현대인들에게 마음의 안식과 심리치유의 방법을 제시하고 있다.자비선명상 템플스테이에서는 자비수관(좌선)과 자비차선(차명상), 자비경선(걷기명상) 등 다양한 수행기법을 체험할 수 있다."
경상북도 성주군 대가면 칠봉2길 36-16,,35,0,A02,A0201,A02010700,1959397,12,20141023181342,,,128.2301551883,35.8999432364,6,20220824150327,1799,10,,청천서원,40055,"1729년(영조 5) 사림에 의해 김우옹(金宇顒을 봉향(奉享)하기위해 청천서원(晴川書院)을 창건하였다. 고종 때 대원권의 서원 훼철령에 의해 훼철된 후, 김우옹의 후손인 김호림(金頀林)이 종택의 사랑채를 고쳐 청천서당으로 중건하였다. 서원이 창건된 이후에는 회연서원(檜淵書院)과 함께 성주를 대표하는 서원으로서 사림활동의 중심지 역할을 하였으며, 서당으로 중건된 이후 1910년 봄에 주손인 심산(心山) 김창숙(金昌淑)이 교육구국운동으로서 서당을 수리하여 성명학교(星明學校)라 부르고 후진의 양성을 위한 교사(校舍)로 활용하기도 하였다. 1992년에는 대가면 칠봉리 산중턱에 유림과 후손들의 힘으로 위치를 옮겨 현재의 건물로 복원되었다. 서원은 널찍한 마당에 산뜻한 나무 건물로 들어서 있으며 현판글씨는 백범 김구 선생의 친필이다. 서원정면에는 연못과 구름다리, 갖가지 모양의 바위와 꽃나무로 아기자기하게 꾸며져 있다. 청천서원에서 나와 고가들이 즐비한 길을 따라 조금 내려가면 청천서당이 나온다. 청천서당은 일제강점기에 성명학교 교사로 사용되면서 애국계몽운동의거점이 되기도 한다. 청천서당은 현재 경상북도 유형문화재로 지정되어 있다."
경상북도 성주군 벽진면 운정길 167,,35,0,A02,A0201,A02010700,1959071,12,20141022234528,,,128.2298369396,35.9584782559,6,20220420113143,1155,10,,운양서원,40001,"운양서원은 여희림(呂希臨)의 위패를 봉안한 서원으로써 그가 1553년에 73세를 일기로 세상을 떠난 뒤 언제인지는 모르나 천곡서원 향현사(鄕賢祠)에 위패를 모시고 추앙되었다. 1868년(고종 5)에 서원 철훼령으로 서원이 훼철되었다가, 1874년 사림의 힘으로 운양서원(雲陽書院)이 세워져, 다시 명덕사(明德祠)에 위패를 모시고 춘추향사가 이루어지고 있다. 향사일은 음력이월 마지막 정일(丁日)과, 음력팔월 마지막 정일(丁日)에 향사한다. 이 서원의 첫 이름은, 연봉산(延鳳山) 밑에 자리 잡았기에 연봉서원(延鳳書院)이었다. 내 이름이 伊川(이천)이요, 동산이름이 운곡산(雲谷山)이라, 이천운곡(伊川雲谷) 네글은 전답자에서, 川谷(천곡) 두글자를 따서 정구(鄭逑)가 이황(李滉)에게 품하여, 천곡서원(川谷書院)으로 바꾸게 된 것이라 한다. 1874년에 서원이 다시 세워지면서 운양서원이라 하였다."
경상북도 성주군 수륜면 참별로 1,,35,0,A02,A0201,A02010700,1959031,12,20141022224134,,,128.2593082852,35.7944057263,6,20220803094037,2139,10,,오암서원,40066,"조선 중기의 문신이자 성리학자인 한강 정구(鄭逑 1543∼1620)의 문인이었던 죽헌 최항경(崔恒慶 15601638)과 그의 두 아들 최은, 최린 등 삼부자를 배향한 서원이다. 최항경은 1605년 사마시에 합격하였으나 벼슬에 뜻을 두지 않고 오암정사(鰲巖精舍)를 지어 학문에 힘썼다 한다.  1730년 운암서원(雲巖書院)을 지어 최항경의 제사를 지냈으나 1741년 서원철폐령으로 사라졌고, 1781년 다시 오암서원을 지어 배향했으나 이 또한 1871년 대원군의 서원철폐령으로 숭덕재사(崇德齋舍)만 남고 철거되었다. 1985년 후손들이 대강당과 광영루(光影樓)를 지었고, 2007년 효덕사(孝德祠)를 신축하고 대강당과 숭덕재사를 개축하여 오암서원을 복원했다."
