addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 안동시 길안면 천지리,594-1,35,,A01,A0101,A01010500,2912253,12,20221118105420,http://tong.visitkorea.or.kr/cms/resource/46/2912246_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2912246_image3_1.jpg,128.8983526025,36.4560757618,6,20221118105449,0,11,,길안천지생태공원,36735,"길안천지생태공원은 경상북도 안동시 길안면 천지리에 있다. 산으로 둘러싸여 있으며, 하천이 흐르고 있어 산자수명한 느낌이다. 배드민턴, 축구 등을 즐길 수 있는 운동시설이 갖추어져 있고 야외공연장, 화장실, 산책로, 쉼터 등이 마련되어 있다. 특히 차박을 만끽하고자 찾아오는 사람이 많다. 동안동IC에서 가깝고, 주변에 안동 계명산자연휴양림과 용계의은행나무가 있다."
경상북도 안동시 축제장길 210 탈춤공연장,,35,,A02,A0202,A02020200,2826761,12,20220706153128,http://tong.visitkorea.or.kr/cms/resource/70/2826670_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2826670_image3_1.jpg,128.7315893566,36.5606995743,6,20220706153141,0,11,,관광커뮤니티센터 여기,36709,"안동을 찾은 관광객들의 휴식 공간으로 제공되고 있으며 무인카페와 지역 특산품을 전시, 판매하는 공간이다."
경상북도 안동시 임하면 금소길 341-12,,35,0.0,A01,A0101,A01010500,2756077,12,20211013184300,,,128.8490723177,36.5014918776,6,20220412155856,0,11,,금소생태공원,36731,"금소생태공원은 경북 안동시 임하면에 자리 잡고 있다. 2017년에 조성됐으며, 전국 최대의 친수공원으로 면적이 약 20만㎡에 이른다.
공원에는 정자, 데크, 쉼터, 야외 공연장, 체육시설, 산책로 등이 갖춰져 있다. 특히 음수대와 화장실이 마련돼 있어 차박이나 캠핑이 가능하다. 
동안동IC와 가깝고, 주변에 안동민속촌, 안동문화관광단지, 안동시립민속박물관이 위치해 있다."
경상북도 안동시 서동문로 193,(동부동),35,0.0,A02,A0202,A02020700,2753531,12,20211006183508,,,128.7334973528,36.5664933938,6,20211108182901,0,11,,웅부공원,36693,"웅부공원은 경북 안동시 동부동에 자리 잡고 있다. 고려 공민왕 때 현재의 도 단위 격인 대도호부가 있던 자리이자 안동 군청 청사가 있던 공간이다. 1995년 안동 군청이 헐리면서 공민왕의 필적이라 전해지는 안동웅부 현판을 떼어 냈고, 2006년 현재의 모습을 갖춘 공원이 조성됐다.공원에는 조선 시대 지방 관아의 정무를 보던 동헌을 본뜬 영가헌을 비롯해 문루인 대동루, 시민의 종이 설치된 종각이 있다.또한, 공원 바로 옆에 안동 전통문화 콘텐츠 박물관이 있다."
경상북도 안동시 태사길 78,(동문동),35,0.0,A02,A0203,A02030600,2753522,12,20211006183008,,,128.7353194206,36.5662351242,6,20221124160935,0,11,,신세동 벽화마을,36693,"신세동 벽화마을은 경북 안동시 동문동에 자리 잡고 있다. 과거 어두운 달동네였지만, 2009년 마을미술프로젝트를 시작으로 도시재생사업과 창조지역사업이 시행되면서 안동의 대표적인 관광 명소로 탈바꿈했다.마을 골목길 곳곳에서 각양각색의 벽화를 감상할 수 있으며 매달 프리마켓인 '그림애(愛)장터'와 월영장터도 열린다.주변에는 안동찜닭골목과 안동갈비골목이 있다."
경상북도 안동시 길안면 미내소일길 138,,35,0.0,A01,A0101,A01010900,2738065,12,20210831230835,http://tong.visitkorea.or.kr/cms/resource/96/2738396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2738396_image2_1.jpg,128.9247744065,36.389781031,6,20221028145658,5,11,,용담사계곡,36735,"용담사가 위치한 곳은 황학산, 화부산, 연점산, 금학산, 천지갑산이 모여있는 안동 지역에서도 오지 속에 속하는 골짜기다. 겹겹이 산으로 둘러싸여 있어 골이 깊으며, 사시사철 맑은 물이 흐르는 청정지역이다. 산줄기가 맞닿은 곳은 협곡을 이루고 있어 여름철에 용담사 주변의 계곡을 찾는 관광객들도 많다.
사진 출처: 안동시 공식 블로그 '마카다안동'"
경상북도 안동시 서후면 학가산온천길 14,,35,0.0,A02,A0202,A02020300,2738052,12,20210831225959,http://tong.visitkorea.or.kr/cms/resource/12/2738412_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2738412_image2_1.jpg,128.6482487085,36.5893419582,6,20221130152520,1,11,,안동학가산온천,36616,"안동 학가산 온천은 2005년에 서후면 명리지구에 온천공을 개발하여 2006년 6월부터 건축공사를 시작하여 2008년 9월 12일 개장했다.
안동 학가산 온천은 pH9.8 중탄산 알칼리 나트륨 성분으로 리튬과 스트론튬의 성분이 검출되어 수질이 우수하다.
1,000여 명을 수용 할 수 있으며, 노천탕을 포함한 바데풀, 다양한 이벤트탕, 전국 최초의 루미라이트 수면방 등을 갖추고 있다. 부대시설로 일반음식점, 매점, 미용실, 회의실 등 다양하다.

사진 출처: 안동시 공식 블로그 '마카다안동'"
경상북도 안동시 육사로 273,(운흥동),35,0.0,A02,A0202,A02020700,2738018,12,20210831220906,http://tong.visitkorea.or.kr/cms/resource/14/2738414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2738414_image2_1.jpg,128.731425544,36.5585664812,6,20220412151526,0,11,,그라스원,36709,"안동을 가로지르는 낙동강을 따라 낙동강 변 산책로가 조성되어 있다. 이 산책로를 따라가면 영가대교 북단에 다양한 꽃과 식물들이 식재된 그라스원 테마공원이 있다. 그라스원은 계절에 따라 각기 다른 매력을 뽐낸다. 특히 가을에는 핑크뮬리가 장관을 이뤄 사람들에게 최고의 포토존을 선사하고 있다.
주변에 백조공원이 함께 조성되어 있으며 자전거길과 산책로가 있어 맑고 청정한 낙동강 경치를 감상할 수 있다. 사진 출처: 안동시 공식 블로그 '마카다안동'"
경상북도 안동시 태사길 13,,35,0.0,A02,A0201,A02010700,2733087,12,20210812001918,http://tong.visitkorea.or.kr/cms/resource/88/2733088_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2733088_image2_1.jpg,128.7315808432,36.566943306,6,20211112225147,0,11,,안동태사묘,36694,"태사묘는 안동시 태사길13(북문동) 1229평(坪)대지위에 삼태사(三太師):김선평(金宣平;城主),권행(權幸;本新羅宗 姓金), 장정필(張貞弼;初名 吉)의 위패를 모시고 천여 년이 넘도록 향사(享祀)를 봉행(奉行)해온 태사묘우를 비롯하여 보물각.숭보당.동,서재(東西齋).경모루(景慕樓).전사청(典祀廳). 차전각(車戰閣).안묘당(安廟堂).주사 (廚 舍)등 10동(棟)의 건물이 기념물로 되고 고려 때 유물11종 21점은 보물로 지정되어 지방 문화재로서 안동을 상징하는 역사적 유적(遺蹟)이다."
경상북도 안동시 제비원로 672,,35,0.0,A02,A0205,A02050200,2733084,12,20210812001310,http://tong.visitkorea.or.kr/cms/resource/85/2733085_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2733085_image2_1.jpg,128.7061402934,36.6063772138,6,20221206144819,0,11,,제비원 석불,36625,"국가 보물 제비원 석불은 몸을 바위에 선각으로 새긴 데 비해 머리는 다른 돌로 조각해 얹어놓았다. 몸체의 선각과 얼굴의 뚜렷한 인상이 매우 대조적이다. 머리의 육계가 큼직하고 윤곽이 뚜렷하여 매우 개성이 있는 모습이다. 몸체를 이루는 자연 암석도 위압적이지만, 입을 꾹 다물고 눈에 힘을 잔뜩 준 모습이 매우 권위적이며 힘있어 보인다. 눈·코·입의 선이 각지고 매우 뚜렷하여 이목구비가 분명한 인상이다. 자연 암석으로 이어진 목에는 삼도가 희미하게나마 새겨져 있다."
