addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 영덕군 남정면 장사리 1-1,,35,,A01,A0101,A01011200,2912266,12,20221118105930,http://tong.visitkorea.or.kr/cms/resource/55/2912255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2912255_image3_1.jpg,129.3744793209,36.2891315923,6,20221118110003,0,12,,부흥해변,36463,"부흥해변은 경상북도 영덕군 남정면 장사리에 있다. 주변에 서핑 관련 상점이 들어서면서 서핑을 즐기고자 이곳을 찾는 사람이 많다. 서핑뿐만 아니라 여름 휴가지로도 손색이 없고, 특히 당일 캠핑을 만끽하기 좋다는 소문에 캠퍼들의 방문도 줄을 잇는다. 영덕IC에서 가깝고, 주변에 장사해수욕장과 장사상륙작전 전승기념관이 있어 연계 여행에 나서기 수월하다."
경상북도 영덕군 축산면 축산항길 90,,35,0.0,A02,A0205,A02050600,2782863,12,20211129231857,http://tong.visitkorea.or.kr/cms/resource/92/2794592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2794592_image2_1.jpg,129.4508633403,36.5085248126,6,20211214030706,2,12,,죽도산전망대,36421,"죽도산 전망대는 영덕의 걷고 싶은 길인 블루로드 중 B 코스인 푸른 대게의 길에서 만날 수 있다. 내비게이션에는 축산등대라고 검색하면 찾을 수 있다. 길이 좁아 차량 통행 금지 지역으로 조금은 걸어서 올라가야 한다. 7층 건물로 1층은 로비, 6층은 기계실, 2층과 5층은 전망대 그리고 7층은 등대로 운영 중이다.  5층 전망대에서는 축산항을 중심으로 펼쳐지는 영덕의 모습을 360도로 둘러볼 수 있다. 한쪽에는 망원경도 설치되어 있다.  2층은 야외전망대로 간단한 스낵과 음료를 판매하고 있다."
경상북도 영덕군 영덕읍 해맞이길 254-70,,35,0.0,A02,A0202,A02020100,2782636,12,20211129194149,http://tong.visitkorea.or.kr/cms/resource/99/2795399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2795399_image2_1.jpg,129.4190743615,36.4186233054,6,20220506131635,0,12,,산림생태문화공원,36425,"영덕 풍력발전단지 내에 위치한 산림생태문화공원은 울창한 숲길 너머 풍력발전기가 쉴 새 없이 돌아가는 풍경이 이채롭다. 이곳은 1997년 대형 산불이 일어났던 장소를 7년 동안 복원하여 생태 근린공원으로 조성했다. 지금은 산불이 났던 곳이라고는 믿기지 않을 만큼 짙푸른 자연을 만날 수 있다. 산책로 대부분 완만한 평지여서 누구든 부담 없이 걷기 좋고 한여름에도 시원한 바람이 분다. 공원 초입에 자리한 연못에는 연을 심어 한여름이면 고혹적인 자태의 연꽃도 감상할 수 있다. 연못 주변으로는 걸음을 쉬어갈 수 있는 나무 의자들이 자리하는데, 영덕의 상징인 게 모양으로 디자인한 것이 눈길을 끈다. 빨간색 게 모양 의자 너머로 나무와 연못, 하늘과 풍력발전기가 어우러진 풍경이 절로 감탄을 자아낸다."
경상북도 영덕군 영해면 영덕대게로 2740,,35,0.0,A01,A0101,A01011400,2773405,12,20211111195136,,,129.4325162538,36.5584243366,6,20211124222434,1,12,,대진항 (영덕),36417,"대진항은 경상북도 영덕군 영해면 대진리에 위치해 있는 항구로  1971년 12월 국가어항으로 지정된 이후 항구의 정취를 감상하려는 관광객의 방문이 많은 곳이다. 항구에 정박한 어선과 등대를 배경으로 사진을 찍는 사람이 많다. 항구는 낚시를 즐기는 사람들 사이에서도 유명한 곳으로 방파제나 갯바위에서 미끼를 던지면 감성돔, 노래미, 붕장어가 올라온다. 대진항에서 북쪽으로 가면 고래불해수욕장이 있고, 남쪽 방향에는 경정 해변이 나온다. 바다를 배경으로 천천히 산책을 하기에도 좋다"
경상북도 영덕군 지품면 오천길 45-13,,35,0.0,A02,A0202,A02020100,2762547,12,20211026194906,,,129.32791275,36.4256013125,6,20221122182942,0,12,,오천솔밭유원지,36446,"오천솔밭유원지는 경북 영덕군 지품면에 자리 잡고 있다. 차박이나 노지 캠핑을 즐기는 캠퍼들 사이에서 유명한 공간이었다. 하지만 2021년 9월 현재 캠핑장이 조성되어 무료 캠핑을 불가능하다. 소나무 숲을 비롯해 캠핑장, 화장실, 개수대 등이 갖쳐줘 있다. 영덕역과 영덕IC에서 가깝고, 인근에 영덕 복숭아 정보화 마을이 있다."
경상북도 영덕군 병곡면 고래불로 330,,35,0.0,A01,A0101,A01011200,2756138,12,20211013191528,,,129.4091839521,36.5929893951,6,20220622150920,0,12,,영리해수욕장,36404,"영리해수욕장은 경북 영덕군 병곡면에 자리 잡고 있다. 백사장 모래가 곱고, 수심이 얕은 것이 특징이다.
대규모 주차장을 비롯해 화장실, 샤워장, 해안 산책로, 소나무숲 등이 갖춰져 있다.
도보로 이동이 가능한 거리에 고래불해수욕장과 병곡방파제가 있다. 남쪽 방향으로 내려가면 덕천해수욕장, 대진해수욕장, 대진항 등이 있다."
경상북도 영덕군 강구면 강구해안길 195-2,,35,0.0,A01,A0101,A01011200,2756132,12,20211013191328,,,129.384773571,36.3595099143,6,20220623165455,0,12,,오포해수욕장,36459,"오포해수욕장은 경북 영덕군 강구면에 자리 잡고 있다. 1997년 MBC 드라마 '그대 그리고 나'의 촬영지로 유명하다.
해수욕장이지만 여름철 피서지보다는 낚시 명소로 이름 높다. 이곳을 방문한 낚시객들은 하얀 등대 주변과 백사장에서 낚시를 즐긴다. 
영덕IC와 강구역에서 가깝고, 주변에 강구항을 비롯해  강구항영덕대게거리, 해파랑공원이 있다."
경상북도 영덕군 축산면 영덕대게로 1735,,35,0.0,A01,A0101,A01011400,2756064,12,20211013183332,,,129.4258691115,36.481946796,6,20211105234222,0,12,,경정항,36422,"경정항은 경북 영덕군 축산면에 자리 잡은 어항이다. 1972년 지방어항으로 지정되었으며, 동방파제, 남방파제, 물양장, 선양장이 갖춰져 있다.
방파제에서 낚시를 할 수 있으며, 낚시 어선을 타고 연안으로 나갈 수도 있다. 주요 어종은 가자미, 오징어, 꽁치 등이다.
주변에 낚시 용품점을 비롯해 숙박업소, 음식점 등의 편의시설이 있으며, 관광지로는 경정 해변이 있다."
경상북도 영덕군 남정면 동해대로 3560,,35,0.0,A02,A0202,A02020100,2732159,12,20210809195332,,,129.3789819656,36.2801354767,6,20221103145339,0,12,,장사상륙작전 전승기념공원,36463,"장사상륙작전 전승기념공원은 한국전쟁 당시 장사상륙작전에 참전한 학도병들의 넋을 기리고자 건립됐다. 공원은 장사상륙작전 기념관과 장사해수욕장 사이에 있다. 이 때문에 공원과 해수욕장의 풍경을 동시에 조망할 수 있다. 모래사장 위에는 학도병들의 상륙 모습을 담은 조형물이 있다. 10인의 학도병을 형상화한 조형물은 바다에서 육지로 돌진하는 실감 나는 모습이다. 공원 중앙에는 솔숲을 배경으로 장사상륙작전 전몰 용사 위령탑이 있다. 위령탑 뒤편엔 장사상륙작전에 참전한 학도병들의 이름이 빼곡하게 적혀 있다.자가용을 이용하는 관광객은 장사상륙작전 기념관 주차장에 주차할 수 있다. 대형 주차장이라 주차에 어려움이 없으며, 주차장과 공원의 거리는 약 100m다."
경북 영덕군 달산면 옥산리 515,,35,0.0,A01,A0101,A01010500,2715732,12,20210510232815,http://tong.visitkorea.or.kr/cms/resource/27/2715727_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2715727_image2_1.jpg,129.2764167274,36.3501977802,6,20220429151101,0,12,,산성계곡 생태공원,,산성계곡 생태공원은 팔각산 인근의 산성계곡과 옥계계곡이 만나는 지점에 조성되어 수려한 자연경관과 체험시설인 어드벤처 시설을 접목한 가족 모두가 함게 즐길 수 있는 공원으로 산성계곡 생태공원은 자연적으로 조성된 숲과 버려진 농지를 자연친화적으로 복원한 시설이다. 원내에서는 가벼운 산책을 하거나 어드벤처 시설을 이용해 다양한 체험을 즐길 수 있다. 산성계곡 생태공원에 설치한 네트어드벤처 시설은 안전장비를 착용하고 체험해야 하는 기존의 시설과는 달리 맨몸으로 체험할 수 있어 더더욱 다이나믹하게 즐길 수 있다는 것이 특징이다.
경상북도 영덕군 영해면,,35,0.0,A01,A0101,A01010500,2661431,12,20200629233713,http://tong.visitkorea.or.kr/cms/resource/28/2661428_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/2661428_image2_1.jpg,129.3841769119,36.5303349319,6,20220217103859,3,12,,벌영리 메타세콰이어길,36408,"벌영리 메타세콰이어 숲길은 개인이 정성스레 심어 기른 메타세콰이어가 아담한 숲을 이룬다. 입구부터 쭉쭉 뻗은 나무를 바라보면, 모든 일이 잘 풀릴 것 같은 기분이 든다. 측백나무와 편백의 향기는 그 느낌을 더욱 배로 만든다. 일반인에게 무료로 개방하고 있어 삼림욕을 즐기며 휴식을 취하기에 매우 좋다."
