addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 영양군 청기면 일월산길 675,,35,0,A02,A0201,A02010900,2738025,12,20210831222431,,,129.0870782887,36.8087335701,6,20221129145414,0,13,,일월산황씨부인당,36501,"경북 영양 일월산에 자리 잡은 황씨부인당에는 전설이 서려 있다.
조선 순조 때 황씨부인은 남편과 금실 좋게 살았다. 하지만 딸만 9명을 낳아 시어머니의 학대가 심했다. 황씨부인은 아들을 낳지 못하는 죄책감 때문이었는지 아홉째 딸이 젖 뗄 무렵 자취를 감췄다.이 무렵 심마니가 일원산에 자신이 지어 놓은 거처에 갔더니 황씨부인이 소복을 입고 앉아 있었다. 심마니는 겁이 나 돌아서려는데 황씨부인이 심마니를 붙잡았다. 그러고는 시어머니, 남편, 딸들의 안부를 묻고는,  황씨부인이 여기 있다는 말을 아무에게도 알리지 말아 달라고 부탁했다.심마니는 황씨부인의 부탁을 들어준다 했지만, 그 길로 황씨부인의 남편에게 달려가 이야기를 전했다. 이에 남편은 곧장 황씨부인이 있는 곳으로 갔다. 남편이 여보라고 외치며 황씨부인의 손을 잡으니 부인은 사라지고 백골과 재만 남았다. 이후 남편은 탄식하면서 백골을 거두어 장사 지내주었고, 마을 사람들이 황씨부인의 한을 풀기 위해 그 자리에 당을 지어 주고 황씨부인당이라 이름 붙였다. 76년에 당집 옆에 산령각을 지었다. 요즘도 촛불을 밝히고 마을의 안녕을 빌고 있다."
경상북도 영양군 수비면,,35,0,A01,A0101,A01010400,2704700,12,20210128004037,,,129.2532462991,36.7349202015,6,20221118132040,0,13,,죽파리자작나무숲,36524,"검마산에는 또 다른 명품 숲이 있다. 지난 1993년 죽파리 일대에 인공 조림한 30.6ha 규모의 영양자작나무숲이 어느새 어엿한 청년 숲으로 자랐다. 공식 개장하지 않았지만 약 2km 산책로가 조성돼 사람들이 알음알음 찾아든다. 접근이 수월하지 않은 덕분에 오지 자연을 제대로 느낄 수 있다.

우선 장파경로당에서 장파1교를 건너기 전에 좌회전한 뒤, 기산마을과 갈라지는 삼거리까지 약 1.6km 이동한다. 이후는 길이 험하다. 사륜구동 차량은 숲 입구까지 진입할 수 있지만, 일반 승용차는 바닥이 긁혀 삼거리 길가에 주차하고 걸어가야 한다. 삼거리에서 숲 입구까지 3.2km 정도 거리라 걷기 만만치 않다. 어느 지점부터 휴대폰 전파마저 끊긴다. 하지만 영양자작나무숲의 매력은 그곳에 이르는 과정이 절반이라 해도 과언이 아니다. 푸른 나무와 마을 상수원인 계곡물 소리가 더위를 말끔히 씻어준다.

자작나무숲은 산기슭을 가득 메운 자작나무의 하얀 껍질과 머리 위를 뒤덮은 초록 잎 사이로 아담한 오솔길이 열린다. 자작나무가 만드는 특유의 빛깔이 지나온 길과 다른 분위기를 연출한다. 좀 더 차분하고 화사하다. 산책로는 경사가 급하지 않아 어렵잖게 오르내린다. 오지 자연의 깊은 품에 안긴 걸 실감한다. 가볍게 한 바퀴 돌아 나올 수도, 정상 쪽으로 조금 더 올라갔다 내려올 수도 있다. 아직 안내소가 따로 없지만, 안내판은 잘 갖춰졌다. 자작나무숲 입구 가는 중간에 간이 화장실이 있다. 공식 개장하기 전이니 혼자보다 동반자와 같이 가기를 권한다."
경상북도 영양군 수비면 반딧불이로 227,,35,0,A02,A0202,A02020700,2704122,12,20210118233931,,,129.2694528784,36.8384448049,6,20220418114142,0,13,,영양 국제밤하늘보호공원,36518,"영양군 수비면 수하계곡 왕피천 유역 자연경관보존지구 일부 지역을 포함하여 반딧불이 생태공원 일대를 국제밤하늘협회가 아시아 최초로 세계에서 별빛이 밝은 밤하늘을 갖고 있는 지역을 국제밤하늘보호공원을 지었다. 2007년 미국의 내추럴 브리지스 국립 천연기념물이 보호공원으로 처음 지정된 이후 미국,독일,헝가리,스코틀랜드 등 전 세계 30개 지역이 국제 밤하늘 보호공원 으로 지정됬다. 국제밤하늘협회는 품질에 따라 골드, 실버, 브론즈 등급으로 나누며 영양군의 반딧불이 생태공원은 실버 등급을 부여했다."
경상북도 영양군 석보면 두들마을1길 42,장계향문화체험교육원,35,0,A02,A0203,A02030600,2662610,12,20200708025832,http://tong.visitkorea.or.kr/cms/resource/25/2511925_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2511925_image3_1.jpg,129.1286069185,36.5614709164,6,20220519194020,0,13,,장계향문화체험교육원(음식디미방),36560,"음식디미방은 현존최고의 한글조리서로 1670여 년 경, 여중군자 장계향이 후손들을 위해 일흔이 넘어서 지은 조리서이다. 조선 중후기 양반가의 식생활과 문화를 짐작할 수 있는 전통음식 연구의 지침서이자 관계전문가들의 교본이며, 정확하고 다양한 어법과 철자로 사전적 큰 가치를 지니고 있다. 350여 년 전 영양지방에 살았던 사대부가의 여인인 여중군자 장계향이 자자손손 가문의 전통을 이어가고 싶은 어머니의 마음을 오롯이 담아 글자 한 자에도 정성을 다해 써내려갔다. 이는 동아시아에서 최초로 여성이 쓴 조리서이며 한글로 쓴 최초의 조리서이기도 하다."
경상북도 영양군 수비면 반딧불이로 129,,35,0,A02,A0202,A02020600,2650446,12,20200327020433,,,129.2702002653,36.8307429216,6,20221109135712,0,13,,반딧불이 천문대,36518,"영양반딧불이천문대는 일반인을 대상으로 영양군이 운영하는 시민천문대이다. 반딧불이생태체험마을 특구 내에 위치한 영양반딧불이천문대는 여름철 밤하늘의 별과 함께 자연에 서식하고 있는 반딧불이를 동시에 관찰할 수 있는 국내 유일의 천체관측장소이다. 주간에는 태양망원경을 이용하여 흑점과 홍염을 관측할 수 있으며 야간에는 행성, 성운, 성단, 은하, 달 관측이 가능하다.  출처 : 영양군 생태공원사업소"
경상북도 영양군 입암면 영양로 883-16,(입암면),35,0,A02,A0202,A02020200,2043682,12,20151126190109,http://tong.visitkorea.or.kr/cms/resource/61/2043661_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2043661_image2_1.jpg,129.0819513306,36.6085729884,6,20220331134253,4975,13,,선바위관광지,36546,"절벽과 강을 사이에 두고 바위를 깎아 세운 듯하다. 거대한 촛대를 세워 놓은 것 같은 바위가 선바위이고, 석벽과 절벽을 끼고 흐르는 두 물줄기가 합류하여 큰 강을 이루는 강을 남이포라 부릅니다. 선바위와 남이포는 조선 세조 때 남이 장군이 역모자들을 평정시켰다는 전설이 내려져오는 국민 관광지로 현재 선바위 지구에 자연생태마을, 농특산물직판장, 수변휴게공간, 산촌박물관, 보트장등을 설치하여 관광객을 유치하고자 개발중에 있는 곳이다."
경상북도 영양군 일월면 향교길 28-6,,35,0,A02,A0201,A02010700,1955058,12,20141010221918,,,129.1303858682,36.704621293,6,20221130152419,1724,13,,영양향교,36515,"1679년(숙종 5)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 창건되었다. 1701년에 현감 한세기(韓世箕)와 유림 조시상(趙是常)·조덕수(趙德壽) 등이 협력하여 육영루(育英樓)를 신축하였다. 그 뒤 1925년 육영루를 철거하고 문랑(門廊)을 신축하였으며, 1932년에 동무(東廡)·서무(西廡)를 철거하고 동재(東齋)·서재(西齋)도 몇 년 뒤 철거되었다. 1974년에 명륜당을 보수하였는데, 명륜당의 현판은 고려 말의 명필인 한수(韓修)가 쓴 것이다."
경상북도 영양군 일월면 주실길 55,,35,0,A02,A0201,A02010600,894008,12,20091211185434,http://tong.visitkorea.or.kr/cms/resource/86/2533886_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2533886_image2_1.jpg,129.1025768058,36.7187302601,6,20220824111139,28638,13,,영양 주실마을,36514," 조지훈의 주실마을   영양군 일월면 주곡리에 속하는 주실마을은 북쪽으로 일월산이 있고, 서쪽에는 청기면, 동쪽은 수비면, 남쪽은 영양읍과 맞닿아 있다. 조지훈이 태어난 주실마을은 전통마을이면서도 실학자들과의 교류와 개화 개혁으로 이어진 진취적인 문화를 간직한 매우 유서 깊은 마을이기도 하다. 주실마을에는 조지훈 시인의 생가인 호은종택(壺隱宗宅.경상북도 기념물)이 마을 한복판에 널찍이 자리잡고 있고, 옥천종택(玉川宗宅:경상북도 민속자료),월록서당 등 숱한 문화자원들이 지금도 그대로 남아 있다.   조지훈 생가  시인이며 국문학자인 조지훈(1920∼1968) 선생이 태어난 곳이다.조지훈은 경상북도 영양 출신으로 본명은 동탁(東卓)이다. 선생은 박목월·박두진과 공동으로 간행한 청록집의 시편들에서 주로 민족사의 맥락과 고전미 세계에 대한 찬양과 선(禪)세계를 노래하였는데, 유교 도덕주의의 격조높은 자연 인식을 보인다는 점에서 시문학사적 의의가 있다고 평가 받고 있다. 가옥은 몸체와 관리사로 나뉘어 있으며 몸체는 앞면 7칸·옆면 7칸 규모에 ㅁ자형 평면을 갖추고 있다. 지붕은 옆면에서 볼 때 여덟 팔(八)자 모양의 팔작지붕으로 꾸몄고, 전형적인 영남 북부지방 양반가의 풍모를 지니고 있다. 대문과 중문에는 태극기를 조각하여 채색한 것을 끼워두었고 집 주위는 고풍스러운 담을 둘렀다.이 집은 이 지방 주택의 전형적인 양식으로 조선 중기 인조(재위 1623∼1649) 때에 조정형이 지었으며 한국전쟁 당시 일부 불탄 것을 1963년 복구하였다. 이곳은 조지훈 선생 외에 한말의 의병장이었던 조승기 선생과 선생의 조부인 조인석 선생 등 나라를 위해 큰 일을 한 분들이 태어난 곳이기도 하다.   주곡동 옥천종택  한양 조씨 옥천 조덕린 선생의 옛 집으로 살림채인 정침과 글 읽는 별당인 초당, 가묘인 사당으로 구성된 17세기 말 양반 주택의 대표적인 예이다. 살람채는 안동지방을 중심으로 분포되어 있는 ㅁ자집의 평면구성을 하고 있다. 앞면 5칸의 가운데에 대문을 달고 왼쪽에 안사랑방을 두고 있다. 오른쪽에는 마구간을 고친 온돌방이 있고 부엌·고방이 있다. 살림채의 몸채는 양 옆에 꺾여서 위치하는 부분보다 더 높은 곳에 자리하고 있으며, 전면에는 안마당을 향하여 개방된 6칸 대청이 있다. 대청의 오른쪽부터 도장방·안방이 접해 있고, 안방을 마루쪽으로 1칸 더 내어 2칸으로 꾸몄다. 경상북도에 분포되어 있는 ㅁ자집 중에 대청과 안방의 윗머리에 도장방이 놓여있는 경우는 가끔 있지만 이곳처럼 도장방의 바닥이 온돌이 아닌 마루로 깔려있는 예는 흔하지 않다. 초당은 조선 숙종 21년(1695)에 지은 것으로 아이들에게 글을 가르치거나 노인이 머무는 곳이다. 이 지역의 전형적인 평면구성을 보이며 있으며, 정조 14년(1790)에 지은 건물로 가운데 칸이 좀 넓다. 안채의 오른편 뒤쪽에 배치되어 있으며 담장을 두르고 있다. 안동지방의 전형적인 평면구성을 보이고 있으나 안방이 동쪽으로 오고 사랑방이 서쪽으로 배치된 점이 다르다. 이러한 형식은 18세기부터 안방과 부엌이 서쪽으로 배치되는 평면구성으로 통일된다.   월록서당  후학들을 교육하고 양성하기 위해 세운 서당이다. 월하 조운도(1718∼1796) 선생이 의견을 내고 한양 조씨·야성 정씨·함양 오씨가 주축이 되어 조선 영조 49년(1773)에 지었다고 한다.앞면 4칸·옆면 2칸 규모를 가진 한 일자형 건물로 전망이 좋고 한적하여 공부하기 좋은 곳이다. 가운데 2칸은 마루를 만들어 대청으로 꾸몄고 양쪽은 방을 만들어 놓았는데 오른쪽은 극복재(克復齋), 왼쪽에는 존성재(存省齋)라는 현판이 걸려 있다. 경치 좋은 곳에 자리잡고 있는 조선 후기 건축양식을 잘 간직한 건물이다."
경상북도 영양군 석보면 두들마을길 98,,35,0,A02,A0201,A02010600,547873,12,20080418185748,http://tong.visitkorea.or.kr/cms/resource/66/1979166_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/1979166_image3_1.jpg,129.1284986995,36.557912986,6,20220223141118,23844,13,,영양 두들마을,36560,"행정구역상으로는 경북 영양군 석보면 원리리, 이곳 두들마을은 '언덕 위에 있는 마을'이라는 뜻이다. 1640년 석계 이시명 선생이 병자호란을 피해서 들어와 개척한 이후, 그의 후손인 재령 이씨들이 집성촌을 이루며 살아왔다. 조선시대 1899년에는 이곳에 국립 병원격인 광제원이 있었다 하여, '원두들, 원리'라 부르기도 한다. 마을에는 석계 선생이 살았던 석계고택과 석계 선생이 학생들을 가르쳤던 석천서당을 포함하여 전통가옥 30여 채를 비롯하여 한글 최초의 조리서 '음식디미방'을 쓴 정부인 장씨를 기리는 안동 장씨 유적비, 이문열이 세운 광산문학연구소 등이 있다. 마을 앞을 흐르는 화매천을 둘러친 절벽 바위에는 석계 선생의 넷째 아들인 이숭일이 새겨 놓은 동대, 서대, 낙기대, 세심대 등 유묵도 뚜렷하게 보인다. 1994년 정부로부터 문화마을로 지정되었다."
경상북도 영양군 수비면 가천로 614,(수비면),35,0,A02,A0203,A02030100,129373,12,20061113090000,,,129.1922082768,36.7008895743,6,20220519113723,25244,13,,영양 두메송하마을,36526,"두메송하마을은 소나무와 각종 활엽수가 수려하게 숲을 이루는 매봉산과 인근의 투구봉, 그리고 마을을 휘감는 맑고 깨끗한 장파천의 송하계곡이 손님들의 발길을 머물게 한다. 겨울에만 즐길 수 있는 얼음썰매타기는 남녀노소 할 것 없이 즐거워하는 체험이며, 고향의 맛과 정을 느낄 수 있는 군고구마・염색체험이 있다. 자연을 배경으로 정겨운 황토문화와 이야기가 함께하는 영양두메송하마을에서 멋진 추억과 즐거움을 만끽할 수 있다."
