addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 영주시 영주동 19-69,,35,0,A02,A0203,A02030600,2781621,12,20211126200112,http://tong.visitkorea.or.kr/cms/resource/96/2793196_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2793196_image2_1.jpg,128.6256270506,36.8303667465,6.0,20211213231253,0,14,,숫골,,"숫골은 영주의 진산으로 불리는 철탄산 아래 자리한 첫 번째 마을이다. 숫골 이란 지명에 대해선 여러 유래가 전하는데 삼국시대 신라군 주둔지가 있어 '술골'로 불렸다는 설과, 일제강점기에 전염병 환자들을 수용하던 막사가 있어 '수용소골'로 불리던 것이 지금의 숫골이 되었다는 설이 있다. 이처럼 오랜 역사를 품은 마을은 1942년 영주역이 들어서면서 번성하기 시작했고, 해방 이후엔 고향으로 돌아온 이들이 모여 살기 시작하면서 크게 번창하였다. 1973년 영주역이 지금의 자리로 옮겨가기 전까지 숫골은 영주 최초의 근대 마을을 이루며 '영주 1번지'로 통했다. 지금은 이웃한 근대역사 문화거리와 함께 아련한 향수를 자극하는 추억 여행지로 사랑받는다. 알록달록한 울타리를 따라 걷다 보면 영주 시내도 한눈에 내려다볼 수 있다."
경상북도 영주시 평은면 수변로 108,,35,0,A02,A0202,A02020700,2762530,12,20211026194206,,,128.6726924845,36.7289181352,6.0,20221122132500,0,14,,영주호용마루공원,36174,"영주호 용마루 공원은 경북 영주시 평은면에 자리 잡고 있다. 공원은 용마루 공원 1과 용마루 공원 2로 구분된다. 용마루 공원 1에는 방문자의 집, 전망대, 카페테리아 등이 있으며, 산책로를 따라 걷다가 용두교와 용미교라는 출렁다리를 건너면 용마루공원 2가 나온다. 용마루 공원 2에서는 평은역사를 둘러볼 수 있다. 주변에는 영주댐물문화관이 있다."
경상북도 영주시 의상로116번길 43,(상망동),35,0,A02,A0203,A02030600,2725120,12,20210709233009,http://tong.visitkorea.or.kr/cms/resource/05/2820505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2820505_image2_1.jpg,128.6402307544,36.8491370953,6.0,20220615174801,0,14,010-3522-1001,영주소백팜,36063,"영주소백팜의 설립 목적은 건강한 땅에서 생산되는 먹거리로 건강한 사람과 생활의 구현, 자연재배와 친환경적인 농업의 실천과 현실적응, 그리고 6차산업화로 인한 수익형 사업 실현이다. 또한, 지역 내 경쟁력을 갖춘 명품 농장들이 힘을 모아 유일무이한 영주 농촌체험 관광상품을 개발하고 있다.
야생화농장, 목장, 사과농장의 운영으로 계절마다 아름다운 농장의 매력을 극대화 할 체험관광과 청정목장의 치즈, 요거트와 사과, 감자, 쌀 등 직접 재배·생산하고 있는 농특산물을 활용한 먹거리도 개발하고 있다. 이를 차별성 있게 보여주고자 팜마켓, 팜파티, 팜웨딩 등 농장에서만 즐길 수 있는 여유로움과 힐링의 시간을 제공한다."
경상북도 영주시 부석면 영부로117번길 76-7,,35,0,A02,A0203,A02030600,2725113,12,20210709232126,http://tong.visitkorea.or.kr/cms/resource/64/2820464_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2820464_image2_1.jpg,128.6538612168,36.9999811702,6.0,20220518160801,0,14,010-3789-5735,소백명품서클,36002,"소백명품서클은 나만 알고 싶은 마음의 숲, 영주 라는 컨셉으로 구성원의 대규모 명품 농장인 명이나물 산약초 농장, 와인 포도 농장, 양계장, 통나무 독채 숙박, 샘사이트 등 숨겨진 영주의 멋진 비경을 가진 농장에서 치유와 힐링을 할 수 있는 시간을 고객맞춤형으로 제공한다. 
지금까지 알려지지 않은, 나만 알고 싶은 소백산의 아름다운 비경과 몸에 좋은 현지인이 추천하는 명품 농특산품을 소개한다. 소백산의 치유, 힐링, 사색의 시간과 함께, 영주 선비정신까지 느낄 수 있는 곳이다. 모든 체험 관광은 고객 맞춤형 예약제로 운영된다."
경상북도 영주시 문수면 무섬로 5,,35,0,A05,A0502,A05020900,2725112,12,20210709231638,,,128.6070978185,36.746317685,6.0,20211216232725,0,14,,작은오두막(살림),36172,"영주 무섬마을 인근에 있는 작은오두막은 농촌을 사랑하는 청년들이 모여 건강한 맛과 편안한 사랑방을 제공하는 카페이다. 폐교 건물과 연결된 넓은 운동장에서 어린 자녀들이 안전하게 뛰어놀 수 있는 놀이 공간, 애완견들과도 같이 와서 편안하게 쉴 수 있는 공간을 만들어가기 위하여 늘 고민하고 있다. 생태적 가치를 추구하기에 생분해 컵과 빨대를 사용하며 신선한 원재료로 자체 개발한 브런치 메뉴들과 청년 농부들이 무농약으로 재배하여 직접 덖은 수제차, 지역 농산물을 유기농 설탕으로 담근 수제청 등이 일품이다.카페 바로 옆에는 퍼머컬쳐(지속가능한 농법, 문화, 철학)의 가치로 자연 재배를 추구하는 예비사회적기업 바보농부들의 커뮤니티 가든이 조성되어 있으며 각종 허브와 야채, 꽃을 생산하여 매일 즉석에서 건강한 원재료를 채취하여 만들어진 싱싱한 생 허브티와 샐러드를 맛볼 수 있는 팜투테이블을 추구하고 있다.또한, 귀농귀촌 청년들이 추진하는 오두막 놀이터는 카페 바로 옆에 위치하고 있으며 영어 동화책 1,500권, 동화책 3,000여 권, 몬테소리 교구들을 구비하고 예약제 어린이 교육  돌봄 서비스를 준비하고 있으며 산촌유학센터를 통하여 도시의 아이들이 자연에서 뛰놀며 건강하게 자라갈 수 있는 생태 미술, 목공, 가드닝, 자연 놀이 등의 각종 체험활동을 개발하고 있기도 하다.농촌이 살아야 나라가 산다.는 굳건한 신념을 가진 귀농귀촌 청년 공동체가 늘 새롭게 만들어가는 미래가 기대되는 공간이다. 체험 프로그램 : 허브와 약초를 활용한 샴푸만들기, 유기농 친환경 로컬푸드 팜파티"
경상북도 영주시 안정면 용주로1364번길 12,,35,0,A02,A0203,A02030600,2725101,12,20210709231150,http://tong.visitkorea.or.kr/cms/resource/39/2820539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2820539_image2_1.jpg,128.5509833438,36.8428666846,6.0,20220518170157,0,14,,주티스트,36050,"주티스트는 지역청년들과 로컬양조장이 협업하여 영주의 색깔을 담은 지역특산주 및  전통주체험, 양조장 스테이 등을 제공하는 주민사업체이다. 최근에는 사과, 복숭아 등 지역 농산물을 활용하여 젊은 감각의 새로운 과실 탄산주를 개발중이며, 전국 최초 '양조장 스테이' 상품을 도입하여 양조장 프라이빗 캠핑에서 즐기는 로컬푸드바베큐와 영주생탁은 잊지 못할 추억을 선사해줄 것이다. 주티스트는 이러한 체험과 지역홍보를 통해 전통주 문화와 더불어 영주의 이야기를 전하는 문화공간을 조성하고자 한다."
경상북도 영주시 안정면 대평로229번길 33-22,,35,0,A02,A0203,A02030600,2717337,12,20210515022808,http://tong.visitkorea.or.kr/cms/resource/74/2820474_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2820474_image2_1.jpg,128.5640365571,36.8831761998,6.0,20220518161612,1,14,,소백산꽃차이야기,36048,"소백산꽃차이야기는 영주의 귀농 여성들로 구성 된 체험 농장형 꽃차 카페이다. 아름답고 다양한 꽃들을 농약 없이 손수 재배∙가공하여 친환경 꽃차와 식용꽃샐러드(여우꽃밥) 등 다양한 힐링푸드를 제공하고 있다. 뿐만 아니라 꽃을 활용해 팜크닉(농장 피크닉), 꽃차 카페, 꽃을 활용한 감각적이고 다채로운 체험상품들을 경험하는 곳으로, 꽃을 통한 오감만족 체험 장소 이다. 소백산꽃차이야기는 숲속 체험장 그리고 팜크닉 공간을 예약제로 제공, 영주의 팜크닉 메카로 자리잡기 시작한 곳이며 영주의 핫플레이스 그리고 여행지의 나이스한 코스로 많은 여행객들의 마음을 사로잡고 있다."
경상북도 영주시 두서길19번길 10,(영주동),35,0,A02,A0203,A02030600,2717329,12,20210515022605,http://tong.visitkorea.or.kr/cms/resource/50/2820450_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2820450_image2_1.jpg,128.6187304939,36.8286362591,,20220518153558,0,14,010-6646-3958,관사골작업실 협동조합,36072,"관사골작업실 협동조합은 수공예 분야의 전문성을 가진 3040 주부들로 구성되었다.
이곳은 영주관광 자원을 활용한 관광기념품 개발 및 판매, 지역 수공예작가들의 상품을 판매하는 편집숍, 관사골 원도심을 재미있게 체험할 수 있는 체험관광, 그리고 방문객이 직접 체험할 수 있는 공방형카페이다.
현재 관사골 일대 관광체험 제품들과 영주 관광기념품 등을 제작 개발하고 있으며, 주부들로 구성되어 실용성에 중점을 두고 제품을 개발하고 있다.
카페관사골에서 원도심만이 가지고 있는 아이템들을 만날 수 있고, 지역 수공예작가들의 제품들도 구매할 수도 있다.
앞으로 수공예체험과 더불어 관사골 원도심의 특징을 살린 철도 관련 골목투어 등 원도심관광의 안내센터이자 방문객의 휴식처, 체험형 관광 공방카페로 1타 5피 이상의 다양한 역할을 하는 관사골을 대표하는 곳이다."
경상북도 영주시 부석면 영부로120번길 3,,35,0,A02,A0203,A02030100,2714777,12,20210428231015,,,128.6610049665,37.0018894199,6.0,20220503133939,0,14,,한밤실농촌체험마을,36002,"영주 부석사 아래 위치한 한밤실농촌체험마을은 2010년, 녹색농촌체험마을로 선정 되었다. 마을에서는 친환경농법을 이용하여 껍질 째 먹는 사과를 재배하고 있으며, 사과 따기, 사과막걸리 만들기 등의 다양한 체험이 준비 되어 있다. 또한 민박 시설과 주말농장이 마련되어 있고, 한밤실올레탐방, 고구마, 감자 캐기 등의 프로그램도 체험 해볼 수 있다."
경상북도 영주시 순흥면 소백로2481번길 33,,35,0,A01,A0101,A01010500,2616064,12,20190820014851,,,128.5567696358,36.9140697439,6.0,20221020134027,0,14,,여우생태관찰원,36015,"여우생태관찰원은 멸종 위기 야생동물 1급 토종여우 복원을 위해 2016년 11월 5일 영주시 태장리에 개관하였다. 영주시에서 부지와 시설을 제공하고 종복원기술원에서 운영 중이다. 주로 사고를 당하거나 병이 든 여우를 보호하고 회복 시켜 자연으로 돌려내는 등의 역할을 하고 있다. 현재 여우 복원사업이 진행 중이며 소백산에서 시작해 백두대간을 따라 설악산과 지리산으로 확대할 예정이다. 여우생태관찰원은 관리동과 홍보동으로 구성되어 있으며, 정해진 시간에 맞추어 전문해설사와의 동행 아래 생태학습장을 탐방할 수 있다."
