addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 영천시 완산동,933-3,35,,A02,A0203,A02030600,2912274,12,20221118110543,http://tong.visitkorea.or.kr/cms/resource/69/2912269_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2912269_image3_1.jpg,128.9392326518,35.9603078197,6.0,20221205111226,0,15,,영천역 광장,38894.0,"영천역 광장은 경상북도 영천시 완산동에 있다. 역사 출구 시점 부에 동판 시가지 안내도와 12좌 별자리를 형상화해 배치했다. 이 밖에 분수 조형물, 공연장, 경관 조경수 등을 설치해 도심 속 휴식 공간의 역할을 하고 있다. 또한 영천 시민과 영천 여행객들의 만남의 장소로도 이름 높다. 영천IC에서 가깝고, 주변에 영천전투메모리얼 파크 체험권과 우로지 자연 생태공원이 있다."
경상북도 영천시 대창면 금박로 1021,블루썸와이너리,35,0.0,A02,A0203,A02030600,2775344,12,20211117193901,,,128.8923474968,35.8757665072,6.0,20221201095408,0,15,,지구마을산책,38911.0,"지구마을산책은 영천의 매력에 풍덩 빠진다는 뜻으로 지역의 문화와 색깔, 자연, 예술 자원을 유기적으로 연계하여 영천의 숨겨진 매력을 느낄 수 있는 로컬 여행상품을 기획⦁개발 중인 지역 로컬 공정여행사이다. 현재 블루썸와이너리와 연계한 소규모 와인핑커푸드 피크닉 나들이 체험 상품과 각종 농촌 체험을 예약제로 운영 중이다."
경상북도 영천시 청통면 거조길 400-67,,35,0.0,A02,A0201,A02010800,2758318,12,20211019001625,http://tong.visitkorea.or.kr/cms/resource/09/2758509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2758509_image2_1.jpg,128.7646046699,36.0201338921,6.0,20211112204128,0,15,,거조사,38867.0,"은해사에서 신녕면 쪽으로 8km 정도 가다 보면 거조사를 만난다.  거조사라는 이름은 팔공산 동쪽 기슭에 위치하여, 아미타불이 항상 머문다는 뜻이다. 원효대사가 거조암을 창건한 뒤 진평왕 13년에 혜림법사와 법화화상이 영산전을 건립하여 오백나한을 모시게 되면서 영험한 나한 기도도량으로 유명하다. 거조사 영산전은 1962년 국보로 지정되었고,  2021년 3월 은해사 부속 암자인 거조암에서 거조사로 명칭이 바뀌었다.
우리나라 목조건축물은 고려시대 이전의 것은 없으며, 남아있는 고려시대의 목조건축물로 안동 봉정사 극락전, 강릉 객사문, 영주 부석사 무량수전, 예산 수덕사 대웅전, 부석사 조사당 그리고 이곳 거조암 영산전 6곳뿐이라는 점에서 중요하게 평가받고 있다.사진 출처: 새영천 알리미단 정동찬 기자"
경상북도 영천시 임고면 포은로 842-3,,35,0.0,A02,A0202,A02020100,2758262,12,20211018235207,http://tong.visitkorea.or.kr/cms/resource/20/2758520_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/20/2758520_image2_1.png,128.9917061406,36.0464518283,6.0,20220411174114,0,15,,임고강변공원,38816.0,"임고강변공원은 경북 영천시 임고면에 자리 잡고 있다. 임고면 자호천 주변 약 5만㎡의 하천 부지에 수변 공원을 조성했다. 광장, 물놀이장, 분수, 정자, 농구장, 족구장, 산책로 등의 편의 시설과 바라만 봐도 시원한 인공 폭포를 갖추고 있다. 모든 시설은 무료로 이용할 수 있으며, 친환경적인 야외 공간이라 가족 단위의 피서나 운동, 산책하기에 좋은 수변 공원이다.사진 출처: 새영천 알리미단 손미혜 기자"
경상북도 영천시 임고면 신방로 19,,35,0.0,A02,A0202,A02020700,2756071,12,20211013183913,,,129.0112930174,36.0565482753,6.0,20211106000728,1,15,,영천댐하류공원,38816.0,"영천댐하류공원은 경북 영천시 임고면에 자리 잡고 있다. 높이 42m, 제방 길이 300m의 영천댐이 인접해 있다.
공원에는 영천댐공원 오토캠핑장, 물놀이장인 영천수변테마파크 등이 갖춰져 있다. 봄이 되면 공원 주변에 벚꽃이 만발해 장관을 이룬다.
공원은 임고IC와 가깝고, 주변에 영천CC, 운주산승마자연휴양림, 임고강변공원이 위치해 있다."
경상북도 영천시 화북면 천문로 2610,,35,0.0,A02,A0205,A02050600,2753588,12,20211006185057,,,128.9527683797,36.1270697361,6.0,20211108200901,0,15,,보현산댐 전망대,38812.0,"보현산 댐 전망대는 경북 영천시 화북면에 자리 잡고 있다. 1층에는 독도 실시간 영상관이 있으며, 엘리베이터를 타고 3층으로 올라가면 보현산 댐과 주변 경관을 조망할 수 있는 전망대가 있다. 전망대에는 영천 한의 마을의 대표 캐릭터인 약곰이 조형물이 설치돼 있다.주변에는 영천 댐 하류 공원을 비롯해 영천 CC, 운주산승마자연휴양림이 있다."
경상북도 영천시 화산면 가래실로 364,,35,0.0,A02,A0201,A02010600,2753576,12,20211006184631,,,128.8892738816,36.0328070074,6.0,20221130101023,0,15,,가래실 문화마을,38808.0,"가래실 문화마을은 경북 영천시 화산면에 자리 잡고 있다. 2011년 행복 프로젝트 신몽유도원다섯 갈래 행복길을 통해 문화 생산 지역이자 문화 소비 지역으로 거듭났다. 다섯 갈래 행복길은 걷는 길, 바람 길, 스무 골 길, 귀호마을 길, 도화원 길로 이뤄져 있으며 마을 역사와 이야기를 담아낸 여러 가지 예술작품이 설치돼 있다.주변에는 옛 동화초등학교에 터를 잡은 시안미술관이 있다."
경상북도 영천시 언하공단로 91-12,(망정동),35,0.0,A01,A0101,A01010500,2721931,12,20210618001312,,,128.953941762,35.9852413838,6.0,20220502171504,0,15,,우로지 자연생태공원,38830.0,"우로지 자연생태공원은 대구와도 가까워 대구시민들도 찾는 힐링 공간으로  평범했던 저수지를 생태공원으로 조성해 많은 사람들이 찾는 휴식공간으로 재탄생했다. 특히 철마다 다른 수생식물과 산책길, 팔각정자, 관찰 데크 등이 어우러져 도심 속 자연을 만끽하기 좋다. 봄에는 흩날리는 벚꽃을 볼 수 있으며, 여름이면 연꽃 단지에 아름다운 연꽃이 피어난다."
경상북도 영천시 임고면 승마휴양림길 62-16,,35,0.0,A02,A0203,A02030600,2714276,12,20210423001616,,,128.9985698736,36.0307481803,,20221005131356,0,15,,말문화체험관,38819.0,"운주산승마조련센터에 자리잡은 말문화체험관은 새로운 승마 콘텐츠 개발과 보급을 위해 2019년 말산업육성지원사업으로 건립되었으며, 말을 매개로 다양한 체험과 문화를 경험할 수 있는 복합문화 공간이다. 馬 누리카페, 유아놀이방, 야외 테라스, 전시,교육실, 말문화체험시설, 어린이승마장, 포니레일마차, 말문화승마숲길, 가족쉼터 꽃동산 등 다양한 체험공간으로 구성되어 있어 가족단위 관광객들에게 많은 사랑을 받고 있다."
경상북도 영천시 금호읍 거여로 426-5,,35,0.0,A02,A0203,A02030600,2674000,12,20200923232402,,,128.9224989148,35.9284333356,6.0,20220421162331,0,15,,영천 화랑설화마을,38875.0,"신라 천연동안 만들어 온 이야기, 천년동안 입에서 입으로 전해 온 우리 고유의 이야기
천년의 역사, 천년의 시공간을 넘나드는 판타지 테마파크이다. 화랑설화마을은 단순하게 예스러움을 재현해 놓은 곳이 아닌 우리 고유의 설화들이 가득한 곳이다."
