addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 예천군 지보면 마산리 938-1,,35,,A02,A0205,A02050100,2922468,12,20221125094629,http://tong.visitkorea.or.kr/cms/resource/63/2922463_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2922463_image3_1.jpg,128.3472425729,36.5747713327,6,20221125094642,0,16,,뿅뿅다리,36851,"뿅뿅다리는 경상북도 예천군 지보면 마산리 회룡포마을로 들어가는 길목에 있다. 예전에는 노후화된 외나무다리였는데, 1997년 강관과 철 발판을 이용해 다리를 놓았다. 당시 마을 주민들은 발판 구명에 물이 '퐁퐁'하고 솟는다고 하여 퐁퐁다리라고 불렀고 이후 각종 방송 등에서 '뿅뿅'으로 잘못 소개하는 바람에 현재 뿅뿅다리로 불리고 있다. 점촌함창IC에서 가깝고, 주변에 회룡포전망대와 삼강주막 마을이 있다."
경상북도 예천군 풍양면 삼강로 1109,,35,0.0,A02,A0202,A02020200,2785776,12,20211204001646,,,128.2985111905,36.5611330994,6,20221031111032,0,16,,예천 삼강문화단지,36862,"예천 삼강문화단지는 정부의 3대문화권 문화생태관광기반 조성사업의 일환으로 추진된 관광지 조성사업으로서, 낙동강 연안의 우수한 강문화와 생태자원을 관광자원으로 특화하고 기존관광자원과 연계하여 다양한 볼거리와 함께 전시, 체험, 교육이 하나의 공간에서 가능하도록 조성된 새로운 가족형 문화체험 관광지구이다."
경상북도 예천군 용문면 금당실길 80-8,,35,0.0,B02,B0201,B02011200,2782667,12,20211129195409,,,128.4102502449,36.6927340151,6,20211129195409,0,16,,김대기가옥,36835,"고즈넉한 풍경 속, 시간이 멈춰버린 듯한 금당실전통마을 초이벵 위치한 김대기 가옥은 관광객이 머무를 수 있는 숙소다. 김대기 가옥은 예천 독립만세운동을 주도한 김형식 선생이 살던 집으로, 1920년 고가옥을 2008년에 개축한 정감 있는 초가집이다. 김형식 선생의 후손인 김대기씨 내외가 살고 있으며, 정겨운 노부부의 백년초가는 정겨운 시골 고향 집의 정취를 느끼게 해준다."
경상북도 예천군 풍양면 삼강리,,35,0.0,A01,A0101,A01010500,2716143,12,20210512000236,,,128.3035440037,36.563649571,6,20221005130642,0,16,,예천삼강문화단지 생태공원,36862,"예천삼강문화단지 내에 조성된 생태공원은 춤추는 음악분수, 벽천분수, 야외 조형물, 파고라, 어린이 식물 놀이터, 어린이 실외 놀이터, 다목적 운동장, 테마숲 등 다양한 볼거리와 휴식공간을 제공하는 곳이다. 생태공원 내 위치한 춤추는 음악분수, 벽천분수는 5월10월 동안 가동하며, 월금 1회 14:00, 토일(공휴일 포함) 3회 11:30, 14:00, 16:00 운영하고 있다."
경상북도 예천군 풍양면 삼강리길 33,,35,0.0,A02,A0203,A02030600,2716049,12,20210511231844,,,128.2993499249,36.5639383494,6,20220502170136,0,16,,보부상문화체험촌,36862,"보부상문화체험촌은 옛 보부상들의 문화 체험을 할 수 있는 곳이다. 보부상문화체험촌은 미곡전, 대장간, 미간생활관, 물품창고, 보부상숙소, 막걸리홍보관 으로 구성되어 있다."
경상북도 예천군 도효자로 2142 예천목재문화체험장,,35,0.0,A02,A0203,A02030600,2633895,12,20191107222113,http://tong.visitkorea.or.kr/cms/resource/46/2638646_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2638646_image2_1.JPG,128.3761390989,36.7994711555,6,20220530074202,0,16,,예천 목재문화체험장,36801,"사람과 동·식물이 가장 살기 좋은 높이라는 해발 700미터에 자리 잡은 예천 목재문화체험장은 주변 산세가 수려할 뿐만 아니라 물 맑고 공기 좋은 청정지역에 위치해 있다. 목재에 관한 지식·정보를 공유하고 일반인에게 체험의 기회를 제공 하기 위하여 목재문화 전시실, 목재놀이 체험장, 목재공방, 목공 교육장을 갖추고 있고 야외에는 파고라, 숲속 데크시설, 산책로가 조성되어 방문객에게 편안한 휴식공간을 제공하고 있다. 또한 가족과 함께하는 목재체험교실, 목재생활공예품을 만드는 취미교실, 목재 전문인을 위한 목공기능인 양성과정 등 다양한 프로그램 구성으로 목재문화를 체험하고 즐길 수 있는 장을 마련하였다."
경상북도 예천군 효자면 은풍로 1045,,35,0.0,A01,A0101,A01010500,2619631,12,20190919025233,http://tong.visitkorea.or.kr/cms/resource/22/2619622_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/22/2619622_image2_1.bmp,128.4582254861,36.8246281422,6,20221019102257,1,16,,예천 곤충연구소&곤충생태원,36802,"도심 속에 살고 있는 아이들이 쉽게 접하지 못하는 푸른 하늘과 청량한 기분을 경험할 수 있는 곳은 바로 곤충생태원이다. 곤충의 다양한 모습과 정보를 가득 담고 있는 곤충생태체험관. 나비의 아름다운 비행을 관찰할 수 있는 나비터널. 아름다운 자연과 곤충을 체험할 수 있는 곤충생태원. 편안하게 사계절 대자연의 아름다움을 만끽할 수 있는 모노레일. 신기한 동굴 속 곤충과 동굴을 탐험 할 수 있는 동굴곤충체험관. 무당벌레 모형 건물에서 별나고 색다른 체험을 할 수 있는 곤충멀티체험관. 직접 곤충을 만져보고 체험할 수 있는 다양한 전시들, 흥미로운 볼거리와 아이들이 뛰어 놀 수 있는 놀이시설과 만들기 체험거리 등 흥미로운 것들이 가득하다."
경상북도 예천군 용문면 용문사길 285-30,,35,0.0,A02,A0203,A02030600,2615114,12,20190814003157,http://tong.visitkorea.or.kr/cms/resource/13/1615213_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/1615213_image3_1.jpg,128.3705998859,36.7315454992,6,20221017174455,2,16,,예천 백두대간 파워스팟,36832,"백두대간 파워스팟(Powe spot) 이란 천기(天氣). 지기(地氣). 생기(生氣) 등 각종 기맥(氣脈)이 기운화(氣運化)하여 작혈(作穴)된 혈(穴명당혈)에 기(氣)를 받는 것으로 영적인 기와 에너지가 느껴지는 장소를 의미한다. 힐링, 명당, 기 체험의 공간으로써 백두대간 권역의 체험 테마 관광지이다."
경상북도 예천군 용문면 내지리,,35,0.0,A01,A0101,A01010500,2609519,12,20190704234954,,,128.3851121538,36.7428694734,6,20220829105113,0,16,,소백산하늘자락공원,36832,"예천 양수발전소 상부댐 일원에 자리하고 있는 공원으로 탁 트인 주변의 경관이 좋은 곳이다. 공연을 할 수 있는 무대와 간람석이 있어 하늘과 가까운 공연장에서 새로운 경험을 할 수 있으며, 주변에 '치유의 길'이 있어 산책하기에도 좋다. 바로 아래에는 하늘전망대가 있어 앞으로 많은 관광객들이 자주 찾을 수 있는 곳이다."
경상북도 예천군 예천읍 양궁장길 38,,35,0.0,A02,A0210,A02100700,2606387,12,20190613230814,http://tong.visitkorea.or.kr/cms/resource/84/2606384_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/84/2606384_image2_1.bmp,128.4684133992,36.6346778526,6,20211102225359,0,16,,활기찬예천 활체험센터,36830,"세계에서 가장 아름다운 진호국제양궁장에서 열리는 예천활체험예천군 출신 김진호 선수가 1979년 세계 양궁선수권대회에서 사상 첫 5관왕을 차지하며 세계무대를 주름잡는 신궁으로 탄생하면서부터 지속적인 우수선수 발굴 육성과 지역 양궁 저변확대에 기여하고자 1983년 남·여 2개의 양궁팀을 창단 운영하여 오고 있으며 그동안 100여명의 선수가 활약한 예천양궁선수단은 김수녕, 장용호, 양승현, 김성남, 한희정 등 10여명의 국가대표를 배출하였으며 각종 국제 및 국내 전국대회에 출전하여 300여회의 입상과 각종 훈·포장을 수상한 양궁의 메카이다."
경상북도 예천군 용문면 용문경천로 826,(용문경천로),35,0.0,A02,A0203,A02030100,2041031,12,20151113011138,http://tong.visitkorea.or.kr/cms/resource/48/2436648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2436648_image3_1.jpg,128.375458627,36.7023044933,6,20220602135201,7308,16,,예천 출렁다리마을,36832,"낮에는 맑고 청명한 산과 맑은 물을 자랑하며, 밤하늘엔 빛나는 별들과 귓가의 시냇물소리가 있는 아름다운 출렁다리체험마을은 예천군청에서 약 15분정도 소요되며, 마을 공동으로 농사지은 배추를 이용한 김장체험과 특산물 마를 이용한 마깍두기 통하여 건강한 체험을 즐길 수 있으며, 마을 공동체와 지역 농산물을 활용하여 체험객, 관광객, 지역주민을 위한 다양한 체험프로그램과 농촌의 인심과 밥심의 추억을 만들 수 있는 마을이다."
경상북도 예천군 지보면 마산길 313,,35,0.0,A02,A0201,A02010700,1959046,12,20141022230614,,,128.3259229292,36.5508986653,6,20220826141109,2384,16,,완담서원,36851,"1568년(선조 1)에 정구령(鄭龜齡)과 그의 두 아들 정옹(鄭雍), 정사(鄭賜)를 기리기 위하여 풍양면 삼수정(三樹亭)곁에 사당인 삼수리사(三樹里社)를 건립하여 향사를올렸다. 그 후 임진왜란을 겪으면서 사당이 소실되어 버렸다. 임란이 끝난 후 1606년(선조 39)에 삼수의 묘소가 있는 예천군 지보면 마산리 완담(浣潭)에서 유림과 자손들이 완담향사(浣潭鄕社)로 재건하고 상덕사(尙德祠) 사당을 세워, 정환(鄭渙)과 정광필(鄭光弼)을 추향하여 오위를 제향하였다. 그러다가 97년간의 세월이 흐른 1764년(영조 40)에 정영후(鄭榮後)와 정영방(鄭榮邦) 두 분을 더 추향(追享) 하게 되었다.1868년(고종 5)에 서원훼철령으로 훼철되었다가 1998년에 유림과 자손들이 힘을 규합하여 완담향사를 다시 복원해 완담서원(浣潭書院)의 완성을 보게 되었다. 현재 삼수정 아래에는 4세 7현 사적비가 세워져있다."
경상북도 예천군 감천면 덕율1길 15-21,,35,0.0,A02,A0201,A02010700,1959044,12,20141022230326,,,128.5022222609,36.7045982663,6,20220928155457,3514,16,,옥천서원(예천),36811,"1667년(현종 8)에 임춘(林椿)을 향사하기 위해 옥천정사(玉川精舍)로 건립하였으며, 1711년(숙종 37) 유림에서 5동을 건립하고 반유(潘濡), 태두남(太斗南), 송복기(宋福基) 등 3현을 추배하여 4현(四賢)을 배향하여 서원으로 승원되었다. 1868년(고종 5)에 서원훼철령으로 훼철된 것을 1920년 상현사, 명교당을 복원하였고, 1989년 현재의 위치로 이건하였다. 매년 음력 3월 중정(中丁)에 향사를 지내고 있다."
