addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 울릉군 북면 천부리 719-28,,35,0,A01,A0101,A01011400,2714791,12,20210429004648,http://tong.visitkorea.or.kr/cms/resource/62/2009262_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2009262_image3_1.jpg,130.8717999932,37.5408272827,6.0,20220520111423,0,17,,천부항,,"울릉도 북동쪽에 위치한 천부항은 1972년 2월 5일 지방어항으로 지정 고시 되었다. 조선시대 왜인들이 이곳에서 배를 만들고 울릉도의 나무들을 도벌하여 운반 하였던 곳이어서 왜선창이라고 불렸으며, 옛날부터 선창이 있었던 곳이라 예선창이라고도 불렸다. 한때는 울릉도 오징어잡이 배들의 중심 어항이었으나 현재는 많이 쇠락하였다. 주변 관광지로 나리분지, 삼선암, 관음굴, 천부동의 풍혈 등이 있다."
경상북도 울릉군 북면 울릉순환로 3136-3,,35,0,A02,A0205,A02050600,2616158,12,20190821005558,,,130.8744025018,37.5420049799,6.0,20221012171430,0,17,,천부해중전망대,40211,천부해중전망대는 우리나라에서 유일하게 수중에 있는 전망대이다. 천부소공원과 이어진 다리에 올라 바다 쪽으로 향하면 그 끝에 원통형 모양의 천부해중전망대가 있다. 해중전망대는 높이 총 22.2m로 계단을 따라 수심 6m까지 내려간다. 바다를 볼 수 있게끔 설치한 전망창을 통해 자연 그대로의 바다 속을 관찰할 수 있다. 창 앞에는 먹이통을 설치해 놓아서 물고기들을 쉽게 볼 수 있다.
경상북도 울릉군 서면 남서리,,35,0,A02,A0205,A02050600,2616157,12,20190821005205,,,130.8249256905,37.4765975448,6.0,20220405145743,0,17,,남서일몰전망대,40233,"울릉군 남서리에 있는 산에 위치한 남서일몰전망대는 해발고도 150m 지점에 있다. 망향봉의 독도전망대, 저동리의 내수전전망대와 함께 일출과 일몰이 뛰어난 대표적인 전망대로 손꼽히고 있다. 전망대에 서면 사태구미 해안변에 단애절벽이 병풍처럼 펼쳐지며 바다 위로 떨어지는 일몰 풍경이 절경이다. 전망대 앞쪽에는 소원을 빌면 자식을 볼 수 있고 부부의 정이 깊어진다는 남근바위가 솟아 있으며, 건너편 산자락에서는 색시바위가 있다."
경상북도 울릉군 북면 나리,,35,0,A02,A0205,A02050600,2616149,12,20190821003946,,,130.8570020483,37.5181351266,6.0,20221020140818,0,17,,알봉분지전망대,40209,알봉분지 전망대는 성인봉 등산코스 중 나리분지에서 성인봉으로 가는 코스 중간에 위치해 있다. 나리분지에서 뺍쨍이등대 가는 길 사이에 있으며 알봉분지 전망대에 서면 알봉분지 일대가 한 눈에 보인다.
경상북도 울릉군 북면 천부리,,35,0,A01,A0101,A01011100,2616131,12,20190821001728,http://tong.visitkorea.or.kr/cms/resource/77/2745577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2745577_image2_1.jpg,130.90857146,37.5494187347,6.0,20221208165936,0,17,,"삼선암 (울릉도, 독도 국가지질공원)",40213,"삼선암은 울릉도의 아름다운 해양 절경을 자랑하는 곳으로 일선암, 이선암, 삼선암으로 이루어져 있다. 삼선암은 발달된 주상절리가 파도의 작용을 받아 떨어져나가면서 기둥의 시스택을 이루고 있으며 표면에는 풍화에 의해 벌집처럼 구멍이 생긴 지형인 타포니가 발달해 있다. 특히 이곳에는 울릉도의 빼어난 경치에 반한 세 선녀가 하늘로 돌아갈 시간을 놓쳐 옥황상제의 노여움을 사서 바위가 되었다는 이야기도 전해지고 있다. 특히 세 선녀 중 가장 늑장을 부린 막내선녀가 변한 일선암에는 풀조차 자라지 않는다고 한다.
출처 : 울릉도,독도 지질공원"
경상북도 울릉군 북면 천부리,,35,0,A01,A0101,A01011300,2616077,12,20190820022230,,,130.9214066415,37.5432169354,,20221208165945,0,17,,"관음도 (울릉도, 독도 국가지질공원)",40213,"관음도는 총 면적 71,405m2, 높이 106m, 둘레 약 800m로, 죽도(207,868m2), 독도(187,554m2)에 이어 세 번째로 큰 울릉도 부속섬이다. 현재는 사람이 살지 않는 무인도지만, 2012년 울릉도 섬목지역과 관음도 사이에 걸어서 이동할 수 있는 다리, 즉 연도교가 놓여져 관음도를 도보로 탐방할 수 있게 되었다. 하지만 바람이 세게 불 때는 출입을 통제하기 때문에 반드시 사전에 울릉군청 홈페이지 메인화면에 출입가능여부를 확인하고 가야한다. 관음도는 깍새가 많아 깍새섬이라고도 부르며, 계절별로 다양한 식생이 자리하여 생태탐방지로 추천하는 곳이다.봄에는 보리밥나무 열매, 후박나무 새순, 말오줌나무 꽃, 쑥부지갱이 어린잎을 볼 수 있고, 여름에는 섬바디 꽃, 말오줌나무 열매, 갯까치수염 꽃, 초종용 꽃을 볼 수 있다. 가을에는 억새와 갈대, 보리밥나무 꽃과 연자주색의 왕해국을 볼 수 있으며, 송악, 감탕나무와 후박나무, 동백나무 꽃을 볼 수 있다. 관음도는 조면암질 용암이 여러 번 분출하여 형성되었으며, 섬의 표면은 부석으로 덮여있다. 관음도 북쪽 하부 해안절벽에는 높이 14m 가량의 두 동굴이 있는데, 이를 관음쌍굴이라고 부르며, 해식으로 조면암에 발달한 주상절리와 수평절리를 따라 암석이 무너져 내려 생성되었다.예전에는 해적의 소굴로 이용되었다고 전해지며, 동굴의 천장에서 떨어지는 물을 받아 마시면 장수한다는 설이 있다.  출처 : 울릉도,독도 지질공원"
경상북도 울릉군 울릉읍 저동4길 476,,35,0,A02,A0205,A02050600,2616076,12,20190820021744,,,130.9083115856,37.5126201626,6.0,20220824105751,2,17,,내수전일출전망대,40214,"울릉도 동쪽 끝에 있는 내수전 고개에 위치한 내수전일출전망대는 해발 440m의 높이에 위치해 있다. 내수전일출전망대 입구에서부터 폭이 좁은 오르막길을 20분 정도 올라가면 이르게 되는 내수전일출전망대에서는 저동항부터 죽도, 관음도 일대를 한 눈에 볼 수 있다. 이곳에서 보는 일출도 장관이지만 저동항의 야경과 밤바다의 어화(漁火 오징어잡이 배의 불빛) 또한 놓쳐서는 안되는 볼거리다. 내수전일출전망대부터 수포전망대까지 편도 2시간 정도의 트레킹 코스가 있으며 울릉도의 숲을 관찰 할 수 있는 생태탐사 코스로도 유명하다."
경상북도 울릉군 서면 태하리,,35,0,A01,A0101,A01011900,2614710,12,20190809010840,http://tong.visitkorea.or.kr/cms/resource/06/2614706_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/06/2614706_image2_1.bmp,130.7979963328,37.5126317493,6.0,20221208165807,0,17,,"황토굴 (울릉군, 독도 국가지질공원)",40200,"화산이 폭발할 때 뿜어져 나온 화산재들이 굳어져 형성된 응회암이 파도에 의한 차별침식을 받아 형성된 해식동굴이다. 동굴의 크기는 높이 6m, 폭 32m, 길이 44m로 바닥은 평탄하고 천장은 반구형 또는 둥근 덮개모양이며, 천장을 이루는 조면암은 냉각되는 과정에서 수축하여 울퉁불퉁한 벽면을 만들었다. 동굴 내부 응회암이 붉은색을 띠는 이유는 응회암에 포함된 광물이 변질되는 과정에서 철이 빠져나와 생성된 산화철 입자가 응회암에 골고루 퍼져있기 때문이다. 옛날 울릉도로 파견된 관리들이 실제 울릉도를 다녀왔다는 증거로 이곳의 향토와 향나무를 바치게 했다고 전해지며, 아홉가지 맛을 낸다는 의미로 황토구미라고 부르기도 한다."
경상북도 울릉군 서면 학포길 166-29,,35,0,A01,A0101,A01011100,2614704,12,20190809010253,http://tong.visitkorea.or.kr/cms/resource/01/2614701_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/01/2614701_image2_1.bmp,130.8050459617,37.5049522193,6.0,20221207140216,0,17,,"학포해안 (울릉도, 독도 국가지질공원)",40203,"학포는 아름다운 해안과 더불어 울릉도 개척역사를 기록한 유적이 있는곳으로도 유명하다. 학포해안에는 해변을 따라 집괴암, 응회암, 조면암층이 분포되어 있는데, 상대적으로 단단한 조면암층은 파도에 의해 침식되지 못하고 남아 곶(바다로 튀어나온 육지)을, 집괴암과 응회암층은 풍화와 침식에 약해 깎여져 해변쪽으로 움푹 들어간 만(바다가 육지로 들어간 곳)을 형성한다. 또한 학포해안에는 해식절벽이 발달하는데, 수직방향으로 발달한 주상절리 아랫부분이 침식되면 절벽 위쪽이 중력에 의해 붕괴되는데, 이 과정이 반복되면서 가파른 절벽이 만들어진다. 인근 학포야영장을 이용한다면 학포 정취를 더욱 만끽할 수 있다."
경상북도 울릉군 서면 태하리,,35,0,A01,A0101,A01010500,2614692,12,20190809004400,http://tong.visitkorea.or.kr/cms/resource/77/2752377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2752377_image2_1.jpg,130.8039039436,37.5187311739,6.0,20221208165824,0,17,,"태하 해안산책로 및 대풍감 (울릉도, 독도 국가지질공원)",40200,"태하 해안산책로는 황토굴 옆 교량을 올라가면 만날 수 있으며, 교량벽면에는 태하 마을 이야기 및 포토존으로 꾸며져 있다. 태하 해안산책로는 조면암과 집괴암으로 이루어져 있고, 해풍에 의해 특이하게 침심된 지형이 발달하여 수려한 해안절경을 자랑한다. 특히 이곳에는 타포니가 발달해 있는데, 해풍에 포함된 소금이 암석 틈으로 들어가 화학적 풍화작용으로 만들어진 벌집처럼 구멍이 생긴 지형을 말한다. 한편 태하향목관광모노레일을 6분정도 타고 올라간 후 산책로를 20분 정도 가면 울릉도등대(태하등대) 및 향목지질스카이워크가 있다.향목지질스카이워크에서 바라본 북면 해안은 월간지 '산'에서 우리나라의 10대 비경으로 꼽은 곳이다. 대풍감에 자생하는 향나무들은 주상절리, 즉 암석 틈이 풍화되어 만들어진 소량의 토양에 뿌리를 내려 자라면서 오랫동안 육지와 격리되어 독특한 생태환경을 이루었으며, 그 가치가 높아 천연기념물로 지정되었다."
