addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 울진군 등기산길 40,,35,,A02,A0202,A02020700,2912298,12,20221118111728,http://tong.visitkorea.or.kr/cms/resource/93/2912293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2912293_image3_1.jpg,129.4621738391,36.6817691999,6.0,20221118111748,0,18,,후포근린공원,36369,후포근린공원은 경상북도 울진군 후포면 후포리에 있다. 매년 1월 1일에 해맞이 행사가 열리는 곳이다. 계단을 올라 망사정이란 명칭을 지닌 정자에 닿으면 울진 앞바다의 수려한 풍광이 눈 앞에 펼쳐진다. 등기산 보행교를 건너 스카이워크에 닿으면 발아래 아찔한 바다의 풍경도 감상할 수 있다. 주변에 후포리 벽화마을과 후포 해변이 있어 연계 여행에 나서기 수월하다.
경상북도 울진군 근남면 엑스포로 25,,35,0.0,A01,A0101,A01010400,2783459,12,20211130194814,http://tong.visitkorea.or.kr/cms/resource/74/2783574_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2783574_image2_1.jpg,129.4011178185,36.9687519145,6.0,20220720143121,1,18,,울진왕피천케이블카,36333,왕피천케이블카는 울진 왕피천의 아름다운 풍경을 즐기기에 아주 좋은 방법이다. 하늘에서 바라보는 드넓게 펼쳐지는 푸른 바다와 왕피천의 풍경은 그야말로 장관이다. 크리스털 케이블카를 타면 투명한 바닥 아래로 바다가 보여 스릴을 즐길 수 있다.
경상북도 울진군 기성면 구산봉산로 105-2,,35,0.0,A02,A0201,A02010100,2782886,12,20211129232639,http://tong.visitkorea.or.kr/cms/resource/01/2794601_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2794601_image2_1.jpg,129.4702540694,36.7612908473,6.0,20211214030956,0,18,,대풍헌,36354,"조선 시대 울릉도를 관리하던 수토사들이 구산포에서 울릉도로 가는 도중에 순풍을 기다리며 머물렀던 건물이다. 정확한 건립연대는 확인할 수 없으나 구산동사 중수기에 의하면 1851년(철종 2년) 중수하고 '대풍헌'이라는 현판을 걸었다는 기록이 남아있다. 정면(남쪽) 4칸, 우측면(서쪽) 4칸, 좌측면(동쪽) 3칸의 일자형 팔작집으로 동해안 해변의 작은 포구 구산리 마을 중심부에 남향으로 자리 잡고 있으며, 현재 마을 주민들의 집회장으로 이용되고 있다."
경상북도 울진군 울진읍 연지길 30,,35,0.0,A02,A0203,A02030600,2753977,12,20211006233442,http://tong.visitkorea.or.kr/cms/resource/05/2754205_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2754205_image2_1.jpg,129.4088385136,36.9964600064,6.0,20221114174747,2,18,,울진과학체험관,36324,"울진과학체험관은 울진 군민들의 휴식처인 연호정 호숫가에 있다. 이곳은 정기적으로 관내 미취학 아동 및 초·중·고등학생 중심의 과학 체험 교실을 개설한다. 이를 통해 과학 원리 이해와 창의력 계발, 과학 실험, 로봇 제작 등을 진행한다. 주요 체험 프로그램으로는 자이로포크, 가상현실 낚시게임, 유아용 놀이시설, 4DVR 영상관, 미러룸, 에임즈룸, 증강현실피팅룸 등이 있다."
경상북도 울진군 기성면 사동항길 340,,35,0.0,A01,A0101,A01011400,2753974,12,20211006233153,http://tong.visitkorea.or.kr/cms/resource/99/2754199_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/99/2754199_image2_1.JPG,129.4470097568,36.8252330978,6.0,20221116174458,1,18,,사동항,36347,"사동항은 1971년 국가 어항으로 지정됐다. 이곳은 10t급 어선 120여 척을 수용할 수 있는 항구다. 북방파제 716m, 남방파제 250m, 방사제 80m, 어선 부두 350m 등으로 이루어져 있다. 등대 주변에는 낚시를 즐기는 사람이 많다. 아울러 등대 사이에서 해가 떠오르는 모습이 장관이라 취미 사진가들의 방문이 잦다."
경상북도 울진군 죽변면 등대길 74-14,,35,0.0,A01,A0101,A01011200,2753965,12,20211006232455,http://tong.visitkorea.or.kr/cms/resource/32/2754232_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/32/2754232_image2_1.png,129.4285431897,37.0591060004,6.0,20220627175503,0,18,,하트해변,36315,"하트해변은 죽변등대 인근에 자리 잡고 있다. 울진 앞바다의 절경을 감상할 수 있어서 많은 사람이 찾는다. 전망대에 서면 울진 앞바다의 풍경을 한눈에 조망할 수 있다. 풍경이 멋져서 기념사진을 남기는 사람이 많다. 이곳은 2004년 SBS에서 주말 특별기획 드라마로 방영된 '폭풍 속으로' 촬영지이기도 하다. 드라마에는 김석훈, 송윤아, 김민준, 엄지원, 이덕화 등이 출연했다. 드라마의 세트장 뒤에 하트 모양의 해변이 있다."
경상북도 울진군 기성면 망양리,,35,0.0,A01,A0101,A01011200,2753950,12,20211006230359,http://tong.visitkorea.or.kr/cms/resource/54/2754154_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2754154_image2_1.jpg,129.419730794,36.8525488916,6.0,20220622154349,0,18,,기성망양해수욕장,36347,"기성망양해수욕장은 하늘을 향해 시원스럽게 뻗은 해송과 넓은 백사장이 어우러진 곳이다. 수질이 매우 깨끗하고 백사장이 넓은 것이 장점이다. 송림이 우거진 숲에서 야영과 민박이 가능하다. 여름 오징어 철에는 도로변 양쪽으로 오징어를 건조하는 '오징어거리' 가 형성되는 진풍경을 볼 수 있다. 또한 망양정 옛터가 마을 앞에 있어 옛 관동팔경의 진수를 엿볼 수 있다. 백암온천과 덕구온천이 40분 거리에 있다. 남쪽으로는 구산항, 북쪽으로는 오산항이 있어 신선한 해산물 요리를 손쉽게 먹을 수 있다."
경상북도 울진군 북면 나곡리 33-1,,35,0.0,A02,A0202,A02020100,2753918,12,20211006223603,http://tong.visitkorea.or.kr/cms/resource/57/2754157_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2754157_image2_1.jpg,129.377315395,37.117920483,6.0,20221111144432,2,18,,나곡낚시공원 (바다낚시공원),36304,"나곡낚시공원은 깎아지른 절벽들이 빚어놓은 풍경을 감상하기 좋은 곳이다. 갯바위와 암초가 잘 발달해 낚시인들 사이에 명당으로 알려진 곳이다. 이곳에서는 벵어돔, 감성돔, 노래미, 가자미, 볼락 등이 주로 잡힌다. 낚시공원까지는 해안가와 절벽을 따라 산책로로 활용할 수 있는 데크가 설치되어 있다. 낚시공원에 들어가는 입구에는 나곡어촌체험마을이 있어 스킨스쿠버 체험 등 바다와 관련된 많은 체험을 할 수 있다."
경상북도 울진군 울진읍 현내항길 258,,35,0.0,A01,A0101,A01011400,2738002,12,20210831201401,,,129.4110298957,36.9994485968,6.0,20210917020830,0,18,,울진항,36321,울진항은 소규모 어항인 어촌정주어항으로 과거 명칭은 현내항이었다. 이곳은 2021년 우수 귀어귀촌인 및 어(漁)울림마을 선정평가에서 최우수상을 수상했다. 원주민과 귀어인의 화합이 돋보이는 이곳은 낚시객들의 방문이 잦다. 울진항 갯바위나 방파제에서 미끼를 던지면 감성돔이 잡히기 때문이다. 고즈넉한 분위기라서 울진 여행길에 잠시 들러 풍경을 감상하는 관광객도 꽤 있다.울진항은 여러 음식점과 숙박업소가 성업 중인 울진 시내와 가까운 거리에 자리 잡고 있다. 게다가 봉평해수욕장과 망양정해수욕장까지 이동하기 수월해 연계 관광이 가능하다.
경상북도 울진군 기성면 기성본길 117-4,,35,0.0,A01,A0101,A01011400,2737998,12,20210831201102,,,129.4541291544,36.8058493379,6.0,20221111162445,0,18,,기성항,36348,"기성항은 1984년 지방 어항으로 지정됐다. 이곳은 관광객 가운데 낚시를 즐기는 사람들이 많이 찾는다. 낚시객들은 주로 430m가량의 방파제 이곳저곳에서 낚시를 한다. 기성항 방파제에선 감성돔과 벵에돔이 많이 잡힌다고 알려졌다. 출조하는 어선을 타고 먼바다로 나가면 가자미, 숭어, 양미리 등도 낚을 수 있다.기성항에서 북쪽으로 방향을 잡고 이동하면 기성망양해수욕장이 있고, 남쪽으로 내려가면 구산해수욕장이 있어 연계 관광이 쉽다."
