addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 의성군 금성면 산운마을길 40-9,,35,0,A02,A0201,A02010600,2781613,12,20211126195646,http://tong.visitkorea.or.kr/cms/resource/12/2794612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2794612_image2_1.jpg,128.7020288273,36.2447266745,6,20221115092910,0,19,,산운마을,37352.0,"경상북도 의성 산운마을은 400여 년의 역사를 이어온 영천 이 씨 집성촌으로 대감 마을로도 불린다. 조선 선조 때 강원도 관찰사를 지낸 학동 이광준이 정착해 마을을 이뤘고, 이후 내리 3대가 급제를 하는가 하면 광해군 때 승지를 지낸 경정 이민성, 현종 때 형조판서를 지낸 운곡 이희발 등을 배출하며 명문으로 이름이 높였다. 일제강점기에는 독립운동가인 경산 이태직이 충절과 명예를 지켜내기도 했다. 산운마을은 수많은 전설을 간직한 금성산을 뒤에, 비봉산을 옆에 두고 마을 남쪽으로는 쌍계천이 흘러 전형적인 배산임수의 풍수명당이다. 마을 이름이 산운이 된 이유는 불교가 융성했던 신라시대 때 수정계곡 아래 구름이 감도는 것이 보였다 하여 붙여진 이름이다. 마을 내에 학록정사와 운곡당, 소우당, 점우당 등 지정문화재와 전통가옥이 다수 남아 있어 볼거리가 많다."
경상북도 의성군 신평면 덕봉리,,35,0,A01,A0101,A01011800,2781572,12,20211126192916,http://tong.visitkorea.or.kr/cms/resource/10/2794710_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2794710_image2_1.jpg,128.5440253354,36.4683454816,6,20221115100326,0,19,,의성가음지,37315.0,"경상북도 의성의 가음지는 월척 방죽으로 유명하다. 수심이 완만하고 수량이 풍부해서 잉어와 가물치, 참붕어, 떡붕어, 쏘가리, 메기 등이 다수 서식하기 때문이다. 다른 지역 저수지에서는 낚시가 금지되어 있지만 의성군은 지역 홍보와 지역 경제 활성화를 위해 저수지 낚시를 허용하고 있다. 덕분에 가음지는 낚시 애호가들이 즐겨 찾는 포인트로 명성이 자자하다. 그뿐만 아니라 봄철에는 아름다운 벚꽃이 피고 초여름에는 둑 언덕에 노란색 금계국이 한가득 펴서 계절의 정취를 즐기기에도 그만이다. 잔잔한 물결의 저수지를 바라보는 것만으로도 눈과 마음이 편안해지는데, 주변으로 한적한 시골마을 풍경까지 눈에 담을 수 있어 더욱 정겹다. 현지인들에겐 드라이브 코스로도 인기고 산책하기에도 좋다"
경상북도 의성군 사곡면 의성사곡로 993,,35,0,A02,A0202,A02020700,2750401,12,20210928185218,,,128.7903276052,36.3058130492,6,20210928191346,0,19,,(구)사곡중학교 메밀꽃밭(허수아비공원),,"옛 사곡중학교 터에 건물은 모두 허물고 운동장에 메밀꽃 꽃밭이 조성되어 있다. 메밀꽃 뿐만 아니라 한쪽 편에는 칸나가 있고, 다른 편에는 코스모스가 피어있다. 군데군데에는 시골에서만 볼 수 있는 허수아비들이 자리를 지키고 있다. 바람개비들도 줄지어 세워져있어 포토존으로 이용할 수 있다. 안쪽에는 마늘로 된 돼지모형도 있다."
경상북도 의성군 사곡면 의성사곡로 1064-62,,35,0,A02,A0202,A02020700,2738075,12,20210831231401,http://tong.visitkorea.or.kr/cms/resource/48/2738348_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2738348_image2_1.jpg,128.8026763811,36.3104210905,6,20221129153434,0,19,,달빛공원,37347.0,"달빛공원은 2012년 조성되었다. 
의성 달빛공원 주변에 주월사라는 절이 있다. 주월사는 달이 머무는 절이라 하여 지어진 명칭이고, 주월사 인근에 공원을 조성하였다 하여 달빛공원이라 명명되었다. 
해 질 무렵엔 주월사를 방문하고 어둠이 깔리면 공원으로 나와 별자리를 찾아보면서 지친 마음을 달래기 좋다."
경상북도 의성군 점곡면 중리들길 14-33,,35,0,A01,A0101,A01010900,2738039,12,20210831224714,http://tong.visitkorea.or.kr/cms/resource/62/2738462_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2738462_image2_1.jpg,128.7465225856,36.4222184212,6,20221007170815,0,19,,의성점곡계곡,37321.0,"장마·소나기 등 폭우 시 출입금지 및 야영객 철수조치  코로나로 인해 튜브·구명조끼 대여 중단	
의성점곡계곡은 점곡면 사촌리 667번지에 위치한 계곡이다.
상·하류, 2개 구역으로 나누어져 있고 모두 안전요원이 배치되어 있다.
암석 절벽 앞으로 계곡물이 흐르고 계곡 앞에는 캠핑을 할 수 있는 넓은 공터가 있다.
주차장, 화장실이 갖추어져 있으며 입장료, 주차장 이용료 등은 모두 무료이다.
운영 시간은 정해져 있지 않고 날씨가 맑으면 자유롭게 입장이 가능하다."
경상북도 의성군 신평면 왜가리길 1185,,35,0,A01,A0101,A01010500,2720029,12,20210608210138,,,128.5279818491,36.4846766522,6,20220414103457,0,19,,의성왜가리생태마을,37315.0,"경북 의성군에 위치한 왜가리 전통 생태마을은 자연생태관광과 체험에 대한 관심이 늘어남에 따라 조성된 관광지다. 의성 청학마을은 오래 전부터 왜가리와 백로가 서식하는 곳으로 잘 알려졌으며, 이에 따라 민가와 떨어진 곳에, 생태 체험이 가능한 관광지로 조성되었다. 공기 좋은 곳에서 휴식할 수 있으며, 아이들과 함께 가면 의성왜가리생태관에서교육 프로그램을 체험하기에도 좋다."
경상북도 의성군 단북면 안계길 255-13,,35,0,A02,A0203,A02030600,2705361,12,20210204020305,,,128.4273128684,36.3922297676,6,20221205172323,0,19,,의성 펫월드,37372.0,"반려동물 1000만 시대를 맞이하여 조성된 의성 펫월드는 반려가족이 편하게 쉴 수 있는 공간이다. 반려가족이 자연과 함께 즐길 수 있는 넓은 공간에 반려견 실내·외 놀이터, 도그풀장, 쉼터, 중앙광장, 오토캠핑장, 수변 산책로 등으로 구성하여 전국 최대 규모의 반려동물 전용 시설로 태어났다. 다양한 즐길거리와 힐링이 있는 테마형 복합문화공간으로 반려 동물 문화와 복지의 발전을 지향한다."
경상북도 의성군 단촌면 장터길 29-6,,35,0,B01,B0102,B01020200,2674622,12,20201005195523,,,128.6754733514,36.4213616298,6,20221212132317,0,19,,단촌역,37327.0,"중앙선에 있는 역으로 운산역과 업동역 사이에 있다.
1940년 3월 1일 영업을 개시하였다. 2001년 보통역으로 승격되었으나, PC 침목 제작 회사가 부도나면서 2007년부터 화물 취급을 중지하였다. 2008년 10월 무배치간이역으로 격하되었다. 이후 현재 이 역에는 모든 열차가 통과하며 여객 취급도 중지되었다. 2013년 11월 김용락 시인의 '단촌역' 시비가 건립되어 역내에 있다."
경상북도 의성군 금성면 대리리,,35,0,A02,A0201,A02010700,2629038,12,20191023010706,http://tong.visitkorea.or.kr/cms/resource/15/2631315_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/15/2631315_image2_1.bmp,128.67262526,36.2662459005,6,20220721132537,0,19,,의성 조문국사적지,37355.0,"의성은 지리적으로 경주에서 한강 유역으로 진출하는 중요 교통로에 위치하여, 당시 신라에서는 이곳을 매우 중요한 지역으로 인식하였을 것이며 이러한 사실은 의성에서 현존하는 대규모의 고총에서도 확인된다. 금성산 고분군은 현재 행정 구역상 대리리, 탑리리, 학미리로 구분되지만, 하나의 능선에 지속적으로 조성된 대규모 고분군이다. 이는 4세기 후반에서 6세기 중반에 만들어진 것으로 발굴전문기관에 의해 총 7회에 걸쳐 발굴조사가 이루어 졌다. 이 일대에는 조문국 경덕왕이라 전해지는 고분을 포함해 약 374기의 고분이 분포되어 있는 것으로 확인된다. 발굴 조사 결과 확인된 유물의 다수는 의성양식토기 이지만 금동관, 금동장식, 은제관식 등이 출토되었다. 의성군 금성면 일대는 오랫동안 조문국의 도읍지였으며  이를 증명하는 대규모 고분의 축조, 수준 높은 위세품 등에서 확인되며 의성조문국박물관에서 전시 보관 중이다.또한 대리리 2호분 내부 모습을 재현한 고분전시관에는 출토유물, 순장문화를 통해 당시 매장 풍습을 엿볼수 있다.대리리 고분군 내 의성작약단지(4800㎡)를 조성해 5월 중순부터 많은 관람객들을 맞이 하고 있다. 또한 계절별 꽃단지를 조성하여 연중내내 지역문화유산관람과 함께 다양한 볼거리를 제공 한다. 금성면 일대에는 수정사와 금성산 등산로가 잘 정비되어있다."
경상북도 의성군 점곡면 점곡길 15-8,,35,0,A02,A0201,A02010700,1959458,12,20141023194904,,,128.7615100336,36.4261293689,6,20220826141022,1844,19,,후산정사,37321.0,"김사원이 세상을 떠나자 그의 덕망을 추모하여 후손들이 안동 도산에 천산정사를 세웠으며, 1758년(영조 34)에 다시 후산으로 옮겨 세웠다. 1868년(고종 5) 흥선대원군의 서원철폐령에 따라 철거되었으나, 1990년 중건추진회를 발족하여 1991년 7월 후산정사로 중수하였다. 경내에는 외삼문, 중정당, 사당 등이 세워져 있으며, 해마다 춘추정일에 유림들이 모여 제사를 지낸다. 향사인물 김사원은 자 경인(景仁), 호 만취당(晩翠堂), 본관은 안동이다. 천성이 어질고 부모에게 효도하여 많은 사람들에게 사랑과 공경을 받았으며, 자라서는 퇴계 이황의 문하에 들어가 벼슬에 뜻을 두지 않고 학문에 전념하였다. 임진왜란이 일어나자 유림의 추대로 의성 정제장(整齊將)으로 활약하였으며 전쟁통에 집을 잃은 백성들을 도왔다."
경상북도 의성군 봉양면 장대1길 34,,35,0,A02,A0201,A02010700,1959155,12,20141023005414,,,128.6178711677,36.2875285692,6,20220906154210,1688,19,,장대서원,37361.0,"이 서원은 1610년(광해군 2)에 국란의 극복과 선정을 베푸는데 앞장선 신지제(申之悌)가 후진을 가르치기 위하여 강당을 짓고 강서(講書)하던 곳이다. 장현광(張顯光)이 藏待取藏 修以待之意也장대취장 수이대지의야라 하여 장대서당(藏待書堂)으로 이름하였다. 1623년에 신지제가 63세로 돌아간 뒤 인근 지방의 사림들이 그의 덕을 받들어 모시는 곳이 없는 것을 안타깝게 여겨 1672년(현종 13)에 사당을 세워 경현사(景顯祠)라 하고 제향하였다. 1673년에(현종 14)는 정묘호란 때의 좌도의병장 이민성(李民宬)을 병향하였다. 1702년(숙종 28) 장대서원으로 승격하고 김광수(金光粹)와 신원록(申元祿)을 추향하였다. 1868년(고종 5)에 훼철되었던 것을 1987년에 묘우,1996년에 강당을 복원하였다. 향사는 매년 음력 2월 하순 천간이 정(丁)으로 된 날에 지내고 있다."
경상북도 의성군 의성읍 북부길 355-20,,35,0,A02,A0201,A02010700,1959062,12,20141022233355,,,128.6754744078,36.3845074948,6,20220826111552,1251,19,,우곡서원,37330.0,"1818년(순조 18)에 지방유림의 공의로 오국화(吳國華)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 선현배향과 지방교육의 일익을 담당하여오던 중 1868년(고종 5)에 대원군의 서원철폐령으로 훼철되었다가 1980년에 복원하였다. 경내의 건물로는 3칸의 숭절사(崇節祠), 8칸의 숭의당(崇義堂), 신문(神門), 각 3칸의 동재(東齋)와 서재(西齋), 2칸의 전사청(奠祀廳), 정문(正門), 7칸의 주소(厨所) 등이 있다. 사우인 숭절사에는 오국화의 위패가 봉안되어 있다. 숭의당은 서원의 강당으로 중앙의 마루와 양쪽 협실로 되어 있는데, 원내의 여러 행사와 유림의 회합 및 학문 강론 장소로 사용하고 있다. 신문은 향사 때 제관(祭官)의 출입문으로 사용하고 있고, 전사청은 제수(祭需)를 마련하는 곳으로 사용하고 있다. 동재는 재원 숙소로, 서재는 유생들이 모여 공부하는 장소로 사용하고 있다. 이 서원에서는 매년 3월에 향사를 지내고 있으며, 제품(祭品)은 4변(籩) 4두(豆)이다. 재산은 전답 6,000평 등이 있다."
경상북도 의성군 단밀면 주속길 116-6,,35,0,A02,A0201,A02010700,1958933,12,20141022193031,,,128.3826116367,36.3797386965,6,20220817143333,927,19,,속수서원,37374.0,"1506년(중종 1)에 손중돈(孫仲暾)이 상주목사로 부임하여 선정을 베풀었는데, 백성들이 진정으로 다시 연임이 되어 선정을 펴다가 승지로 영전되어 간 뒤에 백성들은 그의 공적을 못잊어 1509년(중종 4)에 생사당(生祠堂)을 지었다. 그 후 1592년 (선조 25) 때 병화로 불타 없어진 것을 지방의 유림들이 선대의 유지를 받들어 1656년(효종 7)에 다시 경현사(景賢祠)를 개설하여 고려 말 전라도안렴사로 선정을 베풀고 고려조를 위하여 절의를 지켰으며, 효자로 조정에까지 알려진 신우(申祐)를 주벽으로 하고 손중돈을 함께 배향하였다. 이때에 서원의 이름도 속수(涑水)로 개칭하였다. 1703년(영조 6)에는 김우굉(金宇宏)과 조정(趙靖)이 추향되고 1826년(순조26)에는 조익(趙翊)도 추향되었다. 1868년(고종 5)에 대원군의 서원철폐령에 의하여 매판소만 남아 있다가 1971년 3월에 세 문중의 후손인 조성학, 신기성, 김영해 등이 주역이 되어 지방 유림과 유지들의 협력으로 속수명륜당(涑水明倫堂)을 중건하고, 1989년에는 경현사(景賢祠)를 복원하게 되었다. 1971년에 세문중의 후손들이 주역이 되어서 속수명륜당과 사당을 세웠다. 1983년 봄부터 향사를 지내고 있다."
경상북도 의성군 춘산면 빙계계곡길 80,(춘산면),35,0,A02,A0201,A02010700,1958867,12,20141022182509,,,128.7540802811,36.2271629776,6,20220526140227,2927,19,,빙계서원,37349.0,"신원록(申元祿)이 그의 스승 주세붕(周世鵬)이 우리나라 최초로 백운동에 서원을 세워 인재를 양성할 때, 그의 문하에서 수학하고 돌아와 백씨인 정은 신원복(申元福) 과 상의하여 인재교육을 위해 장천(長川) 위에다 터를 잡아 서원을 짓기 시작했다. 1566년(명종 11) 장천서원(長川書院)이 의성읍에 건립되었으나, 임진왜란으로 소실되자 7년 뒤인 1600년(선조 33) 유림에서 현재 위치로 옮기기로 결정하고, 이듬해 원묘(院廟)를 준공하고 원액(院額)을 빙계(氷溪)로 고쳤다. 이 때 이언적을 김안국과 함께 제향 하였으며, 1689년(숙종 15)에는 향리의 선비들이 진소(陳疏)하여 의성과 관련이 깊은 유성룡(柳成龍), 김성일(金誠一), 장현광(張顯光) 등을 추향하게 되었다. 그 뒤 1814년(순조 14)에 원묘(院廟)를 중수하였다. 고종 때 훼철된 후 빈터만 남아 있다가, 유교문화권 관광개발사업으로 2006년에 복원되었다."
