addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 청도군 청려로 170-111,,35,,A02,A0203,A02030400,2932774,12,20221214132153,http://tong.visitkorea.or.kr/cms/resource/16/2932716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2932716_image3_1.jpg,128.5511927691,35.6255440292,6.0,20221214132239,0,20,,나무이야기 영농조합법인,38305,"경북 청도군 풍각면의 낭만적인 산골짜기에서 힐링과 함께하는 나무이야기이다.
목가구 교육체험공방을 운영하고 있으며, 원앙이 서식하는 예쁜 원앙지에서 부담없이 즐길 수 있는 캠프닉 공간도 운영하고 있다.
사계절 자연체험과 힐링 목공체험이 가능하다."
경상북도 청도군 운문면 운문사길 264,,35,0.0,A02,A0201,A02010800,2753971,12,20211006233018,http://tong.visitkorea.or.kr/cms/resource/43/2754243_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2754243_image2_1.jpg,128.9606641833,35.6613781,6.0,20211007010059,0,20,,사리암,38368,"사리암은 고려 초의 고승 보량국사가 930년 창건하였고, 1845년에 정암당 효원대사가 중창했다. 1924년에 증축, 1935년에 중수하였다. 이곳은 나반존자 기도처로 널리 알려져 있는데, 나반존자는 부처님이 돌아가신 후 미륵불이 출현하기까지 부처님이 계시지 않는 동안 중생을 제도하려는 원력을 세운 분이다. 사리암에는 쌀이 나오다가 물이 나오게 되었다는 전설을 지닌 사리굴, 나반존자상이 봉안된 천태각 등이 있다.사진 출처: 청도군 SNS 홍보단 엄윤숙 기자"
경상북도 청도군 운문면 신원리1809,,35,0.0,A01,A0101,A01010900,2753964,12,20211006232143,http://tong.visitkorea.or.kr/cms/resource/66/2754266_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2754266_image2_1.jpg,129.0014464134,35.6723970619,6.0,20221115105106,0,20,,삼계리계곡,38368,"경북 청도군 운문면과 경남의 언양을 잇는 도로를 따라 펼쳐진 삼계리계곡은 널리 알려져 있다. 이 계곡은 배너미, 생금비리, 개살피라는 세 계곡으로 이뤄져 있어 삼계계곡으로 부른다. 도롯가에서 언뜻 보기에는 여느 계곡과 다름없이 평범해 보이지만 도로 아래로 조금만 내려가면 다른 세계가 펼쳐진다. 계곡 좌우에 늘어선 갖가지 형태의 바위, 그 앞을 완전히 덮고 있는 울창한 숲, 가지산에서 발원하는 계곡물은 산자락 곳곳에서 흘러드는 물과 합쳐져 급류와 폭포를 이루고 있다. 운문댐을 거쳐 운문사 쪽으로 가다가 문명분교 앞 삼거리에서 왼쪽 언양가는 길로 6km쯤에 계곡이 시작되는 곳이 삼계리 마을이다. 이곳에는 닭, 염소 등의 요리를 취급하는 식당이 여러 군데 있고 민박도 가능하며, 이 길을 따라 계속 가면 언양 석남사가 나온다.사진 출처: 청도군 SNS홍보단 손미혜 기자"
경상북도 청도군 화양읍 연지로 207,,35,0.0,A01,A0101,A01011700,2752596,12,20211001235446,http://tong.visitkorea.or.kr/cms/resource/58/2752558_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/58/2752558_image2_1.JPG,128.6942232915,35.6748327581,6.0,20211008231537,0,20,,유등연지,38326,"유등연지는 청도 8경 가운데 5경으로 이름 높다, 이곳은 신라지 혹은 유호연지라고도 불린다. 둘레가 약 600m이며, 깊이는 2m가량이다. 
이곳은 여름철 만개한 연꽃이 연못에 떠 있는 정자인 군자정과 어우러져 장관을 연출한다. 군자정은 조선시대 모원 이육 선생이 청도에 은거하면서 세웠으며, 당시 연꽃도 함께 심었다고 전해진다.
유등 연지에서는 매년 4월 초파일에 청도 유등축제가 열리며, 매년 음력 8월 18일에는 군자정 강학회가 개최된다.
사진 출처: 청도군 SNS홍보단 진성옥 기자"
경상북도 청도군 화양읍 이슬미로 272-23,,35,0.0,A02,A0202,A02020600,2729992,12,20210803203447,,,128.7182098166,35.6841432611,6.0,20210810183541,0,20,,청도 프로방스,38324,"청도 프로방스 빛축제는 포토랜드, 러브러브 빛축제, 빛의 숲, 걷고 싶은 길, 고흐별빛정원 등으로 이루어져 있으며 내부 곳곳에 프랑스 화가들의 작품이 전시되어 있어 예술적 감성을 느낄 수 있다. 20여 개의 다양한 컨셉으로 사진 촬영을 할 수 있는 셀프 스튜디오, 커피를 이용한 염색 소품점, 사랑스러운 분위기의 포토존과 아기자기한 소품 등 다양한 시설들이 있어 연인과 함께 데이트하기에도 좋다."
경상북도 청도군 운문면 신화랑길 1,,35,0.0,A02,A0203,A02030600,2663350,12,20200713224514,,,128.922335401,35.7181182082,,20211118025111,0,20,,청도신화랑풍류마을,38367,"청도신화랑풍류마을은 화랑의 정신문화체험활동을 특화한 다양한 프로그램과 현대적 의미의 해석을 통한 화랑문화 고유의 정통성과 새로운 신화랑 정신문화가 공존하는 복합문화관광단지입니다. 
청도신화랑풍류마을은 화랑정신이 흐르는 청도의 자연에서 심신을 수양할 수 있는 새로운 전시관과 명상실, 신화랑이 되기 위한 여러 가지 프로그램을 체험할 수 있는 체험 교육실, 실제 과녁에 활을 쏘아 보면서 신라의 화랑을 직접 체험해보는 화랑궁도장, 단체를 대상으로 한 다양한 행사를 위한 대강당과 다목적 연회장, 체류형 고객을 위한 숙박시설인 화랑촌 등 다양한 힐링공간으로 구성되어 있습니다."
경상북도 청도군 화양읍 송금길 100,,35,0.0,A02,A0205,A02050500,2660803,12,20200623232112,,,128.7205615272,35.7151759115,6.0,20221013174213,0,20,,청도 와인터널,38323,"폐 터널을 활용하여 청도 특산품인 반시(감)로 만든 와인의 숙성, 카페로 이용하고 있는 곳이다. 와인터널은 1.01km 길이에 높이 5.3m, 폭 4.5m규모로 15만병이 넘는 와인을 저장, 숙성하고 있다. 바깥 온도에 관계없이 연중 15도의 온도와 7080의 습도를 유지해 와인 숙성 및 보관에 최적지이며, 시원한 곳에서 와인을 맛볼 수 있는 와인터널은 청도군민은 물론 인근 대구 등의 주민들에게 여름 최고의 피서지로 각광을 받았으며, 병마다 자신들만의 사연을 적어 보관할 수 있어 훗날 다시 찾아와 추억을 되살릴 수도 있다. "
경상북도 청도군 청도읍 청화로 214,,35,0.0,A02,A0204,A02041000,2554548,12,20180719202711,,,128.7463669138,35.6395265931,,20220816091653,454,20,,청도역 (철도체험학습장),38341,"stong외갓집으로 가요 청도역 철도체험학습장stong  한국철도공사 코레일은 창의적 미래 인재 육성을 위해 다양하고 수준 높은 교육기회를 제공하고 있으며, 철도의 풍부한 인프라를 활용하여 진로상담, 안전 교육 등 다양한 체험의 장을 마련했다. 청도역 철도체험학습장 견학은 학생 단체를 대상으로 진행하며, 방문 단체 연령대에 따라 교육 내용, 교육 시간 등 프로그램 내용 협의가 가능하다."
경상북도 청도군 풍각면 장기길 7,,35,0.0,A02,A0202,A02020600,2002505,12,20150512005347,http://tong.visitkorea.or.kr/cms/resource/54/2689654_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2689654_image3_1.jpg,128.5837583824,35.6608128661,6.0,20220715160252,8003,20,,청도 성수월마을,38306,"한적한 풍경이 매력적인 성곡댐 주변 자전거 트래킹은 외지인들에게는 데이트 코스로 알려져 있다. 개그맨 전유성이 운영하는 코메디 극장과 몰래길(약2km)도 빠뜨릴 수 없는 성수월 마을의 방문코스이다. 또한 부녀회에서 운영하는 그린투어센터내 식당에서는 청도 특산물인 미나리로 만든 맛깔스런 음식들도 맛볼 수 있다.   먹거리 : 돼지수육, 미나리비빔밥, 미나리전, 미나리 두부무침, 한우국밥"
경상북도 청도군 이서면 신촌길 110-27,,35,0.0,A02,A0201,A02010700,1959461,12,20141023195151,,,128.6808932201,35.6996547101,6.0,20220422134803,2158,20,,훈령서원,38318,"1699년(숙종 25)에 지방유림의 공의로 박양무(朴楊茂)의 절의와 도학을 추모하기 위해 창건하여 위패를 모셨다. 그 뒤 박계은(朴繼恩)·박맹문(朴孟文)·박란(朴鸞)을 추가 배향하였으며, 선현배향과 지방교육의 일익을 담당하여왔다. 그 뒤 1869년(고종 6)에 대원군의 서원철폐령으로 훼철되었으나 서당(書堂)으로 보존되어 오늘에 이르고 있다. 경내 건물로는 7칸의 정당(正堂), 3칸의 퇴랑(退廊), 그 밖에 고사(庫舍) 등이 있다."
