addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 청송군 청송읍 월외리,,35,,A01,A0101,A01010900,2932025,12,20221128185900,http://tong.visitkorea.or.kr/cms/resource/38/2918238_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2918238_image3_1.jpg,129.1152171946,36.44083995,6.0,20221213171359,0,21,,노루용추 계곡,37424,"노루용추 계곡은 월외리 초입부에서 너구동으로 이어지는 도로변에 있는 계곡으로 주왕산응회암과 도계동층(사암, 이암)으로 이루어진다. 이곳에서는 두 층의 부정합면을 관찰할 수 있으며, 달기폭포와 노루용추 등 수려한 자연 경관을 감상할 수 있다. 그중에서도 달기폭포에서는 수직방향의 틈(수직절리), 수평방향의 틈(수평절리)이 관찰되며, 노루용추에서는 암석의 구성 성분의 차이로 인해 발달(차별침식)한 작은 폭포를 관찰할 수 있다.
  출처 : 국가지질공원"
경상북도 청송군 청송읍 월외리,,35,,A01,A0101,A01010500,2932024,12,20221128185849,http://tong.visitkorea.or.kr/cms/resource/35/2918235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2918235_image3_1.jpg,129.1152171946,36.44083995,6.0,20221213171138,0,21,,청송구과상유문암,37424,"구과상은 한 점으로부터 바늘처럼 가늘고 뾰족한 결정이 방사상으로 성장하여 공처럼 둥근 형태를 이룬 것을 말한다. 청송 구과상 유문암은 마그마가 지표 근처에서 매우 빠르게 식어서 구과상을 이룬 것으로 아름다운 형태가 꽃을 닮았다고 하여 꽃돌이라고 불린다. 꽃돌은 마그마가 식는 속도에 따라 장미, 매화, 해바라기, 국화 등 다양한 형태로 관찰된다.
  출처 : 국가지질공원"
경상북도 청송군 청송로 5865,,35,,A01,A0101,A01010500,2932023,12,20221128185838,http://tong.visitkorea.or.kr/cms/resource/32/2918232_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2918232_image3_1.JPG,129.0266154306,36.4842166583,6.0,20221213171232,0,21,,송강리 습곡구조,37414,"송강리 습곡구조는 선캄브리아 시대(약 5억 4천만 년 이전 시대)에 만들어진 것으로 청송 유네스코 세계지질공원의 지질명소 중 가장 나이가 많은 암석이다. 이곳에서는 암석의 줄무늬가 구불구불 휘어있는 습곡구조를 관찰할 수 있다. 이러한 습곡구조는 지하 깊은 곳에서 만들어진 암석이 지표로 상승하는 동안 경험한 변동의 기록으로, 이는 청송이 경험한 지각변동의 특성을 학술적으로 이해하고 규명하는데 매우 중요한 의미를 지닌다.
  출처 : 국가지질공원"
경상북도 청송군 백석탄로 643,,35,,A01,A0102,A01020200,2932022,12,20221128185827,http://tong.visitkorea.or.kr/cms/resource/22/2918222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2918222_image3_1.jpg,129.0042659155,36.3443960312,6.0,20221213171525,0,21,,만안자암 단애,37449,"깎아지른 절벽이 병풍처럼 펼쳐져 있어 신성계곡의 대표적인 절경 중 하나로 꼽히는 만안 자암 단애는 청송군 안덕면 만안 마을에 있는 붉은 바위 절벽을 의미한다. 자암을 이루는 암석은 중생대 백악기의 퇴적암으로 수직 방향으로 암석에 생긴 틈인 절리가 많이 발달하며, 퇴적구조는 찾아보기 어렵다. 자암의 붉은 색은 못이 시간이 지나 붉게 녹스는 것과 같이 암석에 포함된 철 성분이 지표면에서 오랜 세월동안 풍화를 받으며 산소와 만나 산화하면서 붉게 변한 것이다.
  출처 : 국가지질공원"
경상북도 청송군 현서면 수락리,,35,,A01,A0101,A01010500,2932021,12,20221128185815,http://tong.visitkorea.or.kr/cms/resource/15/2918215_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2918215_image3_1.jpg,128.9346035564,36.2156176792,6.0,20221213171326,0,21,,수락리 주상절리,37465,"일반적으로 기둥 모양의 주상절리는 용암이 식어 만들어진 현무암에서 흔히 발달한다. 하지만 수락리의 주상절리는 중생대 화산폭발로 분출한 화산재가 쌓여 굳어진 응회암에 발달해 있다. 주상절리는 위에서 보면 사각형에서 육각형의 형태를, 옆에서 보면 돌기둥이 수직으로 줄 서있는 모습을 띈다.
  출처 : 국가지질공원"
경상북도 청송군 현동면 월매리,,35,,A01,A0101,A01010500,2932020,12,20221128185802,http://tong.visitkorea.or.kr/cms/resource/13/2918213_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/13/2918213_image3_1.JPG,129.0175909059,36.2077618036,6.0,20221213171456,0,21,,면봉산 칼데라,37458,"칼데라는 스페인어로 큰 솥이라는 의미로, 지질학에서는 솥 모양의 분지 지형을 말한다. 화산폭발로 마그마가 지표면으로 올라오면 마그마가 고여 있던 지하에 빈 공간이 발생한다. 이로 인해 마그마가 지지하고 있던 위쪽 땅이 무너져 솥 모양의 칼데라 지형이 만들어진다. 화산활동이 활발하던 중생대 면봉산 지역에는 지름이 약 10km에 달하는 칼데라가 있었다. 최고 820m까지 함몰되었던 이곳 칼데라는 오랜 세월 동안 깎여 사라지고 그 흔적만 기록되어 있다.
  출처 : 국가지질공원"
경상북도 청송군 부남면 대전리,,35,,A01,A0101,A01010500,2932019,12,20221128185752,http://tong.visitkorea.or.kr/cms/resource/09/2918209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2918209_image3_1.jpg,129.0652687805,36.3471552091,6.0,20221213171206,1,21,,나실 마그마 혼합대,37443,"청송 부남면 대전리에 위치한 나실마을은 능선(최고 540m)으로 둘러싸여 사발모양의 작은 분지를 이룬 마을이다. 이는 신생대 제3기 화강암질 마그마에 섬록암질 마그마가 섞이고, 차별적으로 침식이 이루어진 결과이다. 특히 중간부 능선에서는 두 종류의 마그마가 섞여 만들어진 화강섬록암질 마그마가 관찰된다. 좁은 지역에서 다양한 종류의 화성암이 동심원상으로 분포하는 것은 마그마의 혼합과정을 보여주는 좋은 야외 학습장이라 할 수 있다.
  출처 : 국가지질공원"
경상북도 청송군 얼음골로 188-1,,35,,A01,A0102,A01020200,2932018,12,20221128185743,,,129.1164402657,36.3126351041,6.0,20221213175659,0,21,,병암 화강암 단애,37444,"병풍을 친 것처럼 바위가 늘어서 있어 병풍바위(병암)으로 불리는 병암 화강암 단애는 화강암질 마그마가 굳어져 만들어진 화강암 바위 절벽이다. 신생대 지하 깊은 곳에서 만들어진 화강암이 융기하고 그 위로 물이 흘러 하천이 형성되었다. 하천의 물이 오랜 시간에 걸쳐 암석을 깎아 내고, 수직 방향의 틈을 따라 암석이 쪼개지며 떨어져 나와 지금의 절벽이 만들어졌다. 병암 화강암 단애 주변의 구천숲은 여름철에 시원하고 아름다운 경치로 많은 사람들이 찾는 곳이며, 좌측에는 숙종 28년(1702년)에 청송부사 이문징이 창건한 병암서원이 있다.
  출처 : 국가지질공원"
경상북도 청송군 법수길 190,,35,,A01,A0101,A01010500,2932017,12,20221128185734,http://tong.visitkorea.or.kr/cms/resource/07/2918207_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2918207_image3_1.JPG,129.1555581938,36.3415964474,6.0,20221213171030,0,21,,법수 도석,37438,"청송에서는 일반적으로 백자를 제작할 때 사용하는 고령토가 나지 않아 고령토 대신 백색의 암석을 빻아 가루로 만들어 청송백자를 만드는데 사용했으며, 이 암석을 법수 도석이라고 한다. 법수 도석은 응회암이 변질된 것으로 잿빛의 주왕산 응회암과는 다르게 백색이다. 이는 응회암이 뜨거운 열수에 의해 변질되었기 때문이다. 또한, 법수 도석은 전 세계 10개 미만의 지역에서 산출되는 함리튬 토수다이트라는 점토 광물이 포함되어 높은 가치를 가진다.
  출처 : 국가지질공원"
경상북도 청송군 공원길 346,,35,,A01,A0101,A01010500,2932016,12,20221128185725,http://tong.visitkorea.or.kr/cms/resource/97/2918197_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2918197_image3_1.jpg,129.1559482277,36.3964180016,6.0,20221213171550,0,21,,급수대 주상절리,37437,"주상절리는 암석이 기둥 모양으로 갈라진 형태를 말하며 용암이나 화산재가 빠르게 식어 부피가 수축하면서 만들어진다. 급수대 주상절리는 화산재가 식으면서 만들어진 주상절리로, 주왕산의 많은 응회암 절벽 중 주상절리가 가장 뚜렷하게 발달한 곳이다. 급수대라는 이름은 신라 귀족 김주원이 주왕산으로 피신해 절벽 위에 대궐을 짓고 두레박으로 주방천의 물을 퍼 올렸다는 전설에서 유래한다.
  출처 : 국가지질공원"
