addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 칠곡군 왜관읍 매원리,일원,35,,A02,A0210,A02100700,2819158,12,20220510162011,,,128.4310237244,35.9941445556,6,20220510162021,0,22,,매원마을,39870.0,"안동 하회마을, 경주 양동마을과 함께 조선시대 영남 3대 양반촌이다. 번성기에는 400여 채의 가옥이 있었으나 6.25 전쟁 때 대부분 손실되어 현재는 고택 60여 채만 남아 있다. 한옥숙박과 함께 체험프로그램을 즐길 수 있다."
경상북도 칠곡군 약목면 관호리,일원,35,,A02,A0201,A02010200,2818242,12,20220429093928,,,128.394223565,36.0169440703,6,20220429093941,0,22,,관호산성,39829.0,"관호산성과 함께 낙동강, 칠곡보 등을 조망하며 걸을 수 있다. 관호산성 정상의 관평루에서 내려다보는 전망이 멋지다."
경상북도 칠곡군 왜관읍 석전리,894,35,,A02,A0205,A02050600,2817306,12,20220425172456,,,128.4116249209,36.0127448667,6,20220426173858,0,22,,칠곡평화전망대,39873.0,왜관읍 자고산 정상에 위치한 평화전망대. 지상3층 규모의 12.1m 촛대와 55일간의 낙동강전투를 상징하는 5.5m 촛불 모형으로 낙동강 일대를 한눈에 볼 수 있다.
경상북도 칠곡군 석적읍 유학로 785-66,,35,0.0,A02,A0201,A02010800,2782489,12,20211129185329,http://tong.visitkorea.or.kr/cms/resource/24/2795424_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2795424_image2_1.jpg,128.4835281863,36.0661734591,6,20221129104729,0,22,,도봉사,39846.0,"비구니들만 거주하는 사찰로, 경상북도 칠곡 유학산 쉰질 바위 아래에 자리해 있다. 쉰질 바위는 절벽의 높이가 어른 키의 50배 정도 된다고 하여 붙은 이름으로 웅장한 절벽과 소박한 절집이 그림처럼 어우러진다. 쉰질 바위는 산악인들의 암벽등반 훈련장으로도 유명하다. 임진왜란 때 소실된 신라시대 고찰인 천수사가 있던 자리에 건립됐으며, 비구니 사찰답게 정갈하고 아기자기한 분위기가 느껴진다. 곳곳에 천진한 표정의 동자승 조각품이 평화로운 분위기를 더한다. 유학산 정상의 팔각정에서 다부동 전적기념관으로 이어지는 6.25전쟁 격전지 순례 코스에 속해 있으며, 도봉산 진입로에서 15분 정도 걸어 올라가거나 사찰 입구까지 자동차로도 이동도 가능하다. 도봉사 앞마당에서 바라보는 탁 트인 전망도 아름답다."
경상북도 칠곡군 동명면 남원리 산3-5,,35,0.0,A02,A0201,A02010800,2778981,12,20211125001250,http://tong.visitkorea.or.kr/cms/resource/15/2794715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2794715_image2_1.jpg,128.5956168972,36.0165811569,6,20221115134444,0,22,,수림사,39855.0,"칠곡 팔공산 자락에 있는 작은 사찰이다. 수림사는 일반적인 사찰과는 전혀 다른 분위기를 지녔는데, 건물 대부분이 2010년대에 지어진 한옥 형태다. 또 가람 전체에 푸른 잔디가 깔려 있어 마치 한옥마을 같은 인상을 풍긴다. 극락전을 중심으로 적묵당과 설법전, 육화당, 수선당이 둘러싸고 있다. 그 뒤로 영산전과 산신각이 자리한다. 산신을 모시는 전각인 산신각은 토착 신앙과 불교가 조화를 이룬 공간이다. 특히 수림사를 지을 때 병든 호랑이가 뒷산에서 내려와 지금 산신각에 들어가 병이 나은 후 건강한 모습으로 산으로 돌아가는 꿈을 꾸었다고 한다. 산신각에 중생의 병고를 구제한다는 약사여래불을 모신 이유다. 설법전 앞에는 수십 개의 장독이 줄지어 서 있어 이채로운 풍경을 빚어낸다."
경상북도 칠곡군 동명면 금암리,,35,0.0,A01,A0101,A01011800,2778463,12,20211124192933,http://tong.visitkorea.or.kr/cms/resource/46/2795446_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2795446_image2_1.jpg,128.5567236216,35.9982436285,6,20221129135218,0,22,,유등지,,"경상북도 칠곡군 동명면 금암리 삼산 리마을 남쪽에 있다. 동쪽 인근에 중앙고속도로와 5번·25번 국도가 남북으로 지나간다. 일제강점기인 1930년에 준공하였다. 옛날 유씨(柳氏)들이 집성촌을 이루고 살던 곳에 형성된 저수지라는 뜻에서 유등지(柳等池)라고 한다. 물고기가 많아 낚시터로 유명하며, 가볍게 산책하기 좋은 곳으로 알려져 있다. 산책로 면적이 넓어 자전거를 타고 둘러볼 수 있다.  연못가의 산과 조화를 이루는 풍경이 아름다워 풍경 사진 찍기에도 좋은 곳이다."
경상북도 칠곡군 가산면 가산로 108-10,,35,0.0,A02,A0203,A02030100,2766543,12,20211102215306,http://tong.visitkorea.or.kr/cms/resource/50/2767050_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2767050_image2_1.jpg,128.5467698664,36.0645025943,6,20221124093425,0,22,,복만네,39852.0,"복만네는 경북 칠곡군 가산면에 있다. 자연 친화적인 공간에 카페가 있고, 어린이들을 위한 체험 공간이 마련되어 있다. 여름에 사용 가능한 수영장도 예약제로 운영 중이다. 매장의 5채의 건물마다 사진찍기 좋게 소품으로 꾸며 놓은 스튜디오 형식의 테마 카페이다."
경상북도 칠곡군 지천면 지천로 382,,35,0.0,A01,A0101,A01011800,2745656,12,20210916003343,http://tong.visitkorea.or.kr/cms/resource/57/2746157_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2746157_image2_1.jpg,128.4964238446,35.9819443647,6,20210916230152,0,22,,지천지,39863.0,"지천지는 낚시객들 사이에 유명한 공간이다. 아울러 저수지 주변에 조성된 유채꽃밭 덕분에 봄철이면 많은 사람이 찾는다. 
저수지를 한눈에 내려다볼 수 있는 낙화담이 있다. 저수지 근처에 자리 잡은 출렁다리를 건너 등산로를 타고 올라가면 닿는다.
낙화담에는 임진왜란 당시 부녀자들이 왜군의 약탈을 피하려고 지천지로 몸을 던졌다는 이야기가 전해지고 있다."
경상북도 칠곡군 가산면 가산로 290-8,,35,0.0,A01,A0101,A01010900,2745649,12,20210916003028,http://tong.visitkorea.or.kr/cms/resource/39/2746139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2746139_image2_1.jpg,128.5505587707,36.0520318571,6,20210916225508,0,22,,금화계곡,39852.0,"금화계곡은 해발 902m의 가산 기슭에 있다. 맑은 물이 흐르는 계곡 사이로 참나무가 군락을 이루고 있으며, 하류에 금화 저수지가 형성되어 있다. 동쪽에 일제강점기 사금과 중석을 캐던 소화 광산이 폐광된 채로 남아 있다. 
주변에 관광농원이 조성되어 여름철에는 피서객들의 발길이 이어진다. 인근에는 식당가가 있어 자연 속에서 식사를 즐기기 위해 사람들이 자주 찾는다. 금화 저수지 제방 쪽 도로변 산 위에 신라 시대 사찰 금곡사가 있으며, 서쪽으로 중부고속도로와 5번·25번 국도가 지나간다."
경상북도 칠곡군 석적읍 호국로 605-42,,35,0.0,A01,A0101,A01010700,2738090,12,20210831233045,http://tong.visitkorea.or.kr/cms/resource/31/2738431_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2738431_image2_1.JPG,128.4347612,36.0330402107,6,20210901013618,0,22,,세아휴양림수목원,39848.0,"세아휴양림수목원은 1,100여 종의 식물과 250여 점의 조형물이 전시되어 있다. 산책로가 잘 되어 있어 누구나 어렵지 않게 산책을 즐길 수 있다.  4가지 종류의 펜션 10개 동과 카라반 8개 동이 있어 숙박도 가능하다. 여름철 개장하는 수영장 덕분에 한여름 무더위를 날리기에도 그만이다."
