addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
경상북도 포항시 북구 흥해읍 죽천리,,35,,A01,A0101,A01011200,2912974,12,20221121101218,http://tong.visitkorea.or.kr/cms/resource/52/2912952_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2912952_image3_1.jpg,129.4135289214,36.0899437973,6,20221121101320,0,23,,죽천해수욕장,37555,"죽천해수욕장은 경북 포항시 북구 흥해읍 죽천리에 있다. 광활한 동해를 배경으로 차박을 즐기기 좋은 명소로 알려지면서 전국 각지에서 많은 캠퍼가 모여든다. 낚시를 즐기는 여행자들도 즐겨 찾고, 여름 휴가철이면 해수욕을 만끽하고자 찾아오는 가족 단위 여행객도 많다. 포항IC에서 가깝고, 주변에 포항 해상스카이워크와 환호공원이 있어 연계 여행에 나서기 수월하다."
경상북도 포항시 북구 청하면 이가리,538-2,35,,A01,A0101,A01011200,2912950,12,20221121100706,http://tong.visitkorea.or.kr/cms/resource/27/2912927_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2912927_image3_1.jpg,129.3820067414,36.1836492506,6,20221121100734,0,23,,이가리간이해변,37518,"이가리간이해변은 경상북도 포항시 북구 청하면 이가리에 있다. 작은 규모지만, 수심이 얕고 바닷물이 깨끗하다. 덕분에 여름철이면 많은 사람이 찾아와 인산인해를 이룬다. 당일 캠핑을 즐기고자 찾는 캠퍼도 많고, 비교적 한적한 평일에는 산책 삼아 들르는 관광객도 많다. 포항IC에서 가깝고, 주변에 이가리 닻 전망대와 월포해수욕장이 있다."
경상북도 포항시 남구 대송면 운제로247번길 21,,35,0.0,A02,A0203,A02030600,2790496,12,20211209200612,,,129.3642868032,35.9668567756,6,20211209200612,0,23,,대송한바퀴,37874,"대송한바퀴는 포항시 남구 대송면에 사는 민화 작가, 텃밭농사 전문가, 산채요리체험 전문가가 모여 민화 예술체험, 농사체험, 반려식물 심기, 산채요리 및 향토요리 체험 및 숙박을 제공하는 주민사업체이다. 대송면은 농촌이지만 도심과 가까운 장점을 가지고 있다. 이러한 대송면에 위치한 대송한바퀴에서는 인문학과 농사체험을 하고, 대송면과 포항을 대표하는 관광 기념품, 아트상품, 지역농산물로 만든 가공품도 구입할 수 있다."
경상북도 포항시 북구 청하면 비학로 1889-157,,35,0.0,A02,A0203,A02030600,2790490,12,20211209200300,http://tong.visitkorea.or.kr/cms/resource/15/2821415_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2821415_image3_1.jpg,129.3174231251,36.1976103215,6,20220615175457,0,23,,비손농장(포항체험잇다),37515,"tvN 예능 프로그램바퀴 달린 집에도 소개된 바 있는 비손농장(주식회사 포항체험잇다)은 오토캠핑장이다. 오토캠핑장 이외에도 비손농장을 지칭하는 수식어가 있는데 바로 농촌 체험농장, 물놀이장, 카페다. 체크인아웃을 하는 관리동에서는 카페와 매점을 운영 중이고, 뒤 뜰에는 거위와 토끼를 키우며, 텃밭에서는 작물 수확 시기에 맞춰 봄나물, 여름 과일, 밤, 고구마 가을작물 수확 체험과 이를 이용한 베이킹 체험 프로그램을 연다. 또한, 여름이면 대형 물놀이장을 열어 손님을 맞는다. 
사시사철 변화무쌍하게 손님을 맞는 비손농장(주식회사 포항체험잇다)의 권민제 대표는 귀농을 위해 처음 이 농장을 열었다가 농장을 찾는 손님들의 권유로 캠핑 야영장으로 변모하기 시작했다. 주말이면 비손농장(주식회사 포항체험잇다)에는 싱그러운 숲과 맑은 공기 그리고 월포 바다 전망을 마당으로 삼고 싶어하는 전국 각기의 캠핑 족들이 찾아온다. 데크, 파쇄석, 잔디 등 구획마다 특색 있는 텐트 존부터 반려동물과 함께 거닐 수 있는 산책로, 아이들이 좋아하는 모래 놀이터, 사계절 수확, 베이킹 체험까지 갖가지의 테마로 가득하다. 더 나아가 주식회사 포항체험잇다로 지역 청년들이 모여 주변 농가와 협업하여 체험 프로그램 진행을 준비 중이다."
경상북도 포항시 남구 호미곶면 일출로 571,,35,0.0,A02,A0203,A02030100,2790488,12,20211209195757,,,129.5777604255,36.0397526242,6,20221107112255,1,23,,그곳에가면,37929,"그곳에가면은 다무포 하얀마을만들기 추진 위원으로 활동하던 회원들이 모여 체험 관광마을을 만들기 위해 힘을 모은 업체이다. 다무포 하얀마을은 호미곶면 강사1리의 별칭이다. 이곳은 인구의 80 이상이 바다와 관련된 일을 하는 전형적인 어촌 마을이었으나 바다 관련 체험을 할 수 있는 체험관광 마을로 탈바꿈하고 있다. 대표적인 체험은 육지에서 해녀체험을 할 수 있는 해녀 체험, 도자기, 목공, 한지 등 해녀 체험과 함께할 수 있는 토털공예체험 등이 있다. 질 높은 체험을 위해 체험은 예약제로 운영되고 있다."
경상북도 포항시 북구 환호공원길 30,(환호동),35,0.0,A02,A0205,A02050600,2784715,12,20211201224635,,,129.393078583,36.0677681377,6,20221206091257,1,23,,스페이스워크,37600,"포항 환호공원 내에 위치한 스페이스워크는 트랙길이 333m, 계단 개수 717개 규모로 만들어졌다. 철로 그려진 우아한 곡선과 밤하늘을 수놓는 조명은 철과 빛의 도시 포항을 상징하며, 360도로 펼쳐져 있는 전경을 내려다보면 포항의 아름다운 풍경과 제철소의 찬란한 야경 그리고 영일만의 일출, 일몰을 감상할 수 있다. 강우나 강풍이 불 경우 출입이 통제되니 사전에 확인 후 방문하여야 한다."
포항시 북구 흥해읍 칠포리 산2-2,,35,0.0,A02,A0205,A02050600,2782281,12,20211127001419,http://tong.visitkorea.or.kr/cms/resource/66/2782266_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2782266_image2_1.JPG,129.3973703312,36.1475841858,6,20221024145506,1,23,,칠포해오름전망대,37530,"칠포해오름전망대는 경북 포항시 북구 흥해읍에 자리 잡고 있다.해오름이란 포항, 울산, 경주 3개 도시가 함께하는 동맹의 이름이다. 3개 도시는 모두 한반도에서 해가 가장 먼저 뜨는 지역이면서 대한민국의 산업화를 일으킨 지역이라는 공통점을 지니고 있어서 해오름동맹을 맺었다. 영일만 북파랑길을 따라 걸으면 만나볼 수 있는 뱃머리 모양의 이 전망대는 투명한 바다 위로 한 발자국 더 다가갈 수 있게 만들어 포항의 깊고 푸른 바다를 더 실감나게 만나볼 수 있다."
경상북도 포항시 남구 구룡포읍 구룡포길 153-1,,35,0.0,A02,A0203,A02030600,2781547,12,20211126192530,http://tong.visitkorea.or.kr/cms/resource/26/2794726_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2794726_image2_1.jpg,129.5616049375,35.9906134206,6,20221110162347,2,23,,구룡포근대문화역사거리,37931,"구룡포 근대문화역사 거리는 일제강점기의 비극적인 역사를 간직한 공간이다. 일본인 가옥 거리로 불렸던 이곳은 한때 300여 가구의 일본인들이 거주했다. 일본 가가와현의 고깃배들이 물고기 떼를 쫓아 구룡포로 이주한 것인데, 일제의 비호 아래 이들은 막대한 부를 쌓으며 집단 거주지를 형성했다. 당시 구룡포는 음식점과 주점, 여관은 물론 백화점까지 운영될 만큼 서울 못지않은 번화가로 성장했다. 지금까지 남은 80여 채의 일본식 가옥들을 보면 이들이 얼마나 풍족한 생활을 누렸는지 짐작할 수 있다. 현재 구룡포 근대역사관으로 사용되는 하시모토 젠기치의 가옥도 일본 현지에서 공수한 건축재료들로 화려하게 장식했다. 최근에는 이 거리를 배경으로 인기 드라마 동백꽃 필 무렵이 촬영돼 새롭게 주목받았다."
경상북도 포항시 북구 화두길 32-45,,35,0.0,A02,A0203,A02030600,2770693,12,20211109200202,http://tong.visitkorea.or.kr/cms/resource/02/2821402_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2821402_image3_1.jpg,129.3559975722,36.1954835228,6,20220608091941,0,23,,"힐링로드(청하체리힐, 드로잉체리공방/누나서프/HJ디저트)",37515,"농촌 복합 문화공간  해양레포츠  자연속 캠핑 
포항시 북구의 농어촌 지역에 자리 잡고 있는 청하체리힐, 드로잉체리공방(HJ디저트), 누나서프가  파트너쉽을 구축하여 ""힐링로드""라는 지역 거점 브랜드(주민공동체)를 만들고자 한다. 

""청하체리힐""은 체리와 산딸기를 재배하여 수확 체험을 운영하는 6차산업 기반의 농업경영체이다. 또한, 드로잉체리라는 예술 체험 공방을 함께 운영하고 있어 농작물 수확이 이루어지지 않는 기간에도 관광객에게 다양한 체험의 기회를 제공하고 있다. 전문베이킹강사를 채용하여 디저트와 쿠킹체험에도 전문성을 더하였다.
""누나 서프""는 포항시 북구 청하면 월포해수욕장에 위치하고 있는 서핑샵이다. 
월포해수욕장을 찾는 서퍼들과 관광객을 대상으로 서핑에 대한 교육과 체험 프로그램을 운영 중이다. 현재는 종영된 드라마 갯마을차차차 촬영지로 더욱 관광객의 유입이 높아지고 있다. 위의 업체가 모여 주민공동체 ""힐링로드""를 만들고자 한다. 각자의 사업장을 운영하며 쌓아온 노하우를 활용하여 구매력 있는 관광객의 방문을 촉진시키는 관광 패키지 상품을 개발하고 적극적인 홍보, 마케팅을 통해 관광객을 유입시킴으로써 부가 가치를 창출하고 나아가 농촌 지역 경제 활성화에 기여하고자 한다."
경상북도 포항시 북구 청하면 해안로2308번길 67,,35,0.0,A02,A0203,A02030100,2770645,12,20211109194845,,,0.0,0.0,6,20211111233640,0,23,,누나서프(힐링로드),37517,"힐링로드는 청하지역에 위치하고 있는 농촌문화복합공간인 청하체리힐, 청하체리힐 내에 위치한 드로잉체리공방, 누나서프가 모여 법인설립을 추진 중인 농어촌관광 로컬 업체이다. 2021년 관광두레 신규 주민사업체로 선정되어 청하체리힐, 드로잉체리공방, 누나서프가 농어촌 지역을 기반으로 하여 문화예술과 해양레저 상품을 패키지로 구성하여 관광객들에게 선보이고자 한다. 
""누나 서프""는 포항시 북구 청하면 월포해수욕장에 위치하고 있는 서핑샵이다. 월포해수욕장을 찾는 서퍼들과 관광객을 대상으로 서핑에 대한 교육과 체험 프로그램을 운영 중이다. 드라마 갯마을 차차차 에 방영된 이후 비수기에도 누나 서프를 찾는 관광객이 증가하고 있다.
누나서프의 시그니쳐 음료인 체리에이드, 바다라떼는 관광객에게 많은 사랑을 받고 있으며 구성원에 식음 관련 전문 인력이 투입되고, 관광두레의 컨설팅이 더해져 메뉴 개발과 많은 발전을 기대하고 있다. 
힐링로드는 사업장을 운영하며 쌓아온 노하우를 활용하여 구매력 있는 관광객의 방문을 촉진시키는 관광 패키지 상품을 개발하고 적극적인 홍보, 마케팅을 통해 관광객을 유입시킴으로써 부가가치를 창출하고 나아가 농촌 지역 경제 활성화에 기여하고자 한다.
즉, 새로운 힐링로드 체험 패키지 상품을 통한 양방향적인 관광객 유치로 주민공동체로서의 시너지 효과를 발휘할 수 있다.

 힐링로드 체험 패키지 상품이란농어촌 해안 지역을 아우르는 상품으로, 해당 지역을 방문하는 관광객을 대상으로 힐링로드 참여 업체에서 제공하는 체험 패키지 상품과 스탬프 투어를 진행할 예정이다. 힐링로드 참여 업체와 H관광벨트 에 포함된 관광지(경상북도수목원, 이가리닻 전망대, 월포해수욕장 등)와 그 주변의 이용 가능한 관광 편의 시설의 소개를 통해 관광객에게 관광 지역 내의 마스터플랜을 제공한다."
