addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
광주광역시 남구 압촌동 94-5,,5,0,A02,A0203,A02030600,2790507,12,20211209202003,http://tong.visitkorea.or.kr/cms/resource/33/2792333_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2792333_image2_1.jpg,126.8377688106,35.0932573582,6.0,20221108091338,0,2,,제봉산 마법의 숲 체험원,,"광주 남구에 자리한 제봉산에는 특별한 숲 체험원이 자리한다. 사유지임에도 토지소유자가 동의하여 어린이들을 위한 친환경 놀이터를 조성한 것이다. 마법의 숲이라고 이름 붙은 이곳은 하늘 높이 솟은 나무와 보드라운 흙길, 계절마다 피고 지는 야생화가 아름답게 어우러졌다. 모험의 숲과 바람의 숲, 얼음의 숲, 상상의 숲, 비밀의 숲, 마법의 숲 등 어린이의 창의력 발달에 도움이 되는 다양한 숲 놀이터를 비롯해 습지원과 편백림도 자리한다. 상상력을 자극하는 통나무 오두막을 비롯해 바위를 이용한 밧줄 타기와 클라이밍, 자연 경사를 활용한 나무 미끄럼틀 등 대부분의 시설이 있는 그대로의 자연물을 활용했다. 3월부터 11월 사이에는 유아를 대상으로 숲체험프로그램도 운영된다."
광주광역시 남구 포충로 966-15,(양과동),5,0,A02,A0202,A02020600,2752603,12,20211002000440,http://tong.visitkorea.or.kr/cms/resource/98/2752598_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2752598_image2_1.JPG,126.8679024826,35.0842811007,6.0,20211008190259,0,2,,빛고을농촌테마공원,61758.0,"빛고을 농촌 테마공원은 광주 남구 양과동 49,805㎡의 넓은 공간에 지역 관광자원을 활성화하고 시민들에게는 휴식을 제공하기 위해 건립되었다.
공원 내 농업전시체험관에는 어린이들을 위한 놀이체험실, 북카페가 마련되어있고, 쌀을 직접 만져보며 다양한 쌀의 영양소를 확인할 수 있는 쌀 전시실이 따로 있다. 애완용·정서용 곤충들이 전시되어 있어 살아있는 곤충뿐만 아니라 생동감 있게 재현된 세계 곳곳의 곤충표본들을 만날 수 있는 곤충박물관, 다양한 화훼 및 수목이 전시되어 있어 자연친화적인 체험이 가능한 화훼유리온실, 힐링가든 등도 마련되어 있다. 아이들과 함께 눈으로 보고, 손으로 만지면서 도시에서 접하기 어려운 자연ᆞ·농업 문화를 체험할 수 있는 도심 속 작은 힐링 공간이다."
광주광역시 남구 사직길 49-1,(사동),5,0,A02,A0205,A02050600,2752383,12,20211001192517,http://tong.visitkorea.or.kr/cms/resource/66/2755566_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2755566_image2_1.JPG,126.9115527465,35.1416698036,6.0,20211012224219,0,2,,사직공원전망타워,61638.0,"역사 기행의 장소 광주역사문화마을이 위치한 양림동의 예쁜 언덕길을 따라 올라가다 보면 멋진 구조물이 인상적인 사직공원 전망타워가 보인다. 언덕 위에 있어 광주의 전경을 한 눈에 감상 할 수 있어, 광주의 야경을 즐기고 싶은 사람들에게는 최적의 장소이다. 입구에 들어서면 주변의 경관을 천천히 감상하며 오를 수 있는 나선형 계단과 4층까지 바로 운행하는 엘리베이터가 보인다. 4층 전망대에 오르면 탁 트인 광주의 경관이 넓게 펼쳐져 있어 양림동 일대는 물론 명산 무등산까지도 한눈에 담을 수 있다. 구석구석 광주를 구경하고 싶다면 망원경 무료 이용도 가능하다. 3층에는 시대별로 소개해 놓은 전시관이 있고, 광주 전체의 모습을 디오라마로 감상할 수 있다. 제19회 광주광역시 건축상 동상을 수상할 만큼 아름다운 외관과 환상적인 야경으로 만족감을 주는 사직공원 전망타워는 광주에 가면 꼭 한번은 들러봐야 할 관광명소이다."
광주광역시 남구 오기원길 20-13,,5,0,A02,A0203,A02030600,2603494,12,20190528022659,http://tong.visitkorea.or.kr/cms/resource/84/2386684_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2386684_image3_1.jpg,126.9164190229,35.1400895088,6.0,20220510153918,21,2,,양림동 펭귄마을공예거리,61662.0,"양림동 펭귄마을공예거리는 양림동 주민 센터 뒤에 펭귄모양의 이정표를 따라 좁은 골목길을 들어가면 70,80년대 마을이 전시장으로 변모한 곳으로 무릎이 불편한 어르신이 뒤뚱뒤뚱 걷는 모습이 펭귄 같다고 하여 이름 지어진 마을이다. 마을 주민들은 과거에 화재로 타 방치되어 있던 빈집을 치우고 버려진 물건을 가져와 동네 벽에 전시하기 시작했으며, 마을 담벼락 에는'그때 그 시절 살아있음에 감사하자' 고 새겨 놓았다. 최승효 가옥, 우일사 선교사 사택, 오웬 기념각 등의 역사문화도 보유하고 있다. 마을 한가운데 있는 펭귄 주막은 주민들의 사랑방, 조그맣지만 필요한 물건들이 다 있다. 가죽공방, 섬유공방, 목공방 등 다채로운 공방들이 공예 거리에 입주해 있어서 예쁜 공예품을 구매하거나 근대와 현대가 공존하는 레트로 감성의 업사이클링 공예체험도 가능하다. 폐현수막 소재 파우치 만들기, 폐품 활용 미술작품 만들기 등 업사이클링 공방 체험 프로그램, 예쓰(예술쓰레기 줍기) 투어코스, 원데이 클래스와 같은 체험 활동들을 운영하고 있다."
광주광역시 남구 승촌보길 90,(승촌동),5,0,A02,A0204,A02040800,2554189,12,20180718195229,,,126.7611568167,35.0659535982,,20220901155551,165,2,,영산강문화관,61759.0,"stong물과 자연의 이야기stong 
영산강문화관은 자연과 사람이 함께 어우러지는 우리의 강, 영산강과 함께 미래를 꿈꾸는 공간이다. 영산강과 영산강살리기 사업에 대한 올바른 이해, 그리고 남도의 역사, 문화, 생태를 주제로 다양한 체험과 프로그램을 강가의 조약돌을 밟듯 조약돌 하나하나에 이야기를 담았다. 조약돌과 함께 옛 추억을 거닐며 수변문화로서의 미래비전을 경험해보자."
광주광역시 남구 서서평길 7,,5,0,A02,A0201,A02010600,2524187,12,20171222000553,,,126.9135191516,35.145194439,6.0,20220510144807,2913,2,,양림역사문화마을,61640.0,"100여년 전 광주 최초로 서양 근대 문물을 받아들인 통로이자 희생과 나눔의 공동체 역사를 가지고 있는 광주역사의 시작점이며, 문화자원 중심지가 조성되어 있다. 양림동에서는 근대문화유산을 탐방할 수있다. 양림역사문화마을은 서양식 근대 건축물과 한옥이 어우러진 역사와 문화  의 공간이다. 광주의 의료와 교육을 발전시킨 우일선 선교사의 사택, 조선 상류층 가옥의 풍채가 전  해지는 이장우 가옥, 민주화의 어머니이자 어려운 이웃들을 위해 헌신하신 조아라 여사를 기리는 조  아라기념관, 농촌을 살리기 위해 애쓴 농촌지도자 어비슨의 기념관, 선교사로 광주에서 활동하다 순  교한 오웬을 기리는 오웬기념각, 정율성 업적과 음악을 감상할 수 있는 정율성 거리, 주민들과 예술 가들이 폐품을 모아 예술작품으로 꾸며낸 펭귄마을 등 근대와 현대의 다양한 매력이 공존한다."
광주광역시 남구 압촌1길 12,(압촌동),5,0,A02,A0201,A02010400,1621158,12,20120503033211,http://tong.visitkorea.or.kr/cms/resource/07/1587507_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/1587507_image3_1.jpg,126.8395075721,35.0922075057,6.0,20221013110439,16396,2,,고원희가옥,61751.0,"임진왜란 때 금산(錦山) 전투에서 전사한 의병장 고경명(高敬命)의 옛 집터를 그 후손들이 여러차례 고쳐지은 집이다. 이 집은후손들이 여러 차례 고쳐 지은 집으로 현존 가옥은 1917년 건축한 것이다. 예전에는 더 많은 건물이 있었는데 현재는 사랑채, 안채, 곳간채, 사당, 대문등이 남아있다. 대문은 정면 세칸 측면 한칸이다. 사랑채는 정면 네칸 측면 한칸으로 앞뒤로 마루가 있는 팔작 기와집이다. 다듬돌 바른층 쌓기의 두벌대 기단위에 덤병주초석을 놓고 원형기둥을 세웠다. 기둥 위에는 우미량과 굴도리, 장혀를 보아지와 함께 결합하였다. 평면은 좌로부터 한칸의 방 3개와 한칸의 대청을 1단 높혀 누(樓)마루로 되어 있다. 안채는 정면 여섯칸, 측면 한칸에 전후좌우에 마루가 있는 팔작 기와집이다. 다듬돌 바른층 쌓기의 외벌대 기단위에 덤벙 주초석을 놓고 앞열은 원형 그 외는 사각기둥을 세웠다. 원형 기둥위에는 우미량과 굴도리, 장혀를 보아지와 함께 결합하였다. 내부가구는 고주위에 대량을 걸치고 판대공을 놓았으며 구 위에 종도리를 놓았다. 평면은 좌로부터 한칸반의 부엌, 두칸의 대청, 한칸의 방으로 되어 있다. 창호는 전체가 양쪽으로 열어지는 문이며, 방으로 되어 있고 그 위에 넉살창이 있다. 숭정기원후오갑정사윤이월초구일(崇禎紀元後五甲丁巳閏二月初九日)이라는 상량문에 글씨가 쓰여 있는데 이것으로 건립연대가 1917년임을 알수 있다. 사당은 고경명장군과 그 아들 종후, 인후 형제의 부조묘이다. 이 사당은 정면 세칸 측면 한칸으로 앞에만 마루가 있으며 맞배지붕이다. 외별대의 낮은 기단위에 덤벙 주초석을 놓고 현형기둥을 세웠다. 기둥 위에는 첨자형의 포로 결합하였고, 초익공 위에는 용두를 빼내고 장혀와 굴도리를 얹었다. 내부가구는 대량위에 동자주를 얹고 종보를 걸친 뒤 그 위에 다시 판대공을 놓았으며, 겹처마에 조잡한 모조 단청을 하고 있다. 건립연대는 안채보다 빠른 시기로 추측된다."
광주광역시 남구 지산재길 51,(양과동),5,0,A02,A0201,A02010700,1621151,12,20120503031645,http://tong.visitkorea.or.kr/cms/resource/85/1587485_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/1587485_image3_1.jpg,126.8736825915,35.0817175985,6.0,20220817150028,16419,2,,지산재,61750.0,"지산재는 정면 네칸, 측면 한칸의 팔작지붕인데 중앙 세칸은 마루바닥이고 양퇴간은 방을 놓아 일반 민가와 같은 인상을 준다. 신라 말의 대학자 고운(孤雲) 최치원(崔致遠)선생을 배향(配享)하고 있는 사우(祠宇)이다. 1737년(영조(英祖) 13년)에 이 곳에 영당(影堂)을 세우고 고운(孤雲)선생의 영정을 봉안하다가 1846년(헌종(憲宗) 12년) 지산재(芝山齋)를 건립하였다. 그러나 1886년 대원군(大院君)의 서원철폐(書院撤廢) 때 훼철(毁撤) 되었다가 1922년 다시 현 사우(祠宇)를 건립, 오늘에 이르고 있다. 이 곳에는 지산재(芝山齋)(강당(講堂))와 내외삼문(內外三門), 영당(影堂) 등이 있는데 문화재(文化財)로 지정(指定)된 것은 지산재(芝山齋) 1동(棟)이다. 이 건물은 정면(正面) 4칸 , 측면(側面) 1칸, 팔작(八作)지붕인데 중앙(中央) 3칸은 마루바닥이고 양퇴간(兩退間)은 방을 놓아 흡사 일반 민가와 같은 인상을 준다. 지산재(芝山齋)의 편액(篇額)은 고당(顧堂) 김규태(金奎泰)의 글씨이며, 1985년 건물좌편 공지에 새로 유허비(遺墟碑)를 세웠다. 당초(當初) 배향(配享)된 인물은 최치원(崔致遠)선생을 주벽으로 한 최운한(崔雲漢), 최형한(崔亨漢), 정오도(鄭吾道) 등 4위(位)였으나. 1922년(年) 復設(부설)하면서 고운선생(孤雲先生)만 배향(配享)하였다. "
광주광역시 남구 압촌길 66,(압촌동),5,0,A02,A0201,A02010700,1621130,12,20120503030223,,,126.8384604525,35.0917964235,6.0,20221101135855,16185,2,,고씨삼강문,61751.0,"이 정려는 고경명 선생을 비롯하여 그 일가의 충절을 기리기 위해 세운 것으로 1충, 3효, 2열, 1절의로 표창되어 있다. 충렬공 제봉(霽峰) 고경명(1533～1592) 선생은 압촌동에서 태어나 여러 관직을 거쳐 1591년 동래부사(東萊府使)를 끝으로 고향으로 돌아왔다. 선생은 임진왜란이 일어나자, 의병을 모집하여 금산에서 왜병과 싸우다 두 아들과 함께 전사하였다.  이곳에는 고경명 선생을 비롯하여 진주성에서 전사한 효열공 종후(孝烈公 從厚), 금산에서 전사한 의열공 인후(毅烈公 因厚)등 효자 두아들과 열녀로서 정유재란때 순절한 그의 딸 영광유생 노상룡(盧尙龍)의 처와 고거후(高巨厚)의 처로 그의 질부(姪婦)인 광산정씨(光山鄭氏), 효자로 그의 손자인 선교랑(宣敎郞) 고부금(高傅金)과 절의(節義)로 죽은 동생 고경형(高敬兄)등 일가 7명이 모셔져 있다.  현존 건물은 1844년에 세운 것으로 사방에 홍살문을 설치하여 내부를 차단하고 앞 뒤 이열로 정려현판(旌閭懸板)을 걸었다. 정면 네칸, 측면 한칸의 맞배지붕으로 지붕은 부연이 없는 홑처마로 처리했다. 건물 밖에는 담장을 돌리고 외삼문(外三文)을 세웠으며 삼강문 옆에는 고씨문중의 제각인 추원각(追遠閣)이 있다. 장흥고씨 삼강문은 충렬공 고경명의 태생지인 압촌동 마을입구에 있다. 정석7간 측면 1간의 골기와 8작지붕으로서 임진왜란 후 왜병이 철수한 선조28년(1595)에 고경명일의 충절을 기리기 위해 선조가 명하여 세운 정려(旌閭)이다.  기단은 막돌허튼층쌓기의 기단위에 정평주초를 놓고 원형의 기둥을 세웠으며 기둥위에는 창방을 가구하고 굴도리를 올렸으며 내부에는 대들보위에 사다리꼴 판대공을 올려 종도리를 가구한 5량집으로 되어 있다. 또한 여기에는 고경명을 비롯하여 그의 아들 준봉 고종후와 학봉 고인후 그리고 정유재란때 왜적과 대항하여 순절한 그의 딸인 열려 노상용(영광의 유생)의 처와 질부인 고거후의 처 광산정씨 이밖에 효자로 선교랑 고부금(고경명의 손자)과 절의로 죽은 고경형 등 일가 의 7명의 충절을 기록한 현판이 걸려 있다. "
광주광역시 남구 치마봉1길 16-1,(방림동),5,0,A02,A0201,A02010700,1621091,12,20120503023906,http://tong.visitkorea.or.kr/cms/resource/43/1587443_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1587443_image3_1.jpg,126.921985449,35.1300546245,6.0,20220325134912,16027,2,,서강사,61679.0,"서강사는 방림동 현재 숭신공고 밑에 위치해 있으며 고려 태사공 윤신달(삼한공신)을 주벽으로 하고 개국백 문 숙공 윤관, 호조상서 문강공 윤언이, 남원백 벽송 윤위, 함안백 행촌 윤돈, 영평부원군 문현공 윤보 등 6위를 배향한다. 경내에는 강당인 경모제가 있으며 서강사묘정비가 세워져 있다. 건물은 3단의 화강석기단 위에 정평주초를 놓고 원주기둥을 세워정면 3칸 측면 1칸의 골기와 팔작지붕 정면으로 되어있다. 네귀에는 각3개씩 처마를 받치는 활주를 세웠으며 창방위의 주두에는 뺄목을 결구하고 평주와 평주사이에 1개의 변형소로를 끼워 장혀와 납도리를 가구하였다. 내부는 우물천정으로서 2고주 5량집이다. 창호는 좌우 편문으로되어 있고 중앙은 2분합겹문으로 교살창으로 장식하였다. 인방밑에는 머름을 두고 상인방 위에도 머름을 설치하여 안상의 무늬를 넣었다. 처마는 평고대를 끼워 겹처마로 되어있고 2익공식을 따르고 있다. 전면에는 단청이 비교적 잘되어 있고 대문은 평3문으로 되어 있으며 제일은 음력 3월 18일이다."
