addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
울산광역시 북구 매곡동,,5,,A02,A0202,A02020100,2822473,12,20220531171818,http://tong.visitkorea.or.kr/cms/resource/33/2822433_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2822433_image3_1.jpg,129.3753305154,35.6674407548,6,20220915093839,0,4,,기박산성 의병 역사공원,44214.0,"○ 주요시설 
   ∙ 호국광장(스탠드, 의병장 깃발), 소광장(의병 상징 깃발), 의병이야기길(성벽 모형 담장, 안내판, 데크로드), 잔디마당 
   ∙ 관리시설(전시관, 안내소, 화장실, 휴게시설, 옥상 전망대), 주차장"
광주광역시 북구 추암로 190,(월출동),5,0.0,A01,A0101,A01010400,2783939,12,20211130235255,,,126.866351676,35.233058715,6,20221104094056,0,4,,광주시민의숲,61002.0,"광주시민의 숲은 영산강을 따라 오룡동에서 월출동에 걸쳐 있다. 광주 첨단지구로 향하는 첨단대교를 건너면 다리 오른편 끝부분에 ""광주시민의 숲""이라고 쓴 커다란 간판이 보이는데, 여기서부터 영산강 상류 쪽으로 숲길이 조성되어 있다. 대구시와 맺은 '달빛동맹'의 상징으로 대구시와 광주시에 각각 시민의 숲을 조성했다. 숲길을 천천히 걸으면 왕복 한 시간 반 정도 걸린다. 숲에 산책길이 조성되어 있어 산책하기에 좋고, 자전거를 타기에도 좋으며, 어린이놀이터도 갖추고 있어 어린이와 함께 나들이하기에도 좋은 장소이다. ""광주시민의 숲"" 내에 야영장도 있어 도심 속에서 야영을 즐기려는 사람들이 많이 찾고 있으며 근처에 드론공원도 있다."
광주광역시 북구 동림동 130-15,,5,0.0,A02,A0202,A02020100,2783824,12,20211130232324,,,126.8619975926,35.1897079853,6,20220701154717,0,4,,산동교친수공원,,"광주광역시 북구 동림동 푸른 마을 옆에 있는 산동교 친수공원은 광주의 관문에 해당하는 곳으로, 구 산동교 주변 매립 폐기물 처리 후 고수부지 내 주민들의 여가 및 휴식공간을 제공하기 위해 조성했다. 310,000㎡ 부지에 4.6km에 이르는 자전거도로와 유채꽃 단지, 코스모스길, 억새군락지, 체력단련장, 게이트볼장, 관목원, 자전거 교육장, 휴게 시설로 구성돼 있다. 취사 및 야영은 금지하고 있다. 이곳은 봄이면 유채꽃이, 가을이면 코스모스와 억새가 시민들을 유혹하고 여름에는 푸르른 잔디밭이 쉴 공간을 넉넉히 제공해준다. 또한, 쭉 뻗은 영산강 자전거길이 바로 옆에 자리하고 있으며 자전거와 킥보드 대여점도 있다. 가족끼리 오손도손 모여 앉아 정성껏 준비해 온 음식을 먹고 자전거를 타거나 체력단련을 하며 도심 속 쉼표를 찍을 수 있는 소중한 공간이다."
광주광역시 북구 임동 613,,5,0.0,A01,A0101,A01010500,2774295,12,20211115185115,http://tong.visitkorea.or.kr/cms/resource/99/2793199_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2793199_image2_1.jpg,126.8868043254,35.1660166361,6,20221116133628,0,4,,광주천 벚꽃길,,"광주천은 무등산에서 발원하여 동구 용연동과 학동을 거쳐 시가지를 가로지르는 하천이다. 과거에는 배롱나무가 많은 개울이라 하여 자미탄이라 불렸는데, 최근에는 광주에서 가장 먼저 꽃이 피는 벚꽃길로 유명해졌다. 광주천 양쪽으로 즐비한 벚나무들은 이른 봄부터 꽃망울을 터트리며 봄의 전령사 노릇을 한다. 특히 광천 제1교부터 광암교를 지나 서창 영산강 자전거 쉼터까지 이어지는 약 3km의 천변은 널찍한 둔치에 유채꽃을 가득 심었다. 덕분에 봄이면 노란색 유채와 흐드러지게 핀 연분홍 벚꽃, 그리고 싱그러운 연둣빛 새싹들이 어우러져 황홀한 풍경을 선사한다. 걷기 좋은 산책길은 물론 드라이브 코스로도 손색이 없다."
광주광역시 북구 우치로 677,,5,0.0,A03,A0302,A03021700,2675018,12,20201007052102,http://tong.visitkorea.or.kr/cms/resource/05/2675005_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2675005_image2_1.jpg,126.894080016,35.2235741448,6,20220622133240,0,4,,패밀리랜드 카라반 캠핑장,61028.0,"우치공원 내 잔디광장 7천여㎡ 부지에 조성된 럭셔리 글램핑장으로 도심 속 자연에서 낭만을 즐길 수 있는 곳. 최신형 편의시설과 초대형 카라반이 설치되어 있으며, 캠핑과 함께 놀이공원, 체험 등 다양한 문화생활을 즐길 수 있다."
광주광역시 북구 풍암제길 14,(금곡동),5,0.0,A01,A0101,A01010500,2614873,12,20190810000808,http://tong.visitkorea.or.kr/cms/resource/71/2614871_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/71/2614871_image2_1.bmp,126.9983305395,35.16752391,6,20221208164316,0,4,,충효동 점토광물산지 (무등산권 국가지질공원),61147.0,"무등산은 중생대 화성활동에 의해 형성됨에 따라 이 충효동 도요지 인근은 마그마가 굳어 만들어진 암석이 풍화된 토양(풍화토)으로 이루어져 있다. 이곳 가마터는 고려 말부터 조선 초까지의 도자기가 생산되었던 곳으로, 함께 발견된 3m 가량의 도자기 파편층이 분청사기부터 백자까지 6단계의 변화를 오롯이 간직하고 있으며, 또한 이 지역에서 출토된 도자기를 지질학적으로 분석한 결과, 주변의 화강암 풍화토를 이용했음이 밝혀졌다. 이처럼 무등산 분청사기의 제작과 발달과정에는 무등산의 지질학적 특성이 그대로 투영되어 있어 이곳을 무등산권 유네스코 세계지질공원 명소로 지정하였다."
광주광역시 북구 무등로 1550,(금곡동),5,0.0,A01,A0101,A01010500,2614870,12,20190810000602,http://tong.visitkorea.or.kr/cms/resource/64/2614864_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/64/2614864_image2_1.bmp,126.9890013959,35.1441458348,6,20221208164138,0,4,,지공너덜 (무등산권 국가지질공원),61147.0,"지공너덜은 무등산 정상 아래, 해발고도 약 1,0001,100m 사이의 남쪽 사면에 위치하며, 폭 150m에 이르고 상부 경계가 아래로 들어간 혀 모양의 형태로 발달되어 있다. 너덜의 평균 경사는 2035도이며, 너덜을 구성하는 암괴의 크기는 최대 45m에 이른다. 지공너덜은 남동쪽에 위치한 규봉 주상절리와 함께 문화재 명승으로 지정되어 있는데, 인도의 승려 지공대사에게 설법을 듣던 라옹 선사가 이곳에서 수도하면서 지공너덜이라고 명명하였고, 지공대사가 여기에 석실을 만들고 좌선수도하면서 그 법력으로 억만 개의 돌을 깔았다는 전설이 있다."
광주광역시 북구 무등로 1550,(금곡동),5,0.0,A01,A0101,A01010500,2614858,12,20190809235147,http://tong.visitkorea.or.kr/cms/resource/53/2614853_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/53/2614853_image2_1.bmp,126.9890013959,35.1441458348,6,20221208164210,0,4,,장불재 (무등산권 국가지질공원),61147.0,"장불재는 무등산 정상으로 가는 길목에 위치하여 정상부의 주상절리들을 한눈에 바라볼 수 있는 장소이다. 이곳은 과거 주빙하기후의 영향으로 동결융해에 의한 사면평탄화 과정을 통해 형성된 곳으로, 무등산 정상부, 특히 입석대와 연결되어 있어 이 지역이 과거 어떻게 변화하여 왔는가를 알 수 있는 곳이다. 장불재가 형성된 시기는 약 5만 년6만 년 전 이며, 거의 평탄하면서 완경사인 장불재의 사면은 주빙하 환경에서 표토의 사면 이동이 일어나면서 토양 및 암괴 등 풍화 산물의 불규칙한 면들이 메워지면서 평탄하고 완만한 사면이 형성되었다."
광주광역시 북구 무등로 1550,,5,0.0,A01,A0102,A01020200,2614852,12,20190809234522,http://tong.visitkorea.or.kr/cms/resource/47/2614847_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/47/2614847_image2_1.bmp,126.9890013959,35.1441458348,6,20221208164058,0,4,,입석대 (무등산권 국가지질공원),61147.0,"입석대는 무등산 정상에서 남서쪽으로 해발고도 약 950m에 위치하며, 서석대(1,050m)와 함께 천연기념물 제465호인 무등산주상절리대에 속한다. 주상절리대는 약 120여 미터 동서로 줄지어 선 40여 개의 너비 12m의 다각형의 돌기둥으로 이루어져 있으며, 주상절리대를 구성하는 암석은 중생대 백악기 후기(약 8,7008,500만년 전)에 분출된 무등산응회암이라고 불리는 화산암이다. 입석대 상부에는 승천암이라 불리는, 주상기둥이 옆으로 기울어져 하늘로 솟아오르는 모양을 가진 독특한 형태의 바위가 있다."
광주광역시 북구 무등로 1550,(금곡동),5,0.0,A01,A0101,A01010400,2614846,12,20190809233704,http://tong.visitkorea.or.kr/cms/resource/44/2614844_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/44/2614844_image2_1.bmp,126.9890013959,35.1441458348,6,20221208154046,0,4,,의상봉 (무등산권 국가지질공원),61147.0,"원효사에서 정상을 바라보면 그 아래로 우뚝 솟은 봉우리가 의상봉(550m)인데 위는 완만하지만 서쪽 사면은 절벽으로 준수한 경관을 이룬다. 의상봉은 중생대 백악기 후기(약 8,300만년 전)의 미문상화강암으로 구성되어 있으며 상부에 암상이 노출되어 있다. 의상봉에는 팬홀(panhole)과 토르(to) 등의 풍화지형이 잘 관찰되는데, 비마족바위와 벼루바위의 팬홀이 잘 알려져 있다. 전설에 따르면 임진왜란 때(15921598) 의병장인 김덕령 장군이 지왕봉의 뜀바위에서 말을 타고 여기까지 단번에 뛰어내려 생긴 말 발자국이 비마족바위라고 전해진다."
