addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
광주광역시 서구 상무대로 1028-1,(화정동),5,0,A02,A0201,A02010700,2790498,12,20211209200810,http://tong.visitkorea.or.kr/cms/resource/40/2792340_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/2792340_image2_1.jpg,126.8735642144,35.150618152,6,20221109140600,0,5,,국군광주병원,61985,"5·18 민주화운동 당시 계엄군에 연행된 시민들은 갖은 고문과 구타를 당하며 심문을 받았다. 그 과정 중 다친 시민들이 끌려와 치료와 함께 취조를 당하며 육체적, 정신적 고통을 겪은 공간이 바로 국군 광주병원이다. 5·18사적지 가운데 원래 모습이 고스란히 남은 몇 안 되는 건물 중 하나인 이곳은 비극적인 당시의 시간이 그대로 남아 있다. 원래 국군 광주병원은 공원 내 산책로를 따라 외부에서만 관람할 수 있으나, 광주비엔날레 같은 특별한 행사가 열릴 때 내부 개방이 이뤄지기도 한다. 2021년 광주비엔날레 당시엔 5·18 민주화운동을 재조명하는 작품들이 전시되었는데, 광주에서 태어났거나 혹은 광주에서 활동하는 작가들의 다양한 시각을 빌려 희생자들을 추모했다. 역사적 의미에도 불구하고 스산한 풍경만 남은 옛 병원은 여전히 치유되지 않은 5·18 민주화운동의 상처를 대변하는 듯하다."
광주광역시 서구 월드컵서로 71-3,(풍암동),5,0,A02,A0202,A02020100,2754467,12,20211007185542,http://tong.visitkorea.or.kr/cms/resource/03/2754503_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2754503_image2_1.jpg,126.8704372755,35.1281345268,6,20220914132908,1,5,,풍암호수공원,62017,"1956년 농업용수 공급을 위해 저수지를 축조하였다가 택지 개발과 더불어 근린공원으로 거듭난 서구 8경 중 하나인 풍암호수공원은 한국의 알프스라고 불릴 만큼 뛰어난 경관을 자랑한다. 야생화, 난 등의 식물들을 체험할 수 있는 자연생태체험학습장과 양서류 서식처, 야외무대, 벽천과 전통정자, 생태연못 등이 자리 잡고 있는 도심 내 휴식공간이다. 나무데크와 흙길로 된 호수의 주변 산책로는 걷기 좋고, 곳곳에 놓인 쉼터와 벤치에서 여유롭게 봉황산과 금당산을 조망할 수 있어 인근의 주민들뿐만 아니라 관광객들의 사랑을 듬뿍 받고 있는 산책 명소이다."
광주광역시 서구 서창둑길 377,(벽진동),5,0,A01,A0101,A01010500,2675030,12,20201007052714,http://tong.visitkorea.or.kr/cms/resource/23/2675023_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/2675023_image2_1.JPG,126.8287545923,35.1384632138,6,20221024100357,0,5,,영산강 극락 친수공원 일원,62076,"매년 억새축제가 열리는 영산강 극락교(서창둑길)에는 가을이되면 자전거길을 따라 억새와 코스모스 등이 만개한다. 영산강 자전거길 안내센터에서 무료로 저전거 대여도 가능하다. 또한, 인근에는 전통문화체험마을인 서창향토마을이 위치해 있다."
광주광역시 서구 상무중앙로 42,(치평동),5,0,A02,A0202,A02020500,2660923,12,20200624225934,,,126.8489302821,35.1506177367,6,20221012140333,0,5,,테라피 스파 소베,61963,"스파 브랜드 테라피 스파 소베는 라틴어로 건강과 아름다움을 뜻하는 solus와 ellus의 앞 두 글자씩 따 소베(soe)다.
자연이 우리에게 준 본연의 건강과 아름다움을 추구하며, 지친 현대인에게 귀하고 편안한 시간을 선사하기 위해 끊임없이 연구하고 있다."
광주광역시 서구 천변좌로 12-16,,5,0,A02,A0203,A02030600,2511261,12,20171017024644,http://tong.visitkorea.or.kr/cms/resource/81/2675681_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/81/2675681_image2_1.JPG,126.891465176,35.1599479562,6,20221115133127,1718,5,,청춘발산마을,61918,"발산마을은 광주의 대표적인 마을 중 하나였다. 비탈진 언덕에 다닥다닥 붙어 있는 집, 슬레이트 지붕과 초가지붕, 좁디좁은 골목, 띄엄띄엄 눈에 띄는 밭. 손에 돈 몇 푼이라도 쥐고 있다면 절대로 찾아들고 싶지 않은 곳이었으나 지금은 문화적 가치를 지닌 마을로 성장했다. 6·25전쟁 후 피란민이 모여들면서 마을이 형성됐고, 1970년대에는 전국에서 일자리를 찾아 몰려든 청춘들로 인해 전성기를 누려 형성되었다.
780년대 방직여공들이 모여 살던 마을이 산업구조가 바뀌면서 빈집이 늘어갔다. 젊은 예술가들은 시간이 멈춘 발산마을에 컬러아트프로젝트와 공공디자인을 통해 색채감이 넘치는 곳으로 탈바꿈 시켰다. 철재로 만든 뽕뽕브릿지, 곳곳의 조형물, 벽화 등 활기가 가득하다."
광주광역시 서구 운천로 230,,5,0,A02,A0201,A02010800,2027193,12,20150903235809,,,126.8560351305,35.1537702779,6,20220929173131,11157,5,,무각사,61965,"조계총림 송광사 광주포교당 무각사는 광주 서구의 팔경 가운데 하나인 여의산에 자리해 있으며, 1990년대 이후 광주의 행정, 문화, 상업이 이곳 여의산이 자리한 상무지구로 옮겨지면서 무각사는 광주불교 1번지로 자리잡아가고 있다. '일이 바라는대로 이루어진다'는 여의산에는 본래 극락암이라는 작은 암자가 자리해 있었고 1950년대 초반, 상무대(전투병과 교육사령부)가 들어서면서 장병들의 훈련공간이 되었다. 1971년 당시 송광사 방장 구산 큰스님과 지역불자의 원력으로 국민 총화 단결과 남북통일의 기원을 담아 민, 관, 군, 정신교육의 장으로 부처님 도량 무각사가 창건되었다.  1994년, 도심개발과 함께 상무대가 장성으로 옮겨지고 무각사를 포함한 여의산 일대 10만여 평이 5.18기념공원으로 명명되어 광주시민의 쉼터로 남게 되었고, 무각사도 불자와 시민들의 수행도량으로 가듭나 오늘에 이르고 있다. 2007년, 현 주지 청학스님이 부임한 직후 부터 시작한 제1차 천일기도를 원만히 회향하여 무각사를 대한불교 조계종단 소속으로 등기 이전 했으며 광주·호남 지역의 중심 사찰로 발돋움 할 수 있는 계기를 마련했다. 곧이어 2010년 5월 중창불사 원만 성취를 발원하는 기도를 입재하고 2013년 제2차 천일기도를 원만히 회향하여 근래 한국 불교계에서 찾아 볼 수 없는 깊은 감동과 신심을 불러 일으켰으며 사부대중의 수행 풍토를 일신시켰다. 2017년 2월 3차 천일기도 회향으로 무각사는 기도 수행뿐 아니라 시민과 함께 하는 도량으로 자리잡고 있다.  무각사는 도심 사찰로 드물게 일주문, 사천왕문, 대웅전, 종각 등 전통사찰의 형태를 여법하게 갖추고 있어 대가람으로 손색이 없다. 일주문에서 사천왕, 대웅전으로 이어지는 가람 형태는 도심 한복판에 자리해 있으면서도 깊은 산사에 들어선 듯 경건함마저 감돌고 있다. 이 밖에 일주문 옆에 자리한 광주불교회관에는 광주불교사암연합회를 비롯한 포교사단, 불교계 언론사 등 각종 신행단체가 입주해 지역불교를 이끌고 있다. 또한 무각사를 중심으로 5.18 기념공원을 일주하는 2km 이르는 산책로가 단장되어 있어 시민의 발길이 끊이지 않고 있다."
광주광역시 서구 무진대로 919,(광천동),5,0,A02,A0204,A02040800,1852992,12,20131023225325,,,126.8805327471,35.1624280471,6,20210930222052,9510,5,,KBC 광주방송,61915," 호남지역 최초 TV 민영방송사. KBC 광주방송   1995년 5월 개국한 KBC광주방송은 호남 최초 TV 민영방송으로 출범해 18년 동안 지역민과 함께 호흡하며 호남지역의 대표방송으로 자리매김했다. 광주방송은 청소년을 위한 방송체험센터를 운영하고 있다. 방송국 1층에 위치한 체험센터는 방송제작현장을 간접적으로 체험해 볼 수 있는 기회를 제공한다. 방송국에 도착하면 방송이 제작되는 전반적인 과정을 영상으로 시청하고 체험관으로 이동하게 된다. 합성영상 제작을 위한 블루 스크린 앞에서 다양한 포즈로 체험을 즐길 수 있으며, 뉴스 세트의 앵커 자리에 앉아 앵커체험도 할 수 있다. 이곳에서는 음향과 화면조정을 주관하는 시설과 각종 방송장비도 직접 조작해볼 수 있다."
광주광역시 서구 화운로156번길 17-8,,5,0,A02,A0201,A02010700,1622343,12,20120504195211,http://tong.visitkorea.or.kr/cms/resource/42/1587842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/1587842_image3_1.jpg,126.8786386997,35.1532596058,6,20220817130042,18869,5,,화담사,61979,"화담사는 하동 정씨인 묵은공 정희를 주벽으로 그의 아들 문경공 정초, 손자 문절공 정수충과 약포공 정오도, 여흥민씨인 충장공민제장을 모신 사우이다. 이곳은 옛부터 꽃이 많다고(군분)하여 화담이라 불렸으며 하동정씨가 이곳에 정착하게 된 것은 보성군수를 역임한 정화가 살기 시작하면서부터이다. 화담사는 1735년(영조 11) 경사에 능하며 예법을 지키고 청렴결백한 문절공의 영정을 모시는 영당에서 출발하였다. 문절공의 영정은 정화가 이곳으로 오면서 가지고 온 것이다. 그 후 1776년(영조 52) 사우 건축을 발의하여 1784년(정조 8) 문절공의 위패를 봉안하였다. 1796년(정조 20)에 광주향교유회소의 발의로 이인좌의 난을 평정하는데 공을 세운 광주 출신의 충장공을 추가로 배출하였다. 1809년(순조 6) 충청도 유회소가 발의하여 정몽주의 제자로 충절을 지킨 묵은공과 세종대에 학문, 예술, 과학 기술 등에 업적을 쌓았으며 청백과 도덕이 높았던 문경공을 1910년 추가 배출하였다.1868년(고종 5) 대원군의 서원 철폐 조치에도 지붕을 덮고 제사만 폐하였다가 1905년 광주향교 유회소의 발의로 복설되었다. 1906년에는 광주 유생들의 발의로 광주 관찰사에게 상서하여 충효가 출중한 광주 출신의 약포공을 추가로 배출하여 현재의 틀을 갖추었다.  약포공은 송시열의 제자로 처음 광주 지산사에 배출되었으나 서원철폐령에 의하여 서원이 철폐되어 조상들이 모셔져 있는 이곳에 추가 배출된 것이다. 이곳의 건물 배치는 제향 구역과 강학 구역을 지반아를 주어 조성한 전학후묘 양식으로 가장 뒤에 화담사를 안치하고 그 앞에 내삼문인 양양문을 두었다. 이곳에서 계단으로 내려가는 중간에 동재와 서재를 두고 그 밑에 외인문을 배치한 전형적인 서원 건축양식을 갖추고 있다.화담사는 정면 3칸, 측면 1칸으로 앞 뒤에 마루가 있는 맞배지붕이다. 앞면의 마루는 개방되어 제향의식을 편리하게 한 사당 건축의 특징을 보여주고 있다. 앞부분의 문은 굽널을 둔 빗살문이며 겹처마이다.평면구성은 앞에는 원형기둥을 세우고 중앙부는 사각기둥을 세워 앞마루가 퇴마루를 구성하지 않는 개방형이다.청지재와 열호재는 동재와 서재가 같은 양식으로 건립된 정면 4칸, 측면 1칸의 맞배 지붕이다. 평면 구성은 앞에 마루를 두고 모두 온돌방을 놓았다."
광주광역시 서구 월드컵서로 71-3,(풍암동) 일원,5,0,A01,A0101,A01011700,1622215,12,20120504185920,http://tong.visitkorea.or.kr/cms/resource/10/1587810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/1587810_image3_1.jpg,126.8700956492,35.1277317885,6,20220321113641,20543,5,,풍암저수지 (풍암호수),62017,1956년 농업용 목적으로 축조하였으나 풍암택지 개발과 더불어 이용객이 증가함에 따라 99년부터 국토공원화 시범사업으로 전통정자와 목교등을 설치하여 물과 전통이 조화를 이루는 광주의 상징적 쉼터로 개발하여 1일 수백명의 이용객이 찾고있다.
광주광역시 서구 상무공원로 101,,5,0,A02,A0202,A02020700,1622203,12,20120504185051,http://tong.visitkorea.or.kr/cms/resource/79/1587779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/1587779_image3_1.jpg,126.8403948478,35.1537505721,6,20220405134357,24109,5,,상무시민공원,61953,"서구 치평동 상무 신도심 아파트 단지내에 자리한 아름다운 공원이다. 94년 11월 12일 지정되어 각종 운동시설과 아름다운 수경관 연출이 가능한 호수 및 열린광장, 조각공원 등 각종 조경, 편의시설 등을 갖춘 광주에서 최대 규모의 공원이다. 상무시민공원은 인공호수 2개, 광장(39,360㎡), 체육시설(종합운동장, 육상트랙, 테니스장 3, 농구장 1, 배구장 1), 여성발전센터, 환경조형작품(공룡나라외 15종) 등으로 이루어져 있다. 특히 운동시설로 3천470평의 국제규격 잔디축구장 및 6,000여 명을 수용할 수 있는 잔디스탠드, 맨발 조깅이 가능한 4백m 우레탄 트랙 등이 설치돼 있는 종합운동장과 소운동장이 있다.  조각공원은 상무시민공원내 호숫가를 중심으로 펼쳐져 있다. 각 작품마다 경관 조명시설을 설치해 야간에도 환상적이고 아름다운 작품을 감상할 수 있으며 누구나 만지고 체험하면서 감상할 수 있도록 함으로써 보는 즐거움과 체험의 즐거움을 동시에 안겨준다. 휴먼파크를 주제로 조각가 18명의 작품 22점이 설치되어 있다. 공룡나라는 익룡21, 아기공룡, 티라노, 잃어버린 세계 등이 테마로 꾸며진 곳으로 티라노 미끄럼틀을 타며 뛰노는 어린이들의 모습이 눈부시다."
