addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 남구 앞산순환로 540,(대명동),4,0,A02,A0205,A02050200,2751285,12,20210929224953,http://tong.visitkorea.or.kr/cms/resource/16/2751816_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2751816_image2_1.jpg,128.5837480854,35.8323157014,6,20210930182300,0,1,,충혼탑,42502,"충혼탑은 한국전쟁 당시 조국 수호를 위해 산화한 대구 출신 호국영령의 영현을 모신 공간이다. 탑은 원래 1958년 5월 대구 수성구 두산동 수성못 옆에 건립했다. 하지만 규모가 작고 장소가 부적합하여 1971년 4월 대덕산 기슭에 탑신 30m, 둘레 9m인 충혼탑을 재 건립하게 되었다. 이후 2017년 6월 리모델링 공사로 기존 충혼탑 내 낡고 좁은 위패 봉안실을 충혼탑의 좌우에 석재로 신축하여 장중한 추모공간으로 새롭게 단장하였다.사진 출처: 대구광역시청"
대구광역시 남구 대명동,,4,0,A02,A0205,A02050600,2703807,12,20210114225106,http://tong.visitkorea.or.kr/cms/resource/00/2703800_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2703800_image2_1.jpg,128.5655246933,35.8322070451,6,20220519125819,0,1,,앞산 해넘이전망대,42495,"일몰과 함께 대구의 경관을 한눈에 담을 수 있는앞산 해넘이전망대는 남구의 앞산빨래터공원에 위치한다. 앞산빨래터공원의 역사와 상징을 담아 전망대 디자인은 빨래 짜는 모습을 형상화했다. 전망대를 향하는 경사로는 앞산의 전경과 주변 경관을 볼 수 있어 산책하기 좋다.  시설규모 : 앞산 해넘이전망대(타워형)13m, 경사로 243m"
대구광역시 남구 명덕로 262,,4,0,A02,A0203,A02030600,2679833,12,20201030200719,,,128.5985933601,35.8553467018,6,20221212151318,0,1,,이천동고미술거리,42431,"1960년대부터 형성된 문화재매매업소가 모여있는 곳으로 과거 우리선인들이 사용한 민속품,도자기,고가구를 많이 보유하고 있고 현대인에게 생소한 조상들의 생필품들이 가득하여 구경하는 재미가 쏠쏠하다. 외국인에게 인기가 많으며 특히, 일본인은 지도와 정보를 입수하여 찾아온다고 한다. 외국인에게 많은 사랑을 받으며 경외감을 주는 우리 고미술품에 우리나라사람들의 관심과 사랑이 어느때보다 필요하다. 고미술품에 관심이 있다면 꼭 한번 방문할 만한 관광지로 추천한다."
대구광역시 남구 대명남로 191,,4,0,A02,A0203,A02030600,2611146,12,20190716010603,,,128.5791122854,35.8358179977,6,20221025171523,0,1,,앞산카페거리,42488,"대구시 남구 앞산 부근, 대명 9동 일대에 카페들이 밀집한 골목을 '앞산커페거리'라 부른다. 주택을 개조한 카페, 레스토랑, 갤러리 카페 40여 개가 줄지어 있는 활기찬 거리이다. 이곳에는 커피, 샌드위치, 디저트 등을 취급하는 카페가 가장 많고, 피자, 파스타, 스테이크를 판매하는 레스토랑, 일식당, 맥주 전문점, 파이 전문점 등이 있다. 데이트를 즐기는 연인, 휴일 나들이를 나온 가족들이 달콤한 먹거리와 향기로운 커피를 즐기기 좋은 곳이다.인근에 앞산공원, 안지랑곱창거리 등이 있어, 먹고, 마시고, 휴식하기에 좋다. 대구지하철 1호선 안지랑역에서 걸어서 510분 거리이다."
대구광역시 남구 용두2길 43,,4,0,A01,A0101,A01010700,2478983,12,20170204000943,http://tong.visitkorea.or.kr/cms/resource/36/2478936_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/36/2478936_image2_1.JPG,128.6034408589,35.8300524321,6,20221017141513,2799,1,,고산골 메타쉐콰이어길,42503,"대구광역시 남구는 연간 350만명이 이용하는 앞산 공원 진입로인 고산골에 메타쉐콰이어 숲길을 조성하여,시민들에게 건강한 휴식을 제공하고 있다. 고산골 메타쉐콰이어 숲길은 메타쉐콰이어길과 앞산의 숲이 아름답게 조화를 이루는 명품거리로 사랑받고 있다.
 고산골
신라말엽 왕실에 대를 이을 왕자가 없어 근심이 컸던 왕은 꿈에 백발 노인이 나타나 서쪽으로 수 백 리 되는 곳에 절을 짓고 정성을 다하면 소원이 이루어 진다하여 지금의 고산골에 절을 짓고 그 이름을 '고산사'라 하였다. 이듬해 왕비가 백일기도를 드리고 왕자를 낳자 왕은 대단히 기뻐하여 고산사에 3층 석탑을 세웠다. 고산골이란 명칭은 이 고산사에서 유래되었으며 고산사는 임진왜란때 소실되고 지금의 법장사가 재건되었다.
"
대구광역시 남구 용두2길 43,(봉덕동),4,0,A02,A0202,A02020600,2478972,12,20170203233339,http://tong.visitkorea.or.kr/cms/resource/47/2478947_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2478947_image2_1.JPG,128.6034408589,35.8300524321,6,20220412111050,3328,1,,공룡공원,42503,"대구광역시 남구의 앞산 고산골에 위치한 공룡공원에서는 실물과 비슷한 크기로 제작된 티라노사우루스와 스피노사우루스, 스테고사우루스, 브라키오사우루스 등의 공룡 모형을 만나 볼 수 있다. 공룡 주변에는 공룡알과 새끼공룡 등을 제작하여 포토존을 조성되어있어 자유롭게 사진을 찍을 수 있고, 안내판에 안내된 스마트폰 증강현실 콘텐츠 앱을 이용하면 공룡화석 생성과정을 영상으로 볼 수 있어 더욱 생생한 공룡 체험이 가능하다."
대구광역시 남구 계명중앙1길 54,(대명동),4,0,A02,A0203,A02030600,2478964,12,20170203230124,http://tong.visitkorea.or.kr/cms/resource/52/2478952_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2478952_image2_1.jpg,128.582608646,35.8557435846,6,20221025172251,1757,1,,대명공연문화거리,42402,"현재 대구 남구 대명동 아이시티(ICT) 파크 일대에는 연극극단, 음악가, 개인화실, 게임제작·배급업소, 예술기획사, 악기사 등 다양한 장르의 예술인 및 예술단체가 활동하고 있다. 이들 예술인 및 예술단체의 예술적 감성과 역량을 한곳에 모을수 있게 이 일대를 공연문화의 거점공간으로 조성하여 공연산업의 자생적 기반을 확보하였다. 지역 공연단체 유인을 통한 집적화로 지역민들에게 상시적으로 공연 활동을 제공하여 생활속의 문화 향수권을 확대할수 있는 문화공연의 1번지이다."
대구광역시 남구 앞산순환로 574-114 앞산케이블카,,4,0,A02,A0205,A02050600,2366916,12,20160206014632,http://tong.visitkorea.or.kr/cms/resource/46/2366146_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/2366146_image2_1.JPG,128.587164671,35.8244027709,6,20220421105726,9051,1,,앞산 케이블카(앞산 전망대),42502,"앞산전망대는 대구광역시 남구에 위치한 전망대로 대구시가지를 한눈에 조망할 수 있는 대구관광의 명소이다. 앞산전망대의 건축물은 도시와 자연, 역사와 미래를 함께 엮어낸 성공적인 건축물로 평가되고 있다. 관광객들도 많이 찾고 있지만 무엇보다 대구에서 먹고 자고 살아가는 대구 시민에게 대구가 어떤 도시라는 산교육을 할 수 있는 교육장의 역할도 하고 있다."
대구광역시 남구 이천로29길 28-1,(이천동) 일대,4,0,A02,A0203,A02030600,2366507,12,20160204201426,http://tong.visitkorea.or.kr/cms/resource/77/2366177_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2366177_image2_1.jpg,128.5970157747,35.8534218907,6,20220322180701,4292,1,,이천동 99계단 벽화마을,42423,"이곳은 서울의 인사동 거리처럼 고미술거리로 널리 알려진 대구 남구 이천동 고미술 거리 건너편으로, 전통사찰인 서봉사가 있고 그 아래 나지막하면서 오래된 한옥이 밀집해 있는 수도산 자락에 있다. 어둡고 칙칙한 시멘트 담장만 있던 골목 99계단에 99세까지 88하게라는 타이틀의 벽화를 조성하여 밝고 아름다운 벽화 골목으로 조성했기 때문에 더욱 의미가 있는 곳이다."
대구광역시 남구 고산3길 95-1,(봉덕동),4,0,A02,A0205,A02050600,2366500,12,20160204200133,http://tong.visitkorea.or.kr/cms/resource/52/2366152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2366152_image2_1.jpg,128.6007580634,35.8191841675,6,20220519100601,4015,1,,고산골,42502,"고산골과 산성산 중간쯤에 위치하고 있는 전망대로, 이 전망대에 서면 아름다운 자연과 어우러진 대구 남구 지역의 경관이 한눈에 들어오며, 특히 해질녘 은하수가 내려 앉은 듯한 도심의 야경을 조망 할 수 있다. 이곳은 2013년 문화체육관광부 ""사진찍기 녹색명소 조성사업""공모사업에 선정된곳이다. "
