addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 달서구 조암남로28길 9,(대천동),4,0,A02,A0202,A02020300,2770713,12,20211109201353,http://tong.visitkorea.or.kr/cms/resource/50/2770850_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2770850_image2_1.jpg,128.5175432112,35.8176828065,6,20221130092230,0,2,,미성온천,42759.0,"미성 온천은 대구시 달서구 대천동에 자리 잡고 있다. 이곳은 지하수, 광천수, 암반수보다 좋다고 알려진 황산염 광천 온천수를 쓴다. 이 덕분에 고혈압, 관절염, 불면증 개선에 효과적이다. 내부에는 대형 바데풀, 폭포탕, 테마가 있는 이벤트탕, 여성 전용 소금 찜질방, 수소 찜질방 등이 갖춰져 있다."
대구광역시 달서구 상화로 79,(진천동),4,0,A02,A0202,A02020300,2766491,12,20211102200606,http://tong.visitkorea.or.kr/cms/resource/93/2766693_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2766693_image2_1.jpg,128.522643022,35.8082756316,6,20221128094502,0,2,,수목원생활온천,42775.0,"수목원생활온천은 대구시 달서구 진천동에 자리 잡고 있다. 이곳은 지하 843m 아래 광천 온천수를 사용한다. 약알칼리성의 유황 성분을 함유하고 있어 피부 미용과 피로 회복에 효과적이다. 내부에는 대온천장, 바데푸르 불가마, 피트니스센터 등이 갖춰져 있다."
대구광역시 달서구 조암로 38,(월성동),4,0,A02,A0202,A02020600,2756664,12,20211013234423,http://tong.visitkorea.or.kr/cms/resource/42/2756842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2756842_image2_1.jpg,128.5256756252,35.8250210143,6,20220908164055,0,2,,엘리몽,42753.0,"엘리몽은 대구시 달서구 월성동에 자리 잡은 대구 최대 규모의 복합문화놀이공간이다. 2.650㎡에 30여 종의 다양한 놀이 시설을 갖춰 어린이들에게 즐거운 놀이 공간을 제공하고 있는데 3층에는 짚라인, 미니기차, 레이싱카, 볼 풀장, 트램펄린, 푸드존이 있고 4층은 오락기와 함께 공주 놀이, 소꿉놀이, 마트 놀이처럼 역할놀이를 할 수 있게 배치했다. 특히 대구에서 최장 거리인 63m의 레이싱 카트가 있어 아이들이 직접 운전하며 스릴을 만끽할 수 있으며 진행 요원들이 있어 안전하게 이용할 수 있다."
대구광역시 달서구 공원순환로 216,(성당동),4,0,A01,A0101,A01011700,2751543,12,20210930011456,,,128.5616191375,35.844622235,6,20221011134118,0,2,,성당못,42672.0,"성당못 일대를 옛날에는 성댕이, 상댕이라고 불렀다. 그러다가 1910년대부터 성당동이라고 불렀는데, 이 시기부터 동네 이름을 따서 성당못이라고 불렀다.
성당못이 있던 자리는 조선 중엽 채 씨 성을 가진 판서가 살던 집터였는데, 장차 임금이 태어날 명당이라 하여 나라에서 집을 짓지 못하도록 연못을 만든 것이 오늘날의 성당못이 되었다. 성당못에는 인근 두류산의 정기를 받을 수 있다고 전해지는 두리길이 있다. 산책 삼아 걷기 좋아 많은 사람이 찾는다.사진 출처: 대구광역시청"
대구광역시 달서구 상인로 128,(상인동),4,0,A02,A0202,A02020100,2751497,12,20210930004847,http://tong.visitkorea.or.kr/cms/resource/88/2751488_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/2751488_image2_1.jpg,128.5446213721,35.8180249318,6,20211006233003,0,2,,월곡역사공원,42804.0,"월곡역사공원은 임진왜란 당시 의병을 일으켜 활약한 월곡 우배선을 기리고자 건립된 공원이다. 공원에는 산책로, 쉼터, 놀이터, 연못 등이 있다. 특히 계절을 달리해 피는 꽃이 아름답기로 유명하다. 월곡역사박물관이 공원과 연이어 자리 잡고 있어 연계 관광이 수월하다. 월곡역사박물관에는 관계된 유물, 단양 우 씨 월촌 종중 소장품, 각종 생활용품과 농기구 등을 전시하고 있다."
대구광역시 달서구 달서대로109길 70,(호산동),4,0,A02,A0202,A02020100,2744539,12,20210915000426,http://tong.visitkorea.or.kr/cms/resource/28/2744828_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2744828_image2_1.JPG,128.4839536368,35.8490258649,6,20221014163917,0,2,,호산공원,42709.0,"호산공원은 메타세쿼이아 숲길로 유명하다. 19951996년에 조성됐는데, 약 1km의 산책로에 250여 그루의 메타세쿼이아가 자리 잡고 있다. 지난 2011년에는 '대구의 아름다운 거리'에 선정된 바 있다. 호산공원에는 A 코스 1,200m, B 코스 520m, C 코스 400m로 이루어진 걷기 코스도 마련되어 있다.사진 출처: 대구 달서구청"
대구광역시 달서구 대천동 900,,4,0,A02,A0202,A02020700,2744537,12,20210915000143,http://tong.visitkorea.or.kr/cms/resource/16/2744816_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2744816_image2_1.jpg,128.4846567649,35.8341247866,6,20211115224803,0,2,,호림강나루공원(호림공원),42716.0,호림공원은 많은 사람이 산책을 즐기는 공간이다. 자전거길이 잘 조성되어 있어 자전거를 타는 사람들의 방문도 잦다. 이곳을 찾는 이들은 연중 끊이지 않을 정도로 많다. 하지만 가장 붐비는 시기는 가을이다. 공원 이곳저곳에 식재된 나무들이 가을빛으로 물들어 장관을 연출하기 때문이다.사진 출처: 대구 달서구청
대구 달서구 이곡동 1306-6,,4,0,A02,A0202,A02020700,2744478,12,20210914223608,http://tong.visitkorea.or.kr/cms/resource/76/2745476_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/76/2745476_image2_1.JPG,128.5148117758,35.8581254007,6,20221013174834,0,2,,이곡장미공원,,"이곡장미공원은 면적 15,000㎡ 중 장미원을 약 5,000㎡에 걸쳐 조성하였다. 공원 내에는 장미원과 더불어 산책로, 분수, 정자가 있다. 장미원에서는 매년 5월경 '장미꽃 필(feel) 무렵'이란 축제를 개최한다. 다양한 종류의 장미를 구경할 수 있어 많은 사람이 찾는다. 게다가 개성 넘치는 사진을 찍을 수 있는 포토존과 각종 조형물이 볼거리를 제공한다. 이곡장미공원은 지하철 2호선 이곡역 6번 출구에서 도보로 12분이면 닿는다.사진 출처: 대구광역시청"
대구 달서구 월성동 산10-1,,4,0,A01,A0101,A01010500,2744445,12,20210914221915,http://tong.visitkorea.or.kr/cms/resource/85/2745485_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/85/2745485_image2_1.JPG,128.5383410887,35.828159781,6,20210915202907,0,2,,학산공원,,"학이 날아와 앉은 모습과 닮았다는 학산공원. 이곳은 공원 전망대에서 일출과 일몰을 감상할 수 있어서 많은 사람이 찾아온다. 전망대로 가장 빨리 오르는 길은 학산공원 공영주차장에서 시작된다. 주차장을 지나면 학 모양의 조형물이 자리 잡은 분수대, 여러 스포츠를 즐길 수 있는 다목적운동장 등이 나온다. 다목적운동장부터 전망대까지는 약 15분가량 소요된다.사진 출처: 대구달서구청"
대구광역시 달서구 조암로 38,(월성동),4,0,A02,A0202,A02020400,2718732,12,20210528005251,,,128.5256756252,35.8250210143,6,20220411135129,0,2,,엘리바덴 신월성점,42753.0,"도심 속 복합 휴양지라는 슬로건에 맞게 좋은 교통편 인삼과 홍삼을 사용한 특색 있는 스파, 직접 장작불로 불을 때는 한증막, 800평 대구 최대 규모 키즈파크 엘리몽,건강관리를 위한 현대인의 핫플레이스 피트니스까지 한 번에 즐길 수 있습니다."
