addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 달성군 옥포읍 교항리,958,4,,A01,A0101,A01010500,2823801,12,20220615142132,,,128.43752323,35.7906427336,6,20220615142146,0,3,,교항리 이팝나무 군락지,42969.0,"옥포읍 교향리 마을에서 약 100m쯤 떨어져 있는 평탄한 구릉지대의 세청숲 속에 수령이 약 300여년 이상 된 이팝나무 45주가 자라고 있다. 이팝나무 외에 150여년이 된 상수리나무, 굴참나무, 느티나무, 말채나무등 거목들이 많이 군거하고 있어 이 숲은 학술연구상으로 풍치림으로서 보호할 가치가 있다. 이팝나무는 낙엽활엽교목으로 5월초에 흰색의 꽃이 피는데 흰꽃망울로 덮흰 숲을 멀리서 바라보면 흰구름이 떠나가는 형상이다. 이팝나무는 독립수로 자라는 곳이 있으나 이숲처럼 집단으로 군락을 이루고 있는 곳은 드물다. 또한 과거 마을에서 예림사상을 고취하기 위하여 숲에 위해를 가하는 자는 백미 1두씩 벌과금을 물려 나무를 보호해 왔다는 설이 있으며, 칠월 칠석에는 마을에서 당산제를 지내고 있다."
대구광역시 달성군 가창면 헐티로 1190,,4,0.0,A02,A0201,A02010800,2773383,12,20211111193316,,,128.6123965208,35.7978145763,6,20211118015054,0,3,,광덕사,42932.0,"광덕사는 대구시 달성군 가창면 용계리에 자리했다. 대한불교 조계종 소속의 사찰로 1967년에 지어졌다. 가창댐과 가까이 있으며 최정산과 연결된 등산로도 있다. 일주문을 지나면 범종각이 있고, 내부로 들어가면 대웅보전, 산신각, 독성각, 요사채 등의 가람이 갖춰져 있다. 특히 대구광역시 유형문화재 제92호로 지정된 대구 광덕사 신중도를 봉안하고 있다. 사찰은 파동 IC와 가까운 거리에 위치했다. 주변 관광지로는 가창호, 냉천 CC가 있다."
대구광역시 달성군 화원읍 화원휴양림길 126,,4,0.0,A01,A0101,A01010600,2756669,12,20211013234719,http://tong.visitkorea.or.kr/cms/resource/52/2756852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2756852_image2_1.jpg,128.5367594539,35.7718300136,6,20221118135537,0,3,,화원자연휴양림,42967.0,"화원자연휴양림은 대구시 달성군 화원읍에 자리 잡고 있다. 관리사무소 앞으로 피크닉장이 있고 그 주변으로 맑은 계곡이 흐르고 있어 물놀이하기에 좋다. 숙박시설인 산림문화 휴양관과 숲속의 집이 있는데 숲속의 집이 계곡과 가깝다
산림욕장과 함께 유아 숲 체험장, 전망데크, 족구장, 피크닉장 등을 갖추고 있다. 휴양림은 화원 옥포 IC와 가까워 접근성이 좋고 주변으로 비슬산이 있어 경관이 뛰어나고 달성군민에게는 할인 혜택이 있다. 휴양림 보호 차원에서 숯불 사용은 금지하고 있다."
대구광역시 달성군 가창면 가창로 891,,4,0.0,A02,A0202,A02020600,2756646,12,20211013233506,http://tong.visitkorea.or.kr/cms/resource/12/2756812_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/12/2756812_image2_1.JPG,128.6353392148,35.7881605357,6,20221118113044,0,3,,리조트 스파밸리 네이처파크,42938.0,"리조트 스파밸리 네이처파크는 대구시 달성군 가창면에 자리 잡은 실내, 외 동물원이다. 400,000㎡의 넓은 한 부지에 대형 글라스하우스 동물원과 방사형 야외 동물원으로 구성돼 있다. 동물원에는 앵무새, 파충류, 사막여우, 미어캣, 말, 사자 호랑이와 같은 50여 종의 동물, 300마리 이상이 있고 350여 종의 수목, 100여 종 이상의 다양한 꽃들을 주변에 잘 배치해 놓았다. 주요 체험 프로그램으로 플레이 팡팡, 정글챌린지, 카약, 승마 등이 있다. 우리에 가둬 두지 않아 입장객을 따라다니면서 교감하는 동물들도 만날 수 있어 아이들에게 인기 있는 곳이다."
경상북도 청도군 각북면 오산리,,4,0.0,A01,A0101,A01011800,2746373,12,20210916233046,http://tong.visitkorea.or.kr/cms/resource/29/2746429_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2746429_image2_1.jpg,128.609924466,35.7996421023,6,20221104162052,0,3,,주암산가창저수지,38300.0,"상수도 보호구역으로 낚시 불가		
가창저수지 주변은 산책하기 좋다. 가창댐길은 가창 헐티로와 가창저수지 수변 공간을 따라 나무데크 둘레길, 숲길, 마을로 이어지는 걷기 좋은 산책길이자 자연친화적인 드라이브 코스로, 대구 시민들이 즐겨찾는 휴게 명소로 자리잡은 곳이다. 가창저수지를 한눈에 담으려면 대구시 달성군 소재 주암산에 오르면 된다. 가창저수지의 물은 식수나 농업용수로 이용된다. 상수원 보호구역으로 낚시는 불가능하다."
대구광역시 달성군 유가읍 테크노공원로 58,,4,0.0,A02,A0202,A02020700,2744454,12,20210914222329,http://tong.visitkorea.or.kr/cms/resource/24/2745524_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/24/2745524_image2_1.jpg,128.4594212503,35.6915099007,6,20210930004909,0,3,,테크노폴리스중앙공원,43018.0,"테크노폴리스중앙공원은 수상 데크 로드, 흙길 산책로, 야간 경관조명 분수가 어우러진 수변 공간이다. 특히 흙길 산책로는 관광객들이 연못에 최대한 가깝게 접근해 산책할 수 있도록 조성했다. 게다가 해 질 녘 야간 조명이 켜지면 연못의 시원한 바람을 맞으며 여러 산책로를 걸을 수 있어 많은 사람이 방문한다.사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다'"
대구광역시 달성군 유가면 비슬로34길 27(한정리 일원),,4,0.0,A01,A0101,A01010500,2742567,12,20210910005518,http://tong.visitkorea.or.kr/cms/resource/45/2742545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2742545_image2_1.jpg,128.453369998,35.6552722181,6,20221111141948,4,3,,달창지벚꽃길,,달창지벚꽃길은 달성군 유가면 한정리마을에서 달창저수지까지 왕복 약 5km를 일컫는다. 벚꽃길은 고즈넉한 시골 풍경을 간직한 한정리 마을과 빼어난 경관을 자랑하는 달창저수지와 어우러지며 장관을 연출한다. 달창지벚꽃길은 비슬산자연휴양림과 함께 달성군의 대표 관광 명소로 알려져 해를 거듭할수록 상춘객들로 북적인다.사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다'
대구광역시 달성군 유가읍 구례길 1,,4,0.0,A01,A0101,A01011800,2742528,12,20210910004438,http://tong.visitkorea.or.kr/cms/resource/13/2742513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2742513_image2_1.jpg,128.4688244714,35.6451514212,6,20210910004438,2,3,,달창저수지,42992.0,달창저수지의 명칭은 달성군의 '달'과 창녕군의 '창'을 합성하여 만들었다. 이곳은 대구 달성군 유가읍과 경남 창녕군 성산면 일원에 위치하여 대구 지역의 관광명소로 뽑힌다. 4월이면 저수지 주변에 벚꽃이 만발해 많은 관광객이 찾는다. 낚시는 불가하다.사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다'
대구 달성군 다사읍 이천리 산25-2,,4,0.0,A01,A0101,A01010600,2742424,12,20210910001415,http://tong.visitkorea.or.kr/cms/resource/05/2742405_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2742405_image2_1.jpg,128.4595046957,35.888648706,6,20221103172209,1,3,,마천산산림욕장,,"마천산산림욕장은 마천산, 성산 일대 숲길을 걸으며 산림욕을 즐길 수 있도록 조성되어 있다. 숲속 쉼터, 체력단련장, 전망대, 숲 해설판 등의 편의시설이 잘 갖춰져 있다. 인근 지역에 사는 사람들뿐만 아니라 타지역에서 찾아오는 관광객들도 많다.사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다'"
대구광역시 달성군 논공읍 비슬로 1193,,4,0.0,A02,A0205,A02050600,2742212,12,20210909221646,http://tong.visitkorea.or.kr/cms/resource/04/2742204_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2742204_image2_1.jpg,128.4202456845,35.7365485378,6,20220916111018,0,3,,달성보전망대,42976.0,항해를 시작하는 크루즈를 형상화한 달성보는 새로운 낙동강 시대에 대한 희망을 담고 있는 관광 명소이다. 달성보 통합관리센터 타워 전망대에서 주변 경관을 감상할 수 있으며 달성보 옆 달성노을공원은 가족나들이 장소로 안성맞춤이다. 달성보 주변은 도보 또는 자전거 이용이 가능하여 낙동강 자전거길에 쉬어가는 방문객이 많다. 또한 달성군 인근에 있는 하리벽화마을을 함께 둘러볼 수 있다.사진 출처: 대구시 달성군청 공식 블로그 '달성에 꽃피다'
