addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 동구 팔공로 220-2,,4,,A01,A0101,A01010700,2847382,12,20220901092456,,,128.6424182937,35.9185070267,6.0,20221014164057,0,4,,땅땅식물랜드,41027.0,"인간은 자연과 함께 할 때 가장 편안하고 안정감을 가지게 되며 건강해진다고 한다. 2021년 9월 오픈한 땅땅식물랜드는 100석 규모의 실내식물체험장과 식물카페, 김경애식물연구소로 운영되고 있다. 식물은 인간의 생명을 건강하게 유지하게 하며, 산소 공급은 물론 생명 연장에도 큰 역할을 한다. 건강한 흙을 만지고 그 흙으로 한 생명(식물)을 키워 인간을 이롭게 하는 반려자가 되도록 땅땅식물랜드에서만 할 수 있는 식물체험을 통해 일상에서 느낄 수 없는 새로운 경험을 즐겨 보자."
대구광역시 동구 대림로2길 54-5,(대림동),4,0.0,A01,A0101,A01010500,2778499,12,20211124195213,http://tong.visitkorea.or.kr/cms/resource/72/2794772_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2794772_image2_1.jpg,128.7439829668,35.8686645503,6.0,20220720151105,0,4,,반야월연꽃단지,41092.0,"안심 연꽃단지로도 불리는 곳으로 금호강을 끼고 있는 국내 최대 규모의 연꽃단지이다. 연꽃이 피기 시작하는 7월부터 8월까지가 특히 볼만하다. 가남지 코스, 점새늪 코스, 안심습지 코스, 천천 둘레길 코스 등 약 13km에 이르는 총 4개의 산책로가 조성되어 있고, 전부 둘러보려면 약 3시간 정도 소요된다. 곳곳에 다리를 쉬어갈 수 있는 정자와 전체 풍경을 조망할 수 있는 전망대도 있다. 공원으로 조성된 곳이 아니라 전망대와 산책로 이외의 지역은 연 생산 농경지이다."
대구광역시 동구 인산로 242,(진인동),4,0.0,A02,A0201,A02010800,2756634,12,20211013232900,http://tong.visitkorea.or.kr/cms/resource/05/2756805_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2756805_image2_1.jpg,128.7298152905,35.9491440655,6.0,20211014013927,0,4,,도림사,41015.0,"도림사는 대구시 동구 진인동에 자리 잡은 사찰이다. 대한불교 조계종 제12교구 본사 해인사의 말사로 팔공산 동남쪽 감투봉 아래 위치해 있으며 갓바위 약사여래부처님과 동화사, 파계사 등이 줄지어 서있는 팔공산맥을 마주하고 있다. 대구 지역 포교를 목적으로 세워진 힐링 사찰이다. 단층 건물로는 한국 최대 규모인 대웅보전을 비롯해 화엄전, 관음전, 천불루, 지장전, 소원불대탑 등이 있다. 체험형과 휴식형으로 나뉘어 템플스테이도 운영 중이다."
대구광역시 동구 용진길 172,(신용동),4,0.0,A02,A0201,A02010500,2745679,12,20210916005229,http://tong.visitkorea.or.kr/cms/resource/06/2746206_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/2746206_image2_1.jpg,128.6486381782,35.9824054582,6.0,20221111110328,0,4,,노태우 대통령 생가,41001.0,"노태우 대통령 생가는 대구 동구 신용동 팔공산 기슭에 자리 잡고 있다. 신용동이란 명칭은 신령스러운 용이 하늘로 올라간 용지가 있다고 하여 이름 붙여졌다. 신용동에 위치한 용진마을에 가면 노태우 대통령 생가가 있다. 용의 머리에 자리한 명당이라 하며, 안채와 사랑채, 외양간 등이 소박한 모습으로 남아 있어 살아있는 역사 교육 현장으로 이용되고 있다. 용진마을은 교하 노씨의 집성촌이기도 하다. 마을 주변은 봄철이면 복사꽃이 만발해 장관을 연출한다. 사진 출처: 대구시 동구청"
대구 동구 대림동 378-1,,4,0.0,A01,A0101,A01010500,2745619,12,20210915235939,http://tong.visitkorea.or.kr/cms/resource/69/2750769_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2750769_image2_1.jpg,128.7439191341,35.8668647528,6.0,20221114102817,0,4,,점새늪연꽃생태공원,,"점새늪연꽃생태공원은 대구 지하철 1호선 안심역에서 10분 정도의 가까운 거리에 위치하며, 인근에 연 갤러리와 금강역 레일카페 등 문화 및 휴식공간이 다양하게 마련되어 있다. 또한 2017년 7월에 제1회 안심창조밸리 연꽃 축제가 열려 많은 사람이 다양한 종류의 연꽃을 볼 수 있어 생태문화 체험과 관광을 즐길 수 있는 명소가 되었다. 공원에는 야간 경관조명, 데크로드 등의 시설이 있다. 경관조명 소등 시간은 하절기 23시까지, 동절기 2122시까지이다.사진 출처: 대구시 동구청"
대구광역시 동구 동내로 117,(신서동),4,0.0,A02,A0202,A02020700,2745586,12,20210915233749,http://tong.visitkorea.or.kr/cms/resource/53/2746353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2746353_image2_1.jpg,128.7341501534,35.8809963063,6.0,20220412134805,0,4,,신서중앙공원,41069.0,"신서 중앙공원은 신서동에 자리 잡고 있다. 신서동은 약 200년 전에 유 씨들이 정착하여 집성촌을 이루었고 여기에 혁신도시가 들어오면서 그 중앙에 새 못을 중심으로 공원을 만들었다. 신서 중앙공원은 새 못을 중심으로 어린이 놀이터, 축구장, 풋살장, 잔디광장, 야외무대가 주위에 갖추어져 있고, 관리사무실과 주차장도 완비되어 있다. 공원 한편에 2017년 6월에 혁신도시 건설로 사라진 9개 자연부락의 모습과 자료를 전시한 275㎡ 규모의 고향관을 건립했다. 또한, 이곳은 신서 혁신도시 공공기관의 중앙에 있다. 주거시설과도 그리 멀지 않을 뿐만 아니라 다양한 생활체육 시설도 구비하고 있어 많은 사람의 휴식 공간으로 애용되고 있다.사진 출처: 대구광역시청"
대구광역시 동구 용수동 27-5,,4,0.0,A02,A0202,A02020100,2744450,12,20210914222255,http://tong.visitkorea.or.kr/cms/resource/15/2745515_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2745515_image2_1.jpg,128.6970920378,35.9895722112,6.0,20210915224401,0,4,,팔공산분수광장,,"팔공산분수광장에는 연중 많은 사람이 모인다. 각종 행사가 열리기 때문이다. 특히 봄철이면 관광객의 방문이 더욱 잦아진다. 분수광장이 매년 열리는 팔공산 벚꽃 축제의 중심이기 때문이다. 축제가 열리는 시기에는 팔공산 동화지구 상가번영회의 주최로 홍삼, 흙마늘, 천마, 산삼, 약초 등을 구입할 수 있는 팔도 특산품 직거래 장터가 열린다. 아울러 속초 오징어순대, 아바이순대, 팔공산 미나리전 등 각종 먹거리도 맛볼 수 있다.사진 출처: 대구시 동구청"
대구광역시 동구 동대구로 550,(신암동),4,0.0,A02,A0202,A02020100,2742496,12,20210910003350,http://tong.visitkorea.or.kr/cms/resource/76/2742476_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/2742476_image2_1.jpg,128.6288011378,35.8794806389,6.0,20221027164229,1,4,,동대구역광장,41229.0,"동대구역광장은 2017년 준공됐다. 이곳에는 기차와 지하철을 탈 수 있는 역 이외에 무빙워크와 에스컬레이터가 있는 지하 통로, 주차장, 버스 승강장 등이 있다. 사진 찍기 좋은 여러 가지 조형물, 여름철 시원한 물을 뿜는 바닥분수, 잠시 머물다 가기 좋은 자그마한 공원 등이 있다.사진 출처: 대구광역시청"
대구광역시 동구 파계로 446-42,(중대동),4,0.0,A01,A0101,A01010700,2742300,12,20210909230913,http://tong.visitkorea.or.kr/cms/resource/74/2742274_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2742274_image2_1.jpg,128.6329120276,35.9738311385,6.0,20210909230913,2,4,,대한수목원,41001.0,"대한수목원은 1991년에 처음 나무를 심기 시작하여 현재에 이르기까지 약 24년이 넘는 기간 동안 나무 한 그루, 꽃나무 하나씩을 매일 직접 심고 다듬으면서 조성됐다. 수목원 내에는 매실나무, 은행나무, 살구나무, 벚꽃나무 등 약 1,700여 가지의 각종의 나무와 꽃들이 피고 진다. 이곳을 구경하기 위해 대구 시민은 물론, 포항, 경산, 구미, 부산, 울산 등 근교 지역 시민들도 찾아온다. 최근에는 중국, 대만 등의 외국 관광객들까지 찾고 있다.사진 출처: 대구광역시청"
대구광역시 동구 동북로71길 33,(신암동),4,0.0,A02,A0202,A02020100,2742265,12,20210909225657,http://tong.visitkorea.or.kr/cms/resource/64/2742264_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2742264_image2_1.jpg,128.6311450641,35.8906738592,6.0,20221013141757,0,4,,국립신암선열공원,41182.0,국립신암선열공원은 국내 최대의 독립유공자 전용 국립묘지다. 이곳에는 조국의 독립과 국권 회복을 위해 목숨을 바친 52명의 애국선열이 잠들어 있다. 공원을 둘러보면 일제의 폭압과 탄압에 결연히 항거하며 민족의 자주정신을 지키고 조국의 독립을 이루고자 헌신한 애국선열들의 숭고한 희생정신을 느낄 수 있다.사진 출처: 대구광역시청
