addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 북구 엑스코로 3,,4,,A02,A0202,A02020200,2864975,12,20221007140431,http://tong.visitkorea.or.kr/cms/resource/17/2864917_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2864917_image3_1.jpg,128.6122129743,35.9058967855,6,20221007140444,0,5,,FXCO (펙스코),41515.0,"FXCO (펙스코)는 패션 신진디자이너 브랜드 육성을 위한 대구시의 섬유패션 정책산업의 일환으로 2021년 오픈하였고,  패션과 라이프스타일의 공존(Fashion X Coexistence)를 의미한다.신진 패션 디자이너와 젊은 창업가들의 꿈을 이루는  Ceative Lifestyle Platfom이라는 비전과 함께 대구 최초 컨테이너 복합패션문화 공간 으로서 30여명의 패션디자이너들, 아티스트, 청년창업가들과 오늘도 새로운 꿈을 계획하고 있다."
대구광역시 북구 도남동,,4,0.0,A01,A0101,A01011800,2771901,12,20211110185916,,,128.5911241354,35.9706446156,6,20211118203353,0,5,,도남지,41408.0,"도남지는 대구시 북구 도남동의 작은 저수지이다. 루어낚시로 베스를 낚을 수 있어 민물낚시를 즐기는 사람들 사이에서 유명한 곳이다. 낚시객뿐만 아니라 주변 음식점에 들렀다가 산책 삼아 풍경을 감상하는 관광객도 많다. 도남지는 북대구 IC와 칠곡 IC에서 가까운 거리에 위치했다. 주변 관광지로는 신전 뮤지엄, 하중도 등이 있다."
대구광역시 북구 연암공원로 89,(산격동) 1층,4,0.0,A02,A0210,A02100700,2770621,12,20211109194238,,,0.0,0.0,6,20211111234220,0,5,,향사례 대구시민단,41538.0,"조선효종실록(1655.2.6.)에 따르면 병마절도사가 대구 읍성의 무기고를 검열하니 대구부사 이정이 새로 만든 활(죽궁)이 있어 임금에게 받치니 크게 기뻐하였다.라고 기록되어 전해지고 있다. 향사례 대구시민단 김병연 궁장은 한국의 창조적인 장인으로 선정되었으며 11개국 언어로 활의 우수성과 아름다움을 전 세계에 알렸고, 기억 속에 잊혔던 대구 전통 활의 위상을 높이고 있다. 특히 향사례라는 조선시대 활쏘기 국가의례를 세계인들이 참여하는 활쏘기 대회 및 체험으로 국내 최초로 발전시키며 학생 인성교육 및 관광객들에게 큰 인기를 얻고 있다."
대구광역시 북구 동암로38길 9-35,(구암동) 1층,4,0.0,A04,A0401,A04010700,2770606,12,20211109193520,,,0.0,0.0,6,20211109193520,0,5,,팔레트,41424.0,"팔레트는 대구 북구 8경의 아름다운 경관을 알리며 기억시키는 역할을 위해 공방 청년들이 모인 곳이다. 여러 가지 색을 담은 팔레트처럼 대구 북구 8경의 경관을 여러 방면으로 활용한 디자인 굿즈 및 취미 키트를 개발 및 제공한다. 또한, 체험 공방 운영으로 지역 주민 및 관광객이 참여할 수 있는 즐거움을 제공한다."
대구광역시 북구 성북로5길 10,(침산동) 2층,4,0.0,A04,A0401,A04010900,2770600,12,20211109193044,,,0.0,0.0,6,20211109193044,0,5,,크라센,41550.0,"크라센은 대구 북구8경과 북구의 향기를 테마로 체험상품과 기념품을 제작한다. 북구8경의 빛(풍광, 야경, 석양, 일몰, 별빛, 노색들, 푸른강)을 경험할 수 있는 상품과 향기카드에 스토리텔링을 추가하여 관광지에 대한 해설을 가미한다."
대구광역시 북구 침산남로서9길 24,(침산동),4,0.0,A02,A0203,A02030600,2770591,12,20211109192730,,,0.0,0.0,6,20211109192730,0,5,,오봉오감,41551.0,"오봉오감은 조선 전기 향토 출신 유학자 서거정이 인정한 저녁노을 침산 만조를 품고 있는 침상정의 아름다운 야경을 알리고자 체험 투어상품을 기획하여 제공하고 있다. 또한, 침산정의 만조 사진과 미니태양광 모듈을 활용하여 ""침산정 청사초롱 태양광 모듈키트"" 상품을 제작한다. 침산정을 관광지로써 알림과 동시에 에코 에너지마을로써 신재생에너지의 가치를 알리는 활동을 통해 관광 활성화에 기여하고자 한다."
대구광역시 북구 연암로 180,(산격동) 3층 302호,4,0.0,A02,A0203,A02030600,2770587,12,20211109192330,,,0.0,0.0,6,20211109192330,0,5,,연암서당골,41533.0,"연암서당골은 제비바위와 연관된 연암산과 구암서원, 체화당, 산격제일교회 등 많은 문화유산을 품고 있으며 골목길과 비탈길, 골목시장 등 정감 있는 마을로 많은 관광객과 체험객이 방문하는 새로운 관광명소로 자리 잡고 있다. 이들에게 기념이 되고 새로운 희망을 전할 수 있는 관광상품을 개발하여 관광 활성화에 기여하고 있다."
대구 북구 구암동 산 4,,4,0.0,A02,A0202,A02020100,2751504,12,20210930005443,http://tong.visitkorea.or.kr/cms/resource/02/2751502_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2751502_image2_1.jpg,128.5767928596,35.9422614565,6,20210930005443,0,5,,옻골동산,,"옻골동산은 옻골공원이라고도 부른다. 지난 2001년 건설폐기물 처리시설 용도로 지정됐지만, 사업이 무산되면서 도심 속 공원으로 탈바꿈했다. 옻골동산이 있는 자리는 원래 황량한 땅이었지만 현재는 축구장, 다목적구장, 음수대 등 편의시설을 갖추고 있다. 인근 함지산에서 옻골동산으로 넘어오는 등산 코스가 있어 등산객들의 방문이 잦다. 특히 공원으로 들어가는 초입에 은행나무 가로수길이 멋지다.사진 출처: 대구광역시청"
대구광역시 북구 연암공원로20길 2,(산격동),4,0.0,A02,A0202,A02020700,2746381,12,20210916233633,http://tong.visitkorea.or.kr/cms/resource/58/2746458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2746458_image2_1.jpg,128.6003419552,35.9002610938,6,20210917001202,0,5,,연암공원,41534.0,"대구시 북구 산격동에는 숨은 볼거리가 많다. 이 가운데 하나가 연암공원이다. 연암공원이 자리 잡은 곳은 해발 130m가량의 연암산이다. 연암산은 이 일대에 제비들이 많았다고 해서 제비의 한자어인 제비 '연' 자를 따와서 지었다.
연암공원의 면적은 약 341,000㎡다. 널찍한 부지 위에 구암서원을 비롯해 유아숲 체험원, 다목적 운동장, 배드민턴장, 물놀이장, 맨발 산책로 등이 있다. 특히 여름철 개장하는 수영장은 한여름 무더위를 날리기에 그만이다.

사진 출처: 대구광역시청"
대구 북구 침산동 1344-1,,4,0.0,A01,A0101,A01010500,2744465,12,20210914222756,http://tong.visitkorea.or.kr/cms/resource/61/2744861_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/2744861_image2_1.jpg,128.585862816,35.8952252855,6,20210915021717,0,5,,침산공원,,"침산공원은 대구 북구 8경 중 제8경이다. 침산공원 내에 자리 잡은 침산정은 조선 전기 최고의 문장가였던 서거정 선생이 침산의 저녁노을을 보고 아름다움에 감탄하여 한시 침산만조를 읊었을 정도로 아름다운 곳이다. 공원에는 대구 시내를 한눈에 내려다 볼 수 있는 전망대가 있다. 밤에는 화려한 야경도 감상해 볼 수 있어 많은 사람이 찾는다. 이 밖에도 공원에는 돌계단, 산책로, 인공폭포, 야외무대, 물놀이장, 맨발 산책로 등 즐길 거리가 많다.사진 출처: 대구광역시청"
