addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구 서구 이현동 산119,,4,0,A02,A0202,A02020700,2744481,12,20210914224034,http://tong.visitkorea.or.kr/cms/resource/33/2744933_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2744933_image2_1.jpg,128.5444698516,35.8732992281,6,20220412140109,1,6,,이현공원,,"이현공원은 대구 서구의 대표적인 공원이다. 2015년부터 대대적인 정비를 통해 대구 서구의 명소로 떠올랐다. 공원에는 잔디광장이 넓게 펼쳐져 있다. 바람소리길, 벚나무길, 은행나무숲길 등 다채로운 산책로도 있다. 이 밖에 야생화원, 억새밭, 생태연못, 각종 테마공간, 전망데크 등 다양한 공간으로 구성되어 있다.사진 출처: 대구광역시청"
대구광역시 서구 염색공단천로 31,,4,0,A02,A0204,A02040800,2457942,12,20161215191055,,,128.5509215992,35.8899085771,6,20220826135610,1587,6,,진영P&T,41702.0,"stong무채색 섬유에 색을 그리다 stong  진영PT는 퀼트용 나염 원단의 생산, 수출 회사이다. 2002년 친환경 에코라벨 인증을 시작으로 매년 각종 수상을 놓치지 않은 우수기업으로써 대구의 섬유스트림산업관광 코스에 포함되어 있다. 날염 및 후가공 생산공정을 견학하고, 생산 완제품을 관람 한다."
대구광역시 서구 국채보상로 136,,4,0,A02,A0204,A02040800,2457725,12,20161215190114,,,128.5455337821,35.8684442422,6,20220831144947,1720,6,,한국섬유개발연구원 (텍스토피아관),41842.0,"stong섬유를 업그레이드 하는 똑똑한 방법stong  섬유관련 연구소 중 가장 긴 역사를 가졌으며 섬유산업의 고부가가치화를 지향한다. 이에 따라 신소재, 신기술개발과 기업 지원에 노력을 기울이고 있다. 2017년 8월부터 견학 프로그램 진행 중이며, 섬유에 관한 기술 정보를 얻고, 섬유 제직공정 견학과 제품 특성을 체험해 볼 수 있다."
대구광역시 서구 북비산로74길 49,(비산동),4,0,A02,A0203,A02030600,2366475,12,20160204193612,http://tong.visitkorea.or.kr/cms/resource/05/2366105_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/05/2366105_image2_1.png,128.5778612559,35.8768216663,6,20220818134703,4226,6,,인동촌 아나고골목,41796.0,"시골읍내의 정서가 그대로 묻어나는 곳으로, 달성공원 담벼락에서 북비산네거리 쪽으로 150m에 이른다. 현재 20여개의 식당이 새벽까지 손님맞이에 여념이 없다. 아나고는 회로 먹어도 좋고, 구워 먹어도 그 맛이 일품이다. 술안주로도 제격이며, 양념장에 버무려 시원한 물김치와 함께 먹기도 한다. 단백질과 아미노산이 풍부해 여름철 기력회복에 좋다."
대구광역시 서구 달구벌대로375길 14-1,(내당동),4,0,A02,A0203,A02030600,2366466,12,20160204192755,http://tong.visitkorea.or.kr/cms/resource/99/2366099_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2366099_image2_1.jpg,128.5701151199,35.8622926131,6,20220818134606,5470,6,,반고개 무침회 골목,41870.0,"1960년대 초, 반고개 진주식당의 주인인 화끈할매에 의해 태동하여 현재 14개 업소가 성업 중이다. 대구 10味 중 하나이며, 현재 시티투어 코스에 편입되어 있다. 무침회는 삶은 오징어, 소라 등에 싱싱한 무채와 미나리를 넣어 초고추장에 버무린 것으로, 부드럽고 쫄깃하다. 톡 쏘는 매운 맛과 새콤달콤한 맛의 조화는 중독성이 강하다. 밑반찬으로 나오는 재첩국과 의 궁합은 환상적이다."
대구광역시 서구 국채보상로75길 25-1,(비산동),4,0,A02,A0203,A02030600,2366462,12,20160204191141,http://tong.visitkorea.or.kr/cms/resource/99/2671399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2671399_image3_1.jpg,128.5721868162,35.8746495855,6,20220818134503,4890,6,,서부 오미(味)가미(味)거리,41798.0,"오미(味)가미(味)에서 유추할 수 있 듯, '오면서 먹고 가면서 먹는다'라는 뜻으로 다양한 국적의 음식과 더불어 독특한 메뉴들도 함께 즐길 수 있다. 가게명도 상당히 독특하고 취급하고 있는 음식이나 상품 또한 지역내 그 어디에서도 찾아보기 힘들기에 기존 먹자거리에서 식상함을 느낀 이들의 발길이 이어져 빠르게 사람들의 입소문을 타고 있다. 50여개의 음식점뿐만 아니라, 공방, 악세사리점, 전통 시장 점포 등이 함께 어우러져 있기에 임으로 눈으로 즐길 수 있다."
대구광역시 서구 평리로35길 28-10,(중리동),4,0,A02,A0203,A02030600,1944751,12,20140828000342,http://tong.visitkorea.or.kr/cms/resource/76/1944776_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/1944776_image3_1.jpg,128.5439563133,35.8623226838,6,20220419143021,4347,6,,중리동 곱창골목,41843.0,대구에는 안지랑만큼 유명한 중리동이 있다. 모두 대구가 품은 곱창 골목이다. 안지랑이 돼지 곱창과 막창이 주력이라면 서구의 중리동은 소곱창이 주력 메뉴인 것이 다른점이다. 중리동 곱창골목의 역사는 30여 년 전으로 거슬러 올라간다. 지금의 아울렛 자리에 도축장이 들어서면서 주변에 식육식당과 부속물을 파는 포장마차가 생긴게 시작이었다. 2001년 검단동으로 도축장은 옮겨갔지만 곱창 전문점들은 여전히 자리를 지킨다. 소 대창과 곱창은 물론 주먹시 같은 특수 부위까지 맛볼 수 있는 맛골목이다.
대구광역시 서구 중리동 산198-3,,4,0,A02,A0202,A02020700,1118475,12,20101028192037,http://tong.visitkorea.or.kr/cms/resource/03/2494003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2494003_image2_1.jpg,128.5305074724,35.8632417772,6,20220421170754,39625,6,,상리공원,41755.0,"상리공원은  7만3천여평 규모의 공원으로  입구에 들어서면  넓은 광장(4900㎡)과 파란 잔디밭(4175㎡)이 보이며 가족공원으로 제격이다. 넓은 광장에서는 롤러브레이드와 롤러스케이트, 자전거 타기를 즐기는 어린아이들과 청소년들로 항상 북적되고 또 공원 입구 오른쪽 운동장에서는 축구나 족구를 즐기는 사람들이 많다. 조용하고 한적한 분위기의 상리공원은 젊은 연인들이나 가족들이 편안한 피크닉을 즐기기에 좋은 공원이다.
공원 여기저기에 철봉 등의 간단한 체육시설과 산책로가 있어  운동을 즐기는 시민들도 많이 있다. 따가운 햇살을 피할 수 있는 파고라와벤치도 곳곳에 마련되어 있다."
대구광역시 서구 서대구로3길 43,(내당동),4,0,A02,A0202,A02020700,1118418,12,20101028191433,http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2493687_image2_1.jpg,128.5522334637,35.8586426972,6,20221205114106,34972,6,,감삼못공원,41856.0,"면적 1만 6,332㎡의 작은 공원으로  공원 근처에 달성고등학교, 경운중학교, 두류공원 등이 있다. 공원에는 6면의 코트를 갖춘  테니스장이 있고, 산책로와 갖가지 체력단련기구, 벤치, 파고라, 음수대 등의 시설이 설치되어 있다. 공원 안에  노인복지시설이 있고, 공원 앞에는 사랑과 행복을 더불어 나누는 노인무료급식센터 ""나눔터"" 있어 주로 노인들이 공원을 많이 이용하는 편이다. 공원에서는 음악회·알뜰시장·주민노래자랑·효도잔치 등의 행사도 자주 열린다."
대구광역시 서구 큰장로 35,(내당동),4,0,A02,A0203,A02030600,1116719,12,20101026183148,http://tong.visitkorea.or.kr/cms/resource/47/2456147_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2456147_image2_1.JPG,128.5737980982,35.8633925561,6,20220817143520,33137,6,,큰장길 침구류 명물거리,41812.0,"큰장길 침구류 명물거리는 서문시장 인근 70여 개 이불, 베게, 수예 제품 취급업체가 밀집된 전국 최대 규모의 침장 도소매점 거리이다. 이곳은 약 30년 전부터 침구류 도소매점이 하나씩 생겨 거리가 형성되었다. 또한 서문시장은 조선중기부터 형성된 시장으로 전국 3대 장터 중 한 곳이었으며 지금도 그 명맥을 이어받아 대구 제일의 시장으로 자리 잡고 있다. 최근에는 야시장이 개장하여 더 많은 볼거리와 먹거리를 제공하고 있는 시장이다. 대구의 침장제조업체는 전국의 27가량 (578개사)으로 OEM을 포함하면 전국에 유통되는 침구제품의 5060가 대구에서 생산되고 있으며, 그 중심에 있는 큰장길 침구류 명물거리는 시민들에게 고품질의 침장제품을합리적인 가격에 판매, 또한 전국 각지로 제품을 활발히 공급하고 있다. 서문시장과 대구근대화거리, 동성로 등 문화·쇼핑거리와도 밀접한 위치에 있어 편리하게 접근할 수 있는 곳 이다."
