addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 수성구 팔현길 88-46,(고모동),4,0,A01,A0101,A01010500,2782521,12,20211129190634,http://tong.visitkorea.or.kr/cms/resource/39/2795539_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2795539_image2_1.jpg,128.6731141547,35.8704352593,6,20220701155558,0,7,,팔현생태공원,42260,관광객들에게는 널리 알려지지 않은 대구의 숨은 유채꽃 명소이다. 평소에는 시민들이 금호강변을 따라 산책을 즐기거나 자전거를 타는 친근한 공간이다. 다른 지역보다 조금 늦은 5월이 되면 팔현 생태공원 전체에 노란 유채꽃이 만발한다. 유채꽃 특유의 달콤한 향기도 봄날의 정취에 흠뻑 빠지게 한다. 최근에는 공원 전체에 다양한 색깔의 국화를 식재해 가을에도 아름다운 경치를 감상할 수 있도록 했다. 연초에는 공원에서 정월대보름 달집태우기 행사도 열린다. 20년 넘게 이어지는 이 행사는 거대한 크기의 달집과 함께 주민들의 소원을 적은 종이를 함께 태워 겨울밤을 화려하게 물들인다.
대구광역시 수성구 무학로 42,(상동),4,0,A02,A0202,A02020600,2756657,12,20211013234018,http://tong.visitkorea.or.kr/cms/resource/30/2756830_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2756830_image2_1.JPG,128.6133983551,35.8286138894,6,20221116133201,3,7,,아르떼수성랜드,42202,"아르떼 수성 랜드는 대구 최초의 놀이공원으로 수성구 상동에 자리 잡고 있다. 어린이들이 즐길 수 있는 12종류의 놀이 기구와 실내 아이스링크, 동물 먹이주기 체험이 가능하고 제기차기, 팽이, 투호 던지기 등의 민속놀이도 할 수 있다. 비행기 카페, 전망대 가든, 바비큐 공간 등 다양한 시설을 별도로 갖춰 놓았고 피크닉 가든에서는 스몰 웨딩과 야외 웨딩, 돌잔치 회갑잔치, 기업행사나 체육대회를 할 수 있다. 시즌별로 다양한 문화 행사를 기획 중이고 체험이 가능한 목공예, 도예, 가죽공예, 식물공예, 켈리그라피 공방도 운영한다."
대구광역시 수성구 동대구로 176,(황금동),4,0,A02,A0202,A02020600,2742469,12,20210910002713,http://tong.visitkorea.or.kr/cms/resource/39/2742439_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2742439_image2_1.jpg,128.6277993617,35.8467259942,6,20221017111823,1,7,,대구어린이대공원,42110,"대구어린이대공원은 어린이들이 마음껏 뛰어놀 수 있는 도심 속의 쾌적한 휴식 공간이다. 이곳은 직접 체험하고 연구하는 어린이 과학 탐구 학습장으로 유명하다. 야외 공간에는 인공폭포, 원형 분수대, 어린이상징탑, 어린이 기차, 회전열차, 천연 잔디광장, 인조 잔디광장, 증기기관차 등이 있다.본관인 꿈누리관은 4층으로 이뤄졌다. 1층은 제1전시실, 곤충의 세계, 수족관, 2층 제2전시실, 에너지홍보관, 3D 입체영상관, 3층 과학탐구실, 유아오락실, 문화전시실, 도서실, 소극장, 4층 전자사격장, 조개전시실, 박제전시실 등으로 구성됐다.사진 출처: 대구광역시청"
대구광역시 수성구 진밭길 413,(범물동),4,0,A01,A0101,A01010500,2732600,12,20210811002600,http://tong.visitkorea.or.kr/cms/resource/02/2732602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2732602_image2_1.jpg,128.6528258365,35.8143773377,6,20221013172621,0,7,,진밭골산림공원,42240,"접근성이 좋고 쾌적한 공간이다. 산림공원과 연계된 순환형 산책로가 있다. 힐링 숲, 명상의 숲 등 테마 숲이 조성되어 있으며 봄꽃인 철쭉류를 집중해서 심어 봄철 명소가 되도록 조성했다."
대구광역시 수성구 팔현길 88-46,(고모동),4,0,A02,A0202,A02020700,2732599,12,20210811002330,http://tong.visitkorea.or.kr/cms/resource/13/2732613_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2732613_image2_1.jpg,128.6743279471,35.8700908763,6,20220407153808,0,7,,수성패밀리파크,42260,"수성패밀리파크는 넓은 잔디광장과 여러 종류의 운동시설이 조성되어 있다.패밀리파크에서는 족구장, 인라인스케이트장, 축구장, 농구장, 론볼장, 파크골프장 등을 운영 중이다.족구장은 예약제, 파크골프장은 수성구파크골프협회에서 회원제로 운영되고 있다."
대구광역시 수성구 달구벌대로492길 15,,4,0,A02,A0206,A02061000,2650449,12,20200327023153,,,128.6322570037,35.8574443078,6,20211109014051,0,7,,물레책방,42087,"지난 2010년 4월 23일 세계 책의 날 문을 연, 대구 최초의 헌책방을 기반으로 한 문화공간. 《녹색평론 편집실이 2008년 서울로 이전하기 전까지 있던 수성구 범어동의 3층 건물 지하에 위치해 있다. 기존 헌책방들의 주 수입원인 참고서와 이월잡지를 배제하고, 문사철(文史哲) 중심의 단행본들과 대구 지역에서 활동하는 작가들이 펴낸 출판물들을 위주로 운영하고 있다. 매달 책방 내에서 정기적으로 단편영화, 다큐멘터리 상영회와 토크 콘서트, 인디밴드 공연, 감상회 등을 가지는 한편, 비정기적으로 다양한 인문학 강좌들을 함께 열고 있다.  출처 : 물레책방"
대구광역시 수성구 유니버시아드로 140,대구스타디움몰 1층(히어로 옆),4,0,A02,A0203,A02030600,2554990,12,20180724193501,,,128.6875778564,35.8315371496,6,20210812193932,764,7,,수성구 관광정보체험센터,42250,"수성구 관광정보체험센터는 대구광역시, 수성구, 경상북도, 경산시에서 공동으로 조성하여 대구한의대학교에서 운영하고 있다. 관광정보안내관, 글로벌교육장, 통역지원실, 체험실, 특산품 판매장 등 7개의 공간으로 이루어져 관광객들이 필요로 하는 지역 명소, 교통․음식․숙박 등 정보를 즉시 전달하고 있다. Exody 건강운동, LED패치 스킨케어, 천연 한방화장품 만들기, 한지 공예품 제작, 고유의 전통음악 풍물놀이 등의 특화된 웰니스 체험 프로그램을 운영하고 있다. 야외광장에는 지역에서 최초로 조성한 한국전통문화공연장이 눈길을 사로잡고 매주 토․일요일 4개의 농악단이 풍물 상설공연, 전통놀이 체험을 개최하고 있으며 센터가 위치한 대구스타디움몰은 멀티플랙스 영화관, 동물테마파크, 키즈파크, 대형 할인마트, 의류·음식매장 등 다채로운 시설을 한 번에 이용할 수 있다."
대구광역시 수성구 유니버시아드로 140,(대흥동),4,0,A02,A0202,A02020600,2498819,12,20170705193130,http://tong.visitkorea.or.kr/cms/resource/21/2498821_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2498821_image2_1.jpg,128.6873500935,35.8317037939,6,20220826144512,4465,7,,아이니테마파크(대구 스타디움점),42250,"아이니테마파크 대구 본점은 실내복합형 애니멀테마파크로 1300평의 실내규모로 불가사의 유적물로 제작된 건축물들속 다양한 동물들이 전시되고 있다. 육상동물 외에도 아쿠아리움 내 펭귄 , 물범 , 상어 등 다양한 해양생물들과 절지류 등 생물들과 표본 및 화석들이 전시되고 있다. 생태설명타임 , 댄스공연 , 마술공연 등 문화요소도 함께 접할수 있으며 미니기차 , 수중보트 , 플라이윙 , VR체험 , 아쿠아 스크린 , 화석발굴체험 등 다양한 체험요소들을 함께 즐길수 있는 복합형 실내 애니멀테마파크 이다."
대구광역시 수성구 청호로 250-11,,4,0,A02,A0201,A02010700,1955594,12,20141013234226,,,128.6409928466,35.8394715028,6,20220831145710,2878,7,,청호서원,42181,"1694년(숙종 20)에 지방 유림의 공의로 손처눌(孫處訥)과 손조서(孫肇瑞)의 학문과 덕행을 추모하기 위해 창건하여 위패를 모셨다. 1755년(영조 31)에 유시번(柳時藩), 1764년에 정호인(鄭好仁)을 추가 배향하여 선현배향과 교육의 일익을 담당하여왔다. 그 뒤 1868년(고종 5)에 대원군의 서원철폐령으로 훼철되었으며, 1972년 유림의 공의로 복원되었다. 경내의 건물로는 3칸의 묘우(廟宇), 삼문(三門), 4칸의 부교당(敷敎堂), 각 5칸의 산택재(山澤齋)와 풍뢰헌(風雷軒), 고사(雇舍), 집의문(集義門), 유허비(遺墟碑), 비각(碑閣) 등이 있다. 사우에는 손처눌을 주벽(主壁)으로 하여 좌우에 유시번과 정호인의 위패가 봉안되어 있다. 부교당은 서원의 강당으로 유생들이 각종 행사 때 강론하는 곳으로 사용하였다. 산택재와 풍뢰헌은 각각 동재(東齋)와 서재(西齋)로, 유생들이 기거하면서 공부하는 곳으로 사용되었다. 이 서원에서는 매년 8월 하정(下丁 : 세 번째 丁日)에 향사를 지내고 있으며, 제품(祭品)은 4변(籩) 4두(豆)이다. 유물로는 임진왜란·병자호란·정유재란 때의 일기 등 많은 서적이 있으며, 재산으로는 밭 900평, 임야 15정보 등이 있다."
대구광역시 수성구 파동로2안길 20,(파동),4,0,A02,A0201,A02010700,1955582,12,20141013232043,,,129.3976973279,35.9819418183,6,20220902094629,2684,7,,오천서원,42238,"오천서원은 조선 성종 때 대사헌(大司憲)을 지낸 대봉(大峰)양희지(楊熙止)를 추모하기 위해 1744년(영조20)에 건립된 것으로 대구지역의 23개 서원 가운데 4번째로 건립되었다. 원래는 지금 위치에서 북쪽으로 2km 떨어진 지점인 파령골에 있었다. 1868년(고종5) 서원철폐령에 의해 훼철되었고, 1905년 현재의 위치로 이건하면서 당호를 무릉재라고 하였다. 1971년 유림총회의 의결로 사당을 신축하여 오천사라 하고 오천서원으로 바꾸었다."
