addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대구광역시 중구 동산동,,4,,A02,A0203,A02030600,2931898,12,20221208135018,http://tong.visitkorea.or.kr/cms/resource/95/2931895_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/95/2931895_image3_1.JPG,128.5866246223,35.8678422889,6,20221208135040,0,8,,3.1만세운동길,41931,청라언덕 동무생각 노래비 옆에서 시내 쪽으로 내려가는 90계단까지는 3.1운동 당시 만세운동을 준비하던 학생들이 일본군의 감시를 피해 도심으로 모이기 위해 지나다녔던 솔밭길이다. 계단길에는 3.1운동 당시 모습이 담긴 사진들이 전시되어 그 의미를 더하고 있다.
대구광역시 중구 남성로 22,,4,,A02,A0201,A02010900,2931432,12,20221207142706,,,128.5893132677,35.8680812005,6,20221207142740,0,8,,교남YMCA 회관,41933,"대구 약령시에 위치하고 있는 국가등록문화재이다. 일제강점기 3.1 독립 운동 때 화합의 공간이자 물산장려운동, 기독교 농촌운동, 신간회 운동 등 기독교 민족운동의 거점이었던 건물이다. 대구 중구 근대역사의 중요한 시설물로 이만집 목사 3.8 만세 운동 기념지로 한국기독교 사적으로 지정됐다. 청년들을 중심으로 각종 사업을 활발하게 진행하였으며 특히 당시 산업의 대부분인 농촌사업을 체계화하고자 전국 각지에 농민학교를 세우고, 협동조합, 농민회, 야학 등을 조직하여 농천 청년들에게 새로운 지평을 열어주었다."
대구광역시 중구 종로 34 대구화교소학교,,4,,A02,A0201,A02010700,2930875,12,20221206174739,http://tong.visitkorea.or.kr/cms/resource/70/2930870_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/70/2930870_image3_1.JPG,128.5919046844,35.8688783799,6,20221206174926,0,8,,대구화교협회,41935,"대구화교협회는 1929년에 지어진 붉은 벽돌의 2층 서양식 주택이다. 대구 지역 부호인 서병국이 중국 건축가 모문금에게 설계와 시공을 맡겨 건립했다.
장방형의 평면 구조이며, 현관은 화강석을 사용하여 돌출시켜 전체적으로 좌우 대칭의 균형미를 이뤘다. 벽돌은 평양에서 구워 오고 나무는 금강산에서 가져온 것이라는 설이 있다. HID(방첩대)건물로 이용되기도 했다. 건물 1동과 놀이터, 장제스 동상이 있으며, 입구에는 중국 인물 벽화가 그려져 있다. 수려한 미관을 자랑하는 대구 지역의 대표적인 근대 건축물로 현재 대구화교협회 사무실로 이용된다. 얼마 남지 않은 1930년대 근대건축물의 양식을 잘 보여주고 있어 2006년 6월 19일 국가 등록문화재로 지정되었다.
대구 근대 골목 투어 2코스의 마지막지점이다."
대구광역시 중구 중앙대로77길 45,,4,,A02,A0202,A02020500,2822328,12,20220530164539,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2822265_image3_1.jpg,128.5909992253,35.868258989,6,20220608101051,0,8,,대구약령시 한방의료체험타운,41934,"대구약령시 한방의료체험타운은 우리나라 한방을 대표하는 대구약령시의 활성화와 한의학의 우수성을 널리 알리고자 설립되었습니다.다양하고 특성화된 체험 프로그램을 통해 유아부터 성인까지 한의학을 손쉽게 접할 수 있는 기회를 제공하여 한방대중화에 기여하고 시민 건강증진, 지역경제 발전을 이끌 수 있는 공간으로 자리매김하겠습니다."
대구광역시 중구 약령길 33-10,(계산동2가),4,0.0,A02,A0203,A02030600,2782795,12,20211129224210,http://tong.visitkorea.or.kr/cms/resource/34/2793234_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2793234_image2_1.jpg,128.588496664,35.8683978161,6,20221115103648,0,8,,김원일의 마당깊은 집,41933,"대구 약전골목에 있는 문학 체험 전시공간이다. 6.25전쟁 이후 대구 중구를 배경으로 한 소설 마당깊은 집의 스토리와 등장인물, 대구 피난민의 삶을 입체적으로 재구성한 곳이다. 옛 남성동 경로당 부지에 한옥을 리모델링하여 조성하였으며, 전시관, 안내실, 화장실, 마당(회랑), 골목, 외대문으로 구성되어 있다. 전시관은 마당깊은 집 모형, 등장인물 소개, 50년대 대구 풍경과 생활사진, 길남이네 방, 김원일 작가 기증품 아카이브, 작가의 방으로 되어 있다. 마당과 골목에는 50년대 수돗가(부엌), 포토존, 사진 게시판을 설치해 피난민의 생활상을 느낄 수 있다. 소설에 등장하는 실제 장소는 아니지만, 이곳에서 길남이와 함께 50년대 대구를 만날 수 있다."
대구광역시 중구 동성로6길 61,(공평동),4,0.0,A02,A0202,A02020600,2704112,12,20210118224527,http://tong.visitkorea.or.kr/cms/resource/09/2704109_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/09/2704109_image2_1.JPG,128.5987651942,35.8687507434,6,20220826104712,1,8,,스파크랜드,41938,"대구 도심 한가운데 위치한 스파크랜드는 쇼핑몰이자 놀이테마파크로서 중구의 새로운 랜드마크로 떠오르고 있다. 패션브랜드, 식당, 놀이시설 등을 갖추어 다양한 볼거리와 먹거리, 즐길거리를 제공한다. 특히, 건물 꼭대기에 있는 대관람차는 많은 이들의 시선을 사로잡는다. 대관람차에 탑승하여 대구 도시 전경을 감상할 수 있다."
대구광역시 중구 달구벌대로 2029,(동산동),4,0.0,A02,A0203,A02030600,2611140,12,20190715234751,http://tong.visitkorea.or.kr/cms/resource/97/2368397_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2368397_image3_1.jpg,128.5849831341,35.8666257294,6,20220411131607,3,8,,동산청라언덕,41931,"청라언덕은 20C초 기독교 선교사들이 거주하면서 담쟁이를 많이 심은 데서 유래되었으며, 달성토성이 대구의 중심이었을 때 동쪽에 있다하여 동산으로도 불리운다. 아름다운 정원인 이곳은 챔니스주택, 스윗즈주택, 블레어주택 등 옛 선교사들이 생활하였던 주택과 90계단, 대구 3.1만세운동길, 대구 최초의 서양사과나무, 우리나라 최초의 가곡인 동무생각 노래비, 선교사와 그 가족들의 묘지인 은혜정원 등이 있다. 또한 청라언덕은 골목투어 2코스의 출발지이며, 드라마 촬영장소로 사랑받고 있다."
대구광역시 중구 동성로2길 27,,4,0.0,A02,A0203,A02030600,2599899,12,20190429220926,http://tong.visitkorea.or.kr/cms/resource/13/1240413_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/1240413_image3_1.jpg,128.5940850103,35.8702143803,6,20221025172133,4,8,,대구 동성로거리,41942,"젊은 기운이 살아 숨쉬는 도심의 가로광장 동성로(東城路)는 사성로 중에서 대구역네거리와 중앙치안센터 사이 구간(900m)으로서 대구의 대표적인 중심번화가 중의 하나이다. 본래 대구읍성 동쪽의 성곽지였으나 1907년 헐리고 도로가 되면서 현재에 이르렀다. 동성로는 대구백화점 앞 야외무대를 중심으로 옛 성곽의 이미지를 재현하는 장대석 띠포장의 보행자전용거리를 따라 교동 귀금속거리, 떡볶이골목, 가방골목, 야시골목, 구제골목 등 각종 골목상권을 이루고 있다. 또한 2009년에 조성된 국내 최초의대중교통전용지구(반월당네거리대구역네거리, 1.05km)는 친인간적, 친환경적인 가로로 다양한 상권과 흥미로운 디자인에 의하여 동성로와 더불어 명품가로로 자리매김하고 있다.  출처 : 대구관광안내"
대구광역시 중구 달구벌대로415길 49,(남성로),4,0.0,A02,A0204,A02040800,2470057,12,20161229004001,,,128.589907647,35.8685339382,6,20220518171219,4094,8,,대구 약령시 한의약박물관,41934,"stong약령시의 역사를 한눈에stong  350여 년의 전통인 약령시의 역사와 약전골목의 유래를 한눈에 볼 수 있고 체험할 수 있는 전시문화 공간이다. 박물관은 약령시의 유래와 발전과정 등을 그래픽과 애니메이션으로 4개 국어로 소개하고 각종 희귀 한약재를 비롯해 동의보감 등 한의서, 약작두 등의 한방관련용품 300여 점을 전시하고 있다. 또한 다양한 체험프로그램을 운영한다. 문화관 입구에 대형약탕기가 눈길을 끌고 1층에는 전국유일의 (주)한약재 도매시장이 있다."
대구광역시 중구 달구벌대로 2029,(동산동),4,0.0,A02,A0201,A02010700,2366243,12,20160204024149,http://tong.visitkorea.or.kr/cms/resource/84/2366084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/2366084_image2_1.jpg,128.5849831341,35.8666257294,6,20221129150839,2986,8,,선교사블레어주택,41931,"선교사인 블레어와 라이스가 살던 집으로 1910년경에 지어진 건물이다. 현재는 교육·역사 박물관으로 사용 되고 있다. 붉은 벽돌로 지은 2층집이며, 남북방향으로 긴 형태이고 안의 건축재료를 일부분 바꾼 것 이외에는 건물의 형태와 구조는 잘 남아 있다. 지붕 위엔 붉은 벽돌로 된 굴뚝이 있고 건물 안의 바닥은 나무로 된 마루바닥이다. 1층에는 베란다·응접실·거실·침실·식당·부엌이 있고, 계단으로 연결된 2층에는 침실·욕실 등이 있다. 창문은 위 아래로 열 수 있게 되었으며, 현관의 베란다 윗부분에는 일광욕실이 있다. 선교사 블레어 주택은 당시 미국의 주택모습을 살필 수 있는 좋은 건물이다."
