addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대전광역시 대덕구 대덕대로1448번길 120,,3,,A02,A0202,A02020700,2913058,12,20221121103400,http://tong.visitkorea.or.kr/cms/resource/45/2913045_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2913045_image3_1.jpg,127.4113409377,36.4427777451,6.0,20221121103417,0,1,,을미기공원,34324.0,"을미기공원은 대전광역시 대덕구 신일동에 있다. 공원 내부에는 휴게 광장, 어린이 놀이터 등이 마련되어 있다. 특히 산책로를 따라 느리게 걸으며 여유를 즐기기 좋은 곳이다. 파크 골프장, 축구장, 농구장, 테니스장 등 여러 가지 운동 시설도 갖추어져 있다. 신탄진IC에서 가깝고, 주변에 장동산림욕장과 계족산 황톳길이 있어 연계 여행에 나서기 수월하다."
대전광역시 대덕구 석봉동,779,3,,A02,A0202,A02020700,2913032,12,20221121102702,http://tong.visitkorea.or.kr/cms/resource/25/2913025_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2913025_image3_1.jpg,127.4208120024,36.4541238369,6.0,20221205113638,0,1,,금강로하스산호빛공원,34305.0,"금강로하스산호빛공원은 대전광역시 대덕구 석봉동에 있다. 한갓지게 산책하기 좋은 곳이라 많은 사람이 찾는다. 공원에는 체력 단련 시설을 비롯해 야외 수영장, 배드민턴장, 롤러스케이트장 등이 갖추어져 있다. 음악분수와 바닥분수도 운영하는데 매년 78월 오전 10시, 오후 1시, 오후 3시, 오후 5시부터 각각 30분간 물을 뿜는다. 단, 일요일과 우천 시에는 운영되지 않는다. 신탄진IC에서 가깝고, 주변에 장동산림욕장과 계족산 황톳길이 있다."
대전광역시 대덕구 대덕대로1527번길 200,(석봉동),3,0.0,A01,A0101,A01010700,2790930,12,20211210002752,http://tong.visitkorea.or.kr/cms/resource/02/2796602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2796602_image2_1.jpg,127.4215952685,36.4540127525,6.0,20220720145928,0,1,,금강로하스 대청공원 (암석식물원),34304.0,"대청댐 인근에 자리한 대전 대청공원은 충청 지역의 대표적인 휴식공간이다. 암석식물원은 대청공원 내에 자리한 식물원으로, 공원 서편 잔디광장 아래 있다. 식물원에 들어서면 가장 먼저 초본식물인 벼, 수크렁, 억새, 피, 물대 등 10여 종의 식물이 자라는 그라스원을 볼 수 있으며, 그 옆으로 50여 종의 고산 지대 식물과 암석이 조화를 이루며 생육하는 환경을 재현한 암석원이 있다. 일상에서 보기 드문 생소한 꽃과 식물마다 표찰이 있어 이름과 설명을 살펴볼 수 있으며 벤치와 산책로가 잘 조성되어 있어 교육적 효과와 함께 산책을 즐기며 관람하기 좋다."
대전광역시 대덕구 대덕대로 1555,"(석봉동,금강엑슬루타워)",3,0.0,A02,A0203,A02030600,2717484,12,20210518013037,,,127.4204815396,36.4518046525,,20211117013024,0,1,010-2596-7462,대전생태교육협동조합,34304.0,"대전 생태 교육 협동 조합은 대청호의 물새와 산새를 관찰하는 탐조, 가족 단위로 지도와 미션지를 가지고 숲속에서 미션을 수행하는 숲체험, 전문가와 함께 메테세콰이아 숲길을 달리는 트레일러닝 등의 여러 체험 프로그램을 운영하고 있다.
 상품명 : 대전생태교육협동조합 (20,000원)
1. 대청호의 물새와 산새를 전문 탐조장비를 활용하여 관찰
   (필드스코프, 도감, 개인 쌍안경 제공)
 2. 공기정화 기능의 천연소재 페인트로 나무 새 오너먼트를 만든다.
 예술체험은 계절에 따라 버드피더 만들기, 인공둥지 만들기 등으로 변경 될수 있으며 비대면 탐조 프로그램으로 전환하여 운용 가능함.
  

 상품명 : 계족산 에코 티어링 (가족당 30,000원)
1. 가족 단위로 지도와 미션지, 쌍안경을 가지고 출발하여 탐조와 인증사진, 자연물 수집, 가족 놀이 등 제시된 미션을 수행
2. 숲속에서 가족과 함께 즐겁게 협력하여 미션을 수행 후 에코박스 선물을 받을 수 있다.
 상황에 따라 비대면 상품으로 전환하여 운용 가능함.

 상품명 : 메타숲 트레일러닝 (15,000원)
1. 메테세콰이아 숲길을 전문가와 함께 달리면서 나에게 맞는 바른 달리기 방법을 체계적으로 지도 받을 수 있다.
2. 자연과 교감하며 즐겁게 운동하는 색다른 재미를 경험하는 힐링 체험상품
   (간식, 기념품 제공)"
대전광역시 대덕구 장동 353,,3,0.0,A02,A0202,A02020700,2689820,12,20201202012556,,,127.438644856,36.4132232824,6.0,20220425180715,0,1,,장동만남공원,,"장동산림욕장과 계족산을 가까이하고 있는 대전 대덕구 장동의 만남공원은 봄에는 청보리를 가을에는 코스모스를 구경할 수 있다. '대전코스모스'라고 검색하면 나오는 꽃구경 대표 관광지 중 하나이고, 조용하고 공기 좋은 마을이여서 힐링하며 산책하기에 제격이다. 강아지 산책코스로도 좋다."
대전광역시 대덕구 대청로424번길 510,,3,0.0,A01,A0101,A01010500,2689761,12,20201202003341,,,127.4661608403,36.4497501466,6.0,20221212135633,0,1,,삼정생태공원,34316.0,"20구간이나 되는 대전 대청호오백리길 중, 1구간에 있는 자그마한 공원이다.
삼정마을이라고 불리며 대청호를 따라 삼정생태공원이 조성되어 있는 곳으로 
아직 잘 안 알려져있어 관광객들이 많지 않아 한적하게 즐길 수 있는 곳이다.
데크를 따라 걸으면서 대청호를 구경할 수 있고 주변에는 문화재도 있어서 나들이 하기 좋은 곳이다."
대전광역시 대덕구 비래골길 47-74,(비래동),3,0.0,A02,A0201,A02010800,2673993,12,20200923230625,,,127.4508892981,36.3731086461,6.0,20220613150456,0,1,,비래사,34412.0,"비래사는 은진 송씨 문중에서 후손들이 강학소의 목적으로 새운 것을 승려로  하여금 지키게 한 것이 계기가 되어 사찰로 바뀐 것으로 추정되며, 1647년 인조 17년에 중수 되었다. 계곡 물소리를 들으며 산책할 수 있는 등산로와 오솔길은 아파트단지 근처로 접근성이 좋아 많은 시민들이 찾고 있는 곳이다. 비래사 옥류각 바로 아래로 물줄기가 관통하는 모습은 몸속까지 시원하게 하는 장관을 연출한다."
대전광역시 대덕구 미호동,,3,0.0,A01,A0101,A01010500,2610587,12,20190711234810,,,127.4669297,36.4686007791,6.0,20220324182147,4,1,,왕버드나무군락지,34316.0,"문화체육관광부, 한국관광공사 지정 사진찍기 좋은 녹색명소인 왕버드나무 군락지는 일출과 일몰시 햇살과 물안개가 어우러져 환상적인 풍경을 자아내는 곳이다. 특히, 이곳의 왕버드나무와 어우러진 새벽 물안개와 반영을 담은 풍경은 무릉도원을 연상 시킬 정도로 아름답다. 영화 역린의 촬영장소로도 유명하다. 썩은 버드나무의 원줄기는 캄캄할 때 빛이 난다하여, 시골사람들은 이것을 도깨비불이라고 하며 무서워 하기도 하였다. 흔히, 산골에서 도깨비가 나온다고 알려진 곳은 습지에서 버드나무가 무성한 숲인 경우가 많다. 수피는 내버들과 더불어 수렴제, 해열제, 이뇨제로도 사용된다.

출처 : 충청북도청 관광항공과"
대전광역시 대덕구 벚꽃길 150,대전철도차량정비단 (평촌동),3,0.0,A02,A0204,A02041000,2554209,12,20180718200306,,,127.430206378,36.4258494642,,20220421155533,350,1,,대전차량융합기술단(신탄진역),34341.0,"stong철도의 역사, 문화, 기술과의 만남stong  한국철도공사 코레일은 창의적 미래 인재 육성을 위해 다양하고 수준 높은 교육기회를 제공하고 있으며, 철도의 풍부한 인프라를 활용하여 진로상담, 안전 교육 등 다양한 체험의 장을 마련했다. 철도체험학습장 견학은 학생 단체를 대상으로 진행하며, 방문 단체 연령대에 따라 교육 내용, 교육 시간 등 프로그램 내용 협의가 가능하다."
대전광역시 대덕구 대청로 618-136,,3,0.0,A02,A0204,A02040800,2472729,12,20170106021753,http://tong.visitkorea.or.kr/cms/resource/91/1092291_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/1092291_image3_1.jpg,127.4815115699,36.4743753786,6.0,20220831172105,7291,1,,대청댐 물문화관,34316.0,"stong물이 모인 곳에 문화가 있다stong  대청댐 물문화관은 수자원의 개발, 이용, 관리에 대한 이해와 과학적 체험을 통해 수자원에 대한 관심과 흥미를 유발시티는 체험학습 문화공간이다. 대청댐의 역할과 물의 소중함을 알리고, 대청호와 금강에 사는 생물 서식 환경도 살펴볼 수 있다. 대청댐을 지을 때 마을이 없어졌는데, 그곳에 살았던 사람들의 삶과 문화도 잊지 않고 기록하였다. 비정기적으로 음악회 같은 문화 행사를 진행한다."
