addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대전광역시 동구 마산동,산 45-6,3,,A01,A0101,A01011700,2911885,12,20221117172150,http://tong.visitkorea.or.kr/cms/resource/72/2911872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2911872_image3_1.jpg,127.4787615831,36.3812776529,6.0,20221117172205,0,2,,대청호 마산동 쉼터,34500,"대청호 마산동 쉼터는 대전광역시 동구 마산동에 있다. 쉼터로 향하는 왕복 2차선 도로는 드라이브 코스로 제격이며 특히 단풍철에는 멋진 풍경이 펼쳐진다. 쉼터에는 데크로 이루어진 산책로가 있다. 대청호 오백 리길 4구간으로 1.5km가량 걸어가면 명상 정원에 닿을 수 있다. 굳이 걷지 않더라도 대청호의 풍경을 감상할 수 있다. 대전IC에서 가깝고, 주변에 대청호자연생태관과 우암사적공원이 있다."
대전광역시 동구 직동 산31-1,,3,0.0,A01,A0101,A01010400,2786012,12,20211206194102,http://tong.visitkorea.or.kr/cms/resource/70/2800070_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2800070_image2_1.jpg,127.4891622601,36.4241507101,6.0,20221130103353,0,2,,노고산,,"대전 동구에 자리한 노고산은 대청호를 한눈에 내려다볼 수 있는 포인트로 잘 알려져 있다. 노고산 정상으로 오르는 가장 빠른 방법은 찬샘정에서 출발하는 것이다. 이곳 등산로에서 출발하면 3040분이면 정상에 도착할 수 있다. 이정표는 따로 없으나 갈림길이 없어 손쉽게 오를 수 있다. 비교적 완만한 코스이지만 수풀이 우거져 있어 한여름에도 긴소매, 긴바지를 입는 걸 추천한다. 정상에 오르면 소원의 종과 함께 드넓은 대청호가 반겨준다. 이른 아침에 오르면 대청호에서 피어오르는 신비로운 물안개를 감상할 수 있다. 정상에서 조금 더 걸으면 노고산성이 자리한다. 본래는 둘레 약 300m 정도의 성벽이었으나 지금은 대부분 허물어져 그 흔적만 남아 있다."
대전광역시 동구 새둑길 143,(소제동),3,0.0,A02,A0202,A02020700,2775503,12,20211118000719,,,127.4364555535,36.3335379151,6.0,20221212131452,0,2,,대전역 동광장,34614,"대전역 동광장은 대전시 동구 소제동에 자리 잡고 있다. 음식점과 술집 등 요식업체가 즐비한 서광장과는 다른 분위기의 광장이다.이곳은 대전역을 오가는 사람들의 만남의 광장이다. 열차를 타거나 내릴 때 거쳐 가야 하는 관문이며, 주변에 주차 시설이 많기 때문이다. 또한, 조형물 등이 있는 근린공원인 호국 철도광장이 조성되어 있어, 서광장은 대전역 광장, 동광장은 호국 철도광장으로 불리기도 한다."
대전광역시 동구 대청호수로633번길 7,(추동),3,0.0,A02,A0203,A02030600,2766519,12,20211102202247,http://tong.visitkorea.or.kr/cms/resource/73/2766773_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2766773_image2_1.jpg,127.4778672678,36.3795000621,6.0,20211102232649,0,2,,슬픈연가촬영지,34500,"명상정원은 드라마 슬픈 연가 촬영지 부근에 2020년에 조성되어 현재 대전시 동구를 대표하는 대청호 관광명소가 되었다. 
어린이, 노약자 등도 쉽게 산책할 수 있는 무장애 데크 길이 명상정원까지 이어져 있고, 정원 내에 전망 데크, 전통담장 등이 조성되어 있다. 
대청호의 수려한 풍경을 더 가까이서 감상하기 위해 만든 감성 교감형 휴게공간으로 대청호의 잔잔한 물결, 싱그러움을 뿜어내는 나무와 풀꽃들의 조화가 자연스럽게 어우러지는 명상정원에 머무르다 보면 내방객들은 아무런 왜곡 없는 순수한 마음 상태로 몰입할 수 있는 명상시간을 가질 수 있다.

사진 출처: 대전시 동구청"
대전광역시 동구 세천공원로 62,(세천동),3,0.0,A02,A0202,A02020700,2766467,12,20211102195506,http://tong.visitkorea.or.kr/cms/resource/73/2782073_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2782073_image2_1.jpg,127.4831459655,36.3283893351,6.0,20221212135916,0,2,,세천유원지,34501,"식장산 동북쪽에 위치한 세천공원은 울창한 숲에 둘러싸여 있다. 식장산과 인근 풍경을 감상할 수 있는 명소다.
세천유원지에는 식장산에서 흘러내린 맑은 물로 이루어진 세천저수지가 있다. 세천저수지는 대청댐이 생기기 전 대전의 상수원이었다. 
이곳에는 우리 고유의 토박이 식물 8백여 종을 포함해 약 6천여 종의 식물이 자라고 있다.

사진 출처: 대전 동구청"
대전광역시 동구 대청호수로545번길 1,(추동),3,0.0,A02,A0202,A02020100,2758246,12,20211018234738,http://tong.visitkorea.or.kr/cms/resource/14/2758614_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2758614_image2_1.jpg,127.4745205247,36.3728702056,6.0,20211019020431,2,2,,대청호자연수변공원,34500,"대청호자연수변공원은 대전시 동구 추동에 자리 잡고 있다. 이곳은 많은 관광객이 찾아오는 도심 속 수변공원이자 대전시 동구를 대표하는 관광지다. 인근 지역에는 드라마 슬픈연가 촬영지, 대청호 오백리길, 전국에서 가장 긴 회인선 벚꽃길이 위치하였다.사진 출처: 대전시 동구청 홈페이지"
대전광역시 동구 백룡로48번길 일대,(자양동),3,0.0,A02,A0203,A02030600,2752861,12,20211005200001,,,127.4507848261,36.3336214935,6.0,20221111174915,1,2,,대동벽화마을,34645,대동 벽화마을은 대전에 거주하고 있는 시민분들 외에 타 지역분들에게 덜 알려진 숨은 대전이다. 대동은 대전역 뒤편에 자리하고 있는 곳으로 대표적인 대전의 달동네로 알려진 곳인데 6.25 전쟁 이후 피난민들에 의해 생긴 마을이다. 이곳은 아이들보다 어르신들이 많이 계신 곳이기 때문에 조용했지만 최근 예쁜 벽화들과 전망대가 이슈가 되면서 여행객들이 몰려 활기를 찾고 있다.
대전광역시 동구 대동로 44,(대동),3,0.0,A02,A0203,A02030600,2725049,12,20210709014311,,,127.4490600356,36.3315883621,6.0,20210719200644,0,2,,동동유람,34649,"동동유람은 여성 여행자들의 안전하고 행복한 여행 활성화를 위해 대전 지역 관광 콘텐츠를 개발하는 여성 청년 기업이다. 대전 지역에 거주하는 여성 지역가이드가 직접 동네를 동행하며 소개해주는 동동버디 프로그램과 지역작가와 연계한 예술체험을 할 수 있는 동동클래스 프로그램에 참여할 수 있다. 또한 지역 자원을 활용하여 개발하고 제작한 다양한 동동굿즈를 만날 수 있다.

 체험 프로그램 : 동동버디(지역 가이드 투어), 동동클래스(지역작가 예술체험)"
대전광역시 동구 중앙로 187-1,(중동),3,0.0,A02,A0203,A02030400,2722927,12,20210623222111,http://tong.visitkorea.or.kr/cms/resource/19/2722919_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/19/2722919_image2_1.JPG,127.4300006577,36.3305103683,6.0,20221213164710,0,2,,대전트래블라운지,34627,"대전트래블라운지는 대전을 방문하는 관광객에게 관광정보와 쉼터를 제공하고 있는  복함문화공간이다. 대전트래블라운지는 옛날 교북체험. 개화기의상 체험, DIY체험, 문화콘서트 등 다양한 체험이 준비되어 있으며, 무인카페, 기념품판매, 와이파이, 관광정보검색 키오스크 등의 편의시설이 구비되어있다."
대전광역시 동구 중앙로200번길 85,(원동),3,0.0,A02,A0203,A02030400,2717488,12,20210518014643,,,127.433661527,36.327349684,,20221013093235,0,2,010-7397-5004,수연가,34630,"대전에 위치한 수연가는 공예 체험 상품으로 천을 활용한 액자 만들기, 소품 만들기, 인형 만들기 등을 운영한다.

 상품명 : 힘내라 액자 만들기 (체험 10,000원  완성품 30,000원)
 힘들고 어려울 때 나에게 들려줄 수 있는 이야기를 한복천에 담아 글과 그림으로 수틀에 담아 체험할 수 있는 상품
 원하는 문구(20자 내)의 완성품 판매
 size: 15cm × 15cm (±2cm)

 상품명 : 나만의 정원 소품 만들기 (체험 10,000원  완성품 20,000원)
 한복천, 자투리를 응용한 소품(튤립, 선인장등 만들기)
 인테리어 소품으로 선물용으로 인기있는 제품
 size: 7cm × 10cm (±2cm)

 상품명 : 특별한 나만의 테디베어 인형 (체험 50,000원  완성품 70,000원)
 가지고 있는 셔츠나 남기고 싶은 어릴 때 입던 옷으로 만드는 특별한 선물의 테디베어는 완성품으로 구성이 되며, 자투리, 한복으로 만드는 테디는 반제품으로 제공되며 체험 가능한 상품
 size: 15cm × 27cm (±3cm)"
