addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대전광역시 서구 원도안로207번길 41,1층,3,,A02,A0202,A02020300,2808100,12,20220223131827,,,127.3425087172,36.3217625947,6,20220307102728,0,3,,바구스스파,35352.0,"단 한 분을 위한 프라이빗 1인 스파, agus는 인도네시아어 사전적 의미로 1.좋은, 친절한 2.즐거운,기분좋은,훌륭한 3.멋진, 근사한 이며 몸과 마음이 지친 분들께 잠시나마 쉴 수 있는 공간을 제공하는 도심 속 힐링스파 입니다."
대전광역시 서구 괴곡동 963,,3,0.0,A01,A0102,A01020100,2784718,12,20211201224710,http://tong.visitkorea.or.kr/cms/resource/07/2784807_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2784807_image2_1.jpg,127.3543169514,36.2863418541,6,20221214094850,0,3,,괴곡동 느티나무,,"괴곡동 느티나무는 대전시 서구 괴정동에 자리 잡고 있다. 느티나무는 2013년 천연기념물로 지정되었다. 수령 700년으로 추정하며, 높이 16m, 둘레 9.2m다. 이곳은 갑천 누리길 2코스에 있다. 이 덕분에 자전거 라이딩을 즐기는 사람들의 쉼터가 되기도 한다. 매년 칠월칠석에는 풍물놀이와 민속예술공연 등으로 진행되는 목신제가 개최된다. 주변에는 장태산 자연휴양림, 상보안 유원지 캠핑장, 흑성 유원지가 있어 연계 관광에 나서기 수월하다."
대전광역시 서구 둔산북로90번길 60,(둔산동),3,0.0,A02,A0202,A02020700,2758666,12,20211019020756,http://tong.visitkorea.or.kr/cms/resource/65/2758865_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2758865_image2_1.jpg,127.3841235826,36.3533930477,6,20220411173501,1,3,,보라매공원,35239.0,"보라매공원은 대전시 서구 둔산동에 자리 잡고 있다. 대전 서구청 앞에서 대전시청을 지나 탄방역으로 연결되는 대전 도심의 대표 공원이다.
이곳은 서구 힐링 아트페스티벌과 보라매 크리스마스트리 축제가 개최되는 중심지다. 대전 걷고싶은 길 12선에도 선정되어 시청 앞 가로수길로 불린다.
과거 공군 관련 시설이 위치했던 곳으로, 1990년대 둔산 개발로 공군시설은 타 지역으로 옮겨 가고, 공원 한쪽에 모형 전투기가 남아있다.

사진 출처: 대전시 공식 블로그"
대전광역시 서구 구봉로131번길 27,(관저동),3,0.0,A02,A0202,A02020100,2758646,12,20211019020441,http://tong.visitkorea.or.kr/cms/resource/58/2758858_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2758858_image2_1.jpg,127.3375042576,36.297737476,6,20221111113350,0,3,,마치광장,35382.0,"마치광장은 대전시 서구 관저 5지구에 있다. 광장 근처는 많은 사람이 밀집하는 관저동의 대표 중심 상권이다. 음식점이 많아 주중이나 주말 가릴 것 없이 많은 사람이 찾는다. 광장 주변에는 아이들을 위한 전동자동차 대여 상점이 많으며, 전동자동차를 즐기는 아이들이 많다.
사진 출처: 대전시 서구청 홈페이지"
대전광역시 서구 물안길 71,(흑석동),3,0.0,A02,A0202,A02020100,2758588,12,20211019015132,http://tong.visitkorea.or.kr/cms/resource/56/2758956_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2758956_image2_1.jpg,127.3400883221,36.2620860417,6,20211019200113,0,3,,흑석유원지,35420.0,"흑석유원지는 대전시 서구 흑석동에 있다.
유원지에는 여름철 물놀이가 가능한 물가, 무료 캠핑을 즐길 수 있는 야영장 등이 갖춰져 있다. 질 정비된 길을 따라 풍경을 감상하기 좋은 산책로도 조성되어 있다.
유원지는 안영IC 와 가깝고, 주변에는 장태산자연휴양림이 있다.

사진 출처: 대전시 공식 블로그"
대전광역시 서구 남선로 66,(탄방동),3,0.0,A02,A0202,A02020700,2758252,12,20211018235011,http://tong.visitkorea.or.kr/cms/resource/98/2758598_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2758598_image2_1.jpg,127.3967004547,36.34530253,6,20221118131915,0,3,,남선공원,35254.0,"남선공원은 대전시 서구 탄방동에 있다. 공원의 규모는 약 15만㎡다. 산림 숲을 비롯해 각종 운동 시설, 산책로, 등산로, 명학소기념탑, 남선정 등이 갖춰져 있다. 공원은 대전시 지하철 탄방역과 용문역에서 가깝다. 주변에는 대전엑스포시민광장, 한밭수목원, 엑스포과학공원이 위치해 있다.사진 출처: 대전시 공식 블로그"
대전광역시 서구 둔산로 100,(둔산동),3,0.0,A02,A0202,A02020100,2743325,12,20210910230659,,,127.3849680306,36.3504850621,6,20211229020934,0,3,,대전시청광장,35242.0,"시민 잔디광장이라고도 불리는 대전 시청광장은 대전 지하철 시청역과 맞닿아 있다. 대전광역시 무형문화재 한밭종각이 자리 잡고 있으며 해마다 다양한 행사가 열리는 공간이다. 행사가 없는 날에는 산책 삼아 찾는 시민과 직장인들이 많다. 곳곳에 벤치가 있어 앉아 쉬기 좋고, 여름철에는 분수를 운영한다. 아이들을 위한 놀이터도 있다. 가까운 곳에 많은 음식점이 있어 원하는 종류의 음식을 선택하는데 어려움이 없다. 또 한밭수목원, 엑스포과학공원, 유성온천 등이 가까운 거리에 있어 연계 관광도 가능하다."
대전광역시 서구 둔산대로 169,(만년동),3,0.0,A02,A0202,A02020100,2738037,12,20210831224554,,,127.3880005938,36.3688691234,6,20220412135359,0,3,,엑스포시민광장,35204.0,"엑스포시민광장은 관광은 물론 문화생활, 여가, 레포츠를 함께 즐길 수 있는 공간이다. 광장에서는 좌우로 자리 잡은 한밭수목원을 둘러볼 수 있다. 게다가 국내 최초로 움직이는 그늘막을 설치한 야외 공연장에서 각종 행사에 참여하거나 관람할 수 있다. 잘 정비된 자전거 도로와 중앙 광장에서는 자전거나 인라인스케이트를 타기 좋다. 일몰 때는 엑스포다리의 경관 조명이 불을 밝히니 기념사진을 남겨볼 것을 권한다. 분수가 설치된 광장 관리동에는 매점, 카페 등이 있어 간식이나 가벼운 음주를 즐기기에 제격이다."
대전광역시 서구 둔산대로 191,(만년동),3,0.0,A01,A0101,A01010500,2738011,12,20210831220636,,,127.3896754944,36.3669971457,6,20221208172329,0,3,,대전곤충생태원,35204.0,"곤충생태관은 한밭수목원 내에 자리 잡고 있다. 사람들에게 곤충에 대한 인식을 새롭게 심어주기 위해 2016년 10월 개관했다. 1층 공간에는 곤충을 관찰할 수 있는 곤충농장과 각종 전시 시설이 마련되어 있다. 2층에서는 곤충 사육실을 둘러볼 수 있으며, 투명한 통유리 너머로 연구실 모습도 엿볼 수 있다. 곤충생태관에서는 한지로 곤충 만들기, 곤충 액자 만들기, 곤충 비누 만들기 등 각종 체험 프로그램도 운영 중이다."
대전광역시 서구 흑석동 738,,3,0.0,A02,A0202,A02020100,2732216,12,20210809221551,,,127.3429904464,36.2767094214,6,20211104223941,0,3,,상보안 유원지,35427.0,상보안 유원지는 흑석 노루벌길의 걷기 코스 가운데 하나다. 이 길은 행정안전부의 살기 좋은 지역자원 100선에 선정되기도 했다. 흑석 노루벌길은 상보안 유원지를 시작으로 노루벌과 장평 유원지를 거쳐 흑석 유원지로 이어지는 길이다. 총 4.5km 거리로 도보로 이동하면 1시간 30분가량 소요된다.흑석 노루벌길의 시작점인 상보안 유원지에는 무료로 이용할 수 있는 상보안유원지캠핑장이 자리 잡고 있다. 게다가 물가에서는 낚시도 즐길 수 있다.상보안 유원지로부터 남쪽으로 약 9km 거리에는 장태산자연휴양림이 있어 연계 관광이 가능하다. 북쪽으로 올라가면 대전 도심이다.
