addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대전광역시 유성구 엑스포로 1,,3,,A02,A0206,A02060600,2931882,12,20221208105041,,,127.3820815082,36.3751488554,6.0,20221213135038,0,4,,대전신세계 아트앤사이언스,34126.0,"대전신세계AtScience는 문화, 예술 콘텐츠와 과학 수도 대전의 정체성이 담긴 복합 문화예술공간이다. 신세계그룹과 계룡건설의 컨소시엄으로 설계되어 엑스포과학공원 일부 부지에 지상 43층, 지하 5층으로 지어졌다.  포디움(백화점동)과 타워동으로 구성되어 있다. At  Science라는 네이밍에서 볼 수 있듯이 신세계만의 차별화된 문화, 예술과 미래 과학기술을 융합한 다양한 콘텐츠를 제공한다. 카이스트 연구진과 손잡고 만든 과학관 신세계 넥스페리움, 상권 최초의 실내 스포츠 테마파크 스포츠 몬스터, 디지털 미디어를 활용한 4,200t 수조의 아쿠아리움, 갑천을 조망하는 옥상정원 등 이전에 경험할 수 없었던 콘텐츠가 2030 고객들 발길을 사로잡는다. 또한 유명 갤러리의 전시를 소개하고 지역 작가들과의 협업을 통해 대전의 문화예술의 발전을 도모한다."
대전광역시 유성구 테크노중앙로 88,(관평동),3,0.0,A02,A0202,A02020100,2789662,12,20211209001248,http://tong.visitkorea.or.kr/cms/resource/59/2795759_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/59/2795759_image2_1.jpg,127.3941152016,36.4244434267,6.0,20220506091153,0,4,,동화울수변공원,34030.0,"동화울수변공원은 유성구의 관평천 하류에 위치한 반원 형태의 도심공원이다. 아파트 단지 및 빌딩 등 도심 한복판에 위치해 있지만 도로 접근성이 좋고 야외공연장, 화장실, 쉼터, 어린이놀이터, 보드장, 인공연못, 운동시설 등이 다양하게 설치되어 있어 주민들의 편안한 휴식공간이 되어준다. 여름에는 시원한 분수광장이 물놀이장이 되어 더위를 식히고 수목 주변으로 벤치들이 많아 쉬어가기에 좋다. 공원 주변으로 약 9km 길이의 관평동 둘레길 트레킹 코스가 마련되어 있어 조깅이나 산책을 할 수 있다."
대전광역시 유성구 대덕대로 480,(도룡동),3,0.0,A02,A0205,A02050200,2779504,12,20211125192543,http://tong.visitkorea.or.kr/cms/resource/77/2796577_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2796577_image2_1.jpg,127.3863644022,36.3772070293,6.0,20211215000839,1,4,,한빛탑,34126.0,"대전 엑스포 과학공원에는 독특한 모양의 탑이 있다. 1993년에 열린 대전세계박람회를 기념하기 위해 건립된 상징 조형물로, 현재와 미래를 잇는 한 줄기 빛이라는 뜻에서 한빛탑이라 불린다. 이 탑은 대전을 상징하는 주요 건물로 꼽힌다. 입장료를 지불하면 한빛탑 내부도 구경할 수 있다. 1층에는 사진 전시실이, 2층에는 전망대가 자리한다. 이곳 전망대에선 한빛탑 주변 풍경을 시원스레 감상할 수 있다. 밤이 되면 한빛탑은 또 다른 분위기를 연출한다. 한빛탑 앞에 음악분수가 설치되어 물줄기가 노래에 맞춰 춤을 추는가 하면, 탑 외벽에는 미디어파사드 공연이 펼쳐진다. 매일 저녁 7시부터 9시까지 이뤄지는 이 공연은 대전의 새로운 명물로 자리 잡았다."
대전광역시 유성구 노은동로 166,(지족동),3,0.0,A02,A0202,A02020100,2775510,12,20211118001959,http://tong.visitkorea.or.kr/cms/resource/37/2775537_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2775537_image2_1.jpg,127.3233784299,36.3750839329,6.0,20221205161125,0,4,,은구비역사공원,34084.0,"은구비역사공원은 대전시 유성구 지족동에 있다. 1997년 대전 노은지구 택지개발 당시에 조성된 공원으로 면적은 약 11만㎡이다. 공원에는 대전선사박물관을 비롯해 잔디광장, 산책로, 체육시설, 쉼터, 음수대 등이 갖춰져 있다. 은구비구름다리를 건너면 도로 건너편에 있는 두루봉공원과 연결된다. 사진 출처: 대전시 공식 블로그"
대전광역시 유성구 봉명동 625,(봉명동),3,0.0,A02,A0203,A02030600,2775488,12,20211117235244,,,127.3451769382,36.3581168164,6.0,20221025132507,0,4,,봉명동 우산거리,34185.0,"봉명동 우산 거리는 대전시 유성구 봉명동에 자리 잡고 있다. 거리 초입에 들어서면 건물 사이 공중에 형형색색의 우산이 설치되어 있으며 거리에는 음식점과 술집 등 각종 요식업체가 성업 중이다. 우산 거리는 유성IC에서 가까운 거리에 있는 대전의 핫플레이스다. 주변에는 유성온천을 비롯해 대전엑스포시민공원, 한밭수목원 등의 관광지가 있다."
대전광역시 유성구 동서대로735번길 24-9,(원신흥동),3,0.0,A02,A0201,A02010800,2766959,12,20211103002222,http://tong.visitkorea.or.kr/cms/resource/35/2767235_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2767235_image2_1.jpg,127.3453470164,36.3341528947,6.0,20211209005125,1,4,,대전 신흥사,34195.0,"신흥사는 대전시 유성구 원신흥동에 자리 잡고 있다. 이곳은 대한 불교 정토정 사찰이다. 정토정은 아미타불 및 그가 출현할 정토의 존재를 믿고, 죽은 후 그 정토에 태어나기를 바라는 대승불교의 일파이다. 사찰에서는 아미타불 부처님과 협시불인 관음보살님과 대세지보살님을 주불로 봉안하였으며, 104위 신중님이 봉안되어 있다."
대전광역시 유성구 성북로 28,(방동),3,0.0,A01,A0101,A01011800,2766470,12,20211102195644,http://tong.visitkorea.or.kr/cms/resource/43/2766743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2766743_image2_1.jpg,127.2970555846,36.2796388306,6.0,20221128110630,0,4,,방동저수지,34205.0,"방동저수지는 대전시 유성구 방동에 자리 잡고 있다. 1971년 준공됐으며, 유성구청과 한국농어촌공사가 시설 관리를 맡고 있다.
이곳은 갑천의 지류인 금곡천 하구에 만들어진 인공 저수지다. 2021년 4월 현재 수변 산책로, 연꽃 공원 등을 조성하기 위한 계획 수립에 돌입했다.

사진 출처: 대전시 유성구 공식 블로그"
,,3,0.0,A02,A0202,A02020700,2760707,12,20211021193756,http://tong.visitkorea.or.kr/cms/resource/00/2760700_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2760700_image2_1.jpg,127.3453047821,36.355281032,6.0,20220411111606,1,4,,유성온천공원,,"조선 태조가 새 왕도 후보지를 물색하기 위해 계룡산에 들렀다가 목욕한 곳으로 알려진 유성온천. 가장 오래된 지층인 시생대 지층의 단층선을 따라 지하 285600m에서 4265℃의 온천수가 솟아난다. 특히 계룡스파텔 인근 공원에는 유성온천을 체험할 수 있는 족욕체험장이 조성되어 있다. 야외에 공원처럼 꾸며진 체험장은 170명이 동시에 즐길 수 있는 4개의 족욕시설을 갖추고 있다. 발을 씻을 수 있는 수로시설과 말릴 수 있는 윈드 건, 화장실 등의 편의시설도 잘 조성되어 있어 관광객이 자주 찾는 유성의 명소 중 하나다. 매년 5월에는 이곳에서 유성온천문화축제가 열린다.

사진 출처: 대전시 공식 블로그"
대전광역시 유성구 학하서로63번길 26,(계산동),3,0.0,A02,A0201,A02010800,2758282,12,20211019000430,http://tong.visitkorea.or.kr/cms/resource/79/2758579_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2758579_image2_1.jpg,127.2980482439,36.3425316541,6.0,20221121095201,0,4,,광수사,34208.0,"광수사는 대전시 유성구 계산동에 자리 잡고 있다. 천태종 사찰로 1995년 지어졌다.사찰에는 웅장함이 느껴지는 3층 높이의 대적광전을 비롯해 포대화상, 대자대비 관음보살상 등이 있다. 사찰은 유성IC와 서대전IC에서  가깝고, 주변에는 국립대전숲체원, 유성온천 등이 있다.사진 출처: 대전시 공식 블로그"
대전광역시 유성구 도룡동,,3,0.0,A02,A0205,A02050100,2738026,12,20210831222654,,,127.3880171535,36.3727464581,6.0,20221104155011,0,4,,엑스포다리,34126.0,엑스포다리는 한빛탑으로 유명한 엑스포과학공원과 대전 대표 관광지 중 하나인 한밭수목원을 잇는 다리다. 낮에는 나들이객들이 엑스포다리 주변에서 한가롭게 휴식을 즐긴다. 주변 자전거 대여소에서 자전거를 빌려 타는 사람들도 많다. 엑스포다리는 대전을 대표하는 야경 명소로도 이름 높다. 계절에 상관없이 일몰 시부터 23시까지 경관 조명이 켜진다. 게다가 여름철 주말이면 화려한 조명과 어우러진 음악분수가 물을 뿜는다. 관광객뿐 아니라 사진작가들이 엑스포다리를 선호하는 이유다.
