addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
대전광역시 중구 무수동 195,,3,,A01,A0101,A01010400,2911386,12,20221117133724,,,127.4110312278,36.2900146617,6,20221117133742,0,5,,대전 치유의 숲,35072.0," 대전 무수동 치유의 숲은 상수리나무 55.6, 신갈나무 15.0로 활엽수림이 주를 이루고 있고 침엽수림은 일부 분포하고 있으며, 대상지 일원에 보문산 공원, 뿌리공원, 보문산성, 보문사지, 목재문화체험장 등 경관이 우수하고 다양한 볼거리가 존재함
 오월드, 플라워랜드, 버드랜드를 비롯해 동춘당, 으능정이문화의거리, 유성온천, 한밭수목원, 장태산자연휴양림, 대전둘레산길 등의 연계를 통한 중부권 대표 치유의 숲
 대전 치유의 숲은 자연으로 몸과 마음을 치유하는 힐링명소로 환경보호를 위해 취사와 흡연, 야영 등을 금하고 있으며,  가족일반인, 노인, 직장인주부, 청소년, 어린이, 장애인 등을 대상으로 한 6개의 유료 프로그램 운영
 무료로 이용할 수 있는 편의시설은 대나무원, 풍욕장, 단풍나무원 등 존재 
 프로그램과 편의시설 외에도 1.5km, 2.7km, 1.5km 등 3가지 코스의 테마 숲길을 조성하여 운영
 숙박시설과 식당을 운영하지 않고 주변 시설 사용을 유도함으로써 주변 경제활성화에도 노력"
대전광역시 중구 보문산공원로 442,(대사동),3,0.0,A02,A0203,A02030400,2775506,12,20211118001113,,,127.4238601011,36.3098181812,6,20221212141525,0,5,,대전목재문화체험장,35052.0,대전 목재 문화체험장은 대전시 중구 대사동에 자리 잡고 있다. 전국 최초로 대도시 중심에 조성된 목재문화체험장이다.이곳은 목재의 우수성을 홍보하고 목재의 가치에 대한 지식과 정보를 습득할 수 있는 공간으로 현대인들이 목재의 따뜻함과 선조들의 지혜를 배우며 휴양 문화를 즐길 수 있는 곳이기도 하다. 대전 목재 문화체험장은 어린이들부터 성인까지 눈높이에 맞는 다양한 프로그램으로 이용객에게 만족감을 주고 있다.
대전광역시 중구 보문산공원로530번길 86,(대사동),3,0.0,A02,A0205,A02050600,2775492,12,20211117235531,,,127.4249571613,36.3121873745,6,20211125215043,0,5,,보문산 전망대,35045.0,"보문산 전망대는 대전시 중구 대사동에 자리 잡고 있다. 보문산 숲 치유센터 주차장에 차를 대고 도보로 걸어가야 닿는다.전망대에 오르면 2층으로 이루어진 건물에서 창밖으로 대전 시가지의 풍경을 조망할 수 있다. 외부 공간에도 전망대가 마련되어 있다. 전망대는 판암IC에서 가까운 거리에 위치했다. 주변에는 대전의 번화가 중 하나인 중앙로역을 비롯해 대동하늘공원, 중앙시장 등의 관광지가 있다."
대전광역시 중구 사정공원로 160,(사정동),3,0.0,A02,A0202,A02020700,2758677,12,20211019020927,http://tong.visitkorea.or.kr/cms/resource/72/2758872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2758872_image2_1.jpg,127.4092283727,36.2988413989,6,20221115104309,0,5,,사정공원,35056.0,"사정공원은 대전시 중구 사정동에 자리 잡고 있다. 공원에는 축구장 등 운동 시설, 인라인 스케이트장, 사정골식물원, 반공건국 청년운동 순국기념탑, 애국지사총, 숲속자연놀이터, 산책로 등이 갖춰져 있다. 공원은 안영IC와 가깝고, 주변에 뿌리공원, 대전 오월드가 위치해 있다.
사진 출처: 대전시 공식 블로그"
대전광역시 중구 보문로199번길 37-36,(대흥동),3,0.0,A02,A0202,A02020700,2758655,12,20211019020536,http://tong.visitkorea.or.kr/cms/resource/34/2758934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2758934_image2_1.jpg,127.4218489142,36.3192226254,6,20221118162542,0,5,,테미공원,34951.0,"테미공원은 대전시 중구 대흥동에 있다. 보문산 줄기인 해발 108m의 수도산에 조성되어 있다. 1955년 11월 음용수 보안 시설로 지정되어 일반 시민의 출입이 제한되어 왔으나, 1995년도에 개방하여 자연경관을 최대한 살려 도심 속에 조성한 휴식공간이다. 다양한 수종으로 이루어진 울창한 숲과 진입로 3개 노선 280m, 순환도로 및 산책로 450m, 쉼터와 체력단련시설, 편익시설, 관리사무소 등이 갖추어져 있다. 특히 이곳은 벚나무 꽃이 만개했을 때 매우 아름다워 4월에는 벚꽃축제가 열린다. 

사진 출처: 대전시 공식 블로그"
대전광역시 중구 중앙로138번길 30,(대흥동),3,0.0,A02,A0202,A02020700,2732202,12,20210809221032,,,127.4254733664,36.3274661918,6,20221103144029,0,5,,우리들공원,34914.0,"우리들공원은 대전의 원도심인 대전시 중구 대흥동에 자리 잡고 있다. 야외 공연장에서는 정기적으로 각종 공연과 행사가 열린다. 게다가 대전에서 버스킹 공연이 가장 활발하게 열리는 곳이기도 하다.우리들공원 주변은 음식점과 술집이 즐비하다. 아울러 대전시에서 인증한 3대 30년 시 인증 전통업소가 많다. 대표적인 음식점으로는 두부두루치기가 유명한 진로집, 오징어 칼국수를 파는 소나무집, 돼지갈비를 맛볼 수 있는 대전갈비집 등이다.우리들공원 주변에는 먹거리와 생활용품을 파는 대전중앙시장, 100년의 역사를 간직한 천주교 대흥동교회, 옛 충남도청이었던 대전 근대사전시관 등 관광지가 많아 연계 관광이 수월하다."
대전광역시 중구 중앙로164번길 17,(은행동),3,0.0,A02,A0203,A02030600,1964622,12,20141112193705,http://tong.visitkorea.or.kr/cms/resource/35/1964635_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/1964635_image2_1.jpg,127.4282980832,36.3286188884,6,20220726100121,7004,5,,스카이로드,34922.0,"대전 스카이로드는 길이 214미터, 너비 13.3미터, 높이 20미터 규모의 초대형 LED 영상아케이드 구조물로 대전스카이로드가 조성된 으능정이거리는 은행나무 정자가 있는 마을에서 유래되었으며 대전역 앞 중앙로를 중심으로 형성된 대전의 명동으로 주변에 백화점, 지하상가, 갤러리 등이 밀집되어 있어 젊은층이 많이 찾는 쇼핑과 문화의 중심지이다."
대전광역시 중구 대흥동,,3,0.0,A02,A0203,A02030600,1909639,12,20140331230913,http://tong.visitkorea.or.kr/cms/resource/75/1802575_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1802575_image3_1.jpg,127.4254345237,36.3258969262,6,20220818152819,10298,5,,대흥동 문화예술의거리,," 문화예술의 거리로 다시 태어나다, 대흥동 원도심   대전 중구 대흥동 일대는 대전의 원도심이다. 세련된 도시 이미지가 느껴지는 건물과 카페가 있는가 하면, 197080년대를 떠올리게 하는 손때 묻은 풍경이 공존한다. 대흥동을 멋스럽게 꾸미는 것은 낡고 허름해 보이는 건물과 외벽에 그려진 빈티지한 그림이다. 벽을 뚫고 나오는 자동차, 산호다방 건물의 옷걸이에 걸린 티셔츠, 산호여인숙 골목의 티셔츠, 골목길 전기계량기에 그려진 그림이 아날로그적 풍경을 연출한다. 이밖에 오래된 골목과 화방, 소극장, 갤러리도 눈에 띈다."
대전광역시 중구 단재로229번길 47,(어남동),3,0.0,A02,A0201,A02010500,1623995,12,20120507232435,http://tong.visitkorea.or.kr/cms/resource/16/1585816_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/1585816_image3_1.jpg,127.4108161325,36.2326156607,6,20220414162646,17184,5,,단재 신채호선생생가지,35086.0,"단재 신채호(丹齋 申采浩, 1880～1936) 선생이 태어나 8세까지 어린 시절을 보냈던 곳이다. 선생은 이곳 도리미 마을에서 신광식의 둘째 아들로 태어나 어릴 때 아버지가 돌아가시자 충북 청원으로 이사를 하였다. 19세 때 성균관(成均館)에 입학하여 26세에 성균관 박사가 되었고, 을사조약 후 일제(日帝)의 식민통치에 맞서 언론을 통한 민중계몽운동과 민족의식고취를 위한 언론활동을 전개하였다. 한편 항일비밀단체인 신민회(新民會) 사건에 연루되어 1910년에 블라디보스톡으로 망명, 독립활동을 전개하였다. 선생은 1928년 일본 경찰에 체포되어 여순(旅順) 감옥에 수감되었다가 57세 되던 해인 1936년 2월 21일 옥사(獄死)하였다."
대전광역시 중구 대둔산로137번길 67,(안영동),3,0.0,A02,A0201,A02010700,1623977,12,20120507230625,http://tong.visitkorea.or.kr/cms/resource/10/1585810_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/1585810_image3_1.jpg,127.3723015063,36.2844479441,6,20220901154504,16119,5,,창계숭절사,35085.0,"취금헌(醉琴軒) 박팽년(朴彭年, 1417∼1456)을 비롯한 사육신(死六臣)의 처형 소식을 듣고 자결한 청재(淸齋) 박심문(朴審問, 1408∼1456)의 위패를 봉안하고 제향하고 있습니다."
