addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 강서구 범방4로 132,,6,,A02,A0202,A02020700,2867934,12,20221017095231,http://tong.visitkorea.or.kr/cms/resource/14/2867914_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/14/2867914_image3_1.JPG,128.8860013488,35.154317052,6,20221017095242,1,1,,녹산고향동산,46727.0,"부산 강서구에 있는 녹산고향동산은 낙동강을 보면서 산책할 수 있는 공원이다. 맞은편에 둔치도 있어 더 운치가 있다. 기념관, 야외무대, 놀이터, 족구장, 전망데크, 산책로, 쉼터 등 다양한 문화공간으로 이루어져 있다. 가볍게 산책하기 좋고, 당일치기 캠핑, 차박, 낚시 등이 가능해 날이 좋을 때나 주말에는 많은 사람이 찾는다. 취사는 할 수 없지만, 배달 음식을 먹는 것은 허용된다. 공원 근처 편의점을 이용할 수도 있다. 돗자리, 텐트 이용 시 녹산고향동산 기념관과 최대한 가까운 곳에 자리를 잡아야 화장실을 가깝게 이용할 수 있다. 강가 주위에는 낚시하는 사람들도 종종 볼 수 있다. 차로 25분 거리에 가덕도 정거마을 문화거리도 있어 함께 방문해 보면 좋다.
 반려동물 동반 가능(목줄, 배변봉투 지참)"
부산광역시 강서구 대저2동 5438-3,,6,0.0,A02,A0205,A02050600,2791383,12,20211210022725,http://tong.visitkorea.or.kr/cms/resource/87/2791387_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/87/2791387_image2_1.JPG,128.9220570282,35.1364113857,6,20220720150220,1,1,,델타루 (에코델타시티 전망대),,"에코델타시티는 국가하천 주변을 체계적이고 계획적인 개발을 통해 하천 중심의 미래 지향적인 수변도시를 조성하기 위해 부산 신항만, 김해국제공항, 신항 배후철도, 남해고속도로 등 우수한 광역 교통 체계와 지정학적 위치를 활용한 거점지역 육성으로 부산권 경제 활성화 및 미래 신성장 동력 구축하기 위해  조성했다. 수변 중심의 고품격 친수 주거환경과 주거상업업무예술문화가 어우러지는 복합 수변공간 조성으로 하천 중심의 다양한 미래 여가문화공간을 제공하며 정부의 「포트 비즈니스 밸리」계획과 부산 「국제 산업물류도시」계획을 반영한 복합 물류산업 중심 글로벌 거점 도시를 조성하기 위해 부산광역시, Kwate, 부산도시공사가 공동으로 참여해 건설했다."
부산광역시 강서구 화전산단5로 84,(화전동),6,0.0,A02,A0202,A02020700,2791357,12,20211210021937,http://tong.visitkorea.or.kr/cms/resource/70/2791370_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2791370_image2_1.jpg,128.8791615988,35.1056557115,6,20220413154906,1,1,,화전공원,46738.0,"부산 강서구 화전동에 있는 공원이다. 1995년 부산직할시가 부산광역시로 승격되면서 부산광역시 강서구 화전동 화전 마을이 되어 현재에 이른다. 화전공원은 부산도시개발공사가 2009년 3월 4일부터 400일 동안 1,305백만 원을 투자하여 감리자 길평(주) 외 1사, 시공자 (주) 그린엘 조경 외 1사 등 2천 800명으로부터 도움받아 화전지구 중 16,112㎡의 토지에 2만 4천 그루의 나무를 심어 조성했다. 부산도시공사는 이 공원이 부산 시민과 화전산업단지에 근무하는 근로자의 소중한 휴식공간을 제공하고자 한다."
부산광역시 강서구 대항동 393-9,(대항동),6,0.0,A01,A0101,A01011900,2789460,12,20211208224227,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2800367_image2_1.jpg,128.8274685924,35.0133095493,6,20221207112658,0,1,,가덕도대항인공동굴,46771.0,"2차 세계대전 말에 일본군은 전력이 급강하하자 부산과 주변 해안에 미군 상륙작전을 대비하기 위한 방어시설을 구축하였는데 가덕도 대항마을의 인공동굴도 이와 같은 정세에서 조성된 것으로 보인다. 가덕도 대항 인공동굴은 현재 10여 개 정도 발견되었으며 탄광 노동자들을 데려와 만들었다고 전해진다. 형태는 I자, T자, L자형 동굴과 연결 복식 동굴이 있고, 내부 통로가 십자형으로 얽혀 있을 정도로 긴 동굴도 있다. 동굴 내부에 당시 상황을 이해하기 쉽게 조형물로 표현해 놓아 가슴 아픈 역사의 흔적을 되짚어 볼 수 장소이다."
부산광역시 강서구 명지오션시티10로 95,(명지동),6,0.0,A02,A0202,A02020700,2789340,12,20211208214922,,,128.9066569316,35.0870333005,6,20220506105532,1,1,,명지동근린공원,46763.0,"명지동 근린공원은 명지오션시티에 있는 도심 공원이다. 인근에는 주차장, 축구장, 잔디광장, 운동기구 등이 있으며 어린이들이 가족과 놀기 좋은 유아숲 체험원도 있다. 유아숲 체험원에는 어린이들이 자연 놀이를 할 수 있는 여러 가지 체험 시설이 있다. 여름이면 물놀이를 즐길 수 있는 시설을 운영하기도 한다. 공원의 맞은편에 강서 기적의 도서관이 있고 주차장이 넓어 편리하게 이용할 수 있다."
부산광역시 강서구 녹산산단262로14번길 20,(송정동),6,0.0,A02,A0202,A02020700,2789334,12,20211208213726,,,128.8432429784,35.0881459047,6,20220407172528,1,1,,보람공원,46757.0,"부산 강서구 명지동에 있는 공원으로 봄에는 벚꽃이 흐드러진 멋진 풍경을 연출하는 곳이다. 부산 지역의 숨은 벚꽃놀이 명소다. 운동기구뿐 아니라 쉴 수 있는 벤치, 풋살장과 농구장이 있다. 공원 안에는 보람정이라는 정자도 있어 어르신들이 쉬기에도 좋은 공원이다. ""외국인 근로자와 함께하는 Gloal pak 정비사업""으로 만들어진 풋살장은 누구나 이용할 수 있지만, 녹산산단 내 외국인 근로자의 체육 등 여가 활동과 지역 사회 조기 정착 지원을 목적으로 세워져 외국인 근로자를 우선 배려하는 공원이기도 하다."
부산광역시 강서구 천성동 산 6-98,,6,0.0,A01,A0101,A01010400,2788831,12,20211208035452,,,128.8329509833,35.0305993811,6,20221028093147,1,1,,연태봉,,"부산광역시 강서구 천성동 가덕도에 있는 산이다. 높이는 459.4m로, 정상에 오르면 남해의 섬들과 거제 해금강이 한눈에 내려다보인다. 부산광역시에서 가깝고 천천히 오르더라도 4시간 정도면 종주할 수 있어 가족이 함께 산행하기에 적당하다. 천성 선착장에서 내려 오른쪽으로 해안도로를 따라가면 산행 안내도 간판이 나온다. 간판을 따라 산행로를 10여 분 올라 임도를 거쳐 왼쪽으로 오르면 산불감시초소가 있다. 그곳에서 가파른 산길을 올라 낙타 등 바위를 지나면 봉화대가 있는 정상이 나온다."
부산 강서구 신호동 315-1,,6,0.0,A02,A0202,A02020700,2788828,12,20211208034755,,,128.8707796382,35.0819137723,6,20220506110006,1,1,,신호공원,,갯벌 체험으로 유명한 근린공원으로 부산시 강서구에 있다. 바다갈맷길 주변으로 울창한 소나무 숲을 이루고 있어 산책과 쉬어가기에 좋은 공원들이 끝이 보이질 않도록 넓게 조성되어 있다. 물이 빠지면 갯벌 체험도 할 수 있는 곳으로 유명하다. 옆에는 공원과 산책길도 있어 가족들과 함께 야외 활동을 즐기기 좋다. 공원 주변으로 어린이들이 신나게 놀 수 있도록 물놀이터가 있다.
부산 강서구 명지동 3392,,6,0.0,A02,A0202,A02020700,2788827,12,20211208034614,,,128.9270380945,35.1016598139,6,20220506105819,1,1,,울림공원,,"수백 년의 역사를 가진 명지 지역의 기존 마을이 명지 국제 신도시 조성에 편입되면서 마을의 흔적을 남기기 위해 조성된 기념공원이다. 공원 안에 어린이들이 뛰어놀 수 있는 놀이터가 있는데, 여름에는 물놀이까지 가능하다. 명지 울림공원 내 유수지 스탠드에 일로 미아 트리와 미니 달 벤치를 설치해 별빛 산책이란 주제로 관광객들이 이용할 수 있는 명소를 조성하였다. 별빛 산책은 LED의 환상적인 조명으로 나무와 걸터앉을 수 있는 달을 만들어 야간에 포토존으로 활용해 명지 울림공원을 이용하는 관광객들에게 즐길 거리를 제공한다."
부산광역시 강서구 천성동 산 6-98,,6,0.0,A01,A0101,A01011400,2788826,12,20211208034300,,,128.8329509833,35.0305993811,6,20221027133958,0,1,,외양포항,,"부산광역시에서 가장 큰 섬인 가덕도의 남쪽 끝자락에 있는 대항마을 외양포이다. 가덕도는 면적이 21.073㎢의 규모이며 해안선 길이는 36km이다. 지명의 유래는 예로부터 섬에 더덕이 많다 하여 이름을 붙였다고 한다. 가덕도는 천가산의 연대봉(459.4m), 국수봉(269m)을 중심으로 산지가 많은 섬이다. 아동섬과 동두말 가덕도 등대 주변에 절벽과 기암괴석 그리고 서남쪽의 외양포 해수욕장과 솔섬 천수 말코바위가 아름다운 풍광을 자랑한다. 가덕도는 아픈 역사가 남아 있는 지역이다. 일제강점기 조용한 어촌마을이었던 가덕도 외양포 마을은 일본군 진해만 요새 사령부가 들어와 주민들을 모두 쫓아내고 외양포 마을 전체를 일본군 병영으로 만들었다. 일본군의 포진지 터와 군부대의 흔적들이 아직도 마을에 남아 있다."
