addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 금정구 산성로 453,(금성동),6,0,A02,A0203,A02030600,2789678,12,20211209002349,http://tong.visitkorea.or.kr/cms/resource/86/2795786_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2795786_image2_1.jpg,129.0564227644,35.2504233066,6.0,20211214220839,2,2,,금정산성 막걸리,46237,"부산의 대표 전통주 금정산성막걸리를 만드는 양조장으로 대한민국 최초 막걸리분야 식품 명인이 만든다. 해발 400m 금정산 기슭의 기후와 맑은 물, 직접 만든 500년 전통의 족타식 누룩이 빚은 막걸리이다. 유래는 조선시대로 거슬러 올라가며 전통양조방식을 그대로 따라 전국의 막걸리 중 유일하게 향토 민속주로 지정되었다. 막걸리는 온, 오프라인 매장에서 판매되고 있으며 현장에서 구매할 경우 할인 혜택을 받는다. 5인 이상의 단체가 예약하면 현장 견학은 물론 양조장에서 직접 누룩 딛기와 빚기, 막걸리 빚기, 막걸리 거르기 등의 체험을 해볼 수 있다."
부산광역시 금정구 체육공원로 545,(두구동),6,0,A01,A0101,A01010700,2782687,12,20211129200108,http://tong.visitkorea.or.kr/cms/resource/66/2795866_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2795866_image2_1.jpg,129.1101753296,35.2898226616,6.0,20221107130458,0,2,,안심치유정원,46206,"(사)안심생활이라는 사회적기업에서 운영하는 체험학습 식물원이다. 처음에는 치매 환자들을 위한 원예치료 프로그램으로 시작했지만, 지금은 일반 개인은 물론 연인이나 가족 등 누구나 함께 체험할 수 있도록 다양한 프로그램을 운영한다. 포털사이트를 통해 예약하면 '율마'나 '사랑초' 등 다양한 종류의 화분을 직접 심어서 가져갈 수 있다. 평소 화초 가꾸기 경험이 없더라도 '사랑초'의 구근 시기부터 '율마' 화분 흙의 비율 등 처음부터 끝까지 초보자의 눈높이에 맞춰 자세하면서도 이해하기 쉽게 설명해준다. 체험프로그램 전후에는 정원을 마음껏 둘러볼 수 있다. 실내하우스에는 '제라늄'과 '베고니아' 등 사시사철 다양한 종류의 꽃들이 정성스레 가꾸어져 있어 보는 눈이 즐겁다."
부산광역시 금정구 오륜대로 229,(오륜동),6,0,A02,A0205,A02050600,2763832,12,20211027234822,http://tong.visitkorea.or.kr/cms/resource/45/2763945_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2763945_image2_1.jpg,129.1131428804,35.2483912516,6.0,20211028011311,1,2,,오륜대전망대,46255,"부엉산 정상에 있는 오륜대 전망대로 가는 코스는 크게 4코스로 나뉜다. 첫 번째 71 성지곡 수원지에서 출발하여 동문에 도착하는 코스, 두 번째 72 동문 출발 상현마을로 도착하는 코스, 세 번째 81 상현마을 출발 동천교 도착, 네 번째는 91 상현마을 출발 이곡마을 도착하는 총 4 코스가 있다. 특히 81 코스는 2009년 부산 갈맷길 축제 '길 콘테스트'에서 대상을 받을 정도로 길이 평탄하다. 수영강과 회동호 주변이 제공하는 경관이 뛰어나 많은 사람들이 찾는다."
부산광역시 금정구 오륜대로 260-1,(오륜동),6,0,A01,A0101,A01010400,2675011,12,20201007051531,http://tong.visitkorea.or.kr/cms/resource/98/2674998_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2674998_image2_1.jpg,129.1174425369,35.2472747896,6.0,20220520094330,1,2,,땅뫼산,46255,"땅뫼산의 숲속 오솔길과 나무데크 산책로를 한참 걸어가면 호수 습지에서 자생하는 신기한 나무들이 시선을 사로잡고, 수려한 자연경관이 계속 이어지는 산책로는 땅뫼산생태숲으로 여행자를 인도한다. 땅뫼산숲길은 맨발로 걷기 좋은 황토길로 조성되어 있다. 빽빽한 편백림을 가로지르며 맨발에 닿는 황토의 차가운 감촉을 즐길 수 있다. "
부산광역시 금정구 개좌로 147,,6,0,A01,A0101,A01011800,2661475,12,20200630015432,http://tong.visitkorea.or.kr/cms/resource/72/2661472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2661472_image2_1.jpg,129.116648768,35.2252550204,6.0,20220519153343,1,2,,회동수원지,46329,"회동수원지는 1930년대 말, 가뭄으로 인한 물 부족을 해소하기 위해 조성한 인공저수지다. 경상남도 양산시 원효산 남쪽 계곡에서 발원한 수영강이 철마천과 만나는 부산시 금정구 오륜동과 회동동에 걸쳐 있다. 1964년 상수원 보호구역으로 지정됐던 회동수원지 일대는 45년 만인 지난 2010년 일반에 개방됐다. 부산시 금정구청의 인문학과 함께하는 땅뫼산 소풍여행은 회동수원지를 따라 조성된 땅뫼산 황토숲길에서 진행된다. 생태의 보고로 불리는 땅뫼산 황토숲길은 상현마을에서 동천교를 잇는 부산갈맷길 81구간 가운데 풍광이 가장 아름다운 곳이다. 1km 남짓 이어지는 길은 오르내림 없이 평탄해 누구나 편하게 걸을 수 있다."
부산광역시 금정구 금성동,,6,0,A02,A0203,A02030600,2643873,12,20200116200622,http://tong.visitkorea.or.kr/cms/resource/59/2643859_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/59/2643859_image2_1.bmp,129.0538229642,35.2513870387,6.0,20220812141740,1,2,,금정산성마을 먹거리촌,46237,"부산의 명소인 금정구 금성동에 자리잡은 산성마을은 공기좋고, 물 맑은 수려한 자연 환경 속에 부산의 향토음식인 흑염소 불고기와 전국적으로 이름난 부산지역 특산물인 민속주 1호인 산성막걸리가 있어 이곳을 찾는 손님들의 발길이 끊이지 않고 있다. 금정산성 흑염소 불고기는 타 지역과 달리 양념에 고기를 버무려 숯불 위 석쇠에 바로 굽는 직화구이 방식으로 이는 흑염소불고기 특유의 고소한 맛을 유지시키는 비결 중의 하나다. 현재, 금정산성마을 먹거리 촌에는 흑염소불고기, 오리불고기, 오리백숙 등을 취급하는 음식점이 80여개소가 있으며, 등산객, 직장회식, 계모임, 가족외식 등 여러 지역에서 다양한 고객층이 즐겨 찾고 있다. 특히 이 지역 음식점들은 족구장 등을 갖추고 있어 소규모 체육대회 등 행사를 개최하기에 용이하다."
부산광역시 금정구 장전동,,6,0,A02,A0203,A02030600,2643387,12,20200110232744,http://tong.visitkorea.or.kr/cms/resource/86/2643386_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/86/2643386_image2_1.bmp,129.0825597462,35.2369919623,,20221104131243,1,2,,북맛골,46325,북맛골은 부산대 북쪽에 위치한 맛집 골목 이라는 뜻으로 부산대 밥집의 살아 있는 역사를 이어가고 있다.부산 금정구에 위치한 장전동은 한자로 긴 화살 이라는 뜻으로 아주 먼 옛날에 화살 살대를 만드는 재료가 많이 생산되었다고 붙여진 이름이다.장전동은 뒤로는 금정산이 감싸고 있고 앞으로는 온천천이 흘러 예로부터 사람이 살기 좋은 동네로 꾸준히 다양한 연령층의 사람들이 살아오고 있는 곳이다.하지만 최근 몇 년 사이에 대규모 공사가 이뤄지면서 고주택은 많이 허물어지고 저렴한 원룸촌이 형성되었다.새로 지어진 원룸 건물 사이사이에 고주택과 20여 개의 오래된 식당들이 여전히 남아있는데 식당들이 쭉 이어져있는 100m 정도 되는 거리가 바로 북맛골 이다.
부산광역시 금정구 장전동 산 43-1,,6,0,A01,A0101,A01010700,128830,12,20190627030503,,,129.077063292,35.2264763727,6.0,20221115120637,49174,2,,금강식물원,46240,"우리나라 최초의 민간인이 운영하는 식물원으로서 지난 1969년 9월에 성창기업(주) 회장 정태성씨가 부산시민에게 휴식처를 제공하기 위하여 조성한 종합식물원이다. 면적은 194,480㎡이며, 식물의 종류는 약 2,300여종으로 열대식물 560여종 중에서 야자류 20여종과 선인장 등의 다육식물 540여종이 식생하고 있다. 또한, 식물원 안에는 아름다운 식물이 경관을 이루고 있으며 자연석을 이용한 여러가지 작품과 휴식시설이 갖추어져 있어 도시민의 정서적인 휴양지로 사용될 뿐만 아니라 식물학연구와 교육장으로 활용되고 있다. 금강식물원에는 인공폭포 및 자연석과 조경작품 12개소가 있으며, 관람온실이 있어 다양한 식물과 함께 멋진 정취를 느낄 수 있다."
부산광역시 금정구 북문로 73,,6,0,A01,A0101,A01010700,2015768,12,20150713190159,http://tong.visitkorea.or.kr/cms/resource/65/2015765_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2015765_image2_1.JPG,129.0518675,35.254258903,6.0,20220321140704,7512,2,,허브랑야생화,46237,허브랑야생화는 부산 금정산에 위치한 사설 숲 체험원으로 원 내에는 금정산의 아름다운 경관과 함께 천여 개의 편백 나무숲과 자작나무 정원 등 숲 체험과 산림욕을 할 수 있는 공간과 계절별로 다양하게 허브와 야생화를 보고 느끼고 체험할 수 있는 정원이 어울려져 있다. 자연체험으로 건강한 교감을 통해 자연 속에서 힐링을 느낄 수 있다. 
부산광역시 금정구 오륜대로 57,(부곡동),6,0,A02,A0203,A02030600,1935608,12,20140718193257,http://tong.visitkorea.or.kr/cms/resource/51/2012951_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2012951_image3_1.jpg,129.0976415723,35.2440581161,6.0,20221025103814,2867,2,,부산 가톨릭 특성화 거리,46252,"부산 부곡동 지산고등학교 정문에서 가톨릭대학교 정문 인근 약 120m 구간은 일명 가톨릭 특성화 거리로 불린다. 한국순교복자수녀회, 오륜대 한국순교자박물관, 사도성요한수도회 등 가톨릭 관련 대학과 고등학교를 비롯해서 두 개의 수녀회 본원과 성지, 복지· 피정 시설까지 자리하고 있기 때문이다. 지산고등학교 벽면에는 한국 가톨릭의 박해기·부흥기를 거쳐 현재에 이르기까지 역사적 사건이 조각돼 있다."
