addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 기장군 기장해안로 172,스타테라스건물 2층,6,,A02,A0203,A02030600,2828578,12,20220722100059,http://tong.visitkorea.or.kr/cms/resource/55/2828555_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2828555_image3_1.jpg,129.2177964393,35.1920578383,6.0,20220801090941,1,3,,부산 칠드런스 뮤지엄,46084.0,"부산 칠드런스 뮤지엄은 세계 최고 어린이 시설인 미국의 인디애나 폴리스 칠드런스 뮤지엄의 노하우로 설립된 1,100평 규모의 실내 체험형 박물관으로 기장 오시리아 관광단지에 위치해 있다. 
STEM Science(과학), Technology(미래기술), Engineeing(공학), Math(수학) 을 접목시킨 36가지의 특별한 체험을 통해 아이 스스로 문제를 인식하고, 창의적 해결방법을 설계하여 문제를 해결하는 능력을 배우고, 자연과학과 순수예술을 아우르는 여러 가지 테마관에서 놀이를 통한 교육으로 자신의 상상력과 창의력을 고취 시키고 무한한 잠재력을 발견 할 수 있어  놀이 위주의 테마파크, 키즈카페에 차별점을 두어 방문 고객들에게 큰 호응을 얻고 있다. 
여름에는 덥고 비가 많이 오는 부산의 계절과 날씨에 영향을 받지 않고 체험을 즐길 수 있고, 설계 단계에서부터 체험공간들을 격벽으로 분리하는 방식으로 접촉을 최소화해 작년 코로나19의 상황 속에도 안전하고 청결한 실내를 유지하여 다수의 어린이집, 유치원, 학교의 현장학습을 유익하고 안전하게 진행하였으며, 올해도 많은 단체 체험을 진행중이다. 단체 방문 후 어린이들이 부모님과 재방문할 정도로, 부산의 핫 플레이스로 자리매김하였다."
부산광역시 기장군 동부산관광로 42,,6,,A02,A0202,A02020600,2815627,12,20220408140251,http://tong.visitkorea.or.kr/cms/resource/19/2815719_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/2815719_image3_1.jpg,129.212999524,35.1960684107,6.0,20220503175847,6,3,,부산롯데월드,46083.0,"마법과 환상의 세계 롯데월드 어드벤처가 부산에서 개장했다. 숲속의 청량함과 짜릿한 스릴감을 완벽하게 즐길 수 있도록 준비되어 있다. '놀이공원'하면 떠오르는 언제나 즐겁고 신나는 공연 그리고 퍼레이드를 경험할 수 있다. 
부산롯데월드는 대한민국 제 2의 도시라고 불리는 부산에 세워진데다 대중교통을 이용한 접근성도 편리해 개장 첫날부터 끊임없는 발길이 이어지고 있다. 롯데월드 부산은 6개의 테마존으로 꾸려져 있다. 요정 마을 팅커폴스 존 중심에 토킹트리가 있는데 이 나무는 애니매트로닉스 기술이 적용되어 파크 내 6개 테마에 대한 이야기를 들려준다. 롯데월드 내 가장 높은 곳에 위치한 로얄가든 존의 로리캐슬은 물에 떠있는 듯한 모습으로 연출되어 있으며 부산의 전경과 함께 기장 앞 바다를 한눈에 즐길 수 있다. 이외의 놀이 기구들 특히 자이언트 디거, 자이언트 스플래쉬 등 대표 어트랙션은 그 짜릿함이 벌써 입소문을 타고 있다. 
이렇게 어른들을 위한 어트랙션 뿐만 아니라 유아를 동반한 가족 이용객을 위한 놀이 기구도 준비되어 있다. 날씨와 관계 없이 아이와 안전하게 즐길 수 있도록 실내에 배치되어 있다. 놀이공원의 하이라이트라고 할 수 있는 퍼레이드는 하루에 2번, 약 30분간 진행된다."
부산광역시 기장군 기장읍 죽성리 154-21,,6,0.0,A02,A0203,A02030600,2789668,12,20211209001737,http://tong.visitkorea.or.kr/cms/resource/99/2795799_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2795799_image2_1.jpg,129.2441706504,35.2381614989,6.0,20221110113256,1,3,,월전장어구이촌,,기장 월전마을에 들어서면 장어구이집이 늘어서 있고 주차장을 낀 월전 활어판매장이 보인다. 이 근방의 장어구이 식당을 통칭하여 월전 장어 구이촌이라고 한다. 활어판매장에서는 그날 잡은 싱싱한 바닷장어(붕장어)들을 판매한다. 마음에 드는 매장에서 장어를 고르면 판매장 밖에 늘어선 포장마차들 중 구입한 매장 상호와 같은 포차에서 숯불에 구워 먹을 수 있다. 바다가 보이는 허름한 포장마차이지만 이 장어구이의 냄새와 어촌 분위기를 잊지 못해 다시 찾는 이가 많다. 상차림비만 내면 숯과 불판이 무한 제공되고 먹고 싶은 만큼 활어판매장에서 구매해 먹을 수 있다. 얼큰한 매운탕도 장어구이와 함께 먹기에 좋다.
부산광역시 기장군 철마면 개좌로 679-30,,6,0.0,A02,A0203,A02030600,2783683,12,20211130221059,http://tong.visitkorea.or.kr/cms/resource/77/2795777_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2795777_image2_1.jpg,129.1478284558,35.2590462559,6.0,20220720151114,2,3,,부산라벤더팜,46049.0,"기장군에 자리한 부산 라벤더팜은 라벤더와 로즈마리를 전문으로 재배하는 농장이다. 이곳에서 생산된 라벤더와 로즈마리는 증기증류법을 통해 에센셜오일과 플로럴워터로 생산해 판매한다. 부산 라벤더팜은 라벤더 시즌인 57월과 알밤 시즌인 910월에 농장을 개방해 방문객들에게 특별한 경험을 선물한다. 특히 라벤더 시즌에는 보랏빛 물결이 일렁이는 풍경으로 눈길을 사로잡는다. 짙푸른 산자락에 둘러싸인 라벤더밭이 마치 수채화를 보는 것처럼 싱그럽다. 곳곳에 보라색 파라솔과 테이블을 시작으로 온통 보랏빛으로 단장한 조형물들이 세워져 사진을 찍기에도 좋다. 입장료를 지불하면 그 금액만큼 라벤더 화분이나 농장에서 생산된 미스트, 오일, 방향제 등과 교환할 수 있다."
부산광역시 기장군 철마면 웅천리 254-4,,6,0.0,A01,A0101,A01010700,2782765,12,20211129222303,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,129.1695450043,35.2954092493,6.0,20211214014933,2,3,,곰내연밭,,"부산에서 여름에 가볼 만한 곳으로 인기가 많은 곳이다. 부산 기장군에 있으며, 철마중리연꽃공원이라고도 불린다. 연꽃 개화 시기는 7월부터 8월 사이라 이 시기에 방문하면 가득 핀 연꽃을 볼 수 있다. 연꽃, 연잎과 함께 개구리나 다양한 곤충들도 볼 수 있어 어린이들과 함께하기 좋다. 근처에는 산책하기 좋은 곰내재 숲속 쉼터도 있고, 연잎이나 연을 재료로 하는 식당도 있다. 공원 내 음식물 섭취 금지이며 반려동물은 동반할 수 있으나 땅이 질척한 편이라 산책 시 유의해야 한다."
부산광역시 기장군 기장읍 시랑리 62-22,,6,0.0,A01,A0101,A01010500,2782658,12,20211129195043,http://tong.visitkorea.or.kr/cms/resource/18/2795918_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2795918_image2_1.jpg,129.2294674968,35.1974852256,6.0,20220818093659,1,3,,오시리아 해안산책로,46083.0,오시리아 해안 산책로는 탁 트인 바다와 중간중간 멋스러운 풍경을 바라볼 수 있는 쉼터가 잘 갖추어져 있어 아이들과 함께 걷기에도 좋다. 계절마다 피고 지는 다양한 야생화와 그림 같은 해안 절경을 따라 걷다 보면 어느새 소나무가 우거진 숲으로 이어진다. 울창한 소나무 숲이 한낮의 뜨거운 햇살을 가려줘 여름에는 더위를 잠시 피할 수도 있다. 소나무 사이로 들리는 파도 소리도 몸과 마음을 시원하게 해준다. 해안산책로 한편에는 부산 동쪽 바다를 지키는 용왕을 모신 사당인 용왕단도 자리해 눈길을 끈다. 깎아지른 절벽 위에 세워져 웅장하면서도 경건한 분위기를 풍긴다. 용왕단이 바라보이는 자리에 흔들의자도 세워져 산책의 색다른 재미를 더한다. 이곳 산책로는 지난 2019년 대한민국 조경대상에서 문화체육부 장관상을 받기도 했다.
부산광역시 기장군 정관읍 용수공단2길 70-14,,6,0.0,A02,A0201,A02010800,2776998,12,20211122194701,,,129.1611033114,35.3229198954,6.0,20211125002110,0,3,,석탑사,46006.0,부산 기장군 정관 신도시가 내려다보이는 백운산 자락에 있는 석탑사는 도심 속 여유와 휴식이 필요할 때 찾을 수 있는 사찰이다. 원효대사와 의상대사가 정관읍 용수리 덕전마을을 지나다 동해에서 비치는 광명 속에 계시던 미륵부처님을 보고 백운산 가장 높은 봉우리에서 수도하였다는 것이 석탑사의 전설이다. 3층 석탑이 반기는 석탑사에서는 불교 기초교리 강좌와 경전 강좌를 진행하고 있어 부처님의 지혜와 자비에 대한 이해를 높일 수 있다. 작은 절이지만 파란 하늘을 향해 우뚝 솟은 소나무의 정기에 힘을 얻을 수 있다.
부산광역시 기장군 장안읍 해맞이로 253-38,,6,0.0,A02,A0201,A02010800,2776386,12,20211119191458,,,129.2662747102,35.3228663067,6.0,20221207135713,0,3,,묘관음사,46038.0,"묘관음사는 1943년 운봉(雲峯) 선사에 의해 창건된 이후 수행도량으로 자리매김했다. 일제강점기 암울하고 불행한 시기에 고통받는 중생을 제도하기 위한 일환으로 창건되었다. 일주문 계단에 올라서면 8각 9층의 구극탑과 대웅전이 보인다. 고리원자력발전소가 있는 기장에 지난 2012년 고리 원전 비리 사태 이후 평화와 안전을 기원하는 마음으로 황룡사 9층 목탑에 빗대어 조성하였다고 한다. 원자력의 평화적 이용, 개인의 부정(不正), 사회의 부조리 등의 악순환을 끊고자 하는 바람이 담겨있다. 또한 묘관음사에는 부산광역시 문화재자료로 지정된 탱화와 불자가 있으나 공개되고 있지는 않다."
부산광역시 기장군 일광면 이천리 170-8,,6,0.0,A01,A0101,A01011400,2776281,12,20211119182718,,,129.2446918963,35.2717466345,6.0,20211125021617,0,3,,이동항,46041.0,"기장 작은 어촌마을인 이동항은 주차장이 넓고 화장실도 잘 갖추어져 있어, 차박 장소로 급부상하고 있다. 차에서 누리는 피크닉인 차크닉을 통해 잔잔한 바닷가를 바라보며 고기를 구워 먹거나 라면을 끓여 먹어도 분위기가 살아난다. 아무것도 하지 않고 아무 생각을 하지 않아도 흐르는 시간 속에 아 지금 이 순간이 참 좋다는 감탄사가 절로 나오게 된다. 이동항에서는 전마선 낚시도 가능하다. 도다리, 학꽁치가 주로 잡힌다. 다른 관광객들과 거리를 둘 수 있는 언택트 관광지가 부상하면서 차박 캠핑을 찾는 이들이 많아지면서, 이동항을 찾는 이들도 점차 늘고 있다."
부산광역시 기장군 일광면 달음길 101,,6,0.0,A02,A0201,A02010800,2776276,12,20211119182301,,,129.2225232855,35.3112806782,6.0,20221206110930,0,3,,옥정사,46047.0,"옥정사(玉井寺)는 헌종 1년(1835)에 창건된 절이 절터만 남아 방치되었던 곳을 승려 박긍해(朴亘海)가 1907년에 다시 만든 사찰로 부산 달음산 기슭에 자리한 불국사의 말사이다. 달음산은 동해 해돋이의 햇살이 우리나라에서 가장 먼저 닿는 산으로 유명하다 한다. 당시 박긍해는 마을 친구에게 희사(喜捨)받은 옛 절터 부지에 작은 초가집과 토굴을 만들어 참선하는 승려들이 찾아오도록 하였다 한다. 이후 증축, 개축이 이어졌고 1994년에는 스리랑카에서 부처님의 진신사리를 모셔와 3층 석탑에 모셨다. 2020년 기장군은 옥정사 인근에 편백숲 둘레길을 조성하여 산책길과 숲속 쉼터 등의 힐링 공간을 만들어 관람객들의 힐링을 돕고 있다."
