addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 남구 용호동,,6,,A01,A0101,A01010500,2870314,12,20221019134022,http://tong.visitkorea.or.kr/cms/resource/98/2870298_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2870298_image3_1.JPG,129.1211287181,35.1319377762,6.0,20221213101854,0,4,,이기대 섭자리,48576.0,"이기대 북쪽 끝단에 있는 섭자리 마을, 지금은 사실 마을이라기보다는 장자산의 가파른 북쪽 산자락의 끝단에 있는 조그만 포구로, 마을 서쪽의 바다와 만나는 작은 만에 파도가 넘실대는 갯바위가 있어 바람이 제법 부는 날에는 솟구치는 파도와 함께 탁 트인 바다 풍경을 감상할 수 있는 특별함이 있는 곳이다. 이기대 섭자리는 사진 촬영(출사)과 출조로 유명한 곳이다. 광안대교부터 달맞이 고개까지 화려한 야경의 모습과 갯바위에 부딪히는 파도의 모습이 인상적이기 때문에 풍경 촬영을 좋아하면 꼭 추천한다. 감천 문화마을, 용두산공원이 인접해 있어 함께 둘러보기 좋다.
 반려동물 동반가능(목줄, 배변봉투 지참)"
부산광역시 남구 용호동,950-1,6,,A02,A0202,A02020700,2870289,12,20221019133301,http://tong.visitkorea.or.kr/cms/resource/79/2870279_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2870279_image3_1.JPG,129.1230988205,35.1016495355,6.0,20221019133321,2,4,,오륙도해맞이공원,48594.0,"오륙도 해맞이공원은 부산시 남구 용호동 일대에 있다. 오륙도 맞은편 언덕 위에 있으며, 오륙도를 가장 잘 조망할 수 있는 곳이다. 이곳에서 오른쪽 북쪽 해안을 동해라 부르고 왼쪽은 남해라 부르며, 동해로 가는 770㎞ 해파랑길과 1천 463㎞ 남파랑길이 만나는 곳이기도 하다. 탁 트인 바다, 수선화, 유채꽃이 관광객을 반기고 바다와 오륙도를 조망하기 좋은 스카이워크가 설치된 공원이다. 스카이워크는 오륙도를 바라보는 전망대로 해맞이공원의 상징물로 부상하고 있다. 35m의 해안 절벽에 철제빔을 세워 그 위에 24개의 유리판을 U자 형태로 돌려 넣은 15m의 돌출 유리 다리이다. 스카이워크 절벽 아래 해안선에는 동해와 남해 분기점 표지판이 설치되어 있다. 예로부터 동해와 남해가 서로 만나는 상징적인 곳으로 잘록하게 튀어나왔다고 하여 잘룩개, 또는 말안장처럼 생겼다고 해서 승두말로 불린다. 이곳에서 오륙도를 가까이 볼 수 있다."
부산광역시 남구 분포로 66-40,,6,,A02,A0202,A02020100,2822240,12,20220530132302,http://tong.visitkorea.or.kr/cms/resource/33/2822233_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2822233_image3_1.jpg,129.1201732372,35.1322571676,6.0,20221020141422,1,4,,용호별빛공원,48576.0,"30년 만에 주민들의 품으로 돌아온 주민친화형 힐링 휴식 공간 용호별빛공원
용호별빛공원은 2019.2월 광안대교 선박 충돌 사고 후 폐쇄된 용호부두를 주민들에게 환원하기 위해
관련 기관과 적극적인 협의로 방치된 공간을 친수공원으로 조성하여 2021.7월 개장.  공원면적 16,450㎡"
부산광역시 남구 전포대로 133,(문현동),6,0.0,A02,A0202,A02020600,2791447,12,20211210182739,http://tong.visitkorea.or.kr/cms/resource/62/2791562_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/62/2791562_image2_1.jpg,129.0654692218,35.1483043601,6.0,20220413151015,3,4,,캐니언파크 부산,48400.0,"캐니언파크는 국내 최대 애니멀 테마크로서 실내 동물원은 물론 실내낚시터, 실내카약장, AR뮤지엄, 미디어아트존, 트램플린, 정글짐 등 다양한 시설을 갖추고 있는 실내 테마파크이다. 사계절 날씨와 상관없이 연인, 가족, 어른, 아이 누구나 즐거운 시간을 보낼 수 있다. 신비한 동물 친구들이 모여있는 캐니언파크는 50여 종 200여 마리의 다양한 동물과 교감하고 만져보면서 먹이 주기 체험까지 할 수 있어 인기 만점이다. 입장권을 구매하면 평일은 시간제한 없이 이용 가능하고 토, 일, 공휴일의 경우 3시간 제한이 있으며 초과 시 추가금이 발생한다. 또한 외부 음식과 반려동물 및 유모차는 반입금지이며 유모차는 입구 옆 지정보관소에서 보관할 수 있고 지하주차장 이용 시 에스컬레이터를 이용하면 빠른 이동이 가능하다."
부산광역시 남구 감만동 626-1,,6,0.0,A02,A0202,A02020700,2788422,12,20211208023211,,,129.0687505471,35.1097087416,6.0,20211208214111,1,4,,감만시민공원,,"부산광역시 남구 감만동에 있는 낚시가 가능하고, 차박이나 캠핑하기 좋은 공원이다. 부산 남구와 영도구를 이어주는 부산항 대교 밑에 있어 낚시하기 좋은 장소로 유명하다. 공원에 편의점과 낚시용품점이 있어서 필요한 물품들을 구매할 수 있다. 대중교통으로 가기에는 조금 까다롭다. 낚시하기 좋은 장소로도 유명하지만, 차박이나 캠핑 장소로도 유명해, 차박을 하기 위해 감만 부두를 찾는 관광객들이 점차 늘어나고 있다. 밤에는 부산항 대교의 불빛이 켜져 야경을 보러 오는 관광객들도 많다. 화기를 이용한 취사가 불가능한 곳이다."
부산광역시 남구 신선로447번길 24,(대연동),6,0.0,A01,A0101,A01010700,2783380,12,20211130190518,http://tong.visitkorea.or.kr/cms/resource/56/2795656_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2795656_image2_1.jpg,0.0,0.0,,20220523133053,0,4,,대연수목전시원,48529.0,"대연수목전시원은 부산 남구 대연동에 자리한 유엔기념공원을 50m 폭으로 감싸 안으며 자리한 녹지공간이다. 뒤편으로 평화공원과도 연결된다. 부산광역시립박물관 등 부산의 대표적인 관광지들과 접근성이 뛰어나다. 원래 양묘장으로 설립하여 운영하던 것을 지난 2002년 가족 단위의 자연체험이 가능하도록 새롭게 단장하여 대연수목전시원으로 이름을 바꾸고 시민들에게 개방했다. 아열대식물체험관과 유리온실을 비롯해 허브원, 침엽수림원, 오륙도원, 수벽원, 낙엽교목원, 상록활엽수원, 죽림원, 무궁화품종원, 유실수원 등 식물의 생태별로 약 600종의 수목이 구획을 지어 전시돼 있다. 이들 사이로 산책로가 다듬어져 있어 여유롭게 걸으며 식물을 감상할 수 있다."
부산광역시 남구 황령산로 391-39,(대연동),6,0.0,A02,A0205,A02050600,2733472,12,20210812234244,http://tong.visitkorea.or.kr/cms/resource/54/2732754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2732754_image3_1.jpg,129.0827285679,35.1579341561,6.0,20210812234244,1,4,,황령산 전망대,48424.0,"황령산 전망대가 위치한 황령산은 부산의 4개 구(부산진구, 연제구, 수영구, 남구)에 걸쳐져 있는 만큼 부산의 중심부에 있는 산으로 봄이면 양쪽으로 벚꽃이 흐드러진 길이 드라이브 코스로 인기가 많다. 또한 황령산 전망대까지 이어져 야간관광을 위한 최적의 조건을 갖추었다. 형형색색으로 빛나는 송신탑과 전망대를 밝히고 있는 아늑한 불빛이 산 아래로 펼쳐진 도시를 더욱더 아름답게 만든다."
부산광역시 남구 우암동 127-142,,6,0.0,A01,A0101,A01010400,2675047,12,20201007053620,http://tong.visitkorea.or.kr/cms/resource/38/2675038_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2675038_image2_1.jpg,129.0726358346,35.1274929334,6.0,20221018090750,1,4,,우암동 도시 숲,48468.0,"우암동 도시숲에서 내려다보는 전경은 동항성당을 배경으로 브라질 리우데자네이루 예수상 처럼 보이는 게 아주 이국적이다. 또한 도시숲에서 보는 야경은 영도 바다와 북항대교가 한 눈에 보이며, 보름달 설치물을 배경으로 야경사진을 찍으면 아름다운 실루엣 사진을 찍을 수 있고 달과 함께 찍힌 부산이 아주 매력적인 곳이다."
부산광역시 남구 용호동,,6,0.0,A01,A0101,A01011100,1945309,12,20140829193002,,,129.1271619566,35.1162451995,6.0,20221208165600,15942,4,,이기대 (부산 국가지질공원),47545.0,"약 8천만 년 전 격렬했던 안산암질 화산활동으로 분출된 용암과 화산재, 화쇄류가 쌓여 만들어진 다양한 화산암 및 퇴적암 지층들이 파도의 침식으로 발달된 해식애, 파식대지, 해식동굴과 함께 천혜의 절경을 이루고 있다. 해안가를 따라 오륙도까지 이어지는 트레일코스를 통해 구리광산, 돌개구멍, 말꼬리구조, 함각섬석 암맥 등의 다양한 지질 및 지형경관을 감상할 수 있다.  출처 : 부산국가지질공원"
부산광역시 남구 오륙도로 137,,6,0.0,A02,A0205,A02050600,1940208,12,20140809010457,,,129.1229377062,35.1022800177,6.0,20221014190932,56083,4,,오륙도 스카이워크,48594.0,"오륙도 스카이워크의 옛 지명은 승두말이다. 승두말은 말안장처럼 생겼다고 「승두마」라고 부르는 것이 승두말로 되었으며 해녀들과 지역주민들은 「잘록개」라고 불렀다. 바다를 연모하는 승두말이 오륙도 여섯섬을 차례대로 순산하고 나서 승두말의 불룩했던 부분이 잘록하게 들어가 선창나루와 어귀의 언덕을 만들었다는 것이다. 동해와 남해의 경계지점이기도 한 이곳 승두말에 2012년 9월 12일에 착공하여 2013년 10월 18일 개장하면서 하늘위를 걷는다는 의미를 담아 오륙도 스카이워크라 이름하였다.스카이워크는 35M 해안절벽 위에 철제빔을 설치하고 그 위에 유리판 24개를 말발굽형으로 이어놓은 15M의 유리다리이다. 바닥유리는 12mm유리판 4장에 방탄필름을 붙혀 특수 제작한 두께 55.49mm의 고하중 방탄유리로 안전하게 설계되었다.발 아래 투명유리를 통해 파도가 절벽을 때리는 모습은 현기증이 날 정도로 아찔함을 느끼게 한다. 스카이워크 앞에 펼쳐진 바다는 시시때때로 아름답고 다채로운 색상을 연출하고 있어 사진촬영의 명소이며, 날씨가 좋은 날에는 대마도를 가장 가까이 볼 수 있는 곳이다."
