addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 동구 홍곡로 75,(수정동),6,0,A02,A0201,A02010700,2789448,12,20211208223831,http://tong.visitkorea.or.kr/cms/resource/78/2800478_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/78/2800478_image2_1.JPG,129.0426662706,35.1255870389,6,20220720150349,2,5,,정란각/문화공감수정,48785,"부산 동구 수정동에 있는 정란각은 1943년에 지어진 고급 일본식 건물로 문화재로 등재되어 있으며 최근 문화 공감 수정이라는 카페로 운영 중이다. 넓은 대지 안에 현관의 오른쪽에 위치한 벽돌로 지어진 부분을 제외한 대부분은 일본식 목조 주택이다. 현재 1층은 일부 온돌방으로 개조되었으나 2층에는 툇마루와 장마루를 설치한 복도와 다다미방이 원형대로 남아 있고, 실내에 사용 중인 도코노마, 명장지, 다다미, 일본식 창호 문양 등 세부적인 장식이 원형대로 보존되어 문화적 가치가 높은 곳이다. 유명 여가수 뮤직비디오 배경으로 나와 널리 알려진 정란각(문화 공감 수정)은 근대 문화유산으로의 가치를 인정받고, 역사적 흔적이 잘 보존되어 부산을 방문하는 관광객들에게 꼭 와봐야 하는 곳으로 소개되고 있다. 방문 시 내부 사정, 공사 등으로 휴관이 될 수 있으니 홈페이지 또는 전화 문의 후 방문해야 한다.
문화재의 역사성 및 이미지를 저해하는 의상, 소품 등 반입 금지문화재의 역사성 및 이미지를 저해하는 의상, 소품등 반입 금지"
부산광역시 동구 범일1동 1422-82,,6,0,A02,A0203,A02030600,2708108,12,20210304233356,http://tong.visitkorea.or.kr/cms/resource/10/2704510_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/2704510_image3_1.jpg,129.0521955944,35.1403355632,6,20220502144924,1,5,,이중섭거리,36243,"이중섭은 1916년 평안남도 평원에서 태어났으며, 1937년 일본으로 유학을 갔다온 이듬해 원산사범학교에서 미술교사가 된다.

한국전쟁발발 후 1·4후퇴때 이중섭은 아내와 두아들을 데리고 부산으로 내려온다. 우암동 피란민 수용소에서 살며 부두 노동을 하던 그는 1951년 가족과 함께 제주도로 건너갔다. 그해 12월 다시 부산으로 돌아와 범일동 귀환 동포마을 변전소근처에 판잣집을 짓고 생활했다.

극심한 생활고 때문에 이중섭과 마사코는 이별을 택할 수밖에 없었다. 1952년 마사코는 영양실조에 걸린 아들을 데리고 친정이있는 일본으로 돌아간다. 이중섭은 가족을 떠나보낸 후 홀로 부산에 남아 낮에는 부두 노동자로 일하고 밤에는 술로 외로움을 달랬다.

그러나 그림에 대한 열정만은 사그라지지 않았다. 그는 광복동 일원의 밀다원, 금강다방, 그리고 부둣가의 술집들을 전전하며 부산으로 피란온 예술가들과 친밀한 교분을 나눴다. 비록 담뱃갑 은박지에 그림을 그리며 끼니를 해결하는 가난한 화가 신세였지만 이 곳에서〈범일동풍경〉이라는 명작을 탄생시킨다.

범일동 553번길주변에 조성된 이중섭거리에는 그의 고단했던 삶과 치열했던 예술 세계가 파노라마처럼 펼쳐져 있다. 희망 100계단 끝 이중섭전망대에 이르면 당시 이중섭이 아내 마사코에게 보낸 절절한 편지를 읽을 수 있다."
부산광역시 동구 초량동,,6,0,A02,A0205,A02050600,2656194,12,20200514193538,,,129.0306535435,35.1213095185,6,20211112004216,1,5,,친환경 스카이웨이 전망대(이바구길),48717,부산 동구 초량동에 위치한 친환경 스카이웨이 전망대로 부산의 야경을 즐길 수 있는 명소다. 자연 친화적인 데크길로 주민들의 휴식공간을 제공한다.
부산광역시 동구 초량상로 49,(초량동),6,0,A02,A0203,A02030600,2605916,12,20190612000119,http://tong.visitkorea.or.kr/cms/resource/97/2720797_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2720797_image3_1.jpg,129.036264296,35.1165712633,6,20220818095746,9,5,,초량 이바구길,48811,"부산시 동구의 초량 이바구길은 부산의 역사와 문화를 담고 있는 테마 거리이다. 이곳은 일제강점기 부산항 개항을 시작으로 해방 후 피난민의 생활터였던 195060년대, 산업 부흥기였던 197080년대 부산의 모습을 고스란히 담고 있는 이야기의 보고다. 길이 1.5km의 이바구길은 부산역 건너편에 자리한 부산 최초 물류창고인 남선창고 터에서 출발해 옛 백제병원 건물, 초량초등학교 담장에 설치된 이바구 갤러리, 우물터, 168계단, 김민부 전망대, 당산, 망양로까지 이어져 있다. 이 중 가곡 기다리는 마음을 작사한 김민부 시인의 전망대는 부산항을 조망하기 더없이 좋은 장소로 경치가 아름답기로 유명하다. 한국의 슈바이처 장기려 박사 기념관에서는 건강지원센터를 이용할 수 있고, 까꼬막(산비탈의 경상도 사투리)은 산복도로 투어 및 체험을 제공한다. 이바구길의 끝자락에 위치한 지상 2층 규모의 이바구공작소는 지역의 역사관 격으로 마을 자료관, 전망 데크 등을 운영하고 있다."
부산광역시 동구 충장대로 206,(초량동),6,0,A02,A0202,A02020800,2578683,12,20181217194612,http://tong.visitkorea.or.kr/cms/resource/70/2578670_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/70/2578670_image2_1.bmp,129.0491659191,35.1177630345,6,20220720163846,237,5,,팬스타부산주말원나잇크루즈,48751,"대한민국 국적 1호 크루즈페리선인 팬스타드림호(2만1,688톤)를 활용한 국내 연안크루즈 상품으로 2004년 첫 선을 보인 부산항 주말 원나잇크루즈는 연평균 1만명이 넘는 승객이 이용하는 부산의 대표적 해양관광 명물이다. 2016년 4월부터는 매월 세 번째 주말에 국내 연안을 넘어 대마도 히타카츠항을 근접 조망 후 부산으로 돌아와 기존 원나잇크루즈 일정을 소화하는 현해탄 원나잇크루즈 상품을 출시해 선내 면세쇼핑을 즐기는 국제크루즈 고객들을 유치하고 있다. 고급 뷔페와 다양한 문화공연, 레이저쇼, 불꽃쇼 등을 한 자리에서 즐기며 품격있고 실속있는 크루즈 여행으로 자리 매김했다."
부산광역시 동구 망양로580번길 2,(초량동),6,0,A02,A0205,A02050600,1945300,12,20140829190529,http://tong.visitkorea.or.kr/cms/resource/03/2366003_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2366003_image3_1.jpg,129.0338310231,35.122112265,6,20220328141130,8852,5,,유치환 우체통 전망대,48805,"부산 동구 초량동 산복도로에 있는 전망대로 청마 유치환 시인의 예술과 문학정신을 기리고자 이곳에 우체통을 설치하였다. 경남여고 교장을 2차례 지내고 동구에서 생을 마감한 청마 유치환을 기리며 부산항을 한눈에 전망할 수 있는 명소이다. 전망대는 1층과 2층, 옥상으로 나뉜다. 1층은 계단식 야외공연장, 사방이 통유리로 설계된 2층은 89.54㎡ 규모로 미술전시용으로 사용된다.   개관일 : 2013년 05월 15일  규모 : 부지면적 180㎡  건축연면적 132.77㎡"
부산광역시 동구 영초길197번길 9,,6,0,A02,A0203,A02030600,1942337,12,20140820011552,http://tong.visitkorea.or.kr/cms/resource/34/2366034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2366034_image3_1.jpg,129.0353643591,35.1171295181,6,20221018161242,6211,5,,168계단,48808,"산복도로에서 부산항까지 가장 빨리 내려갈 수 있는 지름길이다. 산복도로의 대표적인 특징중 하나인 세로로 난 지상6층 높이의 아찔한 계단이다. 계단의 수가 168개이며 계단 아래에 원래 3개의 우물이 있었다고 한다. 현재는 식수로 쓰던 1개의 우물만 남아있으며 물이 부족하던 시절 물을 받기 위해 길게 줄을 서있는 모습을 상상해 볼 수 있다. 물지게, 물항아리 등 남녀노소 누구나 만나는 만남의 장이었으며 소문이 퍼지는 근원지였다."
부산광역시 동구 망양로478번길 13,(초량동),6,0,A02,A0201,A02010900,1942331,12,20140820011034,,,129.0344088865,35.1171295005,6,20221202161653,3682,5,,당산,48810,"우리나라 전통신앙으로 마을의 수호신인 당산신(당산할아버지와 당산할머니)을 모시는 곳이다. 당제는 마을의 풍요와 평안 등을 기원하는 지역공동체적 의례이며, 제일(祭日)은 년중 2회로 음력 3월과 9월 보름에 제사를 지낸다. 제관으로 선정된 사람은 매사에 근신하며 제일이 다가오면 당산나무 주변을 청결히 한 뒤 금줄을 두르고 황토를 몇 줌 놓아 부정을 막는다."
부산광역시 동구 초량로13번길 53,(초량동),6,0,A02,A0201,A02010700,1942299,12,20140820003247,http://tong.visitkorea.or.kr/cms/resource/98/2718798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2718798_image2_1.jpg,129.0395112298,35.1167962983,6,20220516151751,4697,5,,남선창고터,48816,"1900년 함경도에서 배로 물건을 싣고 와서 보관하던 최초의 물류창고로, 초기에는 북선창고라 불리었으며 경부선을 통해 서울까지 물류를 운반하기 전에 보관하는 곳이었다. 이후 경원선이 생기며 윗지방에 북선창고가 만들어지자 이후에 이름을 남선창고로 변경하였다. 주로 명태를 많이 보관했다하여 일명 명태고방으로도 불린다. 냉동고가 없던 시절에 바닥에 수로를 만들어 물기를 제거하고 서늘하게 유지하는 방법을 사용했다. 바로 옆 옛백제병원과는 달리 2009년에 철거되어 지금은 붉은 벽돌로 쌓은 담장만 남아있다."
부산광역시 동구 영초윗길26번길 11,(초량동),6,0,A02,A0205,A02050600,1942245,12,20140819233838,http://tong.visitkorea.or.kr/cms/resource/79/2365979_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2365979_image3_1.jpg,129.0352504641,35.1177100066,6,20220308151129,6870,5,,김민부전망대,48808,기다리는 마음으로 유명한 김민부 시인을 기리고자 부산항이 잘 보이는 168계단 옆에 만들어진 전망대이다. 김민부는 고등학교 1학년 때 등단을 한 천재시인으로 우리에게 자갈치 아지매라는 라디오 프로그램의 피디로 더욱 잘 알려져 있다. 전망대에 올라서서 바다를 바라보면 절로 누군가를 기다리는 이들의 마음을 느낄 수 있는 장소이다.
