addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 동래구 온천천로 451,"도시철도 온천장역(부산광역시 동래구 중앙대로 1520), 도시철도 동래역(부산광역시 동래구 중앙대로 1324), 온천천 카페거리(부산광역시 동래구 온천천로 451)",6,,A02,A0203,A02030600,2822334,12,20220531132806,http://tong.visitkorea.or.kr/cms/resource/33/2822333_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/33/2822333_image3_1.png,129.1024592605,35.1916279693,6,20220531132816,2,6,,동래온천길(온천천 산책코스),47900.0,"동래온천길은 동래 온천천 산책길을 걸으며, 동래구의 주요 관광지(온천장, 명륜1번가, 온천천 카페거리)를 함께 즐길 수 있는 산책코스입니다. 비교적 짧은 거리(5.65.km)의 스탬프 투어(완주 코스, 만끽코스)를 상시 운영 중이니, 가볍게 즐기시고 온천천과 동래구 주요 관광명소도 함께 만나 보시기 바랍니다.
1. 완주코스: 온천장, 명륜1번가, 온천천 카페거리를 모두 경유하여, 스탬프를 찍고 동래구 문화관광 홈페이지에 인증하면 기념품(온천수 비누 및 핸드크림) 증정
2. 만끽코스: 코스 2개(온천장·명륜1번가 또는 명륜1번가·온천천 카페거리 등) 인증 및 각 관광지(온천장, 명륜1번가, 온천천 카페거리) 상가 이용 영수증(1인당 15,000원 이상)을 인증하면 기념품(온천수 비누 및 핸드크림) 증정"
부산광역시 동래구 온천동 산153-8,,6,0.0,A02,A0205,A02050600,2788427,12,20211208023356,,,129.0573042353,35.214280152,6,20220720142954,2,6,,만덕고개 누리길 전망데크,,"만덕고개 누리길은,부산 동래구에 있다. 슬로시티 운동 확산으로 도보여행이 유행하자 건강과 힐링을 위해 도심에서 가까운 곳에 산책길이나 둘레길이 필요함에 따라 국토교통부와 동래구가 함께 누리길과 전망데크를 조성하였다. 이곳에서 해운대 장산, 마린 시티, 황령산까지 어우러진 풍광을 한눈에 내려다볼 수 있다. 부산의 변화무쌍한 날씨에 따라 매 순간 다른 장면을 연출하는 부산의 진면목을 볼 수 있다."
부산광역시 동래구 칠산동,(칠산동),6,0.0,A02,A0201,A02010200,2654613,12,20200428192838,,,129.0930236281,35.204104175,6,20220513171854,2,6,,동래읍성지,47807.0,"동래읍성지는 동장대가 있는 충렬사 뒷산에서 마안산을 거쳐 서장대가 있는 동래향교 뒷산까지의 구릉지와 현재 동래 시가지 중심 지역인 평탄지를 일부 포함하는 지역에 전형적인 평산성(平山城) 형식으로 축조된 성으로 산성과 평지성의 장점을 두루 갖춘 대표적인 읍성이다. 고려말～조선 초기에 쌓은 것으로 추정되는 동래읍성은 1592년(선조 25년) 임진왜란 당시 동래부사 송상현공을 위시한 모든 민·관·군이 혼연일체가 되어 왜군에 맞서 장렬한 전투가 벌어졌던 임진왜란 초기의 최대 격전지이다. 임진왜란 이후 방치되어 있던 성을 1731년(영조 7) 동래부사 정언섭(鄭彦燮)이 나라의 관문인 동래의 중요성을 감안하여 임진왜란 당시의 성보다 훨씬 규모가 큰 읍성을 쌓았는데, 이 때 쌓은 성이 지금까지 그 흔적이 남아있는 동래읍성의 기원이다.  동래읍성에는 동문, 서문, 남문, 북문, 인생문(人生門) 및 암문(暗門)이 있고 각 문에는 문루(門樓)가 있었는데, 동문을 지희루(志喜樓), 서문을 심성루(心成樓), 남문을 무우루(無憂樓), 암문을 은일루(隱一樓)라 하였다. 또 중요한 문루였던 남문에는 익성(翼城)을 설치하였는데, 앞쪽의 세병문(洗兵門)과 뒤쪽의 주조문(朱鳥門)의 이중 구조로 되어 있었으며, 서문·암문·북문에는 성문의 보호를 위해 옹성(甕城, 적의 공격으로부터 성문을 보호하기 위해 성문 앞에 반원형으로 쌓은 성)을 부설하였고, 장대(將臺, 성 안의 지형이 높은 곳에 설치한 건물로서 성 밖의 적을 살피거나 전투를 지휘하는 곳), 망루(望樓) 및 15개소의 보루(堡樓)를 갖추고 있었다. 일제강점기 때 시가지계획이라는 명목으로 서문에서 남문에 이르는 평지의 성벽은 철거되었으며, 남문에서 동문에 이르는 성벽도 민가가 점유하여 마안산을 중심으로 한 산지에만 성곽의 모습이 겨우 남아 있다.  2000년 이후 동래읍성 내 각종 개발행위에 따른 발굴조사를 통해 임진왜란 당시의 성곽 흔적(조선전기 읍성)과 임진왜란 이후 쌓은 평지 지역의 성곽 흔적, 그리고 조선말기에 수축한 성곽을 확인함 으로써 동래읍성 전체의 정확한 범위, 규모 등에 대한 연구에 귀중한 단서를 제공하고 있다. 부산시에서는 현존하는 성지(城址)를 중심으로 훼손·방치되었거나 남아 있는 성터가 확인되는 곳에 대해서는 발굴조사와 함께 지속적인 보수·복원을 추진하고 있다.  출처 : 부산 문화관광"
부산광역시 동래구 금강로124번길 23-17,(온천동),6,0.0,A02,A0205,A02050200,1608716,12,20120420234943,,,129.0813269842,35.2201077208,6,20220414142028,18356,6,,온정개건비,47709.0,"이 비석은 동래부사 강필리(姜必履) 공이 온정을 대대적으로 수축한 공적을 기리기 위하여 1766년(영조 42)에 세운 것이다.동래온천에 관해서는 신라시대에서 조선시대에 이르기까지 여러 가지 기록이 남아 있는데, lt;lt;동래부지(東萊府誌)gt;gt; lt;산천조(山川條)gt; 에는 ""온정은 부의 북쪽 5리에 있는데 그 열이 계란을 익힐 만하고 병자가 이곳에서 목욕을 하면 빨리 나아 신라 때에는 왕이 여러 번 이곳에 행차하였다.""고 기록되어 있다. 당시의 온정은 내·외 두 석조(石槽)에 10여명 정도가 목욕할 수 있는 작은 규모였고, 온천물의 수온은 매우 높았다. 그 후 강필리 부사에 의해 1766년(영조 42)에 개건된 온정은 '돌로 탕 두개를 만들고 아홉 칸의 욕사(浴舍)를 지었는데, 남탕과 여탕을 구분하고 지붕을 덮었다.'라고 되어 있다. 1991년 온천 용각을 복원하여 매년 음력 9월 9일 동래온천번영회 주관으로 온천용왕대제를 봉행하고 있다."
부산광역시 동래구 우장춘로 211,(온천동),6,0.0,A02,A0201,A02010800,1607440,12,20120419233913,http://tong.visitkorea.or.kr/cms/resource/12/1571912_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1571912_image3_1.jpg,129.0771855435,35.2250098725,6,20220519170158,19911,6,,금강사(부산),47700.0,"금강사는 동래구 온천동 금강공원내에 위치하고 있으며, 금강사 대웅보전은 금강사내에서 제일 큰 전각이다. 월례법회, 연중법회 등을 통하여 불교의 가르침을 전하고 있다."
부산광역시 동래구 충렬대로 345,(안락동),6,0.0,A02,A0205,A02050200,1607389,12,20120419232411,http://tong.visitkorea.or.kr/cms/resource/84/1571884_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1571884_image3_1.jpg,129.0961401022,35.2012128903,6,20211221012500,18333,6,,충렬탑(부산 충렬사),47755.0,"부산 충렬사는 임진왜란때 굳센 항전을 표상한 탑으로 충렬사에 위치해있다. 충렬사는 1592년 일어난 임진왜란 때 일본군과 싸우다 전사한 부산지방의 순국선열이나 공을 세운 선열을 모신 곳이다. 엄밀하게 말하면 전쟁이 끝난 뒤인 1605년에 동래부사 윤훤이 동래읍성 남문 안에 동래부사 송상현의 위패를 모신 송공사를 지어 매년 제사를 지낸 것이 그 시초이다. 그 후 1624년 선위사 이민구의 청으로 '충렬사'라는 사액이 내려짐에 따라 송공사는 충렬사로 이름이 바뀌었다. 출처: 문화재청  탑 28.6m, 좌대 6.4m"
부산광역시 동래구 동래로 103,,6,0.0,A02,A0201,A02010700,1607360,12,20120419230326,http://tong.visitkorea.or.kr/cms/resource/40/1571140_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/1571140_image3_1.jpg,129.0841215255,35.2077202717,6,20210826185126,24081,6,,동래향교,47748.0,"1392년(태조 1) 지방에 향교를 지어 유생의 교육에 힘쓰라는 태조의 교서를 받들어 태조 때 와성(臥城, 지금의 동래고등학교 자리)에 설립되었으나 임진왜란 때 소실되었다. 1605년(선조 38)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 중건되었다. 중건 당시에는 읍성(邑城) 동문(東門) 밖 지금의 동래고등학교 자리에 있었으나, 1705년(숙종 31)에 부(府) 동쪽 관노산(官奴山) 아래로 옮겼다가, 1745년(영조 21)에 동문 밖으로 다시 이건하였다. 그 뒤 1785년(정조 9)에 내곡동(內谷洞: 지금의 화성초등학교 자리)으로 이전하였으며, 1812년(순조 12)에 현재의 위치로 옮겼다. 현존하는 건물로는 대성전·명륜당·반화루(攀化樓)·내삼문(內三門)·외삼문(外三門)·동무(東廡)·서무(西廡)·동재(東齋)·서재(西齋)·좌우협문(左右夾門) 등이 있으며, 향교 밖에는 역대 부사들의 흥학비군(興學碑群)을 비롯하여 하마비(下馬碑) 등이 있다. 이 향교의 건물 배치는 문묘와 명륜당이 동서로 구분되어 있는 점이 특이하다. 좌측의 반화루를 들어서면 정면에 명륜당이 있고, 그 좌우 뜰에 동서 양재가 있으며, 우측의 외삼문을 들어서면 다시 내삼문이 있고, 이를지나 대성전과 동서 양무에 이르게 된다. 조선시대에는 국가에서 토지와 전적·노비 등을 지급받아 교관이 70인 정원의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육 기능은 없어지고, 봄·가을에 석전(釋奠: 석전제, 공자에게 지내는 제사)을 봉행(奉行)하며 초하루와 보름에 분향을 하고 있다."
부산광역시 동래구 동래로 162,(칠산동),6,0.0,A02,A0201,A02010800,309338,12,20071130234546,http://tong.visitkorea.or.kr/cms/resource/26/1571926_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/1571926_image3_1.jpg,129.0882184992,35.2037846774,6,20221021093938,26587,6,,법륜사(부산),47810.0," 학소대에 위치한, 법륜사   법륜사는 부산광역시 동래구 칠산동 2392번지 학소대에 자리하고 있다. 이곳은 삼국사기에 나오는 거칠산국이 있었던 곳으로 추정되는 유서깊은 곳으로 1980년 금동관·무기 등이 출토된 바 있는 복천동(福泉洞) 고분군과 학이 집단으로 둥지를 틀고 살았던 학소대(鶴巢臺)를 기반으로 하고 있다. 임지왜란 당시 동래 성곽이 두르고 있던 동래경찰서 뒤편의 전신전화국, 동래고교 등 그 성내 그대로가 법륜사와 함께 동래구의 중심을 이루고 있다. 옛 부터 우리나라 사람들은 봉황과 더불어 학을 사랑하였다. 그 단정한 자태와 고고한 모습으로 인해 십장생(十長生)의 하나로 대접 받아온 학은 때론 청렴하고 지조 있는 선비에 비유되기도 할 만큼 오랜 세월 청정의 이미지를 대신해 왔다. 부산 동래지역은 유난히 학의 이름이 들어가는 지명이 많다. 그러나 대부분 도심의 일부가 되어 옛 모습을 찾을 길 없으나 동래 중심지에 우뚝 솟은 학소대(鶴巢臺)의 모습만큼은 그 옛날부터 학이 깃들만한 명소임을 한눈에 알 수 있다.울창한 소나무로 둘러싸인 채 아름다운 학의 군무(群舞)가 펼쳐지던 바로 이곳에 지금은 법륜사가 자리하고 있다.  이 사찰은 불기 2442년, 서기1898년 범어사의 포교당으로 창건되어 야학운동을 통한 문맹퇴치와 3.1운동의 본거지로 민중교화와 민족정신을 배양하던 곳이다. 범어사가 1800년대 말, 지금의 부산지역 포교를 위해 개설한 포교당은 모두 5개. 이 중 서면, 영도지역 등 4개 포교당은 모두 없어고 동래 포교당만이 그 명맥을 유지하고 있으니 1백여년의 역사를 통해 근대 영남불심을 이끌어 온 본거지라 할 만큼 대중포교의 중심에 있어 온 사찰이다.이와 같이 법륜사는 포교당으로서 종교적인 기능뿐 아니라 교육, 계몽적인 기능까지 겸했다. 1921년부터 경영한 싯달 야학교를 통해 배출된 스님들과 빈한한 농민의 자제들이 당시 민족 운동의 일원으로 활약하였고 동래 지역의 3.1운동과 그 이후 전개된 여러 사회운동에 깊이 관여하여 사회의 지도적인 위치에 있었다. 이후 우리나라 최초의 어린이 법회를 이은 부산지역 최초의 불교 유치원인 법륜 유치원을 개원하고 일찍이 중고등부와 청년법회를 개설하였을 뿐 아니라 당대의 고승을 모시고 매년 봉행해온 화엄산림법회는 2005년 현재 75회째를 맞는 등 명실상부한 포교 1번지로서 그 역할을 수행해 오고 있다. 민중해방에 앞장서 온 민족사찰로서, 민중포교의 본거지로서 자리매김한 법륜사는 노송림(老松林)에 군학(群鶴)이 군림하듯 수많은 불자가 모여드는 영남제일의 포교명당으로 오늘도 자리하고 있다.   법륜사의 유래   법륜사가 위치한 칠산동(漆山洞)은 삼국시대 동래지역에 거칠산국(居漆山國)이 존재하여 있었는데, 이를 신라가 병합하여 거칠산군(居漆山郡)이라 하였다가 통일신라 이후 경덕왕 때 행정구역 개편에 따라 동래군(東萊郡)으로 바뀌었다. 거칠산은 '거칠다'의 우리말에서 유래한 것으로 '거침 뫼' 즉 황령산(荒嶺山)을 지칭하는 것으로 풀이되어진다. 삼한시대 소국의 치소(治所)가 동래지역으로 옮겨질 때 주산(主山)의 이름을 칠산(漆山)이라 불렀을 것이다. 이러한 내력과 지금의 동래읍성의 뒷산을 칠산이라 부른데서 연유한 것으로 그 이름이 유래된 것으로 보인다."
부산광역시 동래구 우장춘로 157-59,(온천동),6,0.0,A02,A0201,A02010800,298114,12,20071128002243,http://tong.visitkorea.or.kr/cms/resource/72/2480172_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2480172_image2_1.jpg,129.0741053488,35.2216351938,6,20220329173614,20554,6,,금정선원,47700.0," 금정산의 유서깊은 사찰, 금정선원   우거진 백년노송과 기암괴석, 깎아 세운 듯한 절벽 등 산세의 수려함이 마치 작은 금강산과 같다 하여 신라 때부터 소금강이라 불렸던 부산 금정산(金井寺). 바로 이 금정산(金井山) 남동쪽 기슭에 드넓게 자리한 자연공원이 있으니 부산시민들의 넉넉한 쉼터인 금강공원이다.소금강이란 이름에서 유래된 이곳에는 잘 자란 나무가 무성한 숲을 이루고 산새를 비롯한 각종 동식물들이 있을 뿐 아니라 여러 사찰과 암자, 문화유적들이 적지 않은 곳이다. 그 중 짧은 역사에도 불구하고 한암, 효봉, 경봉, 성철, 석주스님 등 근대 한국불교계의 흔치않은 큰 거목들이 두루 주석하던 유서깊은 사찰이 있으니 바로 선학원 사찰 금정사이다. 이렇게 당대의 큰스님들이 한 절에 모인 예는 무척 드문 일로 1950년 한국전쟁 당시 합천 해인사의 가야총림이 문을 닫고 스님들이 남하하게 되자 그해 겨울 효봉 방장스님은 금정선원, 그리고 그 제자 구산스님은 진주 응석사에 주석하시면서 이 일대의 선풍이 드날리게 되는 계기가 되었다 한다. 또한 금정사는 근대 최초의 방생지로 유명한 곳이다.  예로부터 우리나라에는 전국에 걸쳐 많은 방생지가 있었는데 세월이 흐르면서 유명무실해지자 2004년 입적한 칠보사 조실 석주스님이 이곳에 절 마당을 파고 방생지를 설립, 그물이나 낚시로 인해 또다시 화를 입는 물고기들을 위한 회향터를 이루었다 하니 방생의 참뜻을 되짚어 보는 계기가 되기도 한다. 1924년 금우(金牛)스님에 의해 초창된 금정사는 고승대덕들이 왕래하며 머문 참선도량으로 푸른 선지를 휘날렸을 뿐 아니라 재가불자들의 참선수행을 위한 선원을 개설하는 등 정통선원으로 거듭나 있다.   조선시대 사형장이었다고 금정사의 설화 및 역사   금정사는 1924년 금우스님에 의해 기도처로 창건됐다. 구전에 이곳이 절골이었다는 것으로 미루어 그 오랜 옛날에는 사찰이 있었던 자리였으리라 짐작하지만 전해오는 문헌이나 기록은 전무하다.지금으로부터 1백여년 전인 조선말기, 금정사가 자리한 이곳은 동래부의 사형집행장이었다고 한다. 지금과 달리 인적도 드물고 산세도 험하던 시절이라 비만 오면 이곳에서 형장의 이슬로 사라진 원혼들의 울음소리가 들려 인적은 더욱 드물게 되었다. 인적이 드물어지자 나병환자들이 모여들어 집성촌이 형성되는 바람에 아랫마을 사람들의 원성이 더욱 높아져 동래부사와 금우스님이 이곳에 토굴을 짓고 기도처로 자리잡았다고 한다. 홀로 목탁을 치며 죽어간 원혼들을 달래주던 스님은 훗날 신도들이 하나둘 생겨나자 원력을 세워 사격을 갖추기 시작했다. 그 뒤 금정사는 1954년 무렵부터 석주스님의 도움으로 중창을 거듭했으며 1993년 대대적인 중창 이후 참선수행도량으로 탈바꿈하게 된 것이다."
부산광역시 동래구 복천로 66,,6,0.0,A02,A0201,A02010700,231945,12,20071016090000,http://tong.visitkorea.or.kr/cms/resource/55/1571155_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1571155_image3_1.jpg,129.0906820891,35.2068732659,6,20210824012053,25442,6,,부산 복천동 고분군,47802.0," 가야 시대를 만날 수 있는, 부산 복천동 고분군   부산 복천동 일대의 구릉 위에 있는 가야 때 무덤들이다. 여러 차례에 걸친 발굴조사로 40여 기의 무덤이 확인되었으나, 대부분의 무덤은 아직도 땅 밑에 남아있다. 무덤의 형태는 땅을 파서 넓은 방을 만들고 나무관을 넣은 덧널무덤(토광목곽묘), 땅 속에 네모난 돌로 벽을 쌓고 천장을 덮어 만든 구덩이식 돌방무덤(수혈식석실묘), 땅 속에 시체를 바로 묻는 널무덤을 비롯해 여러 가지 형식의 무덤들이 있다. 구릉의 원래 이름을 따서 학소대(鶴巢臺)고분군이라고도 한다. 1969∼1972년 동아대학에 의해 10여 기가 최초로 발굴된 이래, 부산대학이 1974년 구릉 동쪽 사면에 있는 3기의 고분을 발굴하였다.  
이후 1980∼1994년 부산대학박물관과 부산시립박물관에 의해 6차에 걸쳐 100여 기가 넘는 고분군이 발굴조사되었다. 이 무덤들에는 도굴되지 않은 큰 무덤이 많아 2,000점 이상의 다양한 유물이 출토되었다. 굽다리접시(고배), 목항아리(장경호), 토제등잔을 비롯한 토기류는 4∼5세기 낙동강 하류지역의 특징적인 토기들이다. 철제 갑옷·투구류도 다양하게 출토되었다. 특히 4호 무덤에서 나온 단갑은 우리나라에서 처음 발견된 갑옷이다. 11호에서 출토된 괘갑은 부속 장식까지 완전하게 갖춘 상태로 발견되었는데 이런 완제품은 우리나라에서 처음 발견되는 것이다. 10호 무덤에서 발견된 말갖춤(마구)는 완전히 갖추어진 실전용으로 처음 발견되었다. 이러한 갑옷·투구류는 고구려 고분벽화에 그려져 있는 것과 같다. 복천동 무덤에서는 새로운 무덤양식을 발견하여 무덤의 변천과 흐름 연구에 중요한 실마리를 제공해 주고 있다. 
 부산 복천동 고분군의 의의 
울산 하대고분군, 김해 대성동고분군, 함안 도항리고분군 등에서도 이와 비슷한 예가 보인다. 처음에는 시신이 매장된 으뜸덧널主槨과 유물이 매장된 딸린덧널副槨 모두가 덧널인 양식이 이용되다가, 으뜸덧널이 구덩식돌덧널이고 딸린덧널이 덧널인 것으로 변해가고, 마지막에는 딸린덧널이 폐지된 단독 구덩식돌덧널로 되었다가 곧 앞트기식돌방으로 교체되어가는 과정을 보여준다. 발굴된 상당량의 토기는 신라 ·가야 토기 편년의 기준이 된다. 또한, 특징적으로 갑옷 ·투구가 많이 출토되었다. 갑옷 ·투구 이외에도 말갑옷馬甲, 말머리가리개馬胄 등 철로 만든 무기가 상당수 출토되어서 당시 말을 이용하여 전투했음을 말해주고 있다. 매장시설의 바닥에는 덩이쇠鐵鋌가 1∼3열씩 깔리기도 한다. 《삼국지 동이전 변한조에 철을 화폐 대신으로 쓴다는 기록이 있는데, 덩이쇠가 다른 철제용품을 만드는 재료의 역할을 한다는 점을 감안한다면 당시 화폐로 쓰였을 가능성이 많다."
