addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 부산진구 엄광로 118,(가야동),6,0,A01,A0101,A01010500,2788410,12,20211208022652,,,129.0276891748,35.1483453258,6.0,20221031131335,1,7,,가야공원 / 가야산책공원,47389,"가야공원은 가야산책공원이라고도 불리며, 인근에 서씨(徐氏)들이 대대로 살아왔다고 하여 서씨공원이라고도 부른다. 산책로와 체력단련 시설, 벤치 등 각종 편의시설을 설치해 휴식과 체력단련을 함께 할 수 있는 공원이다. 2001년 3월 1일 세운 이종무 장군 쓰시마섬對馬島 정벌 기념비가 있다. 높이 2.5m, 기단 너비 59㎝의 크기로 재질은 오석(烏石)과 화강암이다. 하단부에는 독도는 우리 땅, 대마도는 한국땅이란 글이 새겨져 있다."
부산광역시 부산진구 동성로112번길 121-1,(전포동),6,0,A02,A0202,A02020100,2760809,12,20211021230729,http://tong.visitkorea.or.kr/cms/resource/47/2761247_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2761247_image2_1.jpg,129.0669241885,35.1651886075,6.0,20220411173326,2,7,,송상현광장,47236,"부산 진구에 있는 송상현 광장은 임진왜란의 동래성 전투를 이끌었던 송상현 장군을 기리기 위해 조성된 공원이다. 이곳은 모너머 고개로 불리던 곳으로 부산의 외부와 내부가 나뉘는 경계선이었다. 현재는 도심 한가운데 자리 잡은 공원으로, 이곳을 들르는 사람들에게 잠시 쉬어갈 수 있는 공간을 제공한다. 넓은 공간으로 모임, 야외공연, 전시, 산책, 행사 등 다양한 활동을 할 수 있으며, 행사 관련 일정은 송상현 광장 홈페이지에서 자세히 볼 수 있다. 공원 전용 주차장이 있지만 협소하여 주말이나 공휴일에는 근처 시민공원 주차장을 이용하는 방법도 있다. 도심 한가운데서 역사적 의미와 자연의 여유로움을 느껴보자."
부산광역시 부산진구 새싹로 295,(초읍동),6,0,A01,A0101,A01011800,2718728,12,20210528003503,,,129.0424174355,35.1853692278,,20220408142901,1,7,,성지곡수원지,47100,"울창한 나무숲, 고즈넉한 호수, 그리고 피톤치드 가득한 산책로까지. 부산 어린이대공원 안에 위치한 성지곡수원지는 부산 시민이라면 누구나 추억 한 자락 간직하지 않은 이가 없을 정도로 예전부터 시민들의 사랑을 받아왔다. 고요한 수원지 주변은 누구에게나 마음의 평온을 주는 종합선물세트 같은 장소다. 또한 성지곡수원지로 가는 숲길은 삼나무, 편백나무, 전나무 등 수림이 우거져 있고 경사가 가파르지 않아 사계절 자연을 즐기기며 산책하기 더 없이 좋은 환경이다."
부산광역시 부산진구 서면로 39,,6,0,B01,B0101,B01010700,2679008,12,20201027200139,,,129.0573308761,35.1543174256,6.0,20211214201117,1,7,,KT&G 상상마당 부산,47288,"지하 5층, 지상 13층에 연 면적 약 2만㎡로, 기존의 상상마당 중 가장 큰 규모이며, 라운지, 카페 사푼사푼, 디자인스퀘어, 라이브홀, 현상인화실, 갤러리, 아카데미실, 공유 오피스, 스테이, 루프탑 등이 있다. 인디문화 중심의 다른 상상마당과 달리, 상상마당 부산은 소통에 방점을 둔 복합문화공간이다."
부산광역시 부산진구 시민공원로 73,(범전동),6,0,A02,A0202,A02020700,2663341,12,20200713222139,,,129.0558806966,35.1654939246,,20221006173500,1,7,,부산시민공원,47197,"부산시민공원은 기억(Memoy), 문화(Cultue), 즐거움(Pleasue), 자연(Natue), 참여(Paticipation) 5개 활동주제로 조성되었습니다. 부산의 심장부를 대표하는 새로운 공공 경관과 치유와 침적 그리고 새로운 가능성의 축적의 장으로 세계에서 유례를 찾아볼 수 없는 새로운 형태의 최첨단 공원으로 공원조성 면적은 473,911㎡ 이며, 그중 공원 중앙지역에 자리하고 있는 하야리아 잔디광장 면적은 약 40,000㎡(축구장 6배)입니다. 공원 내에는 97종 85만여 그루(교목 은행나무등 46종 9,937 그루, 관목 43종 844,314 그루)의 나무가 심어졌으며 공원역사관, 공원안내소, 부전천(2.5㎞), 전포천(2.5㎞), 분수(4개소), 광장(6개소), 어린이놀이시설(9개소) 등과 주차장(902면),카페(3개소), 편의점(2개소), 화장실(22개소)등의 편의시설이 만들어졌습니다. 부산시민공원은 부산 시민과 우리나라 국민들은 물론 외국인들도 즐겨 찾는 세계적인 명품 공원으로 발돋움하기 위해 꾸준히 노력하고 있습니다."
부산광역시 부산진구 엄광로 491,(범천동),6,0,A02,A0203,A02030600,2662531,12,20200707225039,http://tong.visitkorea.or.kr/cms/resource/93/2720793_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2720793_image3_1.jpg,129.0512427918,35.1442823259,6.0,20220308155532,1,7,,호천마을,47373,"2017년 KBS에서 방영된 드라마쌈, 마이웨이의 촬영지인 호천마을 은 전망좋은 산복도로로 쌈 마이웨이 외에도 라이프 온 마스, 제3의 매력, 그냥 사랑하는 사이 등 드라마 및 영화 촬영지로 각광 받고 있는 곳이다."
부산광역시 부산진구 새싹로 295,,6,0,A01,A0101,A01010400,2614723,12,20190809013812,http://tong.visitkorea.or.kr/cms/resource/80/2675780_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/2675780_image2_1.jpg,129.0424174355,35.1853692278,6.0,20221208165644,0,7,051-605-4000,백양산 (부산 국가지질공원),47100,"부산의 사상구, 북구, 부산진구를 아우르는 백양산은 부산의 많은 산들 중 유독 등산객들이 사랑하는 곳이다. 어디를 가도 코스가 잘 정비돼 있어 등산뿐만 아니라 산악자전거나 산악오토바이를 즐기는 이들에게도 인기다. 크게는 어린이대공원 입구를 시작으로 성지곡수원지를 지나 정상으로 올라가는 코스와 선암사에서 출발해 정상으로 가는 코스가 대표적이다. 또한 가을이면 능선을 따라 하늘거리는 억새들이 드라마틱한 풍경을 연출하며 걷는 재미를 더한다."
부산광역시 부산진구 전포동,,6,0,A01,A0101,A01010500,2614712,12,20190809011527,http://tong.visitkorea.or.kr/cms/resource/11/2614711_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/11/2614711_image2_1.bmp,129.0721765659,35.1631194916,6.0,20221208165633,0,7,,구상반려암 (부산 국가지질공원),47230,"구상반려암 지질명소는 부산의 중심부에 위치한 황령산의 서편 전포동 일대에 위치하고 있다. 지하에서 마그마가 서서히 냉각되어 만들어지는 심성암에서는 등립질, 중립질, 세립질의 현정질조직이 나타나는 것이 보편적이다. 그러나 구상반려암에서는 암석 중의 광물들이 어떤 점(핵)을 중심으로 동심원상의 구를 이루면서 분포하는 구상조직이 나타난다.
구상구조가 나타나는 반려암의 분포면적은 약 0.14㎢에 달하며, 이는 구상반려암뿐만 아니라 모든 구상암 중에서도 세계적인 규모에 속한다. 아울러 도심지 한가운데에 위치한 특수성을 지닌 구상반려암은 지금까지 아시아에서 유일하게 보고되고 있어 연구가치가 매우 높은 부산국가지질공원의 으뜸 명소이다."
부산광역시 부산진구 중앙대로 지하 818,(전포동),6,0,A02,A0204,A02040800,2554138,12,20180718182820,,,129.0645827594,35.1639553695,6.0,20220922110920,560,7,,만들숲,47236,"stong내 아이디어를 직접 만들어 보자stong  만들숲은 반짝이는 아이디어를 실현 시킬 수 있는 전국최고 아이디어 사업화 지원센터이다. 아이디어를 실현할 수 있는 다양한메이커(Make) 기술교육을 받을 수 있고, 최신 디지털장비와 시설을 통해 아이디어 시제품을 제작할 수 있는 공공제작소이다. "
부산광역시 부산진구 신천대로 215,,6,0,A02,A0204,A02041000,2554121,12,20180718182346,,,129.0482426068,35.1605860005,,20210730235829,415,7,,부산차량융합기술단(부산철도차량정비단),47260,"stong대한민국 철도의 미래는 내가 책임진다stong  한국철도공사 코레일은 창의적 미래 인재 육성을 위해 다양하고 수준 높은 교육기회를 제공하고 있으며, 철도의 풍부한 인프라를 활용하여 진로상담, 안전 교육 등 다양한 체험의 장을 마련했다. 부산차량융합기술단 견학은 학생 단체를 대상으로 진행하며, 방문 단체 연령대에 따라 교육 내용, 교육 시간 등 프로그램 내용 협의가 가능하다."
