addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 사하구 다대동,1585,6,,A02,A0202,A02020700,2867579,12,20221014144838,http://tong.visitkorea.or.kr/cms/resource/50/2867550_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/50/2867550_image3_1.JPG,128.9800346295,35.0594543994,6.0,20221014144849,1,10,,통일아시아드공원,49498.0,"부산시 사하구 다대동에 있는 통일아시아드 공원은 2002년 아시안게임 당시 북한 응원단을 태운 만경봉호가 다대포항에 입항하여 체류한 사실을 기념하고, 도심 내 부족한 주민쉼터를 확충하기 위해 조성된 기념공원이다. 조형물로는 기둥 위에 모자를 씌워 놓은 것 같은 아시아드 열주, 성화를 형상화한 10m 높이의 빛 기념물, 만경봉호 외관을 닮은 유리로 만들어진 만남의 벽 등이 있다. 예쁜 산책로, 반려견을 위한 친환경 화장실, 보호자 전용도로 등 편의시설이 잘되어 있어 아이들과 함께 혹은 반려견과 함께 산책하기 좋은 곳이다. 넓지 않지만 지역 주민들이 산책할 수 있는 공간으로 활용되고 있다. 다대포 해수욕장, 부산광역시 기념물 제27호로 지정된 몰운대 등이 인접해 있어 함께 둘러보기 좋다.
 반려동물 동반 가능"
부산광역시 사하구 제석로79번길 33,(당리동),6,0.0,A02,A0201,A02010800,2785265,12,20211202222942,http://tong.visitkorea.or.kr/cms/resource/07/2790707_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/07/2790707_image2_1.JPG,128.9758058697,35.1091043203,6.0,20221031112553,1,10,,관음사,49316.0,"도심 안에 자리 잡은 관음사는 대한불교 조계종 송광사의 부산 분원이다. 학을 타고 있는 산이라는 뜻의 승학산에 1940년 5월 1일 승려 일련이 관음사라는 조그만 조막을 지어 수행하고 포교하면서 건립되었다. 이후 요사채를 건립하고, 법당과 후원을 짓고 도량을 넓혀, 1984년 승광사 부산 분원으로 등록하였다. 또한, 관음사는 부산광역시 문화재 자료 제60호로 지정된 『묘법연화경을 소장하고 있다. 조선 전기인 태종 때에 판각·인쇄된 것으로 조선 전기 불경 및 서지학 연구에 중요한 자료를 제공하는 불교사적, 서지학적 가치가 뛰어난 문화재로 불교의 대표적 대승경전으로 널리 알려져 있다. (네이버 백과사전 발췌)"
부산 사하구 다대동 375-17,,6,0.0,A01,A0101,A01011400,2784328,12,20211201191924,http://tong.visitkorea.or.kr/cms/resource/91/2787691_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2787691_image2_1.jpg,128.9832650955,35.0524135802,6.0,20221026094224,1,10,,다대포항,,"다대포항은 부산에서도 가장 서쪽에 위치하고 있는 항구이다. 부산항처럼 무역항이 아니라 대형어선은 없는 주로 중소형 어선이 많은 작고 아담한 항구이다. 바다에서 잡아온 수산물을 경매하는 위판장이 있고 수산시장이 함께 있어서 갓 잡아온 신선한 생선을 저렴한 가격으로 살 수도 있다. 어선이 많이 정박해 있는 곳이다 보니 주변에 대형 가공공장, 냉동공장이 위치하고 있고 회센터도 많이 자리하고 있어서 계절마다 신선한 수산물을 구경하고 맛볼 수 있는 곳이다. 다대포항과 이어진 다대포해수욕장과 함께 일출, 일몰로 유명한 곳이라 사진을 찍으러 오는 사람들을 쉽게 볼 수 있다. 특히 일출 명소로 알려져 있는데 일출 일몰 때에는 포구 한쪽에 세워져 있는 나무선착장이 어우러지며 그림 같은 풍경이 연출된다. 몰운대전망대로 올라가서 다대포항을 바라보면 산에 둘러 쌓여있는 듯한 다대포항을 내려다볼 수 있는데 작은 항구라 포근한 느낌을 준다. 이곳이 알려지면서 아름다운 장관도 보고 신선한 수산물을 맛보러 오는 발걸음이 늘고 있다."
부산광역시 사하구 하단동 1149-10,,6,0.0,A01,A0101,A01010500,2783344,12,20211130184315,http://tong.visitkorea.or.kr/cms/resource/51/2787651_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/2787651_image2_1.jpg,128.9492081536,35.1102509254,6.0,20221213155850,0,10,,낙동강 생태탐방선,,"낙동강 물줄기를 따라 에코투어를 즐길 수 있는 프로그램이다. 부산 을숙도에서 출발하여 일웅도와 대동, 물금까지 운행하기 때문에 동선에 따라 자신에게 알맞은 코스를 선택할 수 있다. 4월부터 10월까지 운항하는 낙동강 생태탐방선은 사전예약 후 탑승할 수 있다. 승선신고서 작성을 위해 신분증을 반드시 지참해야 하며 탑승 20분 전까지 탑승장에 도착해야 한다. 최대 30명까지 승선 가능한 탑승선은 쾌적하고 넓은 내부를 자랑한다. 탐방선이 출발하면 생태탐방 해설사가 낙동강의 생태와 역사에 관해 설명해준다. 유익한 해설을 들은 후에는 탐방선 2층에서 따뜻한 햇볕과 시원한 강바람을 맞으며 아름다운 낙동강 풍광을 눈에 담을 수 있다. 낙동강 생태탐방선의 특징 중 하나는 친환경에너지를 사용한다는 것인데, 2층에서 태양광발전기와 풍력발전기를 통해 에너지를 얻는 모습을 직접 관찰할 수 있다. 또 선내에 망원경이 비치되어 멀리 있는 풍경까지 더욱 자세한 생태탐방이 가능하다."
부산광역시 사하구 다대낙조2길 77,(다대동),6,0.0,A02,A0205,A02050600,2733473,12,20210812234523,http://tong.visitkorea.or.kr/cms/resource/56/2732756_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2732756_image3_1.jpg,128.9608087041,35.0527909028,6.0,20221212160145,0,10,,아미산 전망대,49501.0,"낙동강과 바다가 한 몸이 되는 지점을 내려다볼 수 있는 아미산 전망대는 1층 안내데스크와 세미나실, 2층 전시관, 3층 실내 전망대와 카페테리아 총 3층으로 구성되어 있다. 선선한 바람을 느끼며 황금빛 낙조를 직관 할 수 있고 낙동강이 청명한 바다와 만나 이루어낸 풍경을 볼 수 있는 곳이다."
부산광역시 사하구 당리동 산 45-1,(당리동),6,0.0,A01,A0101,A01010400,2674974,12,20201007045450,http://tong.visitkorea.or.kr/cms/resource/70/2674970_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/2674970_image2_1.jpg,128.9795998493,35.1140927207,6.0,20220513153509,2,10,,승학산,49317.0,"부산의 가을을 담은 승학산 억새평원 가을이 되면 하얀 억새군락이 멋진 장관을 연출하는 승학산은 가을 트래킹의 필수 코스 중 하나다. 능선을 따라 드넓게 펼쳐진 승학산의 초원에는 햇빛을 받아 황금빛으로 하늘거리는 억새풀이 가득하다. 가을의 정취를 한층 더해주는 승학산의 억새를 찾아 즐거운 마음으로 트레킹을 할 수 있다. 부산의 가을을 담은 최고의 장소 승학산 억새평원, 가만히 바라보는 것만으로도 마음에 위안이 되는 곳이다. 눈에 가득 담아온 한 컷의 평온함이 오래도록 가슴에 남는 곳이다."
부산광역시 사하구 다대동,산 144,6,0.0,A01,A0101,A01011200,2614721,12,20190809013341,http://tong.visitkorea.or.kr/cms/resource/95/2675495_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2675495_image2_1.jpg,128.9699332506,35.0402813591,6.0,20221208165409,0,10,,몰운대 (부산 국가지질공원),49527.0,"몰운대는 낙동강하구와 바다가 맞닿는 곳에 자리한 명승지(부산광역시 기념물)로 16세기까지 몰운도라는 섬이었으나, 낙동강 상류에서 밀려온 토사가 쌓여 다대포와 연결되면서 지금은 육계도(landtied island)의 모습을 하고 있다. 육계도는 섬과 육지 사이의 얕은 바다에 모래가 퇴적되어 사주를 만들어 연결된 섬으로, 그 대표적인 예로는 제주도의 성산일출봉이 있다. 몰운대는 구름 속에 빠진 섬이라는 시화적(詩話的)인 이름으로 낙동강하구에 안개와 구름이 끼는 날이면 섬이 구름에 잠겨 보이지 않는다고 해서 붙여졌다고 전해진다. 몰운대에서는 약 8천만 년 전 백악기 말의 하부다대포층과 그 후 부산의 지각변형과정을 한 눈에 볼 수 있으며, 단층, 단층암, 암맥, 광맥, 쳐트편, 사층리, 흔적화석 등의 다양한 지질특성을 간직한 지질학의 교과서라 불릴만한 곳이다."
부산광역시 사하구 다대동,(다대동),6,0.0,A01,A0101,A01010500,2614718,12,20190809013003,http://tong.visitkorea.or.kr/cms/resource/17/2614717_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/17/2614717_image2_1.bmp,128.9862007564,35.0595961635,6.0,20221208165421,0,10,,두송반도 (부산 국가지질공원),49521.0,"두송반도는 부산 사하구 다대포항 동쪽 해안에 위치하며, 공룡의 전성시대였던 백악기말의 부산지역 고환경을 보여주는 명소이다. 백악기말 경상분지 내에서 양산단층과 동래단층 사이에서 만들어진 다대포분지의 중부에 해당하는 곳으로 공룡알 둥지화석과 파편화석 등이 나타난다. 특히 과거 지진활동이 기록된 다양한 산출 상태의 쇄설성암맥과 고지진암이 선명히 관찰된다.또한 이곳에서 관찰되는 캘크리트 복합층은 백악기 당시의 고기후를 유추해 볼 수 있는 중요한 단서이며, 두송반도 일대에 나타나는 다양한 산상의 캘크리트는 국내에서 흔히 찾아볼 수 없어 높은 학술적 가치를 지니고 있다."
부산광역시 사하구 낙동남로 1240,(하단동),6,0.0,A01,A0101,A01011800,2614714,12,20190809012101,http://tong.visitkorea.or.kr/cms/resource/13/2614713_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/13/2614713_image2_1.bmp,128.9460085869,35.104551505,6.0,20221208165359,0,10,,낙동강하구 (부산 국가지질공원),49435.0,"부산광역시 사하구에 위치한 낙동강하구 지질명소는 천연기념물로 지정된 문화재보호구역이다. 낙동강하구는 모래와 자갈이 쌓여 수면 밖으로 드러나있는 크고 작은 연안사주와 넓은 갯벌이 펼쳐져 있고, 민물과 바닷물이 만나 섞이는 기수(ackish wate) 지역으로 생물댜앙성이 풍부해 해마다 철새들의 번식지, 월동지, 중간기착지 역할을 하고있다.대마등, 맹금머리등, 장자도, 신자도, 백합등, 도요등, 진우도로 불리는 크고 작은 연안사주들이 장관을 이루고 있으며, 낙동강이 운반해온 토사가 남해의 파도에 의해 이동하고 쌓이고 흩어지기를 반보가기 때문에 계속해서 크기가 변해 우리나라에서 지형 변화가 가장 심한 곳이다.낙동강하구의 현생 삼각주 지형은 우리나라에서 흔하지 않을 뿐만아니라 최대 규모를 자랑하며, 전형적인 양상을 잘 보여주고 있는 지질학적·지형학적 가치가 매우 높은 지질명소이다."
부산광역시 사하구 장림로93번길 72,,6,0.0,A01,A0101,A01011400,2606204,12,20190613003233,http://tong.visitkorea.or.kr/cms/resource/11/2667711_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2667711_image3_1.jpg,128.9513754709,35.0793627568,6.0,20220506152523,1,10,,장림포구,49478.0,"장림포구는 SNS로 입소문이 나면서 인기를 끌고 있는 부산의 핫플레이스이다. 행정구역상 사하구 장림동에 속해 있으며 포구의 이름은 지명을 따서 장림포구라 한다. 포구를 따라 늘어선 알록달록한 건물과 떠 있는 작은 배들이 베네치아의 무라노 섬을 닮았다고 해서 부산의 베네치아라는 뜻으로 ""부네치아""라는 별명이 붙었다. 노을이 아름답고 다대포해수욕장으로 가는 길목에 있어 아미산전망대, 다대포 꿈의 낙조분수 등과 연계한 관광이 가능해 부산의 새로운 피서지로 떠오르고 있다."
