addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 서구 남부민동 50-40,(남부민동),6,0,A02,A0205,A02050600,2788424,12,20211208022919,,,129.0203302731,35.0907988546,6,20221214142036,0,11,,누리바라기전망대,49259,"누리 바라기 쉼터는 세상을 뜻하는 순우리말인 누리와 바라본다는 의미의 바라기를 합성한 것으로 여유롭게 휴식을 취하면서 부산의 산과 바다, 하늘을 바라본다는 의미에서 붙여진 이름이다. 입구에 도착하면 하늘에서 내려온 용마(龍馬) 이야기를 간직한 천마산의 유래를 토대로 형상화한 말이 세워져 있고, 쉼터(전망대) 가운데는 구름이 나무에 걸려있는 모습을 형상화한 조형물 소리나무가 자리 잡고 있다. 또한 전망대 우측에 세워진 대형 디자인과 벽에는 송도해수욕장을 비롯해 구덕문화공원, 송도해안산책로, 천마산 조각 공원 등 서구 10경을 담고 있다."
부산광역시 서구 원양로 6,(암남동),6,0,A01,A0101,A01011400,2785306,12,20211202225158,http://tong.visitkorea.or.kr/cms/resource/08/2798108_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/08/2798108_image2_1.JPG,129.0128152394,35.0547971892,6,20221114104409,1,11,,감천동편부두 / 감천항,49277,"부산 감천항은 북항, 남항, 다대항, 신항과 함께 부산항을 구성하는 대표적인 항만으로 동편, 서편, 중앙 부두로 나누어져 있다. 감천동편부두는 1984년 12월 착공하여 1991년 공영부두로 개장했다. 부산은 북태평양과 남태평양 어장 중간에 위치한 지리적 이점이 있어 수산물 유통 및 가공 업체 냉동냉장창고들이 밀집되어 있다. 2018년 4월 1층 주차장, 2층 화장실과 샤워실, 3층 휴게실로 구성된 편의시설을 추가로 건설했다. 주변에 부산 국제 수산물 도매시장이 들어서 있고, 감천동편부두 아래쪽에 위치한 감천항 동방파제는 사시사철 낚시가 가능한 천혜의 낚시터로 손꼽힌다. 수심과 조류가 원활하고 다양한 물고기가 많이 잡혀 낚시꾼이 많이 찾는 명소가 되었다."
부산광역시 서구 망양로170번길 17-4,(동대신동2가),6,0,A02,A0203,A02030600,2760704,12,20211021193454,,,129.0235904594,35.1143268372,6,20211021193454,2,11,,닥밭골 벽화마을,49215,"닥밭골 벽화마을은 6가지 테마를 가진 벽화마을로, 산복도로를 따라 오르다 보면 만날 수 있는 형형색색의 마을이다. 이 지역은 1953년 부산역전 대화재로 삶의 터전을 잃어버린 사람들이 정착하면서 자연스럽게 형성된 마을로, 2010년 미술작가 구본호 작가가 주민과 봉사자들과 함께 벽화를 그리기 시작하여 마을 전체가 지금의 벽화마을로 재탄생했다. 벽화골목6의 끝에서 만날 수 있는 소망계단은 192개의 계단으로 이루어져 있으며, 아코디언 계단이라고 불리기도 하고, 오르내리며 소원을 빌면 소원을 들어준다고 해서 소망계단이라고도 불린다."
부산광역시 서구 아미로 49,(아미동2가),6,0,A02,A0203,A02030600,2760699,12,20211021193100,,,129.0124473789,35.0998532521,6,20211022235436,1,11,,비석문화마을,49243,"감천문화마을 옆 아미동 비석문화마을. 아미동 비석마을은 부산의 역사를 좀 더 단적으로 보여주는 동네로, 한국전쟁때 피난 온 사람들이 마을을 꾸렸다. 그 이전에는 일제강점기에 조성된 일본인들의 공동묘지가 있어기 때문에 비석마을이라는 이름이 붙었다. 비석마을의 골목에서는 그 흔적들을 볼 수 있는데, 각진 모양의 상석이나 비석들은 가파른 계단의 디딤돌로 쓰이거나 옹벽 또는 집의 주춧돌 등으로 활용되었다. 아픈 역사와 문화를 가진 곳에서 지금의 아름다운 문화 마을로 탈바꿈하기까지 모든 과정이 고스란히 담겨있는 곳이다."
부산광역시 서구 망양로193번길 187,(동대신동2가),6,0,A02,A0202,A02020700,2755009,12,20211008200117,http://tong.visitkorea.or.kr/cms/resource/92/2754992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2754992_image2_1.jpg,129.0279956864,35.112327142,6,20221115145644,1,11,,중앙공원,49214,"중앙공원은 부산광역시 중심지에 있으며, 6·25전쟁 때 피난민들이 판자촌을 이루고 살던 대청산을 휴식처로 가꾸기 위하여 조성된 공원으로 처음에는 '대청공원'이라 불리다가 1986년에 '중앙공원'으로 명칭이 바뀌었다. 가장 높은 곳에 있는 충혼탑은 높이 70m로 나라를 지키다 숨진 호국영령이 잠들어 있는 곳이다. 충혼탑 앞에는 넓은 광장과 야외조각공원, 중앙도서관, 해군전승비, 시민헌장비, 장건상 동상, 전승탑, 산책로 등을 갖춘 체육공원이 있다. 공원 내에 구덕민속예술관이, 예술관 동쪽으로 봉수대와 약수터가 있으며, 북쪽으로 헌장비, 자갈 마당, 협동골이 있고, 서쪽으로 영모비, 궁도장이 있고, 남쪽으로 구덕터널, 관리사무소, 구덕도서관이 있다."
부산광역시 서구 보수대로320번길 59,(서대신동3가),6,0,A02,A0202,A02020700,2744600,12,20210915004734,http://tong.visitkorea.or.kr/cms/resource/23/2744923_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2744923_image2_1.jpg,129.014810467,35.1216925172,6,20221004095723,1,11,,대신공원,49200,"부산광역시 서구 서대신동에 있는 대신공원은 1968년 낙동강이 부산광역시의 상수도 수원이 되고 나서 근린공원으로 개방되었다. 오랜 시간 수원지 보호를 위해 일반인의 출입을 금지해 왔다. 덕분에 삼나무와 편백나무, 벚나무 등 수령 70년이 넘은 나무들이 울창하게 숲을 이뤘다. 삼림욕하기에 좋아서 하루 4,000명 이상의 시민이 찾는다. 여러 가지 운동시설 외에도 궁도장, 저수지, 약수터, 산책로 등 다양한 편의 시설이 있어 시민들의 휴식 공간으로 인기가 좋다. 또한 공원 봉우리 정상에는 봉수대가 있어 매년 시민축제 때 봉화를 피워 올리며, 봉수대에서는 부산항과 영도가 한눈에 바라보여 전망이 좋다. 구덕도서관, 구덕야영장, 구덕민속예술관 등 공공시설이 공원 내에 있고 인근에는 송도해수욕장과 용두산공원 등이 있다."
부산광역시 서구 꽃마을로163번길 73,(서대신동3가),6,0,A02,A0202,A02020100,2744597,12,20210915004458,http://tong.visitkorea.or.kr/cms/resource/11/2744911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2744911_image2_1.jpg,129.0057694569,35.1264529287,6,20221206105305,0,11,,구덕문화공원,49200,"부산광역시 서구 서대신동에 있는 구덕문화공원은 구덕산 숲 속에 있다. 부산 전통문화 체험관, 민속생활관, 교육역사관, 닥종이 공예 전시실, 목석원예관 등 다양한 전시관과 폭포, 연못, 꽃길, 산책길 등을 갖춘 자연생태 문화 공간이다. 특히 편백숲은 명상을 즐기기 좋으며, 문화공원 내에 있는 다양한 공간을 이용 후 4곳 이상 방문 스탬프를 찍으면 관리실에서 선물을 주는 행사를 진행 중이다. 또한 야외미술관도 운영 중이며 부산시 공공미술 프로젝트 '우리 동네 미술'을 진행하고 있어 지역 작가들의 개성 있는 미술작품이 곳곳에 설치되어 문화, 예술이 살아 숨 쉬는 시민 휴식공간으로 그 의미를 더하고 있다."
부산광역시 서구 해돋이로183번길 17-4,(초장동),6,0,A02,A0205,A02050600,2721158,12,20210615195015,http://tong.visitkorea.or.kr/cms/resource/12/2720812_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2720812_image3_1.jpg,129.0173415667,35.093648481,6,20220519174707,3,11,,천마산하늘전망대,49259,"천마산하늘전망대는 천마산로의 '사진 맛집'으로 불리는 곳으로 부산 원도심과 부산항 일대를 굽어볼 수 있다. 전망대에 올라가면 부부가 손을 잡고 같은 곳을 바라보고 있는 조형물을 볼 수 있는데, 그 이유는 1,400만 관객을 동원한 영화 국제시장의 무대로도 쓰였던 곳이기 때문이다. 2019년 천마산 산복마을 흔적길 조성 사업이 마무리되면서 천마산로는 더 편리하게 정비되었다. 산복도로의 옛 정취는 간직하되 말끔한 모습을 더한 것이다. 현재 천마산로 일대에는 조명과 보행 데크 등이 설치되어 있어 안전한 밤 산책이 가능하다."
부산광역시 서구 암남동 620-53,암남공원 안,6,0,A02,A0205,A02050100,2684738,12,20201123221338,,,129.0220170229,35.0619576685,6,20220311175448,1,11,,송도용궁구름다리,49277,"송도해수욕장 동쪽 송림공원에서 거북섬을 연결했던 추억 속 '송도구름다리'가 암남공원에서 동섬을 잇는 현대판 '송도용궁구름다리'로 재탄생했다. 길이 127m, 폭 2m의 송도용궁구름다리에서는 바다 위를 걷는 짜릿함을 느낌과 동시에 시원스럽게 펼쳐지는 바다 풍광, 기암절벽이 빚어내는 천혜의 경관을 감상할 수 있다."
부산광역시 서구 암남동,,6,0,A01,A0101,A01010500,2614725,12,20190809014427,http://tong.visitkorea.or.kr/cms/resource/24/2614724_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/24/2614724_image2_1.bmp,129.019511576,35.0659655069,6,20221208165432,0,11,,송도반도 (부산 국가지질공원),49274,"87천만 년 전인 중생대 백악기말 다대포송도 지역의 동쪽에 위치한 동래단층과 서쪽의 양산단층이 움직이면서 두 단층 사이의 땅이 벌어지고 움푹 꺼져 그릇 모양의 다대포분지가 만들어졌다. 이 분지에는 큰 호수가 만들어지면서 두꺼운 퇴적층들이 쌓이게 되었고, 이 퇴적층을 다대포층이라 한다. 다대포층은 구성하고 있는 암석의 특징(붉은색층의 존재유무, 화산성 물질의 함량)과 퇴적환경의 차이에 따라 다시 하부다대포층과 상부다대포층으로 나뉜다.송도반도에서는 한국의 지질노두 150선에 선정된 다대포층이 해안가를 따라 하부부터 상부까지 연속으로 나타나며, 우리나라 제1호 해수욕장인 송도해수욕장 경관과 함께 공룡알둥지화석, 석회질고토양, 암맥, 단층 등의 지질기록을 만끽할 수 있다."
