addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 수영구 민락수변로17번길 56,,6,,A02,A0203,A02030600,2862152,12,20220929153201,,,129.1270664784,35.1542603874,6,20220929162748,1,12,,밀락더마켓,48281,"부산 수영구에 위치한 밀락더마켓은 키친보리에에서 운영하는 복합문화공간이다.
들어서서 보이는 벽면의 그래피티들이 인상적인 포토존 형성하고 있다.
차별화된 열린 광장형의 체험공간을 지향하는 이곳은 로컬과 문화를 연결하는 새로운 라이프스타일의 공간이며, 
누구나 주인공이 될 수 있는 꿈의 무대 '버스킹스퀘어'와 부산바다를 느낄 수 있는 '오션뷰스탠드', 수준높은 국내외 외식브랜드를 경험할 수 있는 'FB ZONE'등으로 공간이 구성되어있다."
부산광역시 수영구 광안해변로54번길 222,(남천동),6,0.0,A02,A0202,A02020100,2782626,12,20211129193619,http://tong.visitkorea.or.kr/cms/resource/04/2800304_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2800304_image2_1.jpg,129.1152455049,35.1462277346,6,20221110152058,1,12,,삼익비치수변공원,48305,"광안리해수욕장이 한눈에 들어오는 삼익비치 수변공원은 낮에는 산책이나 자전거를, 밤에는 화려한 야경을 즐기기에 더없이 좋은 장소다. 특히 부산을 대표하는 야경명소로 꼽히는 광안리해수욕장은 푸른 바다와 우리나라 최초의 2층 해상교량이자 최대 규모의 현수교를 자랑하는 광안대교가 어우러진 풍광이 압권이다. 시간대와 요일, 계절별로 무려 10만 가지 이상의 다양한 색상을 연출하는 경관 조명시설도 야경의 화려함을 더한다. 삼익비치 수변공원에서 바라보는 광안대교는 해수욕장과는 또 다른 각도로 매력을 뽐낸다. 해 질 무렵의 핑크빛 노을도 더 가까이에서 감상할 수 있다. 해마다 봄이 되면 현지인들은 물론 관광객들도 일부러 찾는 삼익비치 벚꽃길과도 연결돼 볼거리를 더한다."
부산광역시 수영구 남천동,,6,0.0,A03,A0301,A03010200,2708019,12,20210304011834,http://tong.visitkorea.or.kr/cms/resource/07/2708007_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2708007_image2_1.jpg,129.114673291,35.1477386656,6,20220329151806,3,12,,광안리 SUP Zone,48304,"'광안리 SUP Zone' 은 광안리해변을 해양스포츠의 메카로 만들고, 해양스포츠 이용객들을 위한 곳이다. 광안리해변은 연중 파도가 잔잔하여 SUP 타기에 적합하다. 수영구청은 광안리해변에 광안리 SUP Zone을 2020년부터 조성하여 운영하고 있으며, 광안리 SUP Zone은 광안리해변 내(광안리해양레포츠센터광안리지웰에스테이트 맞은편 백사장) 400m 구간으로 비치 바, 비치베드, 윈드배너, SUP포토존 등으로 구성되어 있다. 갈대파라솔과 비치배드는 78월에는 인근 수상레저샵을 통해 수상레저기구를 대여하시는 분에 한하여 무료로 이용할 수 있다.(78월을 제외하고는 누구나 자유롭게 이용가능)또한 체험형 미션 게임 플랫폼인 리얼월드 앱의 야외 방탈출 게임 바다 너머의 세상을 통해 광안리 해변 곳곳에 숨겨진 퀴즈를 풀어가며 색다른 산책을 즐길 수 있다."
부산광역시 수영구 구락로123번길 20,,6,0.0,A02,A0204,A02040800,2456767,12,20161215004102,http://tong.visitkorea.or.kr/cms/resource/31/2716231_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2716231_image3_1.jpg,129.1155140878,35.1767854293,6,20220615161059,11123,12,,F1963,48212,"stong와이어 공장에서 문화 공장으로 시크한 변신stong  고려제강은 세계 최대 특수 선재 회사로, 2008년까지 현수교, 자동차 타이어 등에 들어가는 와이어로프를 이곳에서 생산했다. 현재 리모델링을 통해 공연, 전시, 학술회의를 할 수 있도록 바꿨고, 맥주 바와 커피숍도 입점했다. 인더스트리얼 인테리어의 진수를 맛볼 수 있다."
부산광역시 수영구 망미배산로76번나길 15,(망미동),6,0.0,A02,A0201,A02010800,337532,12,20071219003042,http://tong.visitkorea.or.kr/cms/resource/98/1561798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1561798_image3_1.jpg,129.0986683346,35.1766545764,6,20220516150551,24537,12,,영주암(부산),48200," 도심속에 위치한 청정 사찰, 영주암 
영주암은 부산광역시 수영구 배산에 자리한 대한불교조계종 제14교구 본사 범어사의 말사이다. 부산의 중앙부에 위치해 있으면서 광안리 바다와 가까울 뿐 아니라 배산으로 오르는 등산로도 인근에 있어 배산임수를 갖춘 천혜의 명당이라해도 과언은 아니다. 부산지방 병무청(옛 국군부산병원 자리)에서 연산로를 따라 연산동 방향으로 550m 지난 후 오른쪽 도로를 따라 한신아파트 방향으로 350m 오르막 골목 위에 위치한다. 부산 망미동 배산 자락에 위치한 영주암은 주택가 한 가운데 자리하고 있지만 도심 속 사찰로는 드물게 한적하고 맑은 기운 감도는 수행과 정진의 도량이다. 1850년 한 스님에 의해 수행처로 창건된 곳이라 이름도 전각도 전해지지 않아 그냥 주변의 지명에 따라 토곡절로 불리던 이름없는 도량이었으나 주변의 경관이 아름답고 수행하기 적합하고 중국의 신선이 살았다는 영주산의 모습과 비슷하다 하여 영주암으로 불리기 시작했다.
샘솟는 물이 좋고 법당에서 바라보이는 광안리 앞바다의 전망이 고요해 기도처로 그 명맥을 이어가다 1972년 들어 비로소 사격을 갖춘 사찰로 거듭나니 영주암의 중창역사는 그리 오래지 않다. 남서쪽으로 금련산과 황령산에다 망미고개가 버티고 서북쪽으로는 배산과 망산, 토곡고개가 막아서며 동남쪽엔 수영강이 흐르는 천연의 요새 망미동에 위치한 영주암은 배산임수의 조건을 잘 갖춰 채광이 좋고 공기가 맑으니 짧은 역사에도 불구하고 찾는 신도들도 많다. 더욱이 동산스님의 가르침을 이어 받은 조실 정관스님이 수행과 정진의 기틀위에 교화사업을 펼친 곳이며, 회향과 실천의 원력으로 불교의 현대화와 사회의 소외계층을 찾아 나선 출발점으로 기억되는 곳이니 영주암 중창의 역사는 동체대비의 역사라 해도 과언이 아니다. 한국불교의 중심지인 부산지역에서 포교의 구심점 역할을 다하여 온 영주암은 포교에 대한 불교계의 일반적인 인식이 부족한 1970년대부터 우리나라 불교중흥을 원력으로 삼아 어린이, 중학생, 고등학생, 대학생, 불교언론 및 사회복지분야에 이르기까지 교화를 위한 큰 족적을 남기고 있다.
또한 사회복지사업 등 소외계층에 대한 관심과 참여가 깊어 뜻을 같이 하는 스님들을 모아 사단법인 불국토, 사회복지사업을 목적으로 하는 사회복지법인 불국토, 청소년 활동을 목적으로 하는 재단법인 불국토청소년도량 등을 설립하여 교화사업을 하고 있으며 부산 불교계 최초의 청소년수련관 위탁, 부산 불교계 최초 국고 지원 어린이집 설립 그리고 부산 불교계 최초의 실버타운 상락정을 운영하는 등 크고작은 불사를 이루고 있다. 찾아오는 대중들을 위한 포교에서 진일보해 직접 대중들을 찾아가는 새로운 포교의 장을 열고 있는 영주암은 종교가 지향해야하는 그 모범적 실천들을 앞세우며 지금 한국불교의 새로운 성지로 거듭나고 있다."
부산광역시 수영구 수영성로 43,(수영동),6,0.0,A02,A0201,A02010100,129631,12,20070720090000,http://tong.visitkorea.or.kr/cms/resource/76/566276_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/566276_image3_1.jpg,129.1117117085,35.1743106361,6,20220524155803,24933,12,,좌수영성지,48229,"부산광역시 수영구 수영동 일대에 위치한 좌수영성지는 경상남도 옛 수군의 본영이다. 좌수영은 조선시대에 동남해안을 관할했던 군영으로 예로부터 남쪽지방이 지리적인 요인으로 잦은 왜구의 침략으로 피해를 받자, 왜구를 토벌하기 위해 부산에는 경상좌수영을, 통영에는 경상우수영을 세워 남쪽의 국토 방위를 책임졌다. 원래 좌수영은 남구 감만동에 있었는데 태종때 울산 개운포로 이전했다가 임진왜란 직전에 현재의 수영동으로 옮겨졌다고 한다. 좌수영성의 축조연대는 정확하지 않고 숙종18년(1692년)에 개축한 것이라 한다. 좌수영의 동,서,남,북에는 영일문, 호소문, 주작문, 공진문이라 불리는 4개의 문이 있었으며, 일정한 시각에 폐문루, 관해루에 달아둔 북을 울려 여닫았다. 그밖에 3개의 우물과 4개의 배수구, 옹성, 치성, 보루 등이 있었다. 그러나 일제강점기에 대부분이 파손되어 현재는 성벽임을 짐작하게 해주는 620m 길이의 돌터와 홍예문, 배수구, 그리고 성의 존재를 증명하듯 수영공원 동쪽 입구에 남문만이 자리하고 있으나 이 남문도 제자리가 아니다. 남문 양쪽에는 박견이나는 개 형상을 한 독특한 돌조각이 마치 남쪽을 향해 입구를 수호하듯 나란히 배치되어 있다. 좌수영성지는 부산기념물로 지정되어 있다.   좌수영성지의 구축 및 역할   축성에 동원된 인력이 얼마인지 알 수 없으나 현재 남아 있는 돌에 언양·양산 등의 지명이 새겨져 있어, 각지의 민정을 동원하였음을 알 수 있다. 그밖에 3개의 우물, 4곳의 배수구, 옹성(甕城), 치성(雉城), 보루(堡壘) 등이 있었다. 일제강점기에 관리가 소홀하여 대부분 폐허가 되었으나 성벽·남문·홍예문·배수구 등이 남아 있다. 경상좌도 수군절도사, 종군, 왜학훈도(倭學訓導)가 있었으며, 7개의 진(鎭)이 소속되어 모두 65척의 전선과 40척의 나룻배가 낙동강의 동쪽에서 경주까지의 전 해상을 방어하였다."
부산광역시 수영구 광안동,,6,0.0,A01,A0101,A01010400,129140,12,20060712090000,http://tong.visitkorea.or.kr/cms/resource/44/1156844_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/44/1156844_image3_1.jpg,129.0974161159,35.1602230601,6,20220527134221,23669,12,,금련산,48428," 연꽃은 닮은 산세, 금련산  해발 415m의 금련산의 유래는 산의 모양이 연꽃  모양이라 해서 그렇다는 말도 있고, 부처님 앞에 공양을 올릴 때 황금색 금련화로  말미암아 불려지게 되었다는 말도 있다. 반야암과 바라밀 다사가 있었던 자리엔 축대가  남아있어 예전 명산으로 이름을 날렸을 때의 흔적을 볼 수 있다. 또한 금련산에서  들려오는 절의 종소리가 (연산모종) 으뜸이라 하여 수영 팔경에 들어 있으며, 청소년수련원,  약수터, 등산로 등의 휴식공간이 자리잡고 있다.   금련산의 볼거리  산중에는 청소련수련소, KBS방송국, 부산시장관저,  부산시공무원교육원이 자리잡고 있다. 부산도시산업도로가 산허리를 가로질러 달리고  부산지하철 2호선이 지난다. 산 정상부에는 송신탑이 있고 부산항과 광안리해안가  일대를 바라보는 전망이 매우 뛰어나다.  또한, 인근에는 고대 인도 산스크리트어로 마하는  훌륭한 존귀한 위대한이라는 뜻을 가지고 있는 마하사가 있다."
부산광역시 수영구 광남로257번길 58,(민락동),6,0.0,A02,A0201,A02010800,128134,12,20040510090000,http://tong.visitkorea.or.kr/cms/resource/30/2504730_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2504730_image2_1.jpg,129.1266024351,35.161379026,6,20220516154541,31949,12,,옥련선원,48275,"대한불교조계종의 직할교구인 조계사의 말사이다. 창건 시기와 창건자는 알 수 없다. 670년(문무왕 10) 원효가 백산사라 이름을 정하고, 910년(성덕왕 9)에는 최치원(崔致遠)이 이 절에 은둔하여 참선하였다는 유서 깊은 고찰이다. 서기910년(성덕왕9년)에 최고운선생이 백산사에 은둔하여 참선했다. 1635년(인조13년) 해운선사가 옥련암을 개칭 하였으며, 1976년 대웅전을 중창하면서 옥련선원으로 개칭하여 현재에 이르고 있다.1992년 50척 높이의 미륵대불을 세웠으며 미얀마의 고승인 우의자난다 스님이 가져온 세존 진신사리 12과와 미륵 삼부경을 봉안한 유서깊은 곳이다. 또한 한국 고유의 불교, 문화, 예술 및 건축사의 추이를 이해하는데 특히 필요하다고 인정되는 사찰로 1998.10.17 전통사찰 제28호로 지정되었다. 삼국시대의 마애미륵석불과 신라시대의 불상으로 추정되는 부석불석상 등 여러 가지 탱화가 있다.  유물로는 삼국시대의 마애미륵석불 및 신라시대의 불상으로 추정되는 부석불석상이 있다. 또, 1992년 1,500톤의 화강석으로 제작한 약 15m 높이의 미륵대불이 있다. 이 불상은 국내 최대의 석조 좌불상으로 법주사의 은진미륵과 함께 한국 불교의 명물로 꼽힌다. 이밖에 진신사리 5과를 모신 사리탑과 임진왜란 때 죽은 무명고혼(無名孤魂)의 명복을 빌기 위해 세운 임진왜란 천도비가 있다."
부산광역시 수영구 민락동,,6,0.0,A02,A0202,A02020100,126799,12,20031215090000,http://tong.visitkorea.or.kr/cms/resource/17/1573617_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1573617_image3_1.jpg,129.1331270526,35.1546382351,6,20220916143006,41774,12,,민락수변공원,48289," 바다와 어우러지는 공간, 민락수변공원  수영구는 오랜 역사와 전통을 지닌 곳으로 경관이 빼어나다. 뒤로는 산세가 수려한 금련산이 있고 앞으로는 광안리해수욕장이 있어 전형적인 배산임해의 명승지이다. 조선시대에는 경상좌도 수군절도사영이 있어 군사적으로 대단히 중요한 지역이었다. 수영이란 지명도 수군절도사영의 준말이었는데 현재의 지명으로 굳어졌다. 이곳에 조성된 민락수변공원은 1992년 8월 공사가 시작돼 1997년 5월 길이 543m, 너비 60m의 공원이 완공되었다. 이 공원은 바다와 휴식공간을 결합한 국내 최초의 수변공원으로 해운대와 광안리의 중간 지점에 위치하고 있다. 면적 1만평 규모로 4만명을 수용할 수 있으며, 바닥에는 컬러 블록을 깔고 화단과 그늘집, 벤치 등의 편의시설을 갖추고 있다. 바다를 바라보며 각종 행사도 관람할 수 있는 3,040㎡에 달하는 스탠드는 만조 때 바닷물이 들어와 발을 담글 수도 있는 공간이다."
부산광역시 수영구 민락동,(민락동),6,0.0,A02,A0203,A02030600,127925,12,20031007090000,http://tong.visitkorea.or.kr/cms/resource/88/1156588_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1156588_image3_1.jpg,129.1221363273,35.1551657503,6,20220510162753,39690,12,,광안리해변 테마거리,48284," 부산의 젊음의 거리, 광안리해변 테마거리   해운대와 더불어 부산의 대표적인 광안리해수욕장은  양질의 모래사장과 사시사철 다양한 축제로 젊은이들 뿐만 아니라 모든 세대들이  즐겨찾는 부산의 관광명소이다. 해수욕장은 총면적 82,000㎡, 사장길이 1.4km, 사장폭은  25110m이다. 금련산에서 내린 질 좋은 사질에 완만한 반월형으로 휘어진 사장은  전국적으로 이름나 있고 해수욕장 주변에는 제각기 독특한 분위기를 자아내는 레스토랑,  커피숍 등과 진미를 자랑하는 음식점과 생선 횟집이 모여 있다. 백사장내에 야외상설  무대를 설치하여 각종 공연장소로 활용되고 있으며 이웃해있는 수변공원, 광안리해변테마거리,  해변공원, 노천카페 등이 유명하고 윈드서핑, 요트, 스쿠버다이빙 등 다양한 해양 스포츠를 즐길 수 있다.  특히 2003년 광안리해수욕장 개장일에 맞춰 완공된 광안해변의  테마거리는 인공야자수, 조형물, 벤치, 녹지대 등을 갖추고 있다. 해변에 조성된  테마거리는 광안리해변을 따라 보행자중심의 시민휴식공간으로 세련된 이국적 분위기를  연출하고 있어, 부산의 상징이며 명물로 태어난 광안대로와 함께 광안리해수욕장의  새로운 관광자원으로 자리잡게 되었다.  보행자 중심의 관광거리인 테마거리는 남천동 협진태양맨션에서  민락 회타운까지 1,250m의 해안도로를 따라 조성되었으며 협진태양맨션에서 만남의  광장 950m의 1단계는 보도폭이 79m로서 차도를 축소(4차로 → 2차로)하여 해변측에  보도를 조성하고 전망파빌리온 등 조형물과 가로등, 수목플랜트, 벤치등을 조성하였으며,  낭만의 거리, 해맞이광장, 젊음의거리로 나누어져 있다. 만남의 광장에서 민락타운 앞인 광안리 해변공원까지 2단계는 보도폭이 1219m로서 인공야자수와 목재테크,  휴게스탠드, 수목플랜트, 가로등, 민락횟촌 상징물 등을 조성하였으며 축제의 광장이라  불린다.  또한 보행자 거리의 의미를 살려서 전구간에 점토블록을 깔았다.광안리해변에  테마거리 조성으로 지하철 2호선 공사 시작이래 8여년동안 급격한 상권하락으로 침체기를  맞이했던 광안리해수욕장 일대는 젊음과 축제의 거리, 가족의 거리로 예전의 명성을  되찾고 지역상권도 회복될 전망이며, 사시사철 전국에서 수많은 관광객들이 아름다운  광안리를 찾고 잘 꾸며진 해변거리를 거닐면서 광안리해수욕장과 광안대교의 은빛찬란한  야경을 보고, 카페거리와 민락횟촌에서 맛있는 음식을 즐기는 추억과 낭만의 거리로  오랫동안 그들의 기억에 남을 것이다.   광안리해변 카페거리(테마거리 반대편 보행자 도로)   광안리해변에는 100여개의 카페가 있다. 음악과  칵테일과 낭만이 깃든 카페에서 바라보는 해수욕장과 광안대교는 아름답기 그지없다.  광안대교에서 이 곳을 바라보면 마치 동화속 유럽의 한 도시를 여행하고 있는 듯한  착각을 할 만큼 예쁘게 꾸며져 있다. 광안리 해수욕장과 인접해 있어 가족단위나  친구·연인과의 만남을 위한 장소이기도 하다. 또한 이곳에서는 음식과 술뿐만  아니라 야외음악도 감상할 수 있다. "
