addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 영도구 동삼동 764-7,,6,0,A01,A0101,A01011400,2787164,12,20211207185221,http://tong.visitkorea.or.kr/cms/resource/42/2798142_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/2798142_image2_1.JPG,129.0815032887,35.0704133733,6.0,20221107101911,0,14,,하리선착장,,"부산에 있는 40개의 섬 중에 가장 큰 섬인 영도에 있는 하리항에는 하리선착장과 하리방파제가 있으며, 하리항 일대가 2020년도 어촌 뉴딜 300 사업 최종 대상지로 선정되어 주차장 및 안내센터 설치, 산책로 조성 및 해양 낚시터 환경 개선 사업을 진행하고 있다. 하리선착장에서 배를 타고 가면  부산시 수협 동삼 어촌계가 운영하는 휴게 시설과 화장실 등을 갖춘 유어장(좌대) 해상 낚시터 4동이 유료로 운영되고 있으며, 100여 명이 한 번에 이용할 수 있다. 출항 시간과 철수 시간을 미리 숙지하고 이용해야 한다. 벵에돔, 감성돔, 쥐치, 놀래기 등 다양한 어종이 잡혀 전국 낚시인에게 입소문이 자자하다."
부산광역시 영도구 감지길 110,(동삼동),6,0,A01,A0101,A01011200,2785289,12,20211202224528,http://tong.visitkorea.or.kr/cms/resource/18/2798118_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/18/2798118_image2_1.JPG,129.0764900502,35.0625336062,6.0,20220628172318,0,14,,감지해변,49126,"부산 태종대 옆에 자리한 감지해변은 길이 270m, 폭 40m의 크기에 부산에서는 보기 힘든 조약돌이 깔린 아기자기한 해변이다. 수려한 경관과 바다 위로 드리운 일몰이 아름다워 뷰 포인트로 각광받고 있는 곳이다. 도심에서 30분 정도의 거리에 있어 접근성이 좋다. 각양각색의 다이빙 포인트가 많아 스킨스쿠버 다이빙을 즐기러 오는 다이버들에게 많은 사랑을 받는 곳이기도 하다. 감지 해변의 해안선을 따라 약 3㎞의 길이로 조성된 감지해변 산책로는 어린이를 동반해도 무리 없을 정도로 경사가 완만하고, 야생초 꽃밭은 청소년들의 자연학습장으로 더할 나위 없이 좋다. 산책 후 태종대 유원지 부설주차장에 자리 잡은 조개구이촌에서 즐기는 바다 내음 가득한 신선한 조개구이도 빼놓지 말아야 할 코스이다."
부산광역시 영도구 해양로301번길 17,(동삼동),6,0,A02,A0202,A02020800,2785271,12,20211202223932,http://tong.visitkorea.or.kr/cms/resource/96/2797496_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/96/2797496_image2_1.JPG,129.0791837627,35.080801057,6.0,20220701153241,1,14,,국제크루즈터미널,49111,"2007년 4월 개장한 국제크루즈터미널은 초대형 여객선이 안전하게 취항할 수 있도록 11.8m의 깊은 수심을 확보하고 있으며, 입출국 관련 시설 및 세관 시설까지 편리한 서비스를 갖춘 곳이다. 부산항만공사가 관리하고 있는 국제크루즈터미널은 26,839.57㎡의 대지면적에, 2,568.78㎡의 건물이 들어서 있다. 건물 1층은 CIQ (세관(Customs), 출입국관리(Immigation), 검역(Quaantine)의 약칭. 출입국 때 반드시 거쳐야 하는 3대 수속)시설과 1층 대합실 등이 있고, 2층은 매표소, 2층 대합실, 업무용 사무실 등이 있어 편리하게 이용할 수 있다. 또한 수하물 검색장과 면세물 인도장은 별관 2동에 따로 있다. 국제크루즈터미널은 부산항을 기점으로 한 관광에 새로운 성장 동력이 되고 있다."
부산광역시 영도구 대평북로 6,(대교동1가),6,0,A01,A0101,A01011400,2784333,12,20211201192306,http://tong.visitkorea.or.kr/cms/resource/27/2787727_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2787727_image2_1.jpg,129.0372454392,35.0919018203,6.0,20221027113423,3,14,,부산남항,49042,"부산남항은 부산항의 바로 옆에 위치하고 있으며 영도대교와 남항대교까지 이르는 항구가 이곳에 해당한다. 부산의 상징인 자갈치시장을 포함해, 부산공동어시장, 그 너머 영도의 남항동이 자리하고 있다. 특히 영도의 남항동에는 크고 작은 조선소들이 많은데 주로 배를 수리하는 곳들이다. 한국전쟁 피난시절 수많은 사람들이 이곳에 터전을 가꾸고 오랜 세월을 버티며 살아온 작은 마을이라 사람 사는 냄새가 많이 베인 곳이다. 반대편인 남부민동에는 국내 최대의 수산물 위판장인 부산공동어시장이 자리하고 있어 냉동창고나 가공공장들이 가득하다. 그 옆으로는 자갈치시장과 항구가 맞닿아 있어서 신선한 수산물들을 싸게 구입할 수 도 있고 맛볼 수도 있어 항상 지역 사람들과 관광객들이 어울려 북적이는 곳이다. 부산남항의 입구에 남항대교가 있다. 남항대교는 부산 서구 안남동과 영도구 영선동을 연결해주는 다리이다. 다리 양쪽 끝에 엘리베이터와 계단이 있어 대교 위에 올라서면  부산 앞바다의 전경이 멋지게 펼쳐진다. 부산에서도 전망 좋은 곳으로 입소문이 나면서 찾는 발걸음이 많아지고 있다. 남항대교 아래로 수변공원도 조성되어 있어서 돗자리를 깔고 휴식을 취하는 지역주민들도 있고, 낚시를 즐기러 오는 강태공들도 많이 찾은 곳이다."
부산광역시 영도구 절영로 321,(동삼동),6,0,A02,A0205,A02050600,2740063,12,20210906193819,http://tong.visitkorea.or.kr/cms/resource/05/2740605_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2740605_image2_1.jpg,129.0548555626,35.0719627089,6.0,20221012104641,1,14,,영도 하늘전망대,49113,"영도의 하늘 전망대는 경치가 좋기로 소문난 절영해안산책로에 있다. 날씨가 화창한 날엔 대마도, 거제도, 가덕도 등이 보이며 75 광장과 연결되어 있다. 바닥이 반투명한 스카이워크와 커플들이 자물쇠를 거는 곳이 마련되어 있어 연인들의 데이트 장소로 인기가 높다. 하늘 전망대라는 이름에 걸맞게 탁 트인 푸른 바다와 파란 하늘을 한눈에 담을 수 있으며, 나무 데크 길로 내려가면 해안산책길로 이어진다. 전망대 아래 해변은 스노클링을 즐길 수 있는 자갈 해변과 왕복 20분 정도 걸리는 해변 산책로가 있고, 근처에 영화""변호인"" 촬영지로도 유명한 흰여울 문화마을과 연결된다. 특히 이곳은 부산의 노을 명소로 주목받고 있으며, 주차장과 화장실이 구비되어 있다."
​부산 영도구 청학동 217-43,,6,0,A02,A0202,A02020100,2736392,12,20210825192049,http://tong.visitkorea.or.kr/cms/resource/12/2736512_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2736512_image2_1.jpg,129.0611626448,35.0977293865,6.0,20220928103627,1,14,,청학 수변공원,,청학 수변공원은 부산 항만공사와 부산 지방해양항만청이 함께 조성한 민간 최초의 수변공원이다. 바다 가까이 있어 부산항대교를 가장 가까이서 볼 수 있는 공원으로도 유명하다. 조경은 물론이고 체육시설까지 잘 갖춘 공원으로 동해안 국토종주 자전거길에 포함되어 있어 자전거 타기에도 적합하다. 최근 야경이 아름다운 부산항대교 야경 촬영 명소로 알려지면서 영도의 새로운 관광 핫스폿으로 급부상 중이다. 부산항대교 점등시간은 일몰 후 20분부터 11시까지이니 촬영이 목적이라면 미리 점등 시간을 체크한 뒤 방문하는 것이 좋다(공지사항)부산항대교 점등시간 확인https:www.ukhang.comintointo_04.php
부산광역시 영도구 흰여울길 379,,6,0,A02,A0203,A02030100,2684712,12,20201123220357,http://tong.visitkorea.or.kr/cms/resource/48/2716248_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2716248_image3_1.jpg,129.0463700445,35.0772758472,6.0,20220519184839,7,14,,흰여울문화마을,49081,"피난민들의 애잔한 삶이 시작된 곳이자 현재는 마을주민과 함께하는 문화마을공동체 흰여울문화마을이 자리한 곳이다. 부산의 대표적인 원도심 흰여울길은 봉래산 기슭에서 굽이쳐 내리는 물줄기가 마치 흰 눈이 내리는 모습과 비슷하다 하여 이름 지어졌다. 2011년 12월, 낡은 가옥을 리모델링하면서 현재는 영도의 생활을 느낄 수 있는 독창적인 문화예술마을로 거듭났다."
부산광역시 영도구 와치로 36,(청학동),6,0,A02,A0205,A02050600,2675032,12,20201007052400,http://tong.visitkorea.or.kr/cms/resource/21/2675021_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/2675021_image2_1.jpg,129.0600713277,35.0883915225,6.0,20220510094231,1,14,,영도 청학배수지 전망대,49086,영도 청학배수지 전망대에서 내려다보는 부산항대교는 시시각각 종류가 다른 빛을 쏟아낸다. 부둣가의 불빛과 그 뒤로 배경이 되어주는 도심의 불빛들에 입이 절로 벌려진다. 영도에서 보는 야경은 광안리나 황령산에서 보는 야경과는 다른 느낌의 부산을 느낄 수 있는 곳이다.
부산광역시 영도구 대평북로 36,(대평동2가),6,0,A02,A0204,A02040800,2554070,12,20200922001035,,,129.0342206663,35.0932043968,,20221027141517,957,14,,깡깡이 예술마을,49039,stong근대 조선산업의 발상지이자 해양생활문화자원을 간직한 예술마을stong  부산시 영도구 대평동(대평로1·2가)은 우리나라 근대 조선 산업의 발상지다. 녹슨 배의 표면을 벗겨내는 망치질 소리 때문에 깡깡이 마을이라고 불린다. 다양한 해양생활문화자원을 간직한 대평동은 2016년 도시재생 프로젝트를 통해 멋진 예술마을로 다시 태어났다.
부산광역시 영도구 동삼동,,6,0,A02,A0202,A02020700,2661446,12,20200630000836,,,129.0774423702,35.076293196,6.0,20221109140241,1,14,,아미르공원,49111,"아미르 공원은 1990년 말 부산항 북항 개발과정의 준설토를 매립하여 조성된 동삼혁신도시 내 공원으로써, 지역개발을 염원하는 주민대표인 '동삼혁신지구발전대책위원회'의 지속적 관심과 노력으로 2012년 7월 탄생하였다. 영도구 국립해양박물관 옆에 위치한 아미르 공원은 넒은 잔디공간에 탁 트인 바다를 감상할 수 있고, 여름에는 수국이 만개하여 화려한 수국길을 걸을 수 있는 곳이며, 길이 600m, 폭 38m 규모의 공원으로 많은 시민들이 찾는 힐링공간이다."
