addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 중구 민주공원길 19,(영주동),6,0,A02,A0202,A02020100,2755002,12,20211008195652,http://tong.visitkorea.or.kr/cms/resource/99/2754999_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2754999_image2_1.jpg,129.0280540854,35.1097246563,6.0,20211008195652,1,15,,부산민주공원,48901,"부산 중구에 있는 민주공원은 부산 민주화운동의 역사를 기리며 시민이 쉽게 접근할 수 있는 공간으로 부산 시민들의 삶의 질 향상을 위해 문화의 전당으로 조성하였다. 민주항쟁기념관은 총면적 20,337㎡로 1999년 10월 16일 부마민주항쟁 20주년 기념일에 개관하였다. 국제회의와 학술행사, 각종 강연회, 노래와 연극·영화·무용 발표회 등 복합문화공간으로 활용되고 있으며 민주공원 상징물인 민주횃불이 가운데 있다. 또한, 전망대에서는 부산 원도심과 부산항을 한눈에 볼 수 있고 수목원에는 약 4백여 종의 수목이 자라고 있다. 일주도로에는 고난의 장, 추념의 장, 정의의 장 등 테마별로 휴식공간이 마련되어 있다. 인근에 중앙도서관과 광복회관, 부산대첩 승전기념전적비 등이 있다."
부산광역시 중구 영주동 91-7,(영주동),6,0,A02,A0205,A02050600,2721157,12,20210615194543,http://tong.visitkorea.or.kr/cms/resource/09/2720809_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2720809_image3_1.jpg,129.0307259427,35.1146102693,6.0,20220502111922,1,15,,영주하늘눈전망대,48905,"영주하늘눈전망대 전망대는 산복도로 걷기 좋은 산책로 조성사업의 일환으로 만들어 졌으며, 부산 시민들 사이에 야경 명당으로 꼽히는 곳이다. 근처에는 중앙공원과 이어지는 산책로가 있어 밤에도 가족 혹은 반려견과 함께 산책을 하기에도 좋은 곳이다. 영주하늘눈전망대에 도착하면 독특한 조형물 하나가 있는데, 바다와 산, 도시가 어우러진 부산의 특징을 조각타일로 표현한 조형물, 부산을 내려다보는 하늘눈' 을 볼 수 있으며, 도시를 밝히는 불빛이 별빛처럼 내려앉은 밤 풍경은 더욱더 운치가 좋다. "
부산광역시 중구 영주로 93,,6,0,A02,A0205,A02050600,2669544,12,20200828005547,http://tong.visitkorea.or.kr/cms/resource/57/2731757_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2731757_image2_1.jpg,129.0322896932,35.1146852898,6.0,20210807001336,1,15,,역사의 디오라마,48905,"부산 해양의 풍경과 시간을 조망할 수 있는 전망대이다. 피란수도, 해양도시로 대표되는 부산의 가장 부산다운 모습을 그대로 간직하고 있다. 부산의 대표적인 관광지인 서면과 남포동 두 지역을 잇는 86번 버스를 타면 지나가는 곳이다.
정면으로 보이는 광안대교 바다 전망과 더불어 옆으로는 산복도로 위를 저마다의 색으로 빼곡하게 채우고 있는 건물들, 그 사이 굽은 길을 능숙하게 오가는 버스들은 오직 부산에서만 볼 수 있는 전망이다. 자연경관, 근대경관, 문화경관, 미래경관까지 해안가를 따라서 보이는 4가지 주제의 풍경들을 속 시원하게 바라볼 수 있다."
부산광역시 중구,(영주동),6,0,A02,A0203,A02030600,2650232,12,20200324023540,,,129.0309232942,35.1092330974,6.0,20220520112321,1,15,,산복도로,48917,"산복(山腹)은 산허리를 뜻하며, 산복도로는 경사지를 개발하면서 맨 위쪽에 자리한 도로다. 1964년 10월 산동네를 연결하는 첫 산복도로가 열렸으며, 중구 대청동 메리놀병원 앞에서 동구 초량동 입구까지 1820m 구간에 걸친 산복도로가 부산 곳곳에 만들어졌다. 이러한 산복도로는 산비탈에 숨은 이야기와 아름다운 경치를 볼 수 있다."
부산광역시 중구 대청로126번길 12,(동광동3가),6,0,A02,A0204,A02040800,2554068,12,20180718004520,,,129.0336899238,35.1017589855,,20220516160540,704,15,,부산영화체험박물관,48950,"부산영화체험박물관은 전국 최초의 영화 관련 전문 전시체험 시설이다. 영화의 원리를 이해하고 제작의 즐거움을 체험할 수 있는 다양한 전시시설 및 영화의 과거와 미래를 연결하는 하이테크 시네마를 갖추고 있다. 이야기가 있는 콘텐츠와 다양한 체험시설을 통해 영화의 모든 것을 보고, 느끼고, 즐기는 문화 공간이다."
부산광역시 중구 구덕로 73,(남포동6가),6,0,A02,A0203,A02030600,1960620,12,20141028202648,http://tong.visitkorea.or.kr/cms/resource/32/1157632_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1157632_image3_1.jpg,129.0277461155,35.0973677005,6.0,20220524094404,9206,15,,부산 자갈치 양곱창 골목,48982,"부산 여행의 양대산맥 해운대와 남포동. 먹거리 여행의 메인은 남포동이고, 그 중에서도 자갈치 시장이 제일로 꼽힌다. 왜냐, 자갈치시장에 가면 각종 건어물과 생선은 물론 다양한 회부터 생선구이까지 맛볼 수 있기 때문이다. 어디 그뿐이랴. 당연히 회만 있으리란 생각을 보기좋게 날려버리는 양곱창 골목까지 품고 있다. 애주가들에게는 이곳이 지상낙원이자 천국이다. 자갈치 시장을 여러 번 구경했다면 생선에서 벗어나 신동아시장 주변에 자리한 양곱창집으로 발길을 돌려보자. 연탄불에 구워내는 고소하고 쫄깃한 양곱창을 맛볼 수 있다."
부산광역시 중구 광복로12번길 3,,6,0,A02,A0203,A02030600,1960614,12,20141028195906,http://tong.visitkorea.or.kr/cms/resource/43/1877443_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/1877443_image3_1.jpg,129.0264572886,35.0992146927,6.0,20220628164433,4226,15,,부산 부평 족발 골목,48980,"씨앗호떡, 곤약 어묵, 매운 떡볶이, 비빔당면, 유부주머니, 밀면, 돼지국밥 등 말이 필요없는 부산의 푸짐한 먹거리. 이 중에서도 말이 필요없는 별미로 첫손에 꼽히는 냉채족발. 매콤한 겨자소스에 당근과 오이 등 각종 야채와 해파리를 올려 맛본다, 덕분에 느끼한 것은 잘 먹지 못하는 젊은 아가씨들도 칼큼한 겨자 소스와 야채의 힘을 빌어 마음껏 맛볼 수 있다. 부평 족발골목 이라는 이름처럼 부평동 자락에 족발집들이 모여있다. 국제시장을 구경하다 광복로를 따라 올라가면 여기저기 족발 간판이 내걸린 부평동 사거리와 닿는다."
부산광역시 중구 자갈치해안로 52,(남포동4가),6,0,A02,A0202,A02020200,1957694,12,20141021022307,,,129.0306014426,35.0966650543,6.0,20210702230227,7437,15,,용두산 자갈치 관광특구,48983,"용두산 자갈치 관광특구는 역사와 문화를 가득 품고 있는 매력적인 문화관광지역으로 전통시장의 따뜻한 인심과 어묵, 씨앗호떡, 비빔당면, 팥죽, 팥빙수 등의 맛있는 길거리 간식과 함께 보수동, 40계단 골목 등 골목마다 가진 스토리로 역사의 숨결을 느껴볼 수 있는 원도심 대표 관광지역이다. 용두산공원을 포함하는 쇼핑의 중심지 광복동과 자갈치시장, 국제시장, 부평깡통야시장 등의 전통시장과 영도대교, 보수동 헌책방골목, 부산근대역사관 등의 원도심의 역사문화자원이 간직된 곳으로 연중 이벤트, 축제, 쇼핑이 가능한 도심형 관광지로 국내외 여가․문화관광객이 끊이지 않는 명실상부한 관광중심지역이다. 2013년 11월 47년만의 영도대교 복원은 다른 지역에서는 볼 수 없는 차별화된 볼거리로 새로운 관광명소로 부각되고 있으며 부평깡통야시장과 국제시장의 글로벌복합문화공간 개장 등 전통시장의 끊임없는 변신과 부산국제영화제, 부산자갈치축제, 부산크리스마스트리 축제 등은 새로운 볼거리와 즐길거리로 과거의 향수를 느끼기 위해 방문하는 중장년층 뿐 아니라 젊은이들까지 유혹하고 있다. 용두산공원에 올라 바라보는 부산의 전경과 영도대교 도개와 자갈치시장의 싱싱한 해산물, 40계단과 보수동 책방골목에서의 여유로운 산책은 행복한 여행의 추억으로 남게 될 것이다.

 용두산 자갈치 관광특구 현황
1) 범위 : 부산시 중구 부평·광복·남포동 전 지역, 중앙·동광·대청·보수동 일부 지역
2) 면적 : 1,079,836㎡ 3) 관광특구 지정일 : 2008년 5월 14일
 용두산 자갈치 관광특구 시설 현황
용두산공원, 영도대교, 자갈치시장, 국제시장, 부평깡통야시장, 보수동 헌책방 골목, 비프광장, 유라리광장 등 다수의 인문 관광 자원 보유"
부산광역시 중구 용두산길 37-55,(광복동2가),6,0,A02,A0201,A02010700,1942348,12,20140820012210,,,129.0327483723,35.1005396593,6.0,20220426165341,5819,15,,관수옥과 초량왜관 터,48950,"관수옥  초량왜관의 우두머리인 관수가 머물던 곳이다. 당시에는 용두산을 중심으로 동쪽이 가장먼저 시가지가 발달하기 시작하였는데 배를 대는 선착장이 가깝기 때문이다. 일본사람들이 배로 들어와 동쪽을 중심으로 살기 시작했고, 관수옥을 지나 왜관으로 들어갔을 것이다. 관수옥이 있던 자리에는 지금도 돌계단이 남아있다.  초량왜관 터  초량왜관은 일본과 우리나라의 무역에서 중심의 역할을 했던 곳이다. 용두산을 둘러싸고 만들어진 초량왜관은 안에는 신사를 비롯하여 일본인들의 편의 시설이 가득했다. 지금은 공원으로 들어가는 3군데의 진입로가 만나는 지점에 초량왜관 터라는 비석이 놓여져있어 예전에 이곳이 초량왜관이었다는 것을 알리고 있다. 옛 지도를 들고 초량왜관에 어떤 시설들이 있었는지 찾아보는 것도 재미있을 것이다."
부산광역시 중구 광복중앙로 21,(신창동1가),6,0,A02,A0201,A02010800,1942233,12,20140819224532,,,129.0306263201,35.1010840045,6.0,20220518144914,6557,15,,대각사(부산),48948,"조선 500년 말, 서양세력의 강화도 침략에 기인한 척양척화 정책으로 수구파가 득세할 때, 개화파는 가까운 일본과 교류를 추진하고 있었다. 1887년, 부산의 바닷가에 유일한 해변 막사가 한 채 있었는데, 일본과 거래를 하려면 이 막사를 통해야만 일본인들과 무역교류를 할 수 있었다. 명치 유신 9년, 일본황실에서 부산에 불교 정토진종 사찰을 짓게하자, 오오꾸라 재벌이 앞장서서 막사가 있는 이 자리에 동본원사 부산별원이라는 최초의 일본 사찰을 세웠다.
이 내용은 대각사에 소자오딘 범종에 새겨져 있으며 '조선의 일본정책'이라는 책자의 기록과 함께 KBS에서 방영한 대하드라마 '찬란한 여명'에 소개 된바 있다. 이곳은 당시 개화파의 핵심인 유대치(한의사)가 이동인(봉은사스님)의 개화정책을 자문하고, 김옥균, 박영호, 서광범, 윤치호, 서재필 등 개화파 40여 명과 함께 수차에 걸쳐 일본을 내왕하면서 교두보를 마련했던 곳으로, 근대 조선의 개화에 큰 획을 남긴 역사적인 터이다.
해방 후 동본원사 부산별원은 한국정부에 귀속되었는데, 정부 관제국에서 귀속재산 처분을 할 때 이 사찰 땅과건물을 경매 받아 경남불교종무원으로 발족하였다가 3대 원장 김경우 스님(창건주)에 의해 새로이 한국사찰로 창건한 것이 현재 대각사이다. 창건 이전의 유물은 범종과 석등만이 있을 뿐, 대웅전이나 진시사리탑은 후에 지어졌다. 현 대웅전은 중간기둥이 없는 특수한 건축공법의 철근 콘크리트 구조로서 둘레가 300평에 약 1천여명을 수용할 수 있는 대단위 건물이다.
법당 가운데 부처님은 1960년무렵 지리산 광산사에서 모셔온 아미타불(조선초기,15세기)이며, 법당구조는 통법당 형식의 불단으로 배열되어 불교 전통문화의 효과를 높였다. 대각사는 재단법인(불교전통문화원)으로 등록된 시민공찰로서 대중포교의 사찰이며, 소소된 단체로 신도회 및 청년회, 학생회, 어린이회가 있어 도심권 포교와 봉사활동 등의 사회참여 운동을 하고있다. 현재까지 창건주인 고불 경우 큰스님이 조실로 주석하고 있다."
