addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
부산광역시 해운대구 반송동,,6,,A02,A0202,A02020700,2907087,12,20221114095720,http://tong.visitkorea.or.kr/cms/resource/82/2907082_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/82/2907082_image3_1.JPG,129.1595284993,35.2205396771,6.0,20221214095021,0,16,,반송공원,48015,"부산 해운대구에 있는 반송공원은 경찰특공대 부지 89,840㎡에 조성되었다. 광장과 쉼터가 있는 진입 공간, 풋살장 같은 운동 공간, 가족 단위로 이용하기 좋은 피크닉 마당, 숲속 놀이터까지 누구나 즐기기에 좋은 다양한 공간으로 구성되어 있다. 접근성이 좋으며, 공원에서 살짝만 더 올라가면 울창한 숲과 연결되는 장산 등산로 진입로가 있어 가벼운 등산을 하기도 좋다. 해운대 집라인 놀이터로도 유명한 반송공원은 아이들이 좋아하는 미끄럼틀, 해먹, 시소 등 다양한 놀이시설이 통나무로 만들어져 있다. 반려동물과 동행 시 목줄과 배변 봉투를 지참해야 하고 반송휴산림공원도 가까이 있어 함께 방문하기 좋다. 
반려동물 동반 가능(목줄 착용 및 배변봉투 지참)"
부산광역시 해운대구 장산로 331-18 대천공원2호화장실,,6,,A02,A0202,A02020700,2875849,12,20221026131307,http://tong.visitkorea.or.kr/cms/resource/42/2875842_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/42/2875842_image3_1.JPG,129.1678566312,35.1813775511,6.0,20221202162038,1,16,,대천공원,48066,"대천공원은 해운대구 신시가지 조성과 함께 문화휴식 공간을 제공하기 위해 조성된 시민공원이다. 대천호 둘레를 따라 산책로가 잘 갖추어져 있고 어린이들을 위한 놀이시설도 갖춰져 있다. 특히, 대천공원을 방문하는 사람들의 시선을 가장 먼저 사로잡는 것은 만선을 기원하는 커다란 상징 조형물과 인공 호수인 대천호다. 호수의 반은 아파트가 빼곡한 도심지의 풍경이, 나머지 반은 수려한 장산의 수림대 풍경이 펼쳐져 있다. 아침저녁으로 호수 둘레를 산책하려는 시민들이 많고 한낮엔 어린이와 함께 여가를 즐기는 가족 단위 방문이 많다. 공원 곳곳에 휴식을 취할 수 있는 정자와 벤치가 있고 야외무대와 광장이 있다. 매점과 화장실 같은 편의 시설도 잘 갖춰져 있다. 주변에 부흥 공원, 동백섬, 해운대 달맞이 공원, 청사포 등도 있다.
 반려동물 동반 가능(목줄 착용 및 배변 봉투 지참)"
부산광역시 해운대구 달맞이길 184 청사포공원해월정화장실,,6,,A02,A0202,A02020700,2875837,12,20221026130731,http://tong.visitkorea.or.kr/cms/resource/24/2875824_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2875824_image3_1.JPG,129.1821532774,35.1571305311,6.0,20221202161942,0,16,,달맞이동산,48116,"달맞이 동산은 부산시 해운대구 달맞이 길에 있는 산책로 겸 공원이다. 넓이는 약 4만 4,000㎡로 해운대해수욕장 동쪽에서 청사포(靑沙浦)로 넘어가는 와우산 중턱, 달맞이 고개를 말한다, 짙은 숲으로 드리워진 달맞이 고개에서 바라보는 월출(月出)은 대한 팔경의 하나로 예로부터 시인과 묵객들이 즐겨 찾았다. 현대에 들어와서도 음력 정월대보름 등에 보름달을 구경하는 관람객이 많이 찾는다. 특히 봄철에는 길가에 벚나무가 화사하게 꽃을 피워 장관을 이룬다. 1997년에 세워진 해월정은 달맞이 공원의 상징물이기도 하다. 달맞이와 꽃구경을 한꺼번에 할 수 있다는 곳으로 야외음악당과 달맞이 조각공원, 야생초화원도 있다. 고개 너머로 이어지는 달맞이 길은 송정해수욕장까지 15번이나 굽어진다고 해서 15곡도(曲道)라고도 한다. 8㎞에 이르는 유명한 드라이브 코스이기도 하다. 천천히 산책을 해도 좋고, 차로 달려도 좋은 부산의 명소이다."
부산광역시 해운대구 중동,달맞이길62번길 11 (미포정거장),6,,A01,A0101,A01010500,2822343,12,20220531134949,http://tong.visitkorea.or.kr/cms/resource/37/2822337_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/37/2822337_image3_1.png,129.1711291475,35.1603383007,6.0,20220616155000,2,16,,해운대 그린레일웨이 (미포~송정 구간),48098,"동해남부선 폐선부지를 활용한 해안선을 따라 걷는 도심 산책로로, 그 중 미포송정 구간은 4.8km 거리로 수려한 해안 절경을 따라 양방향으로 걸을 수 있으며
산책로 방향에 따라 광안대교, 달맞이, 마린시티 등 대표 관광지를 한 눈에 담을 수 있는 전국적인 포토 스팟 및 트레킹 장소이다.
산책로 구간 내 대표적 관광지로는 2017년 개장한 청사포 다릿돌 전망대, 2022년 1월 개장한 바다소리 갤러리가 있으며 미포송정구간은 2020년 10월에 개장한 해운대해변열차 와 스카이 캡슐이 운행되는 구간으로 해운대 관광특구의 핵심시설이 밀집된 구간이다.
  그린레일웨이 구간 내 주요 관광지 지점 : 해운대해수욕장, 미포항, 달맞이터널, 바다소리 갤러리, 청사포(다릿돌전망대), 구덕포, 송정해수욕장
  해운대 해변열차, 스카이캡슐 운행 구간 : (주요역) 미포정거장, 청사포정거장, 송정정거장
 드라마 지금 헤어지는 중입니다  촬영지"
부산광역시 해운대구 달맞이길62번길 33-1,(중동),6,0.0,A01,A0101,A01011400,2784330,12,20211201192117,http://tong.visitkorea.or.kr/cms/resource/58/2787758_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2787758_image2_1.jpg,129.1706820162,35.1584551702,6.0,20220720150550,0,16,,미포항,48098,미포항은 해운대해수욕장 동쪽 끝자락에 위치한 작은 포구로 이른 아침부터 인근 바다에서 잡아온 물고기들을 내리는 작은 어선들과 선착장에서 고기와 해산물을 사려는 사람들로 활기찬 곳이다. 갓 잡아 올린 신선한 해산물을 맛볼 수 있는 횟집과 포장마차가 즐비하다. 그물을 손질하는 어부들의 모습과 햇빛에 말리고 있는 그물의 모습들이 주는 소소한 풍경이 있는 조용한 항구이다. 영화 해운대의 남녀 주인공이 식당과 포장마차를 운영하던 곳으로 나온 미포항은 바다를 바라보며 회와 소주 한잔을 기울일 수 있는 명소이기도 하다. 미포항 바로 위로는 최근 한 예능프로그램에서 나온 예전에는 기차가 다녔던 동해남부선 철길이 있다. 철길을 따라 탁 트인 바다를 감상하며 평상시에는 걸어볼 수 없는 철길을 걷기 위해 이곳을 찾는 발걸음이 늘고 있다. 미포항  동백섬  광안대교  이기대  오륙도를 둘러보는 코스의 해운대 관광유람선을 탈 수 있는 선착장이 있다. 낮에는 시원한 바닷바람을 맞으며 주변을 둘러볼 수 있고 밤에는 해운대 주변의 야경을 보기 위해 유람선을 타려고 이곳을 찾는 사람들도 많다. 아침의 활기참으로 시작해서 한낮의 여유로움으로 편안함을 느끼고 멋진 일몰과 야경까지 즐길 수 있다.
부산광역시 해운대구 우동 510-7,,6,0.0,A02,A0203,A02030600,2783306,12,20211130182311,http://tong.visitkorea.or.kr/cms/resource/02/2796102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2796102_image2_1.jpg,129.1576301962,35.1648792094,6.0,20221108095405,1,16,,해리단길,,"부산 해운대 도시철도역 4번 출구에서 옛 해운대 기차역 뒤편 기찻길을 건너면 해리단길이 시작된다. 해리단길은 서울의 경리단길에서 아이디어를 얻은 이름이다. 좁은 도로를 따라 다양한 개성의 카페와 음식점들이 속속 생겨나면서 해운대의 떠오르는 명소로 자리매김했다. 골목길 담벼락에 그려진 위트 넘치는 벽화를 비롯해 자유로운 거리 분위기를 즐길 수 있어 시민들은 물론 관광객들도 일부러 찾아오는 핫플레이스다. 사진 찍기 좋은 아기자기한 외관의 카페와 식당, 색다른 기념품을 판매하는 소품 숍, 비정기적으로 열리는 플리마켓 등 다채로운 볼거리가 발길을 끌어모은다. 해운대구청에서는 해리단길 상권 활성화를 위해 젠트리피케이션 방지 조약에 이어서 상생협약까지 체결한 상태다."
부산 해운대구 석대동 26,,6,0.0,A01,A0101,A01010700,2782782,12,20211129223452,http://tong.visitkorea.or.kr/cms/resource/38/2794338_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2794338_image2_1.jpg,129.1326250124,35.2304408466,6.0,20220523134023,2,16,,해운대수목원,,"본래 쓰레기 매립장이었던 곳을 수목원으로 재개발한 곳이다. 부산 시민공원보다 규모가 크다. 시원하게 뻗은 편백숲과 다양한 나무들, 향기원, 허브길, 생태습지원 등 테마별 정원이 있다. 당나귀와 타조, 양, 염소 등 동물들을 만나볼 수 있는 친환경 미니 동물원도 있다. 산책로 따라 거니는 동물들과 교감하는 특별한 경험을 할 수 있다. 어린이들이 마음껏 뛰어놀 수 있는 어린이 놀이원도 있어 온 가족이 함께하기 좋은 곳이다."
부산광역시 해운대구 송정중앙로8번길 60,(송정동),6,0.0,B01,B0102,B01020200,2782767,12,20211129222745,http://tong.visitkorea.or.kr/cms/resource/30/2795830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2795830_image2_1.jpg,129.2003621491,35.1809809765,6.0,20220720151139,0,16,,송정역,48073,"부산 해운대구 송정동에 있는 기차역이다. 동해안의 해산물과 자원 수송을 목적으로 부설한 동해남부선에 속한다. 동해남부선은 1918년에 경주와 포항, 1935년에 부산과 울산, 경주까지 개통되며 오랜 세월 사람들의 발이 되어 주었다. 특히 바다를 끼고 달리는 창 밖 풍경이 아름답기로 손에 꼽혔다. 송정역은 1934년에 역무원이 배치된 간이역으로 영업을 시작해 1941년 보통 역으로 승격했다. 이때 역사를 새로 지은 것으로 보이는데 운산역, 단촌역과 유사한 1940년대 기차역의 건축적 특징을 고스란히 간직하고 있다. 1976년에 화물 업무가 중지됐지만, 철도사적 가치를 인정받아 등록문화재로 지정됐다. 최근 동해남부선의 옛 철길을 활용한 해운대 해변열차의 시작역과 종착역으로 새롭게 단장하며 많은 관광객이 찾고 있다."
부산광역시 해운대구 수영강변대로 85,(우동),6,0.0,A02,A0202,A02020700,2782682,12,20211129195904,http://tong.visitkorea.or.kr/cms/resource/16/2795816_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2795816_image2_1.jpg,129.1273244146,35.1679171964,6.0,20220701155122,1,16,,센텀 APEC나루공원,48058,"센텀 APEC나루공원은 깨끗하고 편리한 이용시설을 자랑하는 부산의 걷기 좋은 공원이다. 주말이면 피크닉과 산책 그리고 자전거 타기를 즐기는 단란한 가족들과 연인들, 그리고 친구들의 모습을 쉽게 만날 수 있다. 특히 이곳 APEC나루공원 곳곳에는 예술가의 조각 작품이 전시돼 이들을 감상하는 재미도 특별하다. 또 수영강변을 따라 걷는 산책코스도 인기인데, APEC 나루공원 입구 수영교에서 출발해 공원 끝자락에 위치한 좌수영교까지 걸어서 한 바퀴를 돌아보면 금세 부산 갈맷길 한 코스를 완주한다. 또 공원 내에 자전거대여소가 자리한다. 여기서 마음에 드는 자전거를 골라 1시간 동안 무료로 라이딩을 즐겨 봐도 좋겠다. 사고방지를 위해 헬멧도 무료로 대여해준다."
부산광역시 해운대구 달맞이길62번길 28,(중동),6,0.0,A01,A0101,A01011400,2778420,12,20211124184550,http://tong.visitkorea.or.kr/cms/resource/04/2794804_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2794804_image2_1.jpg,129.1706181201,35.1589051184,6.0,20221101131318,0,16,,미포,48098,"해운대 동북쪽에 자리 잡은 와우산소가 누워 있는 것같이 보인다고 해서 붙여진 이름의 꼬리 부분에 해당하는 갯가라 하여 붙여진 이름이다. 미늘, 미암이라고도 불렸다.  와우산이 바다에 몰입되면서 형성된, 해운대 해수욕장 동쪽 끝에 있는 암석 포구로 곳곳에 암반이 넓게 나타난다.  소규모 어항과 미포 마을이 자리하고 있다. 해운대 해수욕장의 끝단에 자리하고 있어 현재는 호텔과 여관, 그리고 크고 작은 횟집들이 들어서 있으며, 예부터 앙장구, 성게, 고둥이 많이 잡히기로 유명하였고 망상어, 감성돔 등의 낚시터로 이름난 곳이기도 하다."
