addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 강남구 도곡로25길 35,(역삼동),1,0,A02,A0201,A02010800,2782188,12,20211126233418,http://tong.visitkorea.or.kr/cms/resource/18/2782218_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2782218_image2_1.jpg,127.0403007532,37.4949275628,6,20221025105356,1,1,,불교총지종,06227,"불교총지종은 불교의 생활화, 생활의 불교화를 표방하고 자리이타(自利利他)의 대승불교 정신을 일상에서 실천하는 생활불교 종단이다.(출처 : 불교총지종 홈페이지)"
서울특별시 강남구 양재대로41길 24,(일원동),1,0,A02,A0202,A02020100,2773291,12,20211111185548,http://tong.visitkorea.or.kr/cms/resource/92/2778992_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2778992_image2_1.jpg,127.0845357147,37.4914620937,6,20220407172353,0,1,,일원에코파크,06343,"서울 강남구 일원동에 있는 일원에코파크는 탄천물재생센터를 변신 시켜 2017년에 새롭게 개장한 근린공원이다. 다양한 친환경 페스티벌이 개최되며 주민들의 참여로 쾌적한 환경 장점인 공원이다. 풋살장, 배드민턴장, 인라인스케이트장 등 다양한 운동시설과 식물원으로 구성되어있고 주차장에서는 전기차 충전이 가능하다. 지하철 3호선 대청역 3번 출구 도보 8분 거리다."
서울특별시 강남구 영동대로 513,(삼성동),1,0,A02,A0202,A02020100,2759626,12,20211020191959,,,127.0594429796,37.5117148467,6,20221129162509,0,1,,코엑스동측광장,06164,"삼성역 트레이드 타워(무역센터)를 시작으로 코엑스 컨벤션센터를 지나 아셈타워에 이르는 보도 변 긴 광장을 말한다. 동 측 광장의 다른 이름은 코엑스 어반파크(Coex Uan Pak)라고 해서 K팝 공연, 야외 영화제 등 다양한 행사가 연중 수시로 열리고 있다. 이곳 코엑스 일대는 KPop '강남스타일'의 촬영지로 전 세계를 말춤 열풍으로 달구면서 '강남'을 전 세계에 알렸던 강남스타일 랜드마크로 '세계는 하나'라는 글로벌 마인드를 부각한 높이 5m, 폭 8m에 달하는 '말춤' 청동 조형물도 설치되어 있어 세계적인 관광 명소로도 주목받고 있다."
서울특별시 강남구 광평로10길 28,(일원동),1,0,A02,A0202,A02020700,2759613,12,20211020190501,,,127.0808391326,37.4807216072,6,20221124150601,0,1,,일원장미공원,06359,서울 강남구 일원동 삼성서울병원 인근에서 대모산으로 올라가는 입구에 조성된 근린공원이다. 장미가 많아 장미꽃이 한창 피는 계절인 5월6월에는 장미축제가 열린다.주변 아파트 단지 주민들에게 인기 있을 뿐 아니라 대모산에 올라가기 전과 하산 후 모임 장소와 휴식을 담당하는 곳이기도 하다. 대모산 숲 체험 프로그램은 인기가 높아서 체험학습 마치고 놀이시간을 더 갖고 싶은 아이들과 대기하는 엄마들로 공원은 항상 사람들로 가득하다.
서울특별시 강남구 광평로10길 14-17,(일원동),1,0,A02,A0202,A02020700,2754738,12,20211007235409,,,127.0788115244,37.4812548417,6,20220407174923,0,1,,한솔공원,06359,"서울 강남구 일원동에 위치한 면적은 1만 2,878㎡ 규모의 근린공원으로 대모산 자락길 입구에 있다. 운동 시설과 휴게 시설, 어린이 놀이터로 구성되어 있다. 농구장과 체육단련시설 12종이 조성되어 있으며, 퍼골라 15개소와 사각 정자 2개소가 휴게시설로 설치되었다. 어린이 놀이터에는 조합 놀이대와 놀이시설물 4종류가 설치되어 있고, 편의 시설로 화장실과 음수전이 설치되어 있다."
서울특별시 강남구 논현동 279-75,,1,0,A02,A0202,A02020700,2754735,12,20211007235227,,,127.0237183439,37.5156081972,6,20211105220147,0,1,,학동공원,,"신사역 인근에 자리한 근린공원으로 나무가 우거지고 잘 정비된 산책로와 더불어 정자도 있어서 주민들과 더불어 인근 직장인들이 산책과 휴식을 취하기에 좋은 공원이다. 체육시설과 배드민턴장, 음수대, 화장실 등도 설치되어 있다. 마을 모양이 학처럼 생겼다 하여 학동으로 불리던 전형적인 농촌 마을이었던 이곳에 1992년 공원을 조성하면서 옛 마을 이름을 따서 학동공원이라 하였다고 한다."
서울특별시 강남구 밤고개로24길 24,(율현동),1,0,A02,A0202,A02020700,2754732,12,20211007234908,,,127.1062870355,37.47307573,6,20220412155738,1,1,,율현공원,06377,"율현공원은 세곡 주택지구의 동남쪽 영역에 넓게 분포되어 있으며 아파트 진입 도로를 기준으로 두 공간으로 나누어져 있다. 아파트와 인접해 있는 북쪽 구간은 너른 잔디광장과 랜드마크 역할을 하는 공원 관리동, 그리고 각종 수변 시설들이 있어 시민들이 여유롭게 쉴 수 있으며, 남쪽 구간은 탄천과 돌산 근린공원의 빗물이 모이는 저류지와 조형물, 놀이터, 다목적 운동시설 등이 있다. 공원이 위치한 자리는 예보부터 주위에 밤나무가 많이 있어 밤고개라 불렸는데 율현공원이라는 이름은 이로부터 유래되었다."
서울특별시 강남구 논현로189길 57,(압구정동),1,0,A02,A0202,A02020700,2752552,12,20211001231443,,,127.0212793589,37.5268429594,6,20211105195009,0,1,,신사공원,06000,"서울 강남구 압구정에 있는 근린공원으로 가로수길과 한강시민공원 잠원지구 사이에 위치해 있다. 공원 규모가 크지는 않지만 공원 양끝에 두개의 넓은 광장 사이로 산책로가 조성되어 있으며, 운동기구와 음수대, 정자, 벤치가 있어 운동과 더불어 휴식 하기 좋은 공원이다."
서울특별시 강남구 논현로79길 24,(역삼동),1,0,A02,A0202,A02020700,2752545,12,20211001230007,,,127.0363010397,37.4976521744,6,20220411110735,0,1,,역삼개나리공원,06237,"역삼역 3번 출구 근처에 있는 도심 속 근린공원으로 어린이들을 위한 놀이터와 남녀노소가 모두 이용할 수 있는 운동기구가 설치되어 있으며, 휴식을 위한 정자와 벤치가 있다. 인근 직장인들이 점심시간에 산책 및 쉼터로 많이 이용한다. 강남구보건소 지정 금연금주 공원이다."
서울특별시 강남구 개포로109길 74,(개포동),1,0,A02,A0202,A02020600,2752525,12,20211001225212,,,127.0801415433,37.4959364949,6,20221129095415,0,1,,마루공원,06334,"강남구 일원동에 있는 마루공원은 주차가 가능한 공원으로 반려견과 함께 산책하기 좋은 곳이다. 날씨가 좋을 때는 다수의 방문객이 공원에 설치된 그늘막 아래쪽에서 텐트와 의자를 펼치고 쉬는 모습을 볼 수 있다. 공원 내에는 2개의 놀이터 구역이 있는데 한 곳은 미끄럼틀과 그네가 있는 일반 놀이터이고, 또 다른 구역은 여러 종류의 도로 교통 표지판들이 나열되어 있어 교통안전 교육과 더불어 기차, 자동차 등을 타고 놀 수 있는 공간으로 구성되어 있으며, 놀이터 바닥이 푹신푹신하게 되어 있어 어린이들이 넘어져도 다치지 않고 안전하게 뛰어놀 수 있다."
서울 강남구 세곡동 369-3,,1,0,A02,A0202,A02020700,2751890,12,20210930193531,,,127.1004821483,37.4681123124,6,20211105215125,0,1,,은곡마을공원,,"서울 강남구 세곡동 자연마을인 은곡마을에 위치한 근린공원으로 어린이 놀이 시설과 다양한 운동시설, 분수가 있다.  은곡마을은 과거에 막은골이라고 한 것에서 유래했는데, 막은골은 나무를 심어서 마을 입구를 막은 데서 유래되었다고 한다. 공원에 나무가 많고 한적하여 서울 근교의 느낌을 주며, tvN 드라마 또 오해영 촬영 장소이기도 하다."
서울특별시 강남구 역삼로90길 43,(대치동),1,0,A02,A0202,A02020700,2733970,12,20210817185335,http://tong.visitkorea.or.kr/cms/resource/90/2779090_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/2779090_image2_1.jpg,127.0635595572,37.5016327582,6,20221209132227,0,1,,대치유수지체육공원,06190,"각종 체육시설과 운동기구, 산책로, 휴게공간, 음악분수, 상징조형물 등 여러 시설물을 갖추어 체력 증진과 생활 체육의 활성화를 위해 지역 주민이 편리하게 이용할 수 있도록 조성한 체육공원이다."
서울특별시 강남구 언주로85길 23-11,(역삼동),1,0,A02,A0201,A02010900,2733864,12,20210813222255,http://tong.visitkorea.or.kr/cms/resource/67/2779567_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/2779567_image2_1.jpg,127.0418004571,37.5005436041,6,20221212142508,0,1,,역삼동성당,06222,"강남지역의 교세 신장에 따라 1984년 8월 1일 대치동 성당과 양재동 성당의 관할 구역중 일부(2,263명)를 분할하여 신설되었다. 초대 김구희(세자요한) 신부님을 모시고 주보성인을 '성 최경환(프란치스코)'로 정하였으며, 임시가건물을 축조하여 사용하면서 새 성전 봉헌을 준비하였다. 교우 김대환 형제가 봉헌한 신축부지에 1992년 12월 25일 성당 신축공사를 시작하였다. 착공한 지 5년 만에 연건평 3,960평 건축, 순공사비만 약 120억원의 거대하고 아름다운 성전을 완공하여 1997년9월 21일 김수환 추기경님을 모시고 새 성전 봉헌식을 거행하였다.(상반기 혼인미사 예약 온라인 선착순 접수)"
서울특별시 강남구 논현로155길 8,한주빌딩 지하 1층,1,0,A02,A0203,A02030600,2720441,12,20210610004430,,,127.0273372792,37.5219436371,6,20220418130736,0,1,,립바이 메이크업 스튜디오,06032,"립바이 메이크업 스튜디오는 메이크업 클래스 전문 서비스 브랜드이다. 생활 속 나만의 메이크업 방법을 차자 경험하고 즐길 수 있도록 서포터해준다. 한국의 뷰티 스타일로 나에게 어울리는 화장법을 배워보자.립바이 메이크업 스튜디오는 나에게 어울리는 맞춤형 1:1 메이크업 레슨과 눈썹 정리 및 연출로 개성에 맞는 화장 방법을 알게 해주고, 삶에 긍정적인 영향력을 제공하기 위해 집중하고 있다."
서울특별시 강남구 강남대로 426,(역삼동),1,0,B01,B0101,B01010700,2713582,12,20210412225536,http://tong.visitkorea.or.kr/cms/resource/82/2713482_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2713482_image3_1.jpg,127.0268073747,37.5006405465,6,20221114173347,0,1,,일상비일상의틈,06129,"일상비일상의틈은 2020년 9월에 문을 오픈 했으며, LG유플러스가 만든 MZ세대를 위한 복합문화공간으로 제품을 진열한 통신사 매장이 아니라 브랜드 가치를 전달하는 공간이다. 지하 1층부터 지상 7층까지의 공간은 층마다 다른 콘셉트를 선보인다. 층과 지하 1층에서 MZ세대 취향을 저격하는 전시와 브랜드 팝업 행사가 주기적으로 열리고 있으며, 2층은 콜라보레이션을 중심으로 한 팝업이 진행된다. 3층은 독립출판물을 소개하는 책방이다. 4층은 아날로그 기록과 현상을 도와주는 필름 스튜디오가 있으며, 5층은 LG유플러스의 5G 서비스를 체험할 수 있는 공간, 7층은 루프톱이 위치해 있다,  출처 : 일상비일상의틈"
서울특별시 강남구 영동대로 416,(대치동),1,0,A02,A0202,A02020500,2660731,12,20200623185036,,,127.0653425868,37.5066377643,6,20220420111449,0,1,,SPA 1899 동인비,06176,"한방에서는 조금만 움직여도 땀이 나고 더운 여름에는 원기 소모가 심하다고 말한다. 다른 계절보다 더 피로를 느끼기 쉽고 체력이 많이 소모되기 때문에 무엇보다 원기를 보충해주는 것이 중요하다고 설명한다. 이에 동의보감에서는 기운을 돋워주는 식품으로 홍삼을 추천한다. 동의보감에 따르면 '홍삼은 늙지 않고, 오래 살고, 기운을 돋우는 효능이 있다'고 한다. 원기 회복과 피로 해소에 홍삼이 특효라는 의미다. 홍삼은 인삼을 껍질째 3시간 정도 찐 후 서서히 말린 것인데, 찌고 건조하는 과정에서 당 성분이 떨어져나가고 인삼에는 없는 새로운 유효 성분이 생기면서 함량이 풍부해진다. 홍삼에 많은 사포닌 성분은 면역력을 증진하고 원기 회복에 도움을 주는 것으로 유명하다. 진세노사이드 성분은 영양분 흡수와 소화를 돕고 신진대사를 촉진해 원기를 회복시키는 것으로 알려져 있다. 이렇게 몸에 좋은 홍삼을 이용해 전문적인 스파를 제공하는 곳이 있다. 바로 홍삼 명품 브랜드 '정관장'에서 운영하는 SPA 1899 동인비다."
서울특별시 강남구 도산대로45길 18,,1,0,A02,A0202,A02020300,2660725,12,20200623183835,,,127.0355003778,37.5236074796,6,20211116005739,1,1,,설화수 플래그십 스토어,06021,전통을 담은 한방 트리트먼트를 바탕으로 몸과 마음을 회복해 내재된 아름다움을 되찾도록 도와주는 설화수 플래그십 스토어. 설화수가 추구하는 미의 가치를 체험할 수 있는 감각적인 공간이다. 예로부터 우리 조상들은 여성의 아름다움을 가꾸는 데 필요한 지혜를 모으고 그 방법을 기록했다. 대표적으로 전통 고전인 본초강목이나 동의보감 등의 책에서는 한방 약재를 이용해 아름다움을 가꾸는 다양한 방법을 소개하고 있다. 이렇게 귀한 한방 성분으로 몸과 마음의 아름다움을 동시에 지켜내기 위해 노력해온 전통의 비법을 담고 그 가치를 이어나가기 위한 곳이 바로 '설화수 플래그십 스토어'다.
서울특별시 강남구 논현로 611,,1,0,A02,A0202,A02020500,2646372,12,20200203194006,http://tong.visitkorea.or.kr/cms/resource/67/2646367_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/67/2646367_image2_1.bmp,127.0331260275,37.5082981035,6,20220708164209,0,1,,스파 도향,06122," 강남 최대 규모의 토탈 Beauty  Spa  스파 도향( 道鄕 ) : 길 도 , 시골 향 Since 2007, 뉴트로 시대의 빠른 변화 속 옛 것의 감성을 찾듯, 기존 스파의 차별화가 아닌 한국 스파의 자존심인 전통 스파를 고집한다. 나만의 케렌시아 공간이 제공 될 수 있도록 최선을 다해 노력하며 고객의 시간과 감성의 가치를 높여 주는 최고의 서비스를 제공하고 스파의 가장 기본적인 덕목인 오감 만족을 지향한다."
서울특별시 강남구 도산대로 237,(신사동),1,0,A02,A0202,A02020500,2614315,12,20190807004629,http://tong.visitkorea.or.kr/cms/resource/05/2614305_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/05/2614305_image2_1.bmp,127.0330284328,37.5217715371,6,20220926182606,2,1,,AHC스파,06026,"한국의 K뷰티를 알리고 있는 AHC 코스메틱으로만 케어해 드리고 있는 AHC스파입니다. AHC가 특별한 원료나 공법에만 의존하지 않고, 치열하게 고민하고 연구하여 마침내 찾아낸 AHC만의 특별한 피부해법은 바로 에스테밸런스 입니다. 앞선 피부과학과 최적의 성분배합기술 그리고 고객의 피부에 꼭 맞는 미용법을 추구하는 AHC의 뷰티 키워드 에스테밸런스. 사람마다 다른 다양한 피부의 문제를 근본적으로 개선해주고, 피부 본래의 건강한 변화를 끌어내는 내안에 있는 최고의 아름다움을 발견하는 특별한 경험 입니다. 뷰티 한류의 대표적인 리딩 기업 AHC의 스파는 도산사거리에 위치하여 관광객의 핫 스폿인 압구정동과 가로수길을 관광하면서 경험해보고 싶었던 AHC만의 노하우를 경험하고 1층에서는 제품구매가 가능하며 2층의 헤어샵 서비스도 이용가능한 뷰티 핫 플레이스 입니다."
서울특별시 강남구 도산대로15길 41,1층,1,0,A02,A0203,A02030600,2592885,12,20190322021918,http://tong.visitkorea.or.kr/cms/resource/76/2592876_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/76/2592876_image2_1.bmp,127.0232182384,37.520935347,6,20221020130825,52,1,,엘크레,06033,대한민국 최초 뷰티 이색체험을 할 수 있는 새로운 개념의 뷰티 플랫폼. 유명 여배우들의 메이크업 아티스트가 항시 상주하여 k뷰티 멘토링을 받을 수 있는 메이크업 카페. 간단한 음료 카페존과 여심저격한 포토존 가심비 높은 셀프바(코리아 코스메틱 체험) 준비되어있다.
서울특별시 강남구 영동대로 513,(삼성동),1,0,A02,A0203,A02030600,2559938,12,20180907015112,http://tong.visitkorea.or.kr/cms/resource/26/2559926_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2559926_image2_1.jpg,127.0594429796,37.5117148467,6,20220330163409,1462,1,,브이알존 엑스 코엑스 직영점,06164,"VRZONE은 단순히 360도로 보이는 가상현실체험을 제공하지 않고, VRZONE에서 직접 개발부터 유통하는 VR콘텐츠를 체험할 수 있다.체험 가능한 콘텐츠는 아래와 같다.  데드프리즌은 의문의 사고로 좀비들이 득실거리는 병원에서 탈출하는 FPS VR 콘텐츠이며, 퓨처스트라이크는 연구소에서 실험 중 사고로 돌연변이 곤충들이 탈출하여 도시가 황폐화되어, 곤충들을 박멸하는 FPS VR 콘텐츠이며,  가디언 히어로즈는 지구를 침략하려는 외계인들과 싸워 이기는 FPS VR 콘텐츠이다. VR 라이더는 약 20여가지의 VR 콘텐츠로 놀이기구를 탑승하는 VR체험 시뮬레이터다.놀이기구를 VR로 재현함과 상상만 해왔던 장소를 탐험하는 상상 그이상의 현실을 구현한다."
서울특별시 강남구 영동대로 513,(삼성동),1,0,A02,A0202,A02020200,2456536,12,20161214231140,,,127.0591318945,37.5118092746,6,20220404170108,4078,1,,강남 마이스 관광특구,06164,"일찍이 무역센터가 자리잡으며 국제 교류의 메카로 손꼽혀온 강남 삼성동 일대는, 세계에서 모여든 최첨단 비즈니스맨에게 한국을 알리는 창구 역할을 해왔다. 여기에 1990년대부터 강남 특유의 젊은 문화가 유입되면서 무역센터 일대는 비즈니스의 장이자 젊은 문화의 랜드마크라는 복합적인 성격을 띠며 발전했다. 2014년 싸이의 '강남스타일' 열풍과 더불어 국제교류 비즈니스 산업과 한류문화의 공생을 강화하기 위해 이 일대가 강남마이스 관광특구로 지정되었다. 강남 마이스 관광특구는 무역센터 일대로, 전시와 컨벤션, 세미나, 국제 전시회, 컨퍼런스 등이 이어지는 코엑스를 중심으로 자리잡고 있고, 백화점, 호텔, 면세점, 도심공항터미널이 유기적으로 물려 있어, 국내뿐만이 아니라 외국인 관광객이 끊이지 않는다. 특히 가수 싸이의 '강남스타일'의 세계적인 열풍 이후 문화공간으로서의 가치가 다시 한번 주목받고 있다. 최근에는 말춤을 형상화한 '강남스타일 랜드마크'가 조성되어, 새로운 명물로 떠오르고 있다. 또한 매년 C페스티벌도 열리고 있다. 한류 문화 콘텐츠를 중심에 둔 C 페스티벌은 가요부터 회화와 조각,만화, 캐릭터 상품, 게임 등 복합 문화가 어우러진 축제의 장으로서, 강남 마이스를 대표하는 축제다. 앞으로 강남 마이스 관광특구 일대는 한국판 타임스 스퀘어인 KoMAD(Koea Media At Distict(가칭))로 조성된다. 최첨단 디스플레이를 활용해 홀로그램과 증강현실을 체험하고, 건물 외벽에 설치된 초대형 LED 전광판에서 표출되는 미디어아트의 장관과 화려한 광고를 감상할 수 있다.  
 강남 마이스 관광특구 현황 1) 벙위  서울특별시 강남구 삼성동 일대 2) 면적  190,386㎡ 3) 관광특구 지정일  2014년 12월 29일   강남 마이스 관광특구 시설 현황 코엑스전시컨벤션센터, 코엑스 아쿠아리움, 코엑스 아티움, 메가박스, 현대백화점, 그랜드인터콘티넨탈호텔, 도심공항터미널 등"
서울특별시 강남구 압구정로 161,,1,0,A02,A0203,A02030600,1949905,12,20140923030533,http://tong.visitkorea.or.kr/cms/resource/75/1258175_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1258175_image3_1.jpg,127.0264344408,37.5269874797,6,20220316131059,17817,1,,강남 시티투어 (트롤리버스),06001,"강남의 주요 관광명소를 순환하는 셔틀버스로, 2016년 5월부터 세빛섬 정거장에서 강북을 여행하는 서울시티투어버스로 환승이 가능하도록 통합 운영 중이다."
서울특별시 강남구 양재대로 340,(개포동),1,0,A02,A0201,A02010800,1603149,12,20120416195250,http://tong.visitkorea.or.kr/cms/resource/72/1567772_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1567772_image3_1.jpg,127.0526058449,37.4717304764,6,20220310142402,22286,1,,능인선원,06357,"능인선원은 부처님의 가르침인 지혜와 자비를 바탕으로 불자 양성과 포교 및 사회복지 증진을 위한 수행도량으로 설립되었다. 불교 포교와 공부하는 불자 양성으로 일관해 온 능인선원은 이제 대한민국 최고의 포교사찰이 되었다. '능인(能仁)'이란 '능히 남을교화하여 이롭게 하는 이' 라는 뜻을 지닌 석가모니 부처님의 다른 이름이다. 능인선원은 생활 불교를 선언하여 기도의 생활화, 지역법회의 활성화 및 각종 봉사활동을 통해 한국 불교를 현대화하는데 기여하였다. 또한 체계적인 불교 교육을 통해 불교의 과학성과 우수성을 널리 펼쳐 우수한 불자를 양성함으로써 불법 중흥에 이바지하고 있다."
