addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 강동구 둔촌동 산86,,1,0,A02,A0202,A02020600,2784067,12,20211201011903,http://tong.visitkorea.or.kr/cms/resource/65/2796365_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/2796365_image2_1.jpg,127.1542252927,37.5373496895,6,20220506093336,0,2,,일자산허브천문공원,,"서울 강동구 일자산 자락에 조성된 공원으로 허브와 천문이라는 두 가지의 테마로 꾸며졌다. 색의 정원, 감촉의 정원, 향기의 정원, 차의 정원, 맛의 정원 등 다양한 주제로 120여 종의 허브 32,448본을 심었고 약용식물과 자생식물 47종 9,138본도 각각 약초원과 자생원에 심었다. 공원 한쪽에는 작은 천문대가 자리하고 있으며, 공원 중앙의 동산을 중심으로 바닥에 설치된 282개의 LED 조명이 매일 저녁 북두칠성과 은하수 등의 별자리를 연출한다. 또 서울시가 선정한 우수 조망명소가 있어 공원 맞은편 길동생태공원의 울창한 숲부터 아차산까지 시원스러운 전망을 즐길 수 있다. 전면으로는 푸르른 숲을, 위로는 파란 하늘을 동시에 만날 수 있는 휴식공간인 티하우스도 운영한다."
서울 강동구 둔촌동 산86,(둔촌동),1,0,A02,A0202,A02020700,2773317,12,20211111190432,http://tong.visitkorea.or.kr/cms/resource/49/2780649_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/49/2780649_image2_1.png,127.1542252927,37.5373496895,6,20220411102733,0,2,,허브천문공원,05357,"서울 강동구 길동생태공원 건너편에 있는 공원으로 인근의 일자산 자연공원과 더불어 조깅 코스, 산책로, 전망데크 등 어린이부터 청년, 장년에 이르기까지 다양한 연령의 시민들이 이용할 수 있는 공간이다.
허브천문공원의 구조는 한민족 고유의 전통사상인 천·지·인의 삼재사상에서 공간개념을 도출하여 우주공간(자미원, 태미원, 천시원, 별자리, 은하수 등)을 담고 있다. 공원 동쪽엔 새벽 일출을 감상할 수 있는 전망대, 서쪽으로는 일몰을 감상할 수 있는 관찰대가 있다.
특히 야간 이용자를 위해 공원 바닥 곳곳에 282개의 오색 별자리 조명이 설치되어 있어 시시각각 변화무쌍한 별자리를 감상할 수 있다.
이 바닥 조명은 직경 75m 천문도를 고스란히 공원 바닥에 옮겨놓은 것으로 동·서쪽에 마련된 전망대 위에서 바라보면 북극성을 비롯하여 견우와 직녀 별자리 등을 감상할 수 있어, 젊은이들의 데이트 코스로도 인기가 많다.
서울시 공공 서비스 예약(https:yeyak.seoul.go.k)을 통해 이용할 수 있다."
서울특별시 강동구 천중로 64,(천호동),1,0,A02,A0201,A02010800,2761661,12,20211025223112,,,127.1288607188,37.5449150194,6,20221206133054,0,2,,구강사,05324,"서울 강동구 천호동에 있는 구강사는 서울 동부지역 천태법음 요람이자 포교도량으로 대한불교 천태종 사찰이다. 5층 단독건물로 5층에 법당이 있으며, 3층에는 교육시설인  '금강유치원'이 있으며 옥상에는 정원이 있다. 정기법회는 매월 넷째 주 일요일 오전 11시에 열리고 있으며 불교대학도 운영되고 있다. 지하철 5호선 8호선 천호역 3번 출구 천인중학교 맞은편에 있다."
서울시강동구 천호동,,1,0,A02,A0203,A02030600,2741610,12,20210908224811,http://tong.visitkorea.or.kr/cms/resource/18/2779618_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/18/2779618_image2_1.png,127.1221585024,37.5466313659,6,20221026103139,0,2,,천호자전거거리,,"천호동 공원사거리부터 한강으로 향하는 즈믄 나들목까지 조성된 327m의 자전거 특화 거리이다. 30곳 넘는 자전거 관련 점포들이 모여 있으며, 라이더들을 위한 아지트도 형성되어 있다."
서울특별시 강동구 아리수로 131,(암사동),1,0,A02,A0204,A02040800,2456069,12,20161214191825,,,127.1416007672,37.5610078251,6,20220310111934,7917,2,,"아리수 정수센터 (암사,뚝섬,영등포)",05205," 코로나바이러스감염증19 공지사항 내용 : 정수센터 견학 잠정중단 ( 별도공지시)ua hef""https:koean.visitkoea.o.knoticenews_detail.donwsid8cdd65e159f149048c9884001e40911"" title""여행정보 변동사항 페이지로 이동""→ 코로나바이러스감염증19 여행정보 변동사항 확인하기austong맑은 물의 월드 클래스stong 아리수는 서울의 수돗물로 깨끗함의 자부심이 크다. 철저한 정수시스템 관리는 물론 오존과 숯으로 한번 더 거르는 고도정수처리시설을 갖추고 있다. 아리수정수센터에서는 수돗물 생산과정과 깐깐한 수질관리의 모습을 견학할 수 있다."
서울특별시 강동구 천호3동 448-49호 (천호동 마을마당 내),,1,0,A02,A0205,A02050400,1836300,12,20130809202658,http://tong.visitkorea.or.kr/cms/resource/13/2030513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/2030513_image3_1.jpg,127.131841247,37.5363494014,6,20221021143125,6187,2,,해공신익희선생동상,05340,"독립운동가로 우리 민족의 자주독립과 민주주의 발전을 위해 헌신한 해공 신익희 선생의 공적을 기려 강동구청 주관으로 천호동에 동상을 건립하였다. 해공 신익희선생은 1894년 경기 광주 출신으로 1910년 한성관립외국어학교 졸업 후, 1912년 일본 와세다대학 정경학부에 입학하여 유학생 통합단체인 학우회를 조직하고 기관지 학지광을 발간하며 민족정신과 독립사상을 고취하였다. 1913년 귀국하여 고향에 동명강습소를 열어 신문화와 개화 사상을 보급하였으며, 1919년 독립선언문을 배포하며 만세시위를 주도하였다. 그 해 일경의 체포령을 피해 상해로 망명, 임시정부 수립에 참여하여 내무차장, 국무원비서장, 외무총장 서리, 내무부장 등을 역임하시고 조국의 광복을 맞아 귀국하였다. 귀국 후 민주당 최고위원 및 국회의장을 역임하고 1956년 민주당 대통령 후보로 민주주의 실현을 위해 혼신의 힘을 기울이다 유세가던 중 열차에서 뇌내출혈로 서거하였다.   규격  동상 높이 2.5m, 좌대 높이 1.5m  건립자  강동구청(2001.05.03.. 건립)"
서울특별시 강동구 고덕로 227,(고덕동) 배재중고등학교 내,1,0,A02,A0205,A02050400,1829744,12,20130723224350,,,127.1495890794,37.5557419143,6,20220816103515,4986,2,,우남 이승만박사 동상,05234,"어려서부터 한학을 공부하였던 우남이승만은 현재 동상이 위치한 배재고의 전신인 배재학당에 입학 후 신학문을 배워 개화기 언론과 독립협회의 개혁운동을 주도하다가 옥고를 치렀다. 석방 후 미국으로 건너가 박사 학위를 받았으며 해외에서 조국 광복을 위한 외교와 민족교육 및 홍보활동을 펼쳤다. 광복 후 1948년 대한민국정부 수립과 함께 초대 대통령을 지냈다.   규격  가로 4m, 세로 4m, 높이 7.3m  건립자  학교법인배재학당(1984.02.28. 건립)"
서울특별시 강동구 구천면로 77,(천호동),1,0,A02,A0205,A02050600,1366921,12,20110819021516,http://tong.visitkorea.or.kr/cms/resource/51/1985151_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/51/1985151_image3_1.jpg,127.1141592915,37.5444759163,6,20220908174100,70728,2,,광진교 8번가,05250,"광진교의 상판 아래 8번째 교각에 위치해 있는 광진교 8번가는 최고의 절경에서 공연과 전시라는 소재를 통해 다양한 문화컨텐츠를 만들어 시민들의 문화 감성을 충전하고 편안한 휴식을 즐기기위한 시민 문화공간이다.광진교 8번가에 들어서면 반은 간단한 공연을 관람할 수 있는 공연장이 있고, 반은 한강의 100년을 주제로 한 사진이 전시된 홀과 한강르네상스의 계획과 진행과정을 볼 수 있는 한강르네상스 홍보관이 위치해 있다. 유리벽 외부에는 시원한 바람을 맞으며 한강의 뷰를 전망할 수 있도록 전망대길이 마련되어 있다.광진교 아래 한강공원 광나루지구에는 자전거 공원 등 이 있어 광진교를 포함한 그 지역 자체가 하나의 쉼터를 제공한다."
서울특별시 강동구 고덕동 396번지 일대,,1,0,A01,A0101,A01010500,814237,12,20091006231727,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/1894505_image3_1.jpg,127.1493110052,37.5670267098,6,20220510113301,26191,2,,고덕동 생태경관 보전지역,"134-080,1","고덕동 생태경관보전지역은 서울지역에서 자연성이 높은 지역으로 고덕수변생태복원지와 연접하고 있으며 고덕지천부터 암사취수장 우측산림지역 일부와 호안 및 한강 저수부지까지 포함하는 구역이다. 고덕수변생태복원지역 중 조류관찰소 등 일부시설이 포함되어 있다. 강의 자연 생태를 복원하고 인근 산림지역과 연계하여 생물종 다양성을 증대하기 위하여 생태경관보전지역으로 지정되어있으며, 시민들에게 여가 및 생태체험 학습장소로 제공되고 있다."
서울특별시 강동구 선사로 83-66,,1,0,A01,A0101,A01010500,814195,12,20091006200918,http://tong.visitkorea.or.kr/cms/resource/96/1894496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1894496_image3_1.jpg,127.1222833943,37.5500170857,6,20220321172236,33018,2,,암사생태공원,05249,"암사동 한강변의 콘크리트 인공호안과 자전거 도로를 철거하고 갈대·물억새 군락지, 야생화, 산책로 등을 갖춘 자연형 호안과 생태공원을 조성하였다.
 면적 : 162,000㎡"
