addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 강북구 인수봉로84길 5,(수유동),1,0,A02,A0201,A02010500,2777943,12,20211123190117,http://tong.visitkorea.or.kr/cms/resource/86/2799486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2799486_image2_1.jpg,127.0109185725,37.6465233067,6,20221201103744,0,3,,윤극영가옥,01026,"서울특별시에선 근현대 문화유산 중 미래 세대에게 전달할만한 가치가 있는 보물을 '서울 미래유산'으로 선정, 관리하고 있다. 국립 4·19민주묘지, 문익환 가옥 등이 여기에 꼽혔는데, 윤극영 가옥은 그 가운데 가장 먼저 선정됐다는 점에서 각별한 의미를 지닌다. 192030년대에 활발하게 활동했던 윤극영은 동요 반달, 설날, 우산 셋이 나란히, 고드름 등을 작곡했다. 우리나라 최초의 동요집인 반달을 제작해 '반달 할아버지'로도 불린다. 생전에 그가 머물렀던 가옥은 현재 반달 문화원으로 쓰이며 방문객들을 반갑게 맞이한다. 윤극영의 유품들이 전시된 공간은 오랜 세월의 흔적이 더해져 마치 할아버지댁에 온 것처럼 마음이 편안해진다. 은은하게 흐르는 동요 멜로디는 어린 시절 추억을 떠올리게 만든다.   
가까운 곳에 국립 4.19 민주 묘지, 솔밭근린공원이 있다."
서울특별시 강북구 인수봉로23길 60,(수유동),1,0,A02,A0201,A02010600,2773346,12,20211111191251,http://tong.visitkorea.or.kr/cms/resource/68/2780668_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/68/2780668_image2_1.png,127.0098219858,37.6276949214,6,20221213145417,0,3,,빨래골,01096,"서울시 강북구 수유동 일대의 마을로 삼각산 동쪽 골짜기에 물이 많고 맑아서 빨래터와 쉼터로 이용하던 것에서 유래된 이름이다.
이곳은 북한산이 시내 쪽으로 쭉 뻗쳐 내려온 칼바위능선 골짜기에 해당하는 곳이다. 골짜기 안쪽에 삼성암이라는 암자가 있고 왼편 산자락에는 아주 특이한 모습의 묘비가 세워져 있는 공초 임상순 선생의 무덤이 자리 잡고 있다.
2016년부터 '옛터 빨래골축제'가 개최되는 등 지금도 통용되고 있는 지명이다. 
지하철 4호선 수유역 3번 출구 앞에서 03번 버스 타고 빨래골 종점에서 내려 안쪽으로 200여 미터 거리에 있다."
서울특별시 강북구 덕릉로42길 49,(번동),1,0,A02,A0202,A02020700,866393,12,20091117024754,http://tong.visitkorea.or.kr/cms/resource/39/2025939_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2025939_image3_1.jpg,127.0321864624,37.6329891526,6,20220513174739,28569,3,,오동근린공원,01139,"서울 강북구와 성북구에 걸쳐 있으며 강북 번동, 미아동외 5개 동과 성북구 월곡동에 걸쳐 있는 대단위 공원으로 수림이 잘 형성되어 있다. 오동공원은 쉼터와 구민체육관, 인조잔디구장, 테니스장, 황토지압 보도, 산책로 등을 두루 갖추고 구민의 쉼터로 자리 잡아 인근 주택단지에 주거하고 있는 주민들의 휴식과 운동장소로 이용되고 있다."
서울특별시 강북구 월계로 173,,1,0,A01,A0101,A01010500,822384,12,20091017024859,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/2526686_image2_1.jpg,127.0407498436,37.6233876457,6,20220516143546,36366,3,,북서울 꿈의숲,01228,"옛 드림랜드 부지에 조성된 북서울 꿈의 숲은 월드컵공원, 올림픽공원, 서울숲에 이어 서울에서 4번째로 큰 공원이다. 공원을 둘러싸는 곳은 벚꽃길을, 공원 북쪽 아파트 지역과 인접한 곳에는 단풍숲을 조성했다. 공원 동남쪽에 있던 전통 한옥인 창녕위궁재사(등록문화재 제40호)는 원래 모습으로 복원됐고 주변에 연못과 정자(애련정) 등이 조성돼 운치를 더했다.
300석 규모의 공연장 2개와 다목적홀, 전망대 등을 갖춘 문화센터가 있다. 문화센터 전망대에서는 북쪽으로 북한산, 도봉산, 수락산의 절경을 감상할 수 있고 남쪽으로 남산과 한강까지도 조망이 가능하다.
주요 공원시설은 호수, 대형잔디광장, 월광폭포, 정자(애련정), 산책로, 칠폭지, 야생초화원, 포켓파크와 미술관, 문화센터, 카페테리아, 지하주차장 등이 있다. 강북 지역에 최초로 조성된 대형 녹지공원으로, 기존 노후된 시설물을 모두 비우고, 지형에 맞는 생태적 조경공간으로 탈바꿈하였다. 전통건축물인 창녕위궁재사 건물은 원형으로 복원되었으며, 주변에는 푸른호수와 함께 정자와 폭포 등이 조성돼 전통경관도 연출하였다.
그동안 드림랜드 눈썰매장으로 쓰였던 경사지에는 공연장과 전시장, 레스토랑, 전망타워 등이 들어서서 강북지역 최첨단 문화 공간으로 거듭나게 되었다. 또한, 아파트와 도로로 둘러싸인 공원 경계부에는 어느 곳에서나 공원접근이 가능하도록 포켓파크, 쌈지마당, 가로공원, 산책로, 체력단련장 등 다양한 형태의 공간으로 조성되어 주민들이 생활 공원으로 최대한 이용할 수 있도록 공간을 구성하였다.

 오동근린공원
북서울 꿈의 숲이 조성된 지역은 오패산(123m)과 벽오산(135m)의 두 봉우리가 있는 '오동근린공원'이 있는데, 양 산봉우리의 가운데 평탄지에는 1989년부터 운영되었던 '드림랜드'라는 놀이시설이 있었지만 지금은 모두 철거되었고 그 자리에는 호수, 잔디광장 등 친환경적인 새로운 녹지공원의 주요시설이 들어섰다. 드림랜드가 있었던 부지를 가운데 두고 양쪽에는 숲이 보존되어 있는데, 이 숲속에는 상수리나무, 잣나무, 소나무, 아까시나무, 은사시 나무 등이 혼재하여 있고, 다람쥐, 청설모, 꿩, 뱀, 개구리 등의 동물과 멧비둘기, 쇠박새, 참새, 까치 등 다양한 조류가 서식하고 있다."
서울 강북구 우이동,일대,1,0,A01,A0101,A01010900,758299,12,20090625190922,http://tong.visitkorea.or.kr/cms/resource/61/739061_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/739061_image3_1.jpg,127.0047072778,37.6728562427,6,20220311154826,83412,3,,우이동계곡,"142-090,1","'우이동'은 도봉산과 북한산 사이의 계곡에 있는 시민의 휴식처로 우이동 입구에서 왼쪽은 백운대로 오르는 등산길이며, 도선사를 경유하여 인수봉 정상을 오를 수 있다. 오른쪽으로 관광호텔, 놀이공원, 웨딩홀 등을 갖춘 그린파크호텔을 기점으로 유원지가 시작된다. 계곡의 맑고 시원한 냇물을 끼고 각종 별미를 자랑이라도 하듯이 음식점 등이 줄을 이으며 여름철 닭죽은 진미이다. 민박도 가능하며 3,4월에는 대학생들의 MT장소로 선호된다.  이렇게 20분 가량 올라가면 원불교 수도원, 성불사, 용덕사, 선운사, 광명사 등 사찰을 찾을 수 있으며 입구에서의 들뜬 분위기는 이내 차분해지며 또 다른 운치를 느낄 수 있다. 산 정상으로는 현재 군부대가 상주하여, 생태계가 서울에서도 드물게 잘 보존되는 우이령, 일명 바위고개로 이어진다. 우이동에서는 우이암으로 이어지는 등산로가 열린다. 우이암까지 가는 길은 꽤 험한데 우이암 옆을 지나 도봉산 주릉으로 올라서게 되어 있다. 이곳에서 북으로 뻗은 주릉을 타거나 성황당, 도봉유원지로 하산하면 된다."
서울특별시 강북구 삼각산로 1,(수유동),1,0,A02,A0201,A02010800,316294,12,20071204010819,http://tong.visitkorea.or.kr/cms/resource/35/2356735_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/35/2356735_image3_1.jpg,127.0052887931,37.6372881685,6,20220331170128,21120,3,,본원정사(서울),01019,"본원정사(本願精舍)는 서울특별시 강북구 수유동 삼각산에 자리한 대한불교조계종 대각회 소속의 사찰이다. 지장보살은 석가모니 부처님과 미륵불 사이인 부처님 없는 시대에 중생들을 교화하는 대비보살이다. 특히 지옥에서 고통 받는 중생들을 구원하기 위해 지옥에 들어가 교화해 제도하는 보살로 널리 알려져 있다. 《지장보살본원경에는 지장보살이 석가모니 부처님에게 한 서약의 내용이 있다. 즉 지옥이 텅 비지 않는다면 결코 성불을 서두르지 않겠나이다. 그리하여 육도의 중생이 다 제도되면 깨달음(菩提)을 이루리다. 이는한시바삐 성불하여 부처님과 같은 거룩한 모습을 갖추겠다는 것이 아니라, 미래의 세상이 다할 때까지 고통 받는 중생을 구제하고 그들을 남김없이 해탈케 한 다음 부처가 되겠다는 것이다. 이러한 지장보살의 서원은 서원(誓願) 중의 서원, 가장 근본이 되는 원으로 모든 보살과 부처가 존재할 수 있는 근거가 되는 본원(本願)인 것이다. 삼각산 아래의 본원정사에는 한국전쟁 때 태고사에 불이 나서 옮겨왔다고 전하는 목조지장보살좌상이 봉안되어 있다. 1980년대 초 주지소임을 맡은 원성스님은 이 지장보살상에 감화를 받아 지장보살의 본원을 따르고자 서원을 하였다고 한다. 그래서 절 이름도 본원정사로 바꾸었다. 이후 본원정사를 사바세계 중생들의 몸과 마음의 병을 다스릴 수 있는 도량으로 만들어 가고 있다. 또한 언제나 열려있는 도량으로 서울시민과 불자들에게 번잡한 마음을 쉴 수 있게 하고, 기도할 수 있는 도량으로 본원정사를 장엄하고 있다."
서울특별시 강북구 삼양로145길 176,(우이동),1,0,A02,A0201,A02010800,315921,12,20071203184831,http://tong.visitkorea.or.kr/cms/resource/30/2025930_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2025930_image3_1.jpg,127.0034858166,37.6500533176,6,20220524180820,24241,3,,보광사 보광선원(서울),01008,"보광사(普光寺)는 서울시 강북구 우이동 7619번지 삼각산에 자리한 재단법인 선학원 소속사찰이다. 소나무가 빼곡히 들어서 숲을 이룬 우이동의 솔밭공원을 지나 포장된 길을 따라 걷다보면 삼각산 기슭에 자리한 보광사에 닿는다. 수십 년 전만 해도 이곳은 숲의 한가운데였지만 지금은 도심과 바로 이웃하고 있어 산을 한참이나 올라왔다는 것을 느끼지 못한다. 보광사는 1788년(정조 12) 금강산에서 수도한 원담스님이 신원사를 창건한 것이 그 시초이다. 이후 한국전쟁으로 인해 소실되고 일부 건물만이 남아 법등을 겨우 이어 왔었다. 그러던 것을 1979년 남산당(南山堂) 정일(正日) 스님이 포교의 원을 세우고 이곳에 주석하면서 불사를 시작하여 1980년 11월 보광사로 절 이름을 바꾸었다. 이후 스님은 가람을 일구어 오늘의 모습이 되도록 하였고, 대승경전산림법회와 참선법회를 정기적으로 열어 사람들에게 부처님의 가르침과 선법을 전하여 스스로 바른 길을 찾게 하였다. 이로서 보광사는 스님의 발원대로 명실상부한 포교의 도량으로서 자리매김하게 되었다. 이렇게 대중 교화에 혼을 쏟으셨던 정일스님은 세연이 다해 2004년 열반에 드시고 말았다. 이후 보광사 대중들은 보다 발전적인 모습으로 스님의 뜻을 이어나가고 있다."
서울특별시 강북구 4.19로20길 142,(수유동),1,0,A02,A0201,A02010800,309307,12,20071130215057,http://tong.visitkorea.or.kr/cms/resource/98/2356798_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2356798_image3_1.jpg,126.9995223749,37.6470369314,6,20220824112917,21256,3,,백련사(서울),01012,백련사(白蓮寺)은 서울시 강북구 수유4동 산1271번지 삼각산에 자리한 한국불교 태고종 소속사찰이다. 북한산 첩첩산중에는 많은 사찰들이 자리하고 있다. 유구한 역사를 지니고 있는가 하면 터만 남아 이름을 전하기도 한다. 그러나 사찰의 역사가 오래되었건 되지 않았건 모두 부처님의 연화도량임에는 변함이 없음이다. 4·19국립묘지에서 대동문으로 오르는 등산로 가에는 작은 가람이 자리하고 있다. 백련사는 산을 오르는 사람들은 그냥 스쳐지나가는 작은 사찰이지만 80여 년 전인 1930년 이은순여사가 지극한 신심으로 창건한 곳이다. 이후 많은 사람들이 머무르면서 수행과 포교의 도량으로서 자리매김하게 하였다. 그리고 오늘날에는 있는 듯 없는 듯 항상 그 자리에서 부처님의 법등을 이어가고 있다.
서울특별시 강북구 삼양로173길 460,(탐방지원센터),1,0,A01,A0101,A01010400,128933,12,20060424090000,http://tong.visitkorea.or.kr/cms/resource/71/1894471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1894471_image3_1.jpg,126.9909006206,37.658246583,6,20220517113617,28114,3,,삼각산,01002,"서울시 북쪽 외곽에 병풍을 친듯이 솟아 있는 삼각산은 우이동 종점에서 등정할 수 있다. 삼각산의 유래는 산의 최고봉인 백운대, 인수봉, 만경대(국망봉)의 높은 세 봉우리가 뿔처럼 높이 서 있어서 붙여진 이름이다. 세봉우리 중에서 가장 높은 백운대는 해발 836.5m로 정상에 오르면 사방이 탁 틔여서 전망이 무한히 넓고, 또 봉 위에는 많은 사람이 앉을 수 있는 넓은 암반이 있기도 하다. 동북쪽으로는 산맥이 서로 통하는 도봉산의 연봉이 줄을 이어 있고 아래로 강북, 도봉, 노원구가 한 눈에 내려다 보인다. 남쪽으로 눈을 돌리면 한강 건너 옆으로 뻗어나간 남한산을 바라볼 수 있고 서남쪽으로는 관악산이 눈에 들어온다.  백운대 동쪽에 우뚝 솟은 인수봉도 온통 바위 하나가 하늘 높이 솟아 장관을 이루며, 동남쪽에 솟은 국망봉은 일명 만경대라고도 하는데, 이 국망봉의 봉명은 일찌기 이태조가 한양에 도읍을 정할때 왕사 무학이 영기에 올라가 새 나라의 도읍터를 바라 보고 정해서 국망이라는 봉명이 생겼다고 전해오기도 한다. 삼각산 일대의 지질기반은 중생대말에 관입한 화강암으로 구성되어 있다. 다른 지역에서는 보기 드문 담조색을 띠고 있는데 장구한 세월에 걸친 지반의 상승과 침식작용으로 지표에 노출되고 다시 그 절리와 표면에 생긴 풍화작용으로 오늘날과 같은 산모양이 된 것이다. 따라서 높이에 비해 산세가 험준하고 경사가 심하며 암벽으로 된 바위 봉우리들이 주축을 이루고 있다. 또한, 북한산 일대에는 옛 한성의 방어역할을 했던 북한산성이 있으며, 성의 둘레는 12.7km이고 성안의 면적은 6,611,600m² (약 200만 평)으로,1990년부터 훼손된 대남문, 대성문, 대동문, 보국문, 동장대의 성곽들을 일부 보수 복원하였다."
서울특별시 강북구 삼양로173길 504,(우이동),1,0,A02,A0201,A02010800,126502,12,20040216090000,http://tong.visitkorea.or.kr/cms/resource/48/632948_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/632948_image3_1.jpg,126.989734146,37.6552274686,6,20220524153818,42235,3,,도선사(서울),01002,"우이동 버스 종점에서 사찰 진입로인 포장도로길 청담로를 따라 '도선고개'와 청담대종사의 진필 휘호인 ""자비무적, 밤생도량""이 새겨진 자비문과 바위고개 청담폭포 등을 지나 2.5km쯤 오르면 삼각산의 주봉인 백운대 만경봉 인수봉을 배경으로 도선사의 현관인 안양암과 마음의 광장이 나타난다.호국참회 본찰 도선사는 1,100여 년전 신라말의 유명한 도승 도선국사가 명산승지를 답사하다가 산세가 절묘하고 풍경이 청수하여  천년후 말세 불법이 재흥하리라' 예견하고 건립한 사찰이다. 그 후 도선국사는 신통력으로 사찰 옆에 서있는 큰 바위를 반으로 잘라 그 한쪽 면에다 20여책에 달하는 관세음보살상을 주장자로 새겼다고 하는데 , 이 마애불상은 정으로 쪼은 흔적을 찾을 수 없어 불가사의로 남아 있다.  조선조 광무 7년에 광무황제로부터 정식으로 국가기원도량으로 지정받은바 있는 도선사가 오늘날의 위용을 갖추게 된 것은 조계종단의 종점과  총무원장, 종회의장, 장로원장 등을 두루 역임하신  한국불교정화유신운동의 총수 청담대종사의 대원력에서 기인한 것으로, 수행불교, 실천불교, 생활불교로 불교의 중흥을 꾀하자는 청담대종사의 호국참회사상이 대종사의 뜻을 받든 제자들과 고 육영수 대덕화보살을 비롯한  뜻있는 신남신녀들의 지극한 정성으로 모아져 호국참회사상을 펼치는 근본도량으로 크게 중창되었다.경내로 들어서면 호국참회원의 옹자와 마주치는데, 이 건물의 청담기념관에서는 청담대종사의 유물과 선필을 만날 수 있다.   천불전으로 오르는 길 옆 연못청담 심지에서는 참배객들이 동전을 던지며 소원을 빌기도 한다.  명부전에는 생전 인연이 깊었던 고 박정희대통령과 고 육영수 여사(대덕화), 고 정주영 현대그룹 회장의 영정이 봉안되어 있으며, 명부전 앞뜰에는 200여 년전 어떤 고승이 인도에서 가져와 심었다는 보리수가 고목이 되어 있고, 12세 소년이 썼다는 기록이 새겨진 대웅전 현판글씨는 보는 이들의 감탄을 자아내게 한다. 대웅전 옆 계단을 오르면 도선국사가 새겼다는 마애불상이 있는 석불전이 나오는데, 이곳은 관세음보살 기도영험이 있는 곳으로 알려져 일년 내내 기도객의 발길이 끊이지 않는 곳이다. 절의 용암문을 거치면 백운대와 인수봉으로 오르는 등산로가 이어진다."
