addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 강서구 곰달래로35길 64,(화곡동),1,0,A02,A0201,A02010800,2759973,12,20211020231906,,,126.8539749564,37.5340113551,6,20211110005231,0,4,,성심사,7744,서울 강서구 화곡동 주택가에 있는 불교 조계종 사찰로 비구니 사찰이다. 주택가 한복판에 있어 인근 불교 신자들의 안식처로 이용되고 있다. 언덕 위에 자리잡은 고풍스러운 사찰의 분위기와 함께 이곳에선 동네를 한눈에 내려다볼 수 있어 화곡동 명소 중의 한 곳으로 손 꼽힌다. 바로 위에 봉제산이 있어 함께 둘러보기에도 좋다. 2호선 5호선 까치산역 2번 출구를 이용하면 찾아가기 쉽다.
서울특별시 강서구 양천로49길 56-12,(가양동),1,0,A02,A0201,A02010800,2759964,12,20211020231200,,,126.8404806729,37.5720539135,6,20221101093943,0,4,,홍원사,7521,"불교 신자들을 향한 수행과 포교 활동을 위해 도심에 2005년 새로 건립했다. 사찰 이름의 홍원이라는 뜻은 크나큰 서원으로 일체중생을 제도하겠다라는 의미를 담고 있다. 전통과 현대가 어우러진 사찰 건축으로 건물 맨 위의 금동탑이 인상적이다. 9호선 양천향교역 2번 출구를 통해 찾아갈 수 있으며, 인근에 궁산 근린공원과 서울식물원이 있다."
서울특별시 강서구 허준로 221-40,(가양동),1,0,A02,A0202,A02020700,2755447,12,20211012182648,,,126.8641232474,37.5618638537,6,20220407175050,0,4,,황금내근린공원,7531,"한강 변 올림픽대로와 가양 6, 7단지 아파트 사이에 위치한 황금내 근린공원은 2만 2,002㎡ 규모의 근린공원으로 강서구 내 방화, 옹기골, 공암나루, 개화 근린공원과 함께 5대 근린공원에 속한다. 농구장, 풋살장, 테니스장, 배드민턴장, 족구장 등 코트 시설을 마음껏 즐길 수 있는 곳으로 특화되어 있다. 특히 풋살장, 농구장과 배드민턴 코트에는 미끄럼 방지 바닥재를 설치했고 족구장은 인조 잔디로 조성했다."
서울특별시 강서구 마곡동로 161,(마곡동),1,0,A02,A0202,A02020700,2733983,12,20210817192742,http://tong.visitkorea.or.kr/cms/resource/98/2780698_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2780698_image2_1.jpg,126.8328563613,37.5722981936,6,20220411102441,0,4,,서울식물원 호수공원,7789,"식물원은 코로나19로 휴장중
서울 강서구 마곡동에 위치한 서울 최초의 도시형 식물원인 서울식물원과 유기적으로 결합한 공원 속 공원이다.
호수 주변으로 산책길과 수변 관찰 데크가 조성되어 있으며, 호수 계단에 앉아 식물원을 조망하거나 습지식물과 텃새를 관찰할 수도 있는 휴식 공간이자 생태 교육장이다."
서울특별시 강서구 양천로27길 279-23,(방화동),1,0,A02,A0202,A02020700,2733968,12,20210817184655,http://tong.visitkorea.or.kr/cms/resource/11/2779111_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/11/2779111_image2_1.png,126.8171490732,37.5860879769,6,20221208140635,0,4,,강서한강공원,7518,"강서한강공원은 한강 남단 가양대교에서 서울김포시 경계까지이며, 습지 생태공원과 체육공원이 결합한 테마형 공원이다.서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은 하중도, 자연관찰로, 습초지토 등 습지 생태계를 복원하여 하천의 자연정화 기능을 제공하고, 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가활동과 스포츠 공간으로써의 기능을 하고 있다."
서울특별시 강서구 마곡동로 161,(마곡동),1,0,A01,A0101,A01010700,2589349,12,20190124194713,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2658460_image3_1.jpg,126.8328563613,37.5722981936,6,20221004105526,974,4,,서울식물원,7789,"서울식물원은 세계 12개 도시 식물과 식물문화를 소개하고 도시의 생태감수성을 높이기 위해 서울에 남은 마지막 개발지, 마곡에 조성되었으며, 식물원과 공원을 결합한 이른바 '보타닉 공원'으로서 면적은 축구장 70개 크기에 달한다. 멸종위기 야생식물 서식지를 확대하고 번식이 어려운 종의 증식 연구, 품종개발 등 식물의 육성이라는 식물연구보전기관 본연의 역할은 물론, 도시 정원문화 확산의 교두보이자 평생교육 기관의 역할을 수행한다. 식물원은 열린숲과 주제원, 호수원, 습지원 들 4가지 공간으로 나뉘며 그 중 하이라이트는 식물문화센터와 야외 주제정원, 마곡문화관이 포함된 주제원이다."
서울특별시 강서구 개화동로13길 56-33,(개화동),1,0,A02,A0205,A02050200,1837041,12,20130812195919,http://tong.visitkorea.or.kr/cms/resource/90/1986090_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/90/1986090_image3_1.jpg,126.8036199031,37.5807272474,6,20220920100300,4808,4,,호국충혼위령비,7504,"1950년 6월 25일 북한군의 무력남침으로 조국의 운명이 풍전등화의 위기에 처하자 육군 제1사단 11, 12, 15연대 소속 장병 1,100여 명은 김포지구로 후퇴하여 6월 26일부터 30일까지 개화산에 최후의 방어진을 치고 아군으로 위장한 적의 대병력을 맞아 전투를 벌였다. 그러나 안타깝게도 본부와 통신이 두절되고 탄약과 보급이 끊긴 채 북한군의 수와 화력에 밀려 부대원 전원이 개화산 골짜기에서 장렬이 산화하는 비운을 맞이하였다. 조국과 민족을 위해 목숨을 바친 이들의 넋을 위로하기 위해 1994년 개화산에 위령비를 건립하고 매년 6월 28일 이 곳에서 위령제를 지내고 있다.   규격  비높이 4.7m  건립주체자  육군제1사단, 미타사"
서울특별시 강서구 양천로27길 279-23,(방화동),1,0,A01,A0102,A01020100,809490,12,20090924090047,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/1894481_image3_1.jpg,126.8171490732,37.5860879769,6,20220322155331,42089,4,,강서습지생태공원,7518,"방화대교 남쪽 끝에서 행주대교 남쪽 끝 사이 한강 둔치에 있는 생태공원이다. 서울시 생태관광명소 30개소 중 하나로 선정된 강서습지생태공원은nsp;담수지·저습지 등을 조성하고 습생·수생식물을 심은 습지공원으로 2002년 7월에 개원되었다. 하중도, 자연관찰로, 습초지 등 습지 생태계를 복원하여 하천의 자연정화 기능을 제공한다. 갈대밭·버드나무숲이 어우러진 습지를 가로질러 두 곳의 탐방로와 철새 조망대 등이 있다. 여름과 겨울에는 철새들이 찾아들며, 다양한 생태학습 프로그램을 운영하고 있다. 또한 방화대교 하부, 가족 피크닉장 앞, 행주대교 하부에는 체력단련기구 등을 갖춰 시민의 여가활동과 스포츠 공간으로서의 기능을 하고있다.
 면적 : 370,000㎡"
서울특별시 강서구 금낭화로17길 261,,1,0,A02,A0201,A02010800,337422,12,20071217235427,http://tong.visitkorea.or.kr/cms/resource/85/2671585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2671585_image3_1.jpg,126.8029808981,37.5869209605,6,20220624150321,26689,4,,약사사(서울),7501,"약사사는 서울시 강서구 개화동 개화산에 자리한 대한불교조계종 직할사암이다.겸재(謙齋)도 감탄했던 절경, 개화산 약사사(藥師寺)조선 후기의 화가로 이름 높은 겸재(謙齋) 정선(鄭, 16761759)은 개화사(開花寺)란 제목으로 개화산과 절 그리고 주변의 풍경을 그림으로 남겼는데, 바로 이 개화사가 지금의 약사사이다. 절의 창건은 삼한 시대 혹은 신라 시대로 전하고 있지만 구체적으로 언제 창건되었다는 기록은 없다. 또한 고려 시대의 유물인 석불과 삼층석탑이 남아 있는 점으로 보아 고려 시대에도 법등이 이어져 왔음을 짐작해볼 따름이다. 이후 조선 후기까지는 별다른 역사를 찾아 볼 수 없다가 1737년(영조 13)에 좌의정 송인명(宋寅明)에 의해 크게 중수된 후 송씨 가문의 원찰이 되었다. 송인명은 조선 후기의 문신으로 어려서 아주 가난했는데 개화사에서 극진한 대접을 받으면서 공부를 하였고, 1736년에 좌의정에 오르자 그 은혜를 보답하기 위해 절을 크게 고쳐지었던 것이다. 이러한 사실은 영조 때 최고의 시인이었던 이병연(李秉淵)이 송인명에게 보낸 시를 통해 더욱 잘 알 수 있다.  봄이 오면 행연(杏淵) 배에 오르지 마오 손님이 오면 어찌 꼭 소악루(小嶽樓)만 오르려 하나 책을 서너 번 다 읽은 곳이 있다면 개화사(開花寺)에서 등유(燈油)를 써야지.  『사천시초(川詩抄)  또한 이병연과 교류하고 있던 겸재 정선은 이 시를 보고 개화사라는 그림으로 절경을 남겼던 것이다.이후 개화사는 약수암(藥水庵), 약수사(藥水寺), 약사사(藥師寺) 등으로 절의 이름을 바꾸게 되는데 이는 아마도 절에서 솟아나는 약수와 법당에 모셔져 부처님과 매우 연관성이 있는 것 같다. 특히 법당에 봉안되어 있는 석불은 영험이 있어 지극정성으로 기도를 올리면 병이 치유되고 소원을 성취한다고 하여 향화의 발길이 끊이지 않고 있다."
서울특별시 강서구 개화동로13길 56-33,(개화동),1,0,A02,A0201,A02010800,309300,12,20071130193944,http://tong.visitkorea.or.kr/cms/resource/92/2671592_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2671592_image3_1.jpg,126.8033754829,37.5806494747,6,20220228140341,23276,4,,미타사(강서),7504,"미타사는 서울시 강서구 개화동 개화산 서남 기슭에 자리한 대한불교조계종 직할사암이다서울의 서쪽 끝 김포평야와 행주나루 끝에 걸쳐 있는 미타사는 도심 속에 있는 사찰이면서도 평온함과 한적함을 느낄 수 있는 곳이다. 아기자기하게 꾸며놓은 동산에 자연스럽게 다듬어진 나무들과 앙증맞게 피어 있는 들꽃들, 하나같이 예쁘게만 보인다. 그러나 이곳은 한국전쟁 때 육군과 인민군이 치열한 교전을 벌이던 격전지로 김포공항을 사수하던 육군 1000여명이 전사했으며 그로 인해 절의 모든 당우들이 전소되는 비운을 맞이하기도 했다.
현재 미타사의 당우는 작은 법당과 요사가 전부인 단촐한 가람을 이루고 있는데, 이러한 모습은 아마도 100여 년 전 창건 당시의 모습과도 별반 차이가 없는 듯하다. 다만 건물들이 현대식으로 바뀌었을 따름이다.미타사에서 가장 눈길을 끄는 것은 단연 법당 옆 커다란 바위 위에 우뚝 솟아 있는 미륵불입상이다. 절의 창건과도 관련이 있을 것 같은 이 불상은 무수한 일화를 남기고 있는데, 이야기 속에 이 미륵부처님은 하나 같이 땅에서 솟아났다고 한다. 미륵경전에 의하면 미륵부처님은 석가모니부처가 열반에 든 후 56억 7천만년이 지나면 사바세계에 출현하여 중생을 구제한다고 하니, 미륵부처님이 출현하였으니 용화삼회(龍華三會)의 설법을 듣기 위해 절을 창건했는지도 모를 일이다."
서울특별시 강서구 방화동,,1,0,A02,A0205,A02050100,250166,12,20060731090000,http://tong.visitkorea.or.kr/cms/resource/68/1985168_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/1985168_image3_1.jpg,126.825684361,37.5876685005,6,20220610174345,32105,4,,방화대교,7518,"방화대교는 인천국제공항이 21세기 동북아시아 허브 공항의 역할을 수행할 수 있도록 건설된 고속국도 130호선 구간 중 한강을 횡단하는 교량으로 예술성 및 기능성이 우수하다.총 연장 2.6㎞로 한강 교량 중 가장 긴 교량이며, 국내최초로 장경간 아치 트러스 구조로 설계, 시공된 한강의 27번째 교량이다. 아치는 전통 사찰과 기와집 처마의 부드러운 이미지가 도입되어 개화산 봉우리, 덕양산 봉우리에 이어 세 번째 봉우리를 만들어내고 있으며, 이륙하려는 듯한 거대한 항공기를 연상시키는 기하학적인 형상과 밤이면 한강 물결에 비치는 황홀한 야경이 보는 이로 하여금 감탄을 자아내게 한다."
서울특별시 강서구 허준로5길 42,(가양동),1,0,A02,A0202,A02020700,126824,12,20031103090000,http://tong.visitkorea.or.kr/cms/resource/92/566492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/566492_image3_1.jpg,126.8537656954,37.5676574399,6,20220810095028,30868,4,,구암공원,7525,"탑산 아래의 천연적인 바위 동굴인 허가바위 일대에 조성된 공원으로, 허가바위에서 양천 허씨의 시조인 허선문이 태어났다는 전설이 있다. 구암공원은 의성이라 불리는 허준선생 기념공원으로, 구암(龜巖)은 허준선생의 호이다. 준선생이 관직에서 물러나 그 유명한 동의보감을 저술한 곳이, 허가바위 동굴이자, 지금의 구암공원이다. 구암공원에는 올림픽대로 건설로 인해 한강의 일부분이 잘려나와 호수처럼 되었고, 아파트가 하늘 높이 솟아있어 병풍처럼 둘러쳐져 있다. 이 곳에는 의성 허준선생이 환자를 진료하는 인자한 모습의 동상이 앉아있다. 한편에는 아름다운 호수가 있고 그 호수 속에는 재미있는 전설이 담겨 있는 고색 창연하고 구멍이 뚫려있는 자색의 광주바위가 있다. 양화대교가 놓여지기 전까지 이 곳은 한강하류를 건너는 공암(孔巖)나루터였고, 허가바위 동굴이 있어 여러차례 정변과 임진왜란, 병자호란, 가깝게는 6.25동란에 이르기까지 많은 사람들이 피신하였다 한다."
서울특별시 강서구 양천로47나길 53,,1,0,A02,A0201,A02010700,127215,12,20020612090000,http://tong.visitkorea.or.kr/cms/resource/18/2661818_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/2661818_image2_1.jpg,126.8400029129,37.5729593554,6,20221107211143,33674,4,,양천향교,7521,"양천향교는 서울에 유일하게 남은 향교로, 서울특별시 기념물로 지정되어 있는 곳이다. 조선조 태종 12년(1411)에 창건돼 노후된 것을 지난 81년에 전면 복원했다. 건물로는 대성전(大成殿)을 비롯, 명륜당(明倫堂), 전사청(典祀廳), 동재(東齋), 서재(西齋), 내삼문(內三門), 외삼문(外三門)과 부속건물 등 8동이 있다. 현재 양천향교에서는 봄과 가을 2회에 걸쳐 석전(釋奠)을 봉행하고 있으며, 이와 함께 지역주민과 초, 중학생을 대상으로 한문과 서예 및 사군자 등을 가르치는 등 청소년의 인성교육 및 옛 전통문화 재현에 노력하고 있다. 주변의 겸재정선미술관, 궁산땅굴역사전시관 등과 연계 가능하며 서울도보해설관광 양천로 겸재정선 코스에 포함되어 있다."
서울특별시 강서구 가양동,,1,0,A02,A0201,A02010200,127216,12,20020510090000,http://tong.visitkorea.or.kr/cms/resource/64/1985564_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1985564_image3_1.jpg,126.8408278075,37.5740425776,6,20221114142141,30530,4,,서울 양천고성지,7521,"가양동 양천향교 뒷산인 궁산에 위치하며 대략 29,390㎡ 넓이의 옛 성터이다. 궁산(宮山)은 한강 올림픽대로 변 해발 약 74m의 야산으로 서쪽과 남쪽은 완경사로 시가지와 연결되며, 북쪽은 한강 변 쪽으로 급경사를 이루고 있고 동쪽은 남쪽보다는 다소 급하게 경사져 새로 조성된 가양아파트 단지와 연결된다.신증동국여지승람, 여지도서, 대동지지 등 문헌기록에 등장하며, 축성시기는 언제인지 알 수 없다.  그러나 역사의 흐름에 맞추어 추정해 볼 때, 이 성은 백제가 축성한 성(城)으로 백제 22대 문주왕이 웅진으로 천도(475년)하기 전, 강 건너 고구려를 견제하며 국경을 지키던 백제성으로 짐작된다. 특히 이곳에서 백제 초기시대의 토기 파편이 발견됨으로써 백제 성이었다는 사실을 뒷받침해주고 있다. 또한, 임진왜란 당시 김천일 장군 등이 의병을 이끌고 이 성에 주둔하였다가 권율장군을 도와 행주대첩에 참가하기도 했다. 1994년에는 산 정상 동편에 예부터 전해  내려오는 소악루(小岳樓)가 아름답게 복원되어 강서구민들의 관광 휴식처가 되고 있다.   시설규모  29,370㎡ 넓이의 토성터  시대 및 조성시기  백제시대로 추정"
