addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 관악구 남현동 산 62-1,,1,0,A01,A0101,A01010400,2779550,12,20211125195955,http://tong.visitkorea.or.kr/cms/resource/56/2796456_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/56/2796456_image2_1.jpg,126.9767878655,37.4674073967,6,20221124113331,0,5,,관음사국기봉,,"서울 한강 남쪽에 우뚝 솟은 관악산은 관악구 신림동과 경기도 안양시, 과천시의 경계를 이룬다. 산꼭대기는 바위로 이루어져 있는데, 그 모습이 마치 갓을 쓰고 있는 것처럼 보여 관악산이란 이름이 붙었다. 대중교통으로도 쉽게 찾아갈 수 있을 만큼 접근성도 좋고 웅장한 바위 능선을 자랑해 등산객들에게 늘 인기 코스로 꼽힌다. 그중에서도 통일신라 때 창건한 사찰인 관음사를 끼고 국기봉으로 오르는 길은 짧고 굵게 관악산의 매력을 즐길 수 있는 코스로 통한다. 바위가 많고 일부 급경사를 이루는 구간도 있지만, 정상에 오르면 그동안의 수고로움을 잊을 만큼 탁월한 전망이 펼쳐진다. 우수경관 전망대란 이름으로 느긋하게 쉬어갈 수 있는 공간도 마련돼 있다. 관음사 국기봉은 성인 기준으로 2시간이면 넉넉하게 오르내릴 수 있다."
서울특별시 관악구 청룡1길 11,(봉천동),1,0,A02,A0201,A02010800,2761662,12,20211025223619,http://tong.visitkorea.or.kr/cms/resource/83/2790183_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2790183_image2_1.jpg,126.9470207355,37.4814635656,6,20211209201140,0,5,,명락사,08786,"서울 관악구 청룡동에 있는 명락사는 관악산 줄기의 끝자락 도심 상업지역에 있다.  40여 년 넘게 서울 서남권의 포교 활동과 다문화가정을 위한 포교에 관심을 기울이고 있는 사찰이다. 청년회가 활성화되어 있으며, 토요일 저녁 8시 30분부터 정기 법회를 갖는다. 2호선 봉천역과 서울대입구역 중간지점에 있다."
서울특별시 관악구 신림로 23,(신림동),1,0,A02,A0202,A02020100,2759682,12,20211020194303,,,126.9454518049,37.4682678469,6,20211106001435,0,5,,만남의광장,08825,"관악구 만남의 광장은 서울 남쪽 경계의 명산 관악산으로 가는 사람들을 위한 집결지이다. 
서울대 입구 정류장 관악산공원 현판이 있는 관악산공원이 제1 광장이며, 관악산과 서울대 사이 숲길을 따라 만나는 수중동산 인근에 제2 광장이 있다. 제2 광장까지는 무장애 숲길이라고 해서 휠체어 규격이나 회전 시 소요 공간 등을 고려한 산책길이 마련되어 있다. 걷는 거리는 총 1.3km이다."
서울특별시 관악구 관악로 1,(신림동),1,0,A01,A0101,A01010900,2755451,12,20211012183019,,,126.9474796557,37.4591022811,6,20220519154225,0,5,,관악산계곡,08826,"""어린이들이 이용할 수 있게 수심을 낮추고 주 1회 수질검사와 안전요원이 상시 대기 중인 계곡으로, 관악산 공원 입구 자연학습장 계곡에 70m 길이의 물놀이장을 조성해 놓았다. 숲속 환경과 잘 어울리며 물놀이와 함께 휴식을 즐길 수 있는 곳이다.
시원한 나무 그늘에 기다란 야외 데크와 천막이 설치되어 있고, 다섯 칸 정도의 돌계단도 있어 편하게 앉아서 어린이들이 물놀이 하는 모습도 지켜볼 수 있다. 간이 탈의실과 먼지 털이장, 화장실, 안전관리소 등을 갖추고 있다. """
서울특별시 관악구 호암로 454-16,,1,0,A02,A0201,A02010900,756600,12,20090623235902,http://tong.visitkorea.or.kr/cms/resource/12/2526612_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2526612_image2_1.jpg,126.929125831,37.456985532,6,20220311173813,38039,5,,삼성산성지,08822,"삼성산(三聖山) 성지는 기해박해(1839년)때 새남터에서 서양인 성직자로는 처음으로 천주교를 전교했다는 이유로 사형을 선고받아, 1839년 9월 21일(음 8월 14일)에 군문효수의 극형으로 순교한 프랑스 선교사 성 라우렌시오 앵베르 범(范) 주교와 성 베드로 모방 나(羅) 신부, 성 야고보 샤스땅 정(鄭) 신부의 유해가 모셔진 곳이다."
서울특별시 관악구 대학동,,1,0,A02,A0202,A02020100,756594,12,20090623234834,http://tong.visitkorea.or.kr/cms/resource/16/1570716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/1570716_image3_1.jpg,126.9472769143,37.458471795,6,20220328160153,27352,5,,관악산 호수공원,08813,"관악산 제 1광장에 닿기 전(신림동 203번지)에 위치한 호수공원은 부지면적 6,406m², 담수면적 2,485m²으로 1997년 3월 준공되었으며, 정자, 분수, 수변무대, 나무다리, 인공섬 등이 설치되어 있어 관악산을 찾는 많은 사람들이 휴식공간으로 활용하고 있으며, 또한, 인근에는 숲속 작은 도서관과 야외 식물원이 조성되어 있어 주민들에게 큰 호응을 얻고 있다."
서울 관악구 대학동 203번지 일대,,1,0,A01,A0101,A01010700,756590,12,20090623234132,http://tong.visitkorea.or.kr/cms/resource/45/755545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/755545_image3_1.jpg,126.9472963541,37.4585690064,6,20220908173148,42625,5,,관악산공원 야외식물원,"151-858,1","관악산공원 입구에서 5분정도 걸어들어오면 관악산공원 야외식물원을 만날 수 있다. 등산로 초입에 야생화 학습장이 있어 신기한 꽃들과 사진도 찍고 푯말에 표기된 꽃들의 이름을 외우는 재미도 있다. 
상류 쪽으로 1km에 이르는 구간에는 어른 허리까지 물이 차는 '자연형 수영장'이 있으며, 관악산공원 정문을 통해 야외식물원 쪽으로 올라가면 신림계곡이 있다. 
계곡 옆 자연학습장에 조성된 1,000㎡ 규모 휴식공간에는 19종의 농작물과 1,630본의 식재가 있어 농촌풍경을 그대로 옮겨 놓은 듯하다. 5월 말6월에는 장미농원에서 장미오감체험도 할 수 있다."
서울특별시 관악구 석수동,,1,0,A01,A0101,A01010500,756580,12,20090623233349,http://tong.visitkorea.or.kr/cms/resource/14/755414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/755414_image3_1.jpg,126.9260354605,37.4208230076,6,20220316163621,31387,5,,관악산 생태공원,08839,"2007년 12월 개원한 관악산 생태공원은 미성동 1173번지(관악산 선우지구) 일대 76,521m²의 면적으로 조성되었다. 지형 여건을 최대한 살려 상부는 생태숲 구역으로, 물길이 모이는 하부쪽은 생태연못 구역으로 각각 나누었다. 생태숲 구역은 활엽수림으로 복원했고, 생태연못 구역에는 수생식물과 다양한 수서생물이 살 수 있도록 하였다. 또한 생태학습장과 비를 피할 수 있는 정자를 만들어 다양한 생태학습이 가능하도록 조성하였다."
서울특별시 관악구 관악로,(신림동),1,0,A01,A0101,A01010400,126480,12,20040129090000,http://tong.visitkorea.or.kr/cms/resource/30/1857230_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/1857230_image3_1.jpg,126.9540987991,37.4484036407,6,20221020155205,116152,5,,관악산,08826,"관악산(높이 632.2 m)은 1973년 관악구가 영등포구에서 분구되면서, 명산으로서 산 이름이 구의 명칭이 되어 관악구의 상징이자 자랑이 되고 있으며, 관악구 문화유산의 대부분이 관악산에서 비롯되었다. 1968년에 건설부 고시 제34호로 도시자연공원으로 지정되었으며 오늘날에는 수많은 서울 시민들이 즐겨 찾는 휴식처로 서울의 명소가 되었다. 곳곳에 드러난 암봉들이 깊은 골짜기와 어울려 험준한 산세를 이루고 있는 관악산은 산의 규모가 그다지 크지 않고 도심에서 가까워 누구나 하루 일정으로 산에 오를 수 있는데 봄에는 관악산 입구 쪽으로 벚꽃이 만발하고, 철쭉이 필 때는 철쭉제가 열리기도 한다. 봄철에 무리지어 피는 철쭉꽃과 여름의 짙은 녹음과, 계곡 깊은 곳에 동폭포, 서폭포의 물소리가 장엄하고 가을에는 단풍, 겨울에는 설경이 명산 관악의 면모를 자랑하고 있다. 관악산 정상에는 지상 레이다 관측소와 조선 태조 이성계가 서울을 도읍지로 정할 때 연주사와 원각사 두 절을 지어 화환에 대처했다고 하는 정상의 원각사와 연주암을 비롯하여 크고 작은 사찰과 암자가 있는데, 아슬아슬한 벼랑 위에 자리잡고 있는 연주대는 관악산의 모든 등산로가 집결하는 곳이다."
서울특별시 관악구 낙성대로 77,,1,1,A02,A0201,A02010700,126513,12,20031230090000,http://tong.visitkorea.or.kr/cms/resource/06/928406_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/06/928406_image3_1.jpg,126.9602475997,37.4711316683,6,20220526135225,50140,5,,관악산 낙성대공원,08799,"고려의 명장 인헌공 강감찬 장군(948년∼1031년)의 탄생지를 성역화한 곳이다. 1973년 서울시에서 장군의 출생 유적지를 정비하여 지금에 이른다. 낙성대 3층 석탑이 석탑의 첫층 탑신 앞면에 ""강감찬 낙성대""라는 명문이 해서체로 새겨져 있어  탑 이름을 강감찬탑 또는 강감찬 낙성대탑이라 부르고 있다. 조성 연대는 고려시대로,자재는 화강암이며, 탑의 높이는 4.48m이다. 이 탑에 연유해서 이 곳 옛마을을 탑골이라하며, 옛마을 사람들은 장군을 성신이라 우러러 받들고 그 위업을 추모하고 있다.   안국사  안국사는 고려 시대 목조 건축양식의 대표적인 영주 부석사 무량수전을 본따 세우고, 장군의 영정을 모시고 있다. 정면 5간, 측면 2간의 청기와 지붕이 높이 올려져있어 매우 웅장한 느낌을 준다. 위치가 서울대학교 후문으로 통하는 길의 바로 동쪽이기 때문에 찾는 사람이 많아 서울 남부지역의 명소가 되고 있다.   낙성대 유지  강감찬 장군이 탄생한 집터이며, 본래 낙성대 3층석탑이 있던 자리이다. 1973년 낙성대를 정화하면서 이 석탑을 안국사 경내로 옮기고 그 자리에 높이 2m의 유허비를 세워 유서깊은 사적지임을 표시하였다. 따라서 강감찬 장군의 탄생지를 기념하여 성역화한 곳이 낙성대이지만, 그가 태어난 곳은 유허비가 있는 곳이다."
