addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 광진구 광나루로 441 육영재단어린이회관,,1,,A02,A0202,A02020100,2930320,12,20221205155746,http://tong.visitkorea.or.kr/cms/resource/69/2917369_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/2917369_image3_1.jpg,127.0786208146,37.546066758,6.0,20221205155834,2,6,,도그베이 서울점,4991.0,도심 속 힐링 가능한 애견 동반 워터파크
서울특별시 광진구 구의동 3,,1,0.0,A01,A0101,A01010400,2779539,12,20211125195822,http://tong.visitkorea.or.kr/cms/resource/66/2796466_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2796466_image2_1.jpg,127.1005658211,37.5537384844,6.0,20221122101732,0,6,,아차산 고구려정,,"서울 광진구와 경기도 구리시에 걸쳐 있는 아차산은 높이 295.7m의 부담 없이 오를 수 있는 산이다. 삼국시대부터 전략적 요충지로 꼽혔는데 고구려와 백제, 신라가 한강 유역을 차지하기 위해 무려 250여 년 동안 각축을 벌였다는 아차산성이 대표적인 유적이다. 아차산성 외에도 신라 시대 의상대사가 창건했다는 영화사와 고구려 시대에 세워졌다고 알려진 보루 등 다수의 유적이 곳곳에 남아 있다. 서울지하철 5호선 아차산역에서 바로 오를 수 있어 도심에서 등산을 즐기는 코스로 인기다. 특히 서울의 동쪽 끝에 자리해 가장 일찍 해가 떠오르는 아차산은 매년 해맞이 축제가 열리는 장소이기도 하다. 낙타 능선에 자리한 고구려정은 일출은 물론 서울의 화려한 야경을 눈에 담을 수 있는 명소로도 입소문이 자자하다."
서울특별시 광진구 천호대로 731,(구의동),1,0.0,A02,A0202,A02020100,2773309,12,20211111190052,http://tong.visitkorea.or.kr/cms/resource/04/2788104_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2788104_image2_1.jpg,127.0965302111,37.5490195148,6.0,20211208012306,0,6,,아차산배수지체육공원,4958.0,"서울 광진구에 위치한 아차산배수지체육공원은 배수지 상부의 유휴공간을 활용하여 만들어진 체육시설이다.
공원 내부에 인조잔디축구장, 테니스장, 풋살장, 정구장, 족구장을 포함한 각종 체육시설이 갖추어져 있다.
공원 체육시설이 우수해서 여러 축구 동호회들이 자주 애용하는 만큼 축구 경기를 하기 위한 방문 시 홈페이지를 통한 사전예약이 요구된다.
지하철 5호선 아차산역 2번 출구에서 650m 거리에 있다."
서울특별시 광진구 강변북로 2202,(자양동),1,0.0,A02,A0205,A02050600,2757145,12,20211014182857,,,127.0659973939,37.5309294,6.0,20211111211412,0,6,,뚝섬 전망 문화 콤플렉스,5089.0,"강변대로 구리 방향을 가다 보면 우주선 모양의 건물을 발견할 수 있는데, 자벌레처럼 가늘고 긴 원통형 모양의 건물이 뚝섬 전망 문화 콤플렉스이다.  이곳은 4층 건물로 실내 총면적은 2,476㎡이며 약 700명의 관람객을 수용할 수 있다. 내부에는 한강을 내려다볼 수 있는 전망 공간이 마련되어 있어 휴식과 힐링의 장소로 인기를 얻고 있다. 1층 생각 마루는 천만 시민의 책장, 카페, 전망 데크, 시설관리실, 공연행사 공간이 있고, 2층 생각 마루는 서울 생각 마루 책장, 모임 공간이 있고, 3층 상상 마루는 개인 컴퓨터 사용 업무, 공용 사무 및 작업 공간이 마련되어 있다. 이곳은 서울시 공공서비스 예약(https:yeyak.seoul.go.k)사이트를 통해 정기(월 단위) 접수 예약 후 이용할 수 있다. 한강시민공원 주차장과 7호선 뚝섬유원지역 3번 출구와 연결되어 있어 접근성이 편리하다."
서울특별시 광진구 자양로5길 33,"(자양동,와이엠프라젠스파)",1,0.0,A02,A0202,A02020300,2756589,12,20211013230520,,,127.0842401748,37.5310324939,6.0,20211111190515,0,6,,우리유황온천,5102.0,"서울 잠실대교 북단 인근에 있는 우리 유황온천(프라젠 스파)은 매일 지하 1,040m에서 32.6도의 천연 유황 온천수를 끌어 올려 제공한다. 대온천탕, 히노키탕, 소금방, 스포츠 마사지 시설이 마련되어 있으며, 실내 카페와 함께 야외에는 온천수에 발을 담그고 즐길 수 있는 족욕 카페도 있다. 2호선 구의역 4번 출구 잠실대교 북단에 있다."
서울 광진구 자양동 427-27,,1,0.0,A02,A0202,A02020600,2756583,12,20211013230149,,,127.0718996655,37.5298324112,6.0,20221202170808,0,6,,뚝섬 한강공원 엑스게임장,,"엑스 게임장(XGame)은 익스트림 스포츠를 즐기는 마니아의 성지로 뚝섬 한강공원 내에 있다. 인라인, 스케이트보드, BMX 등의 익스트림 스포츠를 초보자부터 프로들까지 즐길 수 있으며 프로 대회까지 열려 연중 스포츠 열기로 가득한 곳이다.  80m×39.8m 타원형의 시설물에서부터 각종 시설물이 갖추어져 있어 인라인스케이트, 보드 등 스릴 넘치는 스포츠를 즐길 수 있다. 어린이와 초급자를 위한 평지 공간부터 초, 중급자를 위한 소형 기물, 중. 상급자를 위한 대형 기물까지 공간구성도 다양하다. 이용 시 헬멧과 무릎, 팔꿈치, 손목 보호장구를 반드시 착용해야 하며, 청소년 이상(만 9세 이상)만 이용할 수 있다."
서울 광진구 자양동 158-17,,1,0.0,A02,A0202,A02020700,2756578,12,20211013225728,,,127.0598312429,37.5325485449,6.0,20211111185326,0,6,,뚝섬 한강공원 벽천마당,,"뚝섬 한강공원에는 바닥에서 솟아오르는 시원한 물줄기를 감상할 수 있는 분수와 암벽 등반을 즐길 수 있는 벽천마당이 있다.  여의도 한강공원 수상 분수, 난지 한강공원 거울 분수와 함께 서울 3대 한강 분수공원 명소 중의 한 곳으로, 특히 밤에 보는 야간조명 분수는 화려한 한강대교들과 강남 빌딩 숲들의 조명이 어우러져 장관을 이룬다. 공원에 앉아 윈드서핑, 수상 스키, 모터보트 등의 수상스포츠를 즐기는 모습을 감상하며 도심 속 지친 일상을 날려볼 수 있다."
서울 광진구 중곡동 68-19,,1,0.0,A02,A0202,A02020700,2756575,12,20211013225357,,,127.0910026531,37.5590099217,6.0,20211118231726,0,6,,긴고랑 공원,,"서울 광진구 아차산에 인근에 있는 근린공원으로 긴고랑길, 주몽교 등 여러 산책코스로 구성되어 있다. 아차산 안심 둘레길 구간으로 인근 주민 및 등산객들이 많이 이용하는 공원이다. 아차산과 용마산 계곡 길이 만나는 곳의 중곡동 언덕진 동네에서 벽화를 감상하며 걸을 수 있는 긴고랑길을 걷다 보면 산 입구에 다다르게 된다. 용마산·아차산 종합안내와 긴고랑길 아트투어안내도가 설치되어 있어 이용하기 편리하다. 공원 전 구역에서 오토바이와 자전거는 출입을 금지하고 있다. 5호선 아차산역 1번 출구에서 중곡4동 주민센터 근처까지 도보로 17분 정도 걸리고, 5호선 군자역 4번 출구에서 도보로 18분 정도 소요된다."
서울특별시 광진구 광나루로 441,(능동),1,0.0,A02,A0203,A02030600,2743740,12,20210913194300,http://tong.visitkorea.or.kr/cms/resource/00/2779000_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2779000_image2_1.jpg,127.0781902704,37.5470527467,6.0,20211125004520,0,6,,어린이회관,4991.0,"어린이들의 복지 증진과 보육 환경을 조성하는 것을 목적으로 재단법인 육영재단이 설립한 복지 회관이다. 어린이를 위한 다양한 교육, 전시, 문화, 체육 시설들이 갖춰져 있으며 10,000㎡ 규모의 과학관(지하 1층, 지상 4층)과 6500㎡ 넓이의 문화관(지상 2층)으로 나뉘어 다양한 어린이 관련 행사와 체험전이 운영되고 있다. 실내 놀이터를 무료로 이용할 수 있으며 겨울에는 눈썰매장을 개장 운영한다. 1970년 서울 남산에 설립 개관되어 운영되었다가 1975년에 현재의 위치로 이전했다."
서울특별시 광진구 광나루로 571,,1,0.0,A02,A0204,A02040800,2452856,12,20161212232620,,,127.0886504844,37.5451087165,6.0,20220803110940,4691,6,,구의 아리수 정수센터,4977.0,"깨끗한 물 만드는 정수장의 역사  예전에는 깨끗한 물을 어떻게 만들었을까 구의 아리수 정수센터에서는 우리나라 정수시설의 변천사를 한눈에 볼 수 있다. 더불어 수돗물 생산과정과 아리수를 체험할 수 있는 교육 프로그램도 진행하고 있다. 제1, 2 정수장은 2007년 등록문화제 제 358호로 지정되기도 하였다."
서울특별시 광진구 능동로 216,(능동),1,0.0,A02,A0204,A02040800,2452842,12,20161212231621,,,127.0809066088,37.5498913551,6.0,20221122104430,3857,6,,아리수나라,4991.0,"아리수나라는 우리나라 최초의 수돗물 체험 홍보관이다. 실내의 4개 나라와 바깥나라까지 아이들이 보고, 놀고, 체험하는 과정을 통해 수돗물에 대해 자연스럽게 이해하고 환경의 중요성까지 일깨울 수 있다."
서울특별시 광진구 자양동,,1,0.0,A02,A0203,A02030600,2401757,12,20160818005737,http://tong.visitkorea.or.kr/cms/resource/63/2372563_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2372563_image3_1.jpg,127.0651972268,37.5393839589,6.0,20220516160141,8300,6,,자양동 양꼬치거리 (중국음식문화거리),5079.0,"지하철 2호선 · 7호선 건대입구역 5번 출구로 나와 로데오거리를 지나 한강둔치 방향으로 50m 정도 걸어 내려가면 일명 ""양꼬치 거리""로 유명한 중국음식문화거리를 만나게 된다. 중국 동포들이 운영하는 양꼬치 전문점들이 즐비한 이곳은 ""신 차이나타운""이라고 부르기도 한다. 한국어보다 중국어 간판이 더 많은 곳으로, 양꼬치 전문점이나 퓨전 중국요리점 등이 있어 서울에서 다양한 음식문화를 느낄 수 있는 명소이다."
서울특별시 광진구 능동로 216,(능동) 서울어린이대공원 내,1,0.0,A02,A0205,A02050400,1836254,12,20130809195249,http://tong.visitkorea.or.kr/cms/resource/82/1985982_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/1985982_image3_1.jpg,127.0762931559,37.5493607781,6.0,20221017150329,4802,6,,존비코올터장군상,4991.0,"6.25전쟁에서 위기일발의 포항전투에서 미 제8군 부사령관으로 북한의 침입을 막아내고 전쟁이 끝난 후 초토화된 우리나라의 재건에 힘쓴 공로로 1959년 10월 이태원에 동상을 건립했다. 이후 1977년 어린이대공원(후문에서 아차산역 방면 위치)으로 이전하였다.   규격  좌대높이 3.6m, 기념물높이 3m  건립자  국방부(6.25연합군 참전기념)"
