addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 구로구 경인로20나길 17,(오류동),1,0,A02,A0202,A02020100,2778135,12,20211123201534,http://tong.visitkorea.or.kr/cms/resource/04/2779004_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2779004_image2_1.jpg,126.8430103921,37.4947462778,6,20211125002808,0,7,,오류동역광장,8272,"서울 구로구 오류동역광장은 지하철 1호선 오류역 3번 출구 앞에 위치한 광장이다. 오류역을 바라보고 왼쪽에는 운동시설과 벤치, 산책로가 조성되어 지역 주민들이 만남과 휴식을 취할 수 있는 장소로 이용되고 있으며 오른쪽에는 공영 주차장이 있다. 지역 주민들을 위한 프로그램과 바자회 등 다양한 종류의 행사가 진행되는 이벤트 장소인 동시에, 코로나19 기간 동안에는 임시선별소가 들어서서 지역 주민들을 위한 생활편의 공간으로 활용되고 있다."
서울특별시 구로구 구로동 47,(구로동),1,0,A02,A0202,A02020700,2773287,12,20211111185218,http://tong.visitkorea.or.kr/cms/resource/27/2780827_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/27/2780827_image2_1.png,126.8920529578,37.5014241538,6,20221024144554,0,7,,삼각어린이공원,8297,"서울 구로구에 위치한 삼각어린이공원은 어린이들의 미숙한 교통 지식을 놀이를 통하여 체험시켜주는 조성된 공원이다.
실제 차로에서 쓰이는 표지판, 신호등을 포함한 횡단보도 등으로 공원이 조성되어 있어 어린이들에게 도로 교통 지식을 학습하고 체험할 수 있다.
오뚜기의자, 그네, 미끄럼틀 등 놀이터로서의 기본 기능도 충족시켜주어 어린이들과 부모 모두에게 사랑받는 공원이다."
서울특별시 구로구 구로중앙로 13,(구로동),1,0,A02,A0202,A02020700,2733981,12,20210817191529,http://tong.visitkorea.or.kr/cms/resource/96/2780796_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/96/2780796_image2_1.png,126.8916060834,37.4904920825,6,20221024135334,0,7,,구로리공원,8312,"서울시에서 기존의 단조롭고 노후된 어린이 공원을 창의력을 키울 수 있는 공원으로 새롭게 조성한 사업으로 생긴 공원이다.
어린이는 물론 남녀노소 모두가 다양하게 이용할 수 있는 다양한 시설과 조경을 갖추고 있다. 매년 청소년 축제 등 지역의 중요 행사가 개최되는 장소이다."
서울특별시 구로구 공원로 28,(구로동),1,0,A02,A0202,A02020700,2733966,12,20210817184201,http://tong.visitkorea.or.kr/cms/resource/86/2780786_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/86/2780786_image2_1.png,126.8916141551,37.4997993352,6,20221213151203,0,7,,거리공원,8297,"구로구(九老區)는 옛날에 노인 9명이 오래도록 장수하였다는 전설로부터 유래된 지역이다. 서울특별시 구로구 구로동 1065번지 가마 산길 거리공원오거리에서 구로구 구로동 355번지 신도림역에 이르는 보조 간 선급 가로를 거리공원길이라고 하는데, 구로 거리공원을 따라 이어진 길이라는 의미에서 거리공원길이라고 이름 붙였다."
서울특별시 구로구 연동로 240,,1,0,A01,A0101,A01010700,2675098,12,20201007055358,http://tong.visitkorea.or.kr/cms/resource/95/2675095_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/95/2675095_image2_1.jpg,126.8240846662,37.483080629,6,20220516172149,2,7,,푸른수목원&항동철길,8361,"서울시 최초로 조성된 시립수목원으로 2,100 여종의 다양한 식물을 감상할 수 있으며 수목원 입구와 연결되는 항동철길과 연계 관광이 가능하다. 푸른수목원은 인적 없는 공터에서 친환경 청정수목원으로 개장한 서울시 최초의 시립 수목원이며 2018년 서울시 1호 공립수목원으로 지정되었다. 식물유전자원을 수집해 증식시키고 보존하고 있으며 항동저수지와 20개 주제정원에서 다양한 희귀식물을 볼 수 있다. 푸른수목원은 오색정원, 야생화원, 어린이정원 등의 주제정원과 안내센터, 숲교육센터 등 교육콘텐츠와 가드닝 프로그램 등을 통해 생태 학습의 장이 되고 있다."
서울특별시 구로구 디지털로26길 111,"(구로동), B1층",1,0,,,,2673808,12,20200923001034,http://tong.visitkorea.or.kr/cms/resource/79/2672779_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2672779_image3_1.jpg,126.8970558093,37.4826069844,6,20221025151756,0,7,,G밸리 4차산업체험관,8390,"stong4차산업에 맞춰 4가지 체험 (드론, 코딩, VR, 3D 프린팅)과 산업관광 운영 stong  제4차산업체험센터에서는 한 공간에 4개의 제4차산업혁명을 대표하는 기술과 체험을 준비하여 드론, 코딩, VR 3D프린팅의 원리를 이해하고, 기초 실습과 관련 시뮬레이션을 진행하고있다. 이를 바탕으로 실제 응용해 볼 수 있는 커리큘럼들이 준비되어 참여자들은 개별체험을 통하여 스스로 심화하고, 이를 다양한 분야에 적용할 수 있는 통찰을 경험할 수 있도록한다.  산업관광이란, 기업체의 생산현장이나 홍보시설 등을 활용한 관광 콘텐츠를 말하며, 이를 통해 직간접적인 비즈니스 를 연계하고, 관련 산업의 활성화를 지원하는 새로운 형식의 산업과 관광을 합친 컨텐츠이다. 이러한 산업관광을 통해 참가자들 (관광객, 지역주민, 학생 등등)은 산업적 배움과 더불어 재미있는 새로운 볼거리와 체험거리를 경험할 수 있는 기회를, 기업과 국내 및 해외 바이어들은 기업의 우수성을 홍보할 수 있는 기회를 제공한다."
서울특별시 구로구 구로동로22길 17-4,(구로동),1,0,A04,A0401,A04010200,2592394,12,20190318223949,http://tong.visitkorea.or.kr/cms/resource/93/2592393_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2592393_image2_1.jpg,126.8856566482,37.4896892917,6,20220405112942,73,7,,구로시장,8311,"쇠락해 가던 구로시장에 다시 활기가 넘친다. 그 이유는 상인 어르신들의 왁자지껄한 흥겨움이 아닌, 청년상인들의 발칙한 아이디어 때문이다. 청년들이 바꿔놓은 전통시장의 신풍경, 과연 어떤 것일지, 청년몰 '영프라쟈'도 구경할 겸 구로시장으로 떠나보자. 구로시장에 변화의 바람이 불기 시작한 건 2015년. 청년들은 창고마냥 방치되어 있던 빈 점포 몇 곳을 치우고 고쳐 상점을 열었다. 마치 복고풍 활영 세트장 같은 느낌의 상점들은 발랄한 매력을 발산하며, 6080년대 모습을 간직한 허름한 시장 분위기와 어우러져 눈길을 사로잡는다."
서울특별시 구로구 경인로 688,(신도림동),1,0,A02,A0203,A02030600,2592089,12,20190315190354,http://tong.visitkorea.or.kr/cms/resource/85/2592085_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/85/2592085_image2_1.bmp,126.8912917045,37.5089677083,6,20220707165853,58,7,,문화철도 959,8209,"문화철도 959는 신도림 역사 내에 위치해 있는 복합 문화 공간이다. 뛰어난 접근성과 안전성을 활용하여 문화예술을 통해 다양한 문화를 향유할 수 있으며, 유휴공간 및 지역 경제 활성화를 목적으로 구로구와 구로문화재단 예술가 단체 토카아트가 함께 만들어 가고 있다."
서울특별시 구로구 천왕동,,1,0,A02,A0202,A02020700,2591838,12,20190314000448,http://tong.visitkorea.or.kr/cms/resource/34/2591834_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/34/2591834_image2_1.bmp,126.8418082369,37.4764678238,6,20220901170834,44,7,,천왕근린공원,8366,"천왕근린공원은 구로구 경계에 위치하고 있고, 연못 내 연꽃이 만개했을때 아름다운 경관을 보여준다. 그리고 여름 8월 1개월간 캠핑장을 운영하고 있다."
서울특별시 구로구 궁동,,1,0,A02,A0201,A02010700,2591833,12,20190313235628,http://tong.visitkorea.or.kr/cms/resource/30/2591830_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/30/2591830_image2_1.bmp,126.8278087964,37.502003497,6,20220630132223,46,7,,정선옹주 묘역,8248,"정선옹주는 조선 제 14대 임금 선조의 7녀로, 세도가인 안동권씨 집안의 권대임과 결혼해 지금의 구로구 궁동 67번지 일대에서 살았다. 궁동이라는 명칭도 그들이 궁궐 같은 기와집에서 살았던 것에서 유래되었다. 정선옹주 묘역에는 정선옹주 남편 권대임의 묘를 비롯해 여러 기의 안동권씨 무덤이 자리하고 있다. 이들의 묘는 조선 공신 묘역 조성 방식의 귀중한 사례가 되고 있으며, 묘역의 신도비와 묘비는 당시 묘제 연구에 귀중한 자료로 평가받고 있다."
서울특별시 구로구 가마산로25길 21,(구로동),1,0,A02,A0202,A02020700,2591829,12,20190313234629,http://tong.visitkorea.or.kr/cms/resource/27/2591827_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/27/2591827_image2_1.bmp,126.8894255436,37.4970135079,6,20220420172235,37,7,,이씨레물리노공원(구로근린공원),8301,"이씨레물리노 공원(구로근린공원)은 산책을 즐기기 좋은 공원으로 공원 바닥분수에서 쏟아지는 물줄기를 바라보며 바닥분수 옆에 마련해 놓은 도서함을 통해 독서를 즐기거나, 매년 구로구와 이씨레물리노 지역 간의 문화교류행사로서 다양한 프랑스 문화체험의 기회를 제공해주는 프랑스 문화축제를 제공해주는 장소이기도 하다."
서울특별시 구로구 디지털로32길 97-21,,1,0,A02,A0203,A02030600,2591826,12,20190313234126,http://tong.visitkorea.or.kr/cms/resource/25/2591825_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/25/2591825_image2_1.bmp,126.9008665369,37.4838874594,6,20221005113746,41,7,,음식문화특화거리(깔깔거리),8391,"음식점은 깔끔하게(적당하게) 차리고 이용객은 깔끔하게(남기지 않고) 먹기,지하철 2호선 구로디지털단지역 인근에 형성된 상권에 청결하고 간소한 상차림으로 낭비적인 음식문화 개선에 앞장서고 있는 구로구의 우수음식점들이 밀집되어 있는 거리다. 깔깔거리의 음식점 중 손님이 안심하고 믿고 먹을 수 있는 음식을 제공하는 음식점으로 구청에서 인증한 깔깔가맹점에선, 깔끔하게 먹은 손님들에게는 음식값의 2를 할인(포인트 적립)해 주고, 손님이 먹고 남긴 음식은 포장용기에 싸갈 수 있게 하는 등 음식문화개선을 위해 노력하고 있다."
서울특별시 구로구 고척로3길 86-52,(오류동),1,0,A01,A0101,A01010500,2591824,12,20190313233912,http://tong.visitkorea.or.kr/cms/resource/01/2667401_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2667401_image3_1.jpg,126.8381773249,37.5009649129,6,20220520090318,48,7,,온수도시 자연공원(잣절공원),8254,"온수도시자연공원 내 조성된 잣절공원으로 연못과 데크가 설치되어 있어 여름에 청량감을 느낄 수 있고, 매년 반딧불이 방사행사가 개최되고 있다."
