addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 금천구 독산로76길 47,,1,0,A02,A0202,A02020700,2756153,12,20211013192040,,,126.8970561551,37.4702973029,6.0,20211109022524,0,8,,쌈지 어린이공원,8557,"서울 금천구 독산4동 주택가 가운데 있는 982㎡ 면적의 어린이 전용 공원으로 상상 공원이라고도 불린다. 미끄럼틀에 붙은 작은 시설부터 계단 옆에 마련된 대형 암벽 등반대까지 어린이들의 근육 단련 훈련을 마음껏 해 볼 수 있는 공간이다. 크기와 길이도 색다른 여러 종류의 미끄럼틀과 점핑 공간, 에너지 자전거 등 놀 거리가 많다. 1호선 독산역에서 독산 자연공원으로 가는 길, 정심초등학교 인근에 있다."
서울특별시 금천구 독산로54길 6-1,(시흥동),1,0,A01,A0101,A01010500,2756150,12,20211013191909,,,126.9071498849,37.463014995,6.0,20221124171423,0,8,,산기슭 공원,8563,"관악산 생태공원 산자락에 위치한 자연을 품은 공원으로 8,412㎡ 규모의 큰 면적을 자랑한다. 시흥4동 문교초등학교 인근에 있는 이곳은 다양한 운동 기구와 정자 등이 설치되어 있고, 나무가 울창하여 운동과 휴식을 함께 취할 수 있다. 공원 안에 인공폭포가 있어 이곳을 찾는 사람들에게 시원함을 선사하고 있으며 공연을 감상할 수 있는 넓은 야외무대도 갖추고 있다."
서울특별시 금천구 범안로 1096,(독산동),1,0,A02,A0202,A02020700,2756142,12,20211013191601,,,126.8849491194,37.4633256748,6.0,20211208225958,0,8,,독산 근린공원,8596,"서울 금천구 독산1동에 있는 근린공원으로, 산책로와 운동 시설이 갖추어진 소규모 공원이다. 안양천이 길 건너에 바로 있어 함께 이용해도 좋다. 공원 중앙에는 2017년에 조성된 16,528㎡ 규모의 대형 인조잔디축구장이 울창한 나무들로 둘러싸여 축구 동호회 인들에게 인기가 높다. 대관 예약 시간 이후에는 주민들에게 개방되어 어린이들도 안전하게 뛰어놀 수 있다. 축구장 외에도 게이트볼장과 배드민턴장 5면을 비롯해 안양천변을 낀 산책로와 운동 시설을 갖추고 있다."
서울특별시 금천구 시흥대로38길 61,(시흥동),1,0,A02,A0202,A02020700,2756134,12,20211013191335,,,126.9044617046,37.4464696458,6.0,20221130141739,0,8,,금천 폭포공원,8650,"금천 폭포공원은 서울시 서남부에 있는 총 4,835㎡ 규모의 공원이다. 경기도에서 서울 도심으로 진입하는 관문 성격의 교통 요충지로 박미 고갯길의 자연 지형을 이용하여 경사면에 인공폭포를 조성했으며 상부는 문화회관과 공원시설을, 하부는 연못 형태의 수조가 있는 공원이다. 인공폭포는 시계 지역을 지나는 차량과 사람들에게 청량감을 심어주고 랜드마크적인 요소를 강하게 부각해, 보행자뿐 아니라 운전자에게도 도심지로 진입하는 관문으로 인식시킨다. 또한, 문화회관 및 휴게공간은 지역 주민들에게 생활권 거점 공원으로 이용되고 있다. 인공폭포는 금천구 3개의 동(독산, 가산, 시흥)을 폭포의 3줄기를 상징하며, 시계 지역의 관문을 상징하는 LANDMARK 적 상징성을 표현했다. 휴게광장은 금천구 마크(진달래 외형구화)를 나타내며, 문화회관은 우리나라 전통 초가지붕의 형상으로 전통 건축미를 보여준다."
서울특별시 금천구 독산로54길 102-27,(독산동),1,0,A02,A0202,A02020100,2756126,12,20211013191049,,,126.9085579394,37.4683755096,6.0,20220506104420,0,8,,금천 체육공원,8560,"서울 금천구 주민들의 건강을 위해 체육시설을 잘 갖추어 놓은 공원이다. 하루 이용객이 약 1,300여 명으로 금천구에서 가장 활성화된 대표적인 다목적 공원으로, 농구장, 배드민턴장, 게이트볼장, 조합놀이대 시설과 광장, 야외무대, 정자 등이 설치되어 있다. 새벽에는 운동하는 사람들이, 낮에는 어린이 놀이터에서 뛰어노는 어린이들이, 휴게공간에는 휴식을 취하는 노인층이, 저녁 시간에는 에어로빅 및 저녁 운동을 하는 사람들이 이곳에 와서 다양한 연령층이 공원을 애용하고 있다. 또한 다목적구장은 각종 행사 및 운동 공간으로 활용되기도 한다. 공원 옆에는 어린이들의 놀이터 겸 체험장인 '베짱이 유아 숲'이 있다."
서울특별시 금천구 금하로 668,(시흥동),1,0,A02,A0202,A02020700,2756120,12,20211013190746,,,126.9044198668,37.4527050325,,20220314093745,0,8,,금빛공원,8629,"서울 금천구 시흥 1동 주민센터 옆에 조성된 근린공원으로 휴식을 취하거나 문화예술 공연을 관람할 수 있는 넓은 공원이다. KBS 전국노래자랑, 금천구 주부가요제 등 각종 문화행사가 많이 열리는 곳이다. 공원 숲속 사이로 찬란한 조깅 코스도 만들어 놓아 주민들에게 인기가 많다. 공원 내 피트니스센터에서는 헬스, GX, 골프 등 다양한 프로그램을 진행하고 있어 공원에서 다채로운 시간을 보낼 수 있다."
서울특별시 금천구 벚꽃로44길 17,(가산동),1,0,A02,A0204,A02040800,2553960,12,20180717222207,,,126.8836153607,37.4828178318,,20220408162056,723,8,,구로공단 노동자생활체험관,8509,"stong1960년대 서울 감성을 느끼고 싶다면stong  1960년대 후반부터 80년대까지 구로공단에서 일을 했던 여공들이 기거했던 쪽방을 재현한 뒤, 관람객으로 하여금 당시 여공들의 퇴근 후 생활상을 직접 체험할 수 있도록 조성하였다. 순이의 만화공작소, 추억의 종이뽑기, 역사 및 직업체험, 여공생활체험, 추억의 도시락 체험 등 다양한 체험 프로그램을 통해 향수를 느낄 수 있는 공간이다."
서울특별시 금천구 디지털로10길 9,(가산동) 현대시티아울렛 가산점,1,0,A02,A0204,A02040800,2553947,12,20180717203143,,,126.8891816663,37.4776102021,6.0,20220722092056,607,8,,G밸리 패션지원센터,8514,"남부권 G밸리 패션지원센터는 일감부족, 인력부족, 고령화 등의 패션 산업의 문제점을 해결하고, 패션제조업체의 자생력을 확보하여 남부권 패션산업 활성화 공헌을 위해 설립되었다."
서울특별시 금천구 범안로15길 57,(독산동),1,0,A02,A0204,A02040800,2553946,12,20180717202828,,,126.8919733235,37.4688834875,6.0,20220613112022,472,8,,금천예술공장,8583,"글로컬(Glocal)미학을 실천하는 국제 창작공간
금천예술공장은 금천구 독산동의 옛 인쇄공장을 리모델링한 서울시창작공간으로 글로벌 미학과 로컬의 지역성을 실험하는 국제 레지던시이자 공동 프로젝트 스튜디오를 지향하는 신개념 예술 공간이다. 다양한 기획전시, 예술교육, 지역연계 프로그램을 통해 시민들과 함께하는 열린 창작공간으로 운영중이다."
서울특별시 금천구 독산로36나길 63,,1,0,A02,A0201,A02010700,1116022,12,20101023020846,http://tong.visitkorea.or.kr/cms/resource/31/2675531_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2675531_image2_1.jpg,126.9131692166,37.4474946828,6.0,20220517155400,26915,8,,호암산성,8570,"관악산에 위치한 삼국시대 신라 시기의 성곽으로 한우물, 석구상 등 문화재 및 관악산 둘레길 코스중 하나인 전통사찰 호압사와 연계 관광 가능하다.호암산성은 산마루를 둘러 쌓은 통일신라시대의 테뫼식 산성으로 둘레는 1,250m이며, 그 중 약 300m 구간에 성의 흔적이 남아있다. 한우물은 호암산 정상에 있는 길이 22m, 폭12m의 연못으로 네 주변을 화강암으로 쌓았으며, 용보(龍洑)라는 별칭을 가지고 있다. 가뭄 때에는 기우제를 지내고 전시(戰時)에는 군용에 대비하였다 한다. 이 연못 모양의 우물이 만들어진 정확한 시기는 알 수 없으나 보수를 위한 발굴 당시 확인된 바로는 삼국시대에 만들어진 연못이 현재의 연못 밑에 묻혀 있었으며, 그 위에 어긋나게 축석한 연못이 다시 조선 초기에 만들어졌음이 밝혀졌다. 한우물의 조선시대 석축지는 동서 22m, 남북 12m, 깊이 1.2m의 규모로 그 아래의 통일신라의 석출지도 확인되었다. 다른 우물지에서는 잉벌내력지내미(仍伐內力只內未)라는 글이 있는 청동숟가락이 나왔다. 우물지 근처에서 개 모양의 동물상(석수상, 길이 1.7m, 폭 0.9m, 높이 1.0m)이 발견되었는데, 이 것은 조선시대 서울에 화재가 생기는 것을 막기 위해 세웠다는 설화와 관련 있는 것으로 보인다. 한우물 근처에서 석구지(石拘池)라고 새겨진 돌이 발견되었는데, 아마도 이 연못이 석수상과 관련되어 석구지라고 불려진 것이라고 보여진다."
