addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 노원구 화랑로 610,(공릉동),1,0,A01,A0101,A01010700,2774274,12,20211115181918,http://tong.visitkorea.or.kr/cms/resource/94/2774294_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2774294_image2_1.jpg,127.0932978062,37.6243079306,6,20211118000808,0,9,,노원 불빛정원,1805,"해가 저물면 화랑대역 철도공원 입구부터 경춘선 숲길까지 오색찬란한 조명을 밝힌 빛의 향연이 펼쳐진다. 비밀의 정원과 생명의 나무, 음악의 정원, 환상의 기차역, 은하수 정원, 숲속 동화 나라를 주제로 꾸며진 노원 불빛 정원은 시시각각 다양한 색깔을 뿜어낸다. 낮에는 정겨운 간이역 풍경으로 마음을 따스하게 어루만졌던 공간이 밤이 되면 화려한 꽃과 푸른 바닷속 돌고래 떼, 아기자기한 기차 카페로 색다른 매력을 더한다. 특히 MEDIA TRAIN은 다양한 작품을 전광판에 표현하며 방문객들의 시선을 한 번에 사로잡는다. 옛 화랑대역을 스크린으로 활용한 미디어파사드도 압권이다. 기차여행의 추억을 떠올리게 하는 그림부터 색색깔 꽃 모양까지 쉴새 없이 펼쳐지는 영상이 낭만 가득한 밤하늘을 선물한다."
서울특별시 노원구 한글비석로12길 51-27,(중계동),1,0,A01,A0101,A01010500,2733975,12,20210817190618,http://tong.visitkorea.or.kr/cms/resource/74/2767874_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2767874_image2_1.jpg,127.0806508446,37.6555318495,6,20221125144827,4,9,,불암산나비정원,1719,"노원구 불암산 힐링타운 사업지 중 한 곳으로 365일 살아있는 나비를 볼 수 있는 정원이다.
나비 정원 건물 1층에는 사육배양실, 채란실, 나비 온실 등이 위치해 있고 2층은 곤충학습관으로 이뤄졌다. 
곤충학습관에서는 환경부 지정 멸종 위기종 2급 곤충인 물장군, 두점박이사슴벌레 등 각종 곤충 표본과 곤충 관련 자료들을 볼 수 있다. 단체 관람 시 예약이 필요하다."
서울특별시 노원구 화랑로 608,,1,0,A02,A0202,A02020700,2654601,12,20200428185927,,,127.0928645166,37.6241440529,6,20220223164833,1,9,,화랑대 철도공원,1802,"화랑대 철도공원은 공릉동 화랑대역 400m 구간에 조성된 불빛 정원원이다. 경춘선숲길 마지막 구간에 위치하며, 서울의 마지막 간이역이던 옛 화랑대역을 공원으로 탈바꿈했다. 실제 운행되었던 기차들이 전시돼 있으며, 불빛정원 개장에 이어 철도와 시간박물관, 기차카페 등을 운영하고 있다. 불빛정원은 화랑대역 400m 구간에 조성돼 있는데, 비밀의 화원, 불빛터널, 음악의 정원, 불빛정원, 하늘빛정원, 생명의 나무, 환상의 기차역, 은하수 정원, 숲속 동화나라, 반딧불 정원 총 10코스의 다양한 야간 경관 조형물로 이루어져 있다."
서울특별시 노원구 동일로174길 27,,1,0,A02,A0206,A02060100,2638474,12,20191125183358,http://tong.visitkorea.or.kr/cms/resource/34/2638934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2638934_image2_1.jpg,127.0769438565,37.6202469965,6,20220923170949,3,9,02-3399-2900,서울생활사박물관,1849,"2019년 7월에 개관한 서울생활사박물관은 과거 서울북부지방법원과 서울북부지방검찰청이 있던 북부법조단지였다. 2010년, 북부법조단지가 이전함에 따라 해당공간이 유휴지가 되며 이에 서울시는 도시재생 사업의 일환으로 구 북부법조단지 공간을 리모델링 하였다.청사 이전으로 인한 유휴 공간을 활용함과 동시에 북부법조단지라는 사법적 권위를 상징하는 공간을 시민들에게 돌려주고 시민이 중심이 되어 함께 전시를 만들고 교육프로그램을 운영할 것이다. 기억과 감성을 담은 근현대 생활사 박물관으로써 시민들이 소통하고 교감하는 동북부 복합문화공간의 중심이 될 것이다."
서울특별시 노원구 중계로 131-17,,1,0,A02,A0202,A02020600,2505927,12,20170908021352,http://tong.visitkorea.or.kr/cms/resource/19/2505919_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/19/2505919_image2_1.png,127.0797595291,37.6460884871,6,20220826135211,4129,9,,피노파밀리아,1740,"도심 속에 우뚝 선 PINOFAMILIA는 한국의 미니멀한 건축물의 대표 작가 '문훈'의 설계를 시작으로 2014년 부터 2년여 동안 공사를 진행하여 2016년 9월 29일 개관하게 되었다. 거짓말을 하면 코가 길어진다는 스토리의 대명사 피노키오, 피노키아와 함께 세월의 흐름에 따라 변신을 거듭하는 피노의 가족들을 만날 수 있으며 독창적인 건축물인 고래의 탄생 또한 관람객의 눈으로 그 크기를 가늠할 수 있게 한다.피노파밀리아 예술 체험관은 남다른 경쟁력을 갖춘 콘텐츠를 체험할 수 있으며, 피노키오의 여자친구로 국내에서 탄생된 캐릭터 피노키아 테마 예술 체험관이다. 복합문화공간인 피노파밀리아는 문화, 체험, 상징, 힐링의 대표적인 창조적 공간이며 사람과 사람을 이어주는 복합 문화를 실현한다.피노플랫폼을 통해 행복하고 재미있는 삶을 영위하며 창조의 계기를 경험할 수 있다. 영유아부터 노년층까지 전 세대가 피노문화를 향유하며 어린이에게는 창의력을, 청소년에게는 꿈을, 청년에게는 희망을, 성인들에게는 치유와 행복을 줄 수 있는 체험공간이다."
서울특별시 노원구 월계동,", 도봉구 창동",1,0,A01,A0101,A01010400,2031668,12,20151002010405,http://tong.visitkorea.or.kr/cms/resource/83/2023883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2023883_image3_1.jpg,127.0449906758,37.6391108936,6,20221202180316,5242,9,,초안산,1874,도봉구 창동과 노원구 월계동에 걸쳐 자리한 초안산은 겉으로 보기에는 집 근처 동산처럼 보이지만 그 안에 들어서면 제법 우거진 수풀 사이로 여러 갈래의 길이 이어진다. 초안산 곳곳에 산재해 있는 조선시대 사대부내시들의 묘를 살펴보며 '역사 공부'까지 더할 수 있다.
서울특별시 노원구 상계동 산153-1,,1,0,A02,A0201,A02010800,761264,12,20090701030925,http://tong.visitkorea.or.kr/cms/resource/17/739117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/739117_image3_1.jpg,127.0849276385,37.676323953,6,20220602133621,23061,9,,수암사,1633,"수락산 중턱의 남향 길상지에 자리한 경관좋고 유서깊은 사찰 수암사는 신라 진평왕 43년(621년)에  화랑세속오계의 원작자인 원광국사께서 삼국통일의 대업을 이루고자 창건 하였다.조선시대 병자호란때 소실된 이후 석국법당만 남아 있던 것을 다시 중건하였다. 경내에는 1962년 도욱스님의 중창 당시에 세워진 25평 규모의 전통양식(단청)의 극락보전을 비롯하여 삼성각, 요사채와 1972년에 건립된 미륵입상 등이 있다. 극락보전 옆의 큰 바위에는 여의주를 쥐고 승천하는 용의 형상이 음각으로 나타나 있고 가람 가운데 마치 여러마리의 용이 꿈틀대며 승천하는 형상을 지닌 적송이 있어 눈길을 끈다."
서울특별시 노원구 덕릉로94길 127,(중계동),1,0,A02,A0201,A02010800,750927,12,20090610195541,http://tong.visitkorea.or.kr/cms/resource/21/739121_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/739121_image3_1.jpg,127.0849474931,37.661911741,6,20211217195228,25591,9,,정암사,1716,정암사는 서울 노원구와 경기 남양주시 별내면(別內面) 경계에 위치한 불암산 내에 있는 사찰이다.
서울특별시 노원구 덕릉로145길 101,(상계동),1,0,A02,A0201,A02010800,750901,12,20090610193703,http://tong.visitkorea.or.kr/cms/resource/88/739088_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/739088_image3_1.jpg,127.0886465712,37.682351097,6,20220321182950,25738,9,,송암사,1633,"송암사는 서울시 노원구와 경기 의정부, 남양주 별내면의 경계의 위치한 수락산 내에 자리잡은 고즉넉한 사찰이다."
서울특별시 노원구 덕릉로145길 99,(상계동),1,0,A02,A0201,A02010800,750863,12,20090610191833,http://tong.visitkorea.or.kr/cms/resource/73/739073_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/739073_image3_1.jpg,127.0854384871,37.6838730841,6,20220419101701,0,9,,도안사,1633,"도안사는 서울 노원구와 경기 의정부시, 남양주시 별내면(別內面) 경계에 위치한 수락산(水落山) 내에 있는 사찰이다. 수락산 뒤쪽 외딴 곳에 아늑하게 자리 잡은 자그마한 산사로 화려하진 않지만 자연과 잘 조화된 경내의 풍경은 마음 속의 근심과 걱정을 씻겨준다."
