addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 도봉구 창포원로 45,(도봉동),1,0,A02,A0202,A02020100,2764354,12,20211028184216,,,127.0470278809,37.6916048242,6,20220412152911,0,10,,다락원체육공원,1318,"서울 도봉산 자락에 위치한 서울 동북권 최대 규모의 체육공원이다. 배드민턴장은 코트 총 14면을 갖춘 대형 실내에 마루 시설이 잘 되어 있고 외관 시설도 세련되고 깨끗해 시민들의 만족도가 높다. 야간 조명까지 갖춘 인조잔디 축구장과 대형 실내 테니스장, 게이트볼장, 어린이 체육시설 및 놀이공원을 갖추고 있다. 지하철 7호선과 1호선 도봉산역 400미터 지점에 있다."
서울특별시 도봉구 마들로 650,(방학동),1,0,A02,A0202,A02020600,2763818,12,20211027233340,,,127.0470952133,37.6680964496,6,20221124161946,0,10,,헬로애니멀,1331,"서울 도봉구 1호선 방학역 중랑천변에 위치한 실내 동물원이다. 작고 귀여운 파충류, 조류 등 50여 종의 작은 동물들이 있으며, 전문 사육사와 함께 동물들에 관해 설명을 들을 수 있고, 가까이에서 보고 만지면서 교감하고, 직접 먹이를 주며 관찰할 수 있다. 빌딩 지하에 주차공간이 있고 주말에는 도봉구청 주차장도 이용할 수 있다. 어린이와 함께 오는 이용객이 많지만, 이색 데이트로 오는 젊은 층도 늘고 있다.인근에 중랑천 산책로가 있어 함께 나들이하기에 좋다."
서울특별시 도봉구 해등로 354,(쌍문동),1,0,A02,A0201,A02010800,2759967,12,20211020231702,,,127.0171593539,37.6576110182,6,20221101160852,0,10,,법종사,1365,"서울 도봉구 쌍문동에 있는 불교 사찰로 오대산 월정사 서울 포교원이다. 지상 5층으로 사찰 건물은 석탑 모양으로 높게 올려져 있다. 사찰 뒤편으로는 동네 야산과 같은 쌍문 근린공원이 있어 아름다운 자연을 병풍처럼 두르고 있다. 
주변으로 우이동에서 바라보는 북한산과 방학동에서 바라보는 도봉산을 배경으로 하고 있으며, 우이선 솔밭공원역 1번 출구를 통해 이용할 수 있다."
서울특별시 도봉구 도봉로169길 265,(도봉동),1,0,A01,A0101,A01010900,2759649,12,20211020192538,,,127.0323018824,37.6763563324,6,20221129163806,0,10,,무수골계곡,1313,"경기도 의정부와 맞닿은 서울의 최북단 도봉산은 자운봉 740m와 오봉산 683m의 높은 봉우리 아래로 용어천계곡, 문사동계곡, 원도봉계곡 등이 있다. 산 정상에서 마을로 내려가는 마지막 자락에 길게 뻗은 계곡이 있는데 그곳이 도봉계곡 또는 무수골계곡이라고도 불린다. 이곳은 많은 바위와 물줄기를 만날 수 있는 곳이다. 여름철 더위를 피해 산과 물을 찾는 사람들에게 사랑받는 인기 계곡이다. 1호선, 7호선 도봉산역을 통해 찾아갈 수 있다."
서울특별시 도봉구 해등로32가길 16,(방학동),1,0,A02,A0202,A02020700,2675091,12,20201007055313,http://tong.visitkorea.or.kr/cms/resource/92/2675092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2675092_image2_1.jpg,127.0222976961,37.6603469037,6,20220809093458,0,10,,원당샘공원,1360,"600년 전부터 마을의 생활용수로 공급되던 원당샘을 복구하여 조성한 공원으로 연산군묘, 방학동 은행나무와 함께 역사와 문화가 어우러지는 도봉구 문화명소"
서울특별시 도봉구 도봉산길 90,(도봉동),1,0,A02,A0201,A02010700,1955511,12,20141013195747,,,127.0291407181,37.6883382147,6,20220526105228,4573,10,,도봉서원,1300,"도봉서원은 서울에 소재한 현존하는 유일한 서원으로 도봉산 입구 등산길에 오르면 우측 옛 영국사 터에 위치 해 있다. 남언경이 양주목사로 부임하여 1573년(선조6) 지방유림의 공의로 조광조(趙光祖)의 학문적 사상과 덕행을 추모하기 위해 창건하고 위패를 모셨다. 창건과 동시에 '도봉(道峰)'이라는 사액을 받았으며 송시열(宋時烈)을 추가 배향하였다. 1775년(영조 51) 어필사액을 다시 받아 선현배향과 지방교육의 일익을 담당하였다. 400여 년간 양주, 파주, 포천, 서울지역에 있는 선비들의 발길이 끊이지 않았다고 하나 홍선대원군의 서원철폐령으로 1871년 훼철되었으며 위패는 땅에 묻었다. 1903년 지방유림에 의해 단을 설치하여 봄, 가을에 향사를 지내 오다가 6.25전쟁으로 다시 중단되었다. 1970년 도봉서원재건위원회가 구성되어 1971년 복원 매년 음력 3월10일(춘향제), 9월10일(추향제)에 전국 유림 및 지역유지가 모여 전통향사를 지내고 있다."
서울특별시 도봉구 마들로 916,,1,0,A01,A0101,A01010700,749216,12,20090608190951,http://tong.visitkorea.or.kr/cms/resource/23/2356723_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2356723_image3_1.jpg,127.0481278444,37.6893801026,6,20220516145749,41543,10,,서울창포원,1318,"서울 강북의 끝자락인 도봉산과 수락산 사이에 세계 4대 꽃 중 하나로 꼽히는 붓꽃(Iis)이 가득한 특수식물원이 들어섰다. 도봉구 도봉동 4번지 일대 52,417㎡에 새롭게 조성한 서울창포원은 붓꽃원, 약용식물원, 습지원 등 12개의 테마로 구분 조성됐다. 이중 붓꽃원에는 130종의 다양한 붓꽃 30만본을 약 15,000㎡의 면적에 식재해 종류별로 붓꽃의 아름다움을 감상할 수 있게 만들었다. 이곳에는 노랑꽃창포, 부채붓꽃, 타래붓꽃, 범부채 등 꽃봉오리가 '붓' 모양을 한 붓꽃류 130여종 30만본이 1만5천㎡에 걸쳐 식재돼 있어 '창포원'으로 이름 붙여졌다.  또한 약용식물원에는 70종 13만본이 식재돼 있어 국내에서 생산되는 약용식물 대부분을 한자리에서 관찰할 수 있다. 습지원은 습지식물 7만본이 식재돼 있으며, 각종 수생식물과 습지생물들을 관찰할 수 있도록 관찰데크가 설치됐다. 이밖에 군락지 식생의 변화과정을 관찰할 수 있는 천이관찰원을 비롯, 숲속쉼터 등을 조성해 주민들에게 생태교육 및 여가와 휴식공간으로 제공할 계획이다. 붓꽃(Iis)은 매년 56월 개화하며 꽃이 없을 때에도 잎 모양이 난과 비슷해 관상용으로 좋다.   주요식물 수목 : 낙우송, 느티나무, 스트로브잣나무, 소나무 등 39종  2,726주 관목 : 갯버들, 골담초, 조팝나무, 사철나무, 화살나무 등 18종 57,035주 초화 : 달뿌리풀, 맥문동, 터리풀, 구절초, 물억새, 꽃나리 등 46종 438,512본 붓꽃  : 꽃창포, 노랑꽃창포, 부채붓꽃, 타래붓꽃, 범부채 등 130종 218,453본"
서울특별시 도봉구 도봉산길 92-2,(도봉동),1,0,A02,A0201,A02010800,482112,12,20080222225019,http://tong.visitkorea.or.kr/cms/resource/68/2551268_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/68/2551268_image2_1.bmp,127.018860922,37.6945873024,6,20211111020734,25947,10,,천축사(서울),1300,"신라 문무왕 13년(673)에 창건되었다. 의상(義湘)스님이 문도들을 이끌고 만장봉 동쪽 기슭에 왔다가 그 산세의 빼어남에 감탄하여 현재의 위치에 창건하게 하고 옥천암(玉泉庵)이라 하였다고 한다. 그 뒤 고려 명종 때에는 근처 영국사(寧國寺)의 부속암자가 되었다. 조선 태조 7년(1398) 함흥으로 갔다가 돌아오던 태조가 옛날 이곳에서 기도하던 기억을 상기하고 절을 중창하였으며, 천축사(天竺寺) 현판을 하사하였다. 절 이름을 천축사라고 한 것은 고려 때 호승(胡僧) 지공화상이 공민왕의 왕사였던 나옹화상에게 이곳의 경관이 인도 천축국의 영축산과 비슷하다고 한데서 유래된 것으로 전해진다. 성종 5년(1474) 어명으로 중창되었고, 명종 때에는 문정왕후가 화류용상(樺榴龍床)을 헌납하여 불좌를 만들었다고 한다. 순조 12년(1812) 이후 영험 있는 기도 도량으로 여러 차례 중창되었는데 현재의 당우는 1959년에 중수한 것이다. 현존하는 건물로는 대웅전을 비롯하여 원통전 · 독성각 · 산신각 · 요사 등이 있고, 참선도량 무문관이 있다. 무문관은 불교 선수행의 현근대적 역사에 기록될 근대 선수행의 얼이 숨어 있는 기념비적인 수행처이다. 천축사는 역사적 기록과 현대의 불교계에 큰 위치를 차지하고 있으며 부처님의 진신사리가 모셔진 적멸보궁으로, 보존되고 개발되어야 할 전통사찰이자 천 년 고찰이다."
서울특별시 도봉구 도봉로169길 520,(도봉동),1,0,A02,A0201,A02010800,346995,12,20071221195858,,,127.0103925774,37.6831357043,6,20220420165723,22347,10,,원통사(서울),1313,"원통사(圓通寺)은 서울시 도봉구 도봉산에 자리한 대한불교 조계종 1교구인 조계사의 직할사찰이다. 원통사는 예로부터 좌우에 수락산과 삼각산을 거느리고 한강을 바라보는 도봉산의 최고 길지에 자리잡은 수행기도처로 알려져 왔다. 조선초기의 무학대사를 비롯해서 근대에는 만공 · 동산 · 춘성스님 등 선지식이 이곳에 머물면서 큰 깨달음을 얻었으며, 많은 사람들에게 있어서는 관음기도 도량으로도 유명하다. 또한 조선 영조 때 영의정을 지냈던 조현명, 서명균 등이 나라의 일을 이야기하며 심신을 닦았던 곳으로 당대 유학자들 사이에 명소로 이름 높았다.   현재 경내에는 조선 태조 이성계가 기도했다는 석굴이 있으며, 약사전 아래 큰 바위에는 태조가 기도를 마치던 날 천상의 상공(정승)이 되어 옥항상제를 배알하는 꿈을 꾸었다하여 새겼다는 《상공암(相公岩)이라는 글씨가 있다. 그런가하면 절 뒤쪽에 있는 우이암으로 불리는 바위는 관음보살이 부처님을 향해 기도하는 형상을 하고 있어 원래는 lt;관음봉gt; 으로 불리었다고 한다. 주변의 자연 지세를 자세히 살펴보면 호랑이 · 코끼리 · 학 등 여러 동물 모습을 한 바위들이 이 바위를 향해 머리를 조아리고 있는 형상이다. 그래서인지 사람들은 이곳을 천혜의 관음성지라고 믿고 있다."
서울특별시 도봉구 도봉동,,1,0,A01,A0101,A01010400,126481,12,20030929090000,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/1894465_image3_1.jpg,127.0184192271,37.6969870145,6,20220418173145,127828,10,,도봉산,1318,"북한산국립공원내 동북쪽에 있는 '도봉산'은 최고봉인 자운봉(740.2m)을 비롯하여 만장봉, 선인봉, 주봉, 오봉, 우이암 등의 암벽이 아름답기로 이름난 산인데 특히, 선인봉 암벽 등반코스로는 박쥐코스 등 37개 코스가 개척되어 있다.북한산 및 도봉산 지역의 60여 개 사찰 중 제일 오래된 건축물인 '천축사'를 비롯하여 망월사, 회룡사 등의 절과 도봉계곡, 송추계곡, 오봉계곡, 용어천계곡 등 아름다운 계곡을 안고 있으며, 교통이 편리하여 서울시민이나 근교 주민들에게 더없이 인기있는 하루 등산지이다."
