addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,tel,title,zipcode,overview
서울특별시 동작구 노량진로 247,(본동),1,0,A02,A0202,A02020700,2763685,12,20211027224421,,,126.9521887724,37.5146931319,6.0,20211108234446,0,12,,노들나루공원,6902,"서울 동작구 노량진에 있는 노들나루공원은 노량진 배수지공원이라 불리다가 지금은 노들나루공원으로 명칭이 바뀐 근린공원이다. 바닥분수와 야외무대, 여러 가지 운동 시설이 갖춰져 있으며, 푸른 잔디와 함께 장미꽃 광장도 조성되어 있고, 여러 개의 산책코스도 마련되어 있다. 6.25 전쟁 초기, 서울이 함락된 직후 북한군의 한강 도하를 6일간이나 저지시킨 한강 방어선 전투의 전사자 명비를 볼 수 있다. 공원과 붙어 있는 풋살장, 족구장은 서울특별시 공공서비스예약(yeyak.seoul.go.k)에서 예약 후, 사용할 수 있다. 
여의도 불꽃축제 기간에 불꽃놀이를 감상할 수 있는 명소이기도 하다. 
지하철 9호선 노들역 2번 출구와 연결되어 있다."
서울특별시 동작구 현충로 16,(본동),1,0,A02,A0202,A02020700,2714856,12,20210429031829,http://tong.visitkorea.or.kr/cms/resource/52/2714852_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2714852_image2_1.jpg,126.9575327922,37.5124879286,6.0,20220519174808,4,12,,용양봉저정 공원,6908,"이곳은 조선의 22대왕 정조가 수원화성 행차 때 쉬던 용봉정저정 주변을 공원으로 조성한 곳으로 한강 및 서울 시내의 아름다운 경관을 주야간 조망 할 수 있는 명소이다. 주요시설은 하늘전망대, 자연놀이터, 연못, 탐방로(데크로드), 전망포토존 등이 있고, 어린이를 위한 자연놀이터는 가족단위의 이용에도 적합하다. 2022년말 준공예정인 옥상전망대에는 이용자의 편의를 위해 매점, 카페 등이 운영될 예정이다. 또한, 주변에 서울시 유형문화재 제6호인 용봉정저정, 효사정, 노들섬, 노들나루공원 등이 있어 볼거리를 제공한다."
서울특별시 동작구 현충로 124,,1,0,A02,A0204,A02040800,2553942,12,20180717195936,,,126.9671293186,37.5061749444,,20220713165327,483,12,,조선일보 뉴지엄,6982,"stong스마트한 신문 세상을 향한 한 걸음stong  조선일보 뉴지엄은 뉴스(News)와 박물관(Museum)의 개념을 함께 아우른 공간으로, 조선일보 역사기념관과 미디어체험관으로 구성되어 있다. 국내 최초로 신문과 방송, 스마트폰과 3D 입체영상 등 첨단 정보기술을 접목시킨 복합 미디어체험관은 청소년들이 신문, 방송의 제작 현장을 체험해보며 미디어에 대한 이해를 높일 수 있는 기회를 마련했다."
서울특별시 동작구 여의대방로20길 33,,1,0,A02,A0203,A02030600,1091608,12,20100914225216,http://tong.visitkorea.or.kr/cms/resource/39/1095139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/1095139_image3_1.jpg,126.9172397911,37.4929339232,6.0,20220722161923,57313,12,,보라매안전체험관,7062,"서울시 보라매안전체험관은 보라매공원 내에 있으며, '안전 서울' 실현을 목표로 종합재난체험 인프라를 구출,다양한 전문체험과정 운영으로 대 시민 재난대응 능력향상을 위하여 만들어졌다.자연재해 및 인위재난 등 각종 재해, 재난 상황을 시민들이 직접 체험하면서 재난 안전의 중요성을 현장경험이 풍부한 현직 소방관들에게 생생한 경험담을 들을 수 있는 국내 최고의 재난안전 종합체험관이다."
서울특별시 동작구 현충로 55,(흑석동),1,0,A02,A0202,A02020700,736737,12,20090520203730,http://tong.visitkorea.or.kr/cms/resource/00/2531100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2531100_image2_1.jpg,126.9627629237,37.5106549012,6.0,20220518171333,22068,12,,효사정,6904,"효사정은 세종조에 한성부윤과 우의정을 지낸 노한대감의 별서였다. 노한대감의 자는 유린이며 시호는 공숙공이다. 노한대감이 모친을 여의고 3년간 시묘를 했던 자리에 정자를 짓고, 북쪽 개성에 있는 아버님 산소를 바라보며 추모했던 곳이다. 당시 이조판서 강석덕이 효사정이라 명명하였다고 한다. 이 정자는 효사정의 제자리를 찾기 위해 정인지, 서거정 등의 시문과 신증동국여지승람을 찾고 하였으나, 주위환경 변화로 부득이 이 자리를 선정하여 신축하였다. 정면 3칸, 측면 2칸 5량 집 구조와 검소한 인도리가구 구조의 팔작기와 지붕에 온돌방 1칸을 겸한 정가형식으로 주위에 난간을 둘렀다."
서울특별시 동작구 현충로 210,(동작동) 현충원 내,1,0,A02,A0201,A02010800,486625,12,20080225220528,http://tong.visitkorea.or.kr/cms/resource/00/2016200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2016200_image3_1.jpg,126.9645797614,37.4987118764,6.0,20220826152027,24946,12,,호국지장사(서울),6984,"국립현충원을 들어서 걷다보면 많은 사람들이 묘비 앞에서 고개를 숙이고 있는 장면이 눈에 들어와 절로 마음이 숙연해진다. 그런가하면 운동복 차림으로 순환로를 따라 걷는 사람, 약수를 받아가려는 사람들의 즐비한 모습을 볼 수 있다. 이러한 모습을 가슴에 안고 인공적으로 가꾸어진 묘비의 숲과 자연이 이루어 놓은 숲속을 번갈아 가며 지나면 호국지장사에 닿는다. 지장사가 자리한 곳은 일찍이 이승만 대통령이 들렀다가 만일 이곳에 절이 없었다면 내가 묻히고 싶은 땅이라고 했다는 일화가 전할만큼 좋은 곳으로 알려져 있다.  호국지장사는 원래 통일 신라말 도선국사가 창건한 갈궁사(葛弓寺)가 시초이다. 이후 창빈 안씨(昌嬪 安氏)의 원찰로 지정되어 화장사(華藏寺)로 이름을 고쳤고, 다시 1983년에는 국립묘지에 안치된 호국영령들이 지장보살의 원력으로 극락왕생하도록 기원하는 뜻에서 호국지장사(護國地藏寺)로 바꾸게 된 것이다. 호국지장사라는 절 이름에 어울리게 현재 절에는 지장보살입상을 중심으로 2500여 좌(座)의 지장보살을 봉안하고 있다. 그런가 하면 조선 후기의 재상으로 이름 높았던 오성 이항복(李恒福)과 한음 이덕형(李德馨)이 소년시절 머물면서 공부한 곳이기도 하다. 이 시절의 이야기는 널리 알려져 이야기책의 한 꼭지가 되기도 했다.    역사   지장사는 신라 말 풍수지리설에 뛰어났던 도선(道詵) 스님이 창건하였다고 한다. 즉 도선스님이 북쪽으로 만행을 하다가 한강 언덕에 이르러 둘러보니 서기가 퍼져 나오는 곳이 있었다. 그래서 그곳에 가보니 칡덩굴이 엉켜지고 약물이 샘솟는 명당이므로 토굴을 짓고 갈궁사(葛弓寺)라 했다는 것이다. 그 후에는 폐허가 되다시피 한 갈궁사를 고려 공민왕 때 보인(寶印) 스님이 중창하고 절 이름을 고쳐 화장암(華藏庵)이라고 하였다고 한다.  그런가 하면 안진호(安震湖) 스님이 편찬한 『봉은본말사지(奉恩本末寺誌)에는 사기(寺記)를 인용하여 1577년(선조 10) 왕이 창빈묘(昌嬪墓) 부근 산기슭에 절을 창건하고 창빈의 원찰을 삼으니 갈궁사가 바로 이것이다(朝鮮宣祖十年 寺於昌嬪墓附近山麓 爲昌嬪願刹 是葛弓寺)라고 적고 있다. 그러나 창빈의 묘는 1578년 즉 선조 즉위 11년에야 양주(楊州) 장흥리(長興里)에서 이곳 동작리로 옮겨졌다. 그래서인지 안진호 스님은 창건에 대한 여러 설을 언급하며 이 시기에 지장사가 창건되었을 것이라고 추정하였다.   현재로서는 화장사가 언제 처음 창건되었는지는 알 수가 없다. 다만 일반적으로 전해지는 내용은 보인(寶印) 스님의 중창이후 1577년(선조 10)에 선조의 생조모인 창빈 안씨(昌嬪 安氏)의 묘를 절 부근에 모시게 되자 그 원찰로 삼고 화장사(華藏寺)로 고쳐 불렀으며, 창빈묘의 조포사찰(造泡寺刹)로 지정하였다는 것이다. 이후의 연혁은 『봉은본말사지(奉恩本末寺誌)에 자세히 전한다. 화장사는 1663년(현종 4)에 중수를 하는 등 꾸준히 사세를 유지해왔는데, 영조 때 신경준이 지은 『가람고(伽藍攷)에도 동작리에 화장암이 있다(在銅雀里縣北十五里)고 기록하고 있다.  그 뒤 1862년(철종 13)에는 운담(雲潭)과 경해(鏡海) 두 스님이 중건하였다. 1870년(고종 7)에는 운담(雲潭)과 경해(鏡海) 두 스님이 경파루(鏡波樓)를 새로 지었으며, 1878년(고종 15)에는 주지 서월(瑞月) 스님과 경해 스님이 큰방 등을 수리하였다. 1893년(고종 30)에는 화주 경운(慶雲)·계향(戒香) 스님이 불상을 개금·개분하고 구품탱·지장탱·현왕탱·독성탱·산신탱을 봉안하였고, 1896년에는 칠성각을 새로 지었다. 그리고 1906년에는 화주 풍곡(豊谷) 스님이 약사전의 불상을 개금·단청하고 후불탱·신중탱·감로탱·신중탱·칠성탱 등을 봉안하였다. 1911년에는 일제의 사찰령에 따라 봉은사의 말사로 편입이 되었다. 1920년에는 주지 원옹(圓翁)스님과 명진(明眞)스님이 큰방을 수리하였고, 1936년에는 주지 유영송(劉永松) 스님이 능인전(能仁殿)을 중수하였다.   한국전쟁 이후에는 국립묘지가 들어서자 수많은 유가족들이 호국영령을 위해 기도하는 사찰이 되었다. 그 뒤 1983년에는 혜성(慧惺) 스님이 주지로 부임하여 국립묘지에 안치된 호국영령들이 지장보살의 원력으로 극락왕생하도록 기원하는 뜻에서 절 이름을 호국지장사(護國地藏寺)로 다시 바꾸어 오늘에 이르고 있다."
서울특별시 동작구 서달로 50-26,,1,0,A02,A0201,A02010800,299978,12,20071128181317,http://tong.visitkorea.or.kr/cms/resource/74/2690574_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2690574_image3_1.jpg,126.9626521644,37.4985229748,6.0,20220524134143,24818,12,,달마사(서울),6987,"한강, 그리고 강 건너 남산을 바라보는 서달산 중턱에 작은 사찰이 있다. 낮이면 흐르는 강물을 멀리서 지켜볼 수 있고, 밤이면 작은 불빛을 발하는 남산의 정경을 바라볼 수 있는 열린 사찰이다. 서달산을 남산으로 자연과 함께하는 맑은 도량으로 알려져 있는 곳으로 하루가 다르게 변하는 도심 속에서 찌든 혼탁한 마음을 바로세울 수 있는 도심 속 전통사찰이다. 이른 아침 새벽예불의 소리와 함께 지역주민과 하나되고, 하루라는 인고의 시간을 지는 해와 같이하는 그런 포근한 사찰이다. 한강을 바라보는 녹지 속의 열린공간이며, 부처님의 가르침과 참된 수행의 정신이 깃든 곳, 또 작지만 마음으로 넓힌 지역주민의 공간이다."
서울특별시 동작구 노량진로 191,,1,0,A02,A0202,A02020100,126523,12,20041230090000,http://tong.visitkorea.or.kr/cms/resource/27/566927_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/566927_image3_1.jpg,126.9490779808,37.5134126693,6.0,20221115132536,39056,12,,사육신공원,6902,"서울특별시 유형문화재로 지정된 사육신묘는 오늘날 성역으로 가꾸어져 있다.한강 인도교와 노량진역 중간의 높은 언덕에 자리한 사육신묘는 조선조 단종을 강제로 내쫓고 왕위를 빼앗은 세조에 항거하다가 형장의 이슬로 사라진 성삼문, 박팽년, 하위지, 이개, 유성원, 유응부, 김문기 등 일곱 충신 절사의 묘역이다. 숙종은 1681년 사육신의 충성심을 기리는 듯에서 이곳 산 기슭에 '민절서원'을 세우고 제사를 지내기도 했다.총 면적 49,40㎡에 33종 15,000주의 수목으로 조경된 사육신 공원에는 사당인 의절사, 홍살문, 삼문(불이문), 육각비, 신도비 등이 있다. 신도비 비각과 마주보고 있는 육각형의 사육신비는 1955년에 세워진 것이다. 사육신공원은 봄이면 벚꽃 등 갖가지 꽃들이 피어나고 여름에는 녹음이 시원해서 시민들이 사육신의 충정도 생각할 겸 휴식 차 많이 찾는다."
서울특별시 동작구 여의대방로20길 33,,1,0,A02,A0202,A02020700,127940,12,20031106090000,http://tong.visitkorea.or.kr/cms/resource/09/566009_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/566009_image3_1.jpg,126.9231614728,37.4929729132,6.0,20220317114109,34311,12,,보라매공원,7062,"옛 공군사관학교 자리에 마련된 보라매공원은 시민위락공원으로, 1986년 5월에 문을 열었다.약 12만평의 대지에 테니스장, 체육센터 등의 체육 시설과 소동물원, 연못, 산책로 등의 편의시설이 갖추어져 있으며, 특히 2층 건물 4동에 학생들을 위한 독서실을 갖추어 청소년의 선도에 크게 도움을 주고 있다. 이외에 어린이를 위한 놀이시설도 있다. 청소년회관에서는 영화감상교실 등 다채로운 프로그램을 운영하고 있어, 청소년들에게 인기가 높다.공군사관학교 시절부터 자리를 지킨 상징탑이 지금도 남아 이 곳을 찾은 어린이들에게 충효사상을 고취시켜준다."
서울특별시 동작구 현충로 210,,1,1,A02,A0201,A02010700,126521,12,20020510090000,,,126.9732511193,37.5013561691,6.0,20220512145840,51701,12,,국립서울현충원,6984,"국립묘지는 관악산 기슭의 공작봉을 주봉으로 하여 동작의 능선이 병풍치듯 3면을 감싸고 있으며 앞에는 한강이 굽이쳐 돌고 있다. 43만여 평의 이곳 성역에는 구한 말의 의병들을 위시하여 조국 광복을 위하여 투쟁하신 애국지사, 나라의 발전과 민족의 번영을 위해 평생을 바치신 국가 유공자, 위기에 처한 나라를 구하다, 장렬히 산화하신 국군 장병과 경찰관, 예비군 등 165,000여 순국선열과 호국영령들이 잠들어 있다. 이 중 10만 4천여위는 현충탑내 위패 봉안관에 위패로 봉안 되었고, 시신은 찾았으나 그 이름을 알 수 없는 7,000여 무명용사는 납골당에 모셔져 있으며, 54,000여 위는 묘역에 안장되어 있다.  묘역은 애국지사 묘역, 임정요인 묘역, 국가 유공자묘역, 장병묘역 (장교  사병), 경찰 묘역 등으로 나뉘어져 있다. 경내에는 현충탑, 현충문, 충성분수대, 현충지, 현충관(영화관), 사진 전시관, 유품전시관, 각 시도 공원 등이 설치되어 있으며, 1955년 국군묘지로 창설되어 1965년 국립묘지로 승격되었으며, 기관 명칭은 1996. 6.1 국립묘지관리소에서 국립 현충원으로 변경하였다. 매년 6월 6일 현충일에는 거국적인 추념행사가 거행된다."
